Date,Open,High,Low,Close,Volume
31-Dec-14,1.82,1.90,1.75,1.75,19265
30-Dec-14,1.83,1.90,1.75,1.81,22087
29-Dec-14,1.80,1.91,1.72,1.85,5892
26-Dec-14,1.80,1.85,1.69,1.82,16232
24-Dec-14,1.88,1.88,1.77,1.85,9707
23-Dec-14,1.80,1.87,1.77,1.87,2873
22-Dec-14,1.89,1.90,1.82,1.82,1306
19-Dec-14,1.97,1.97,1.88,1.88,4774
18-Dec-14,1.87,1.98,1.87,1.97,7785
17-Dec-14,1.84,1.95,1.84,1.90,9867
16-Dec-14,1.82,1.87,1.74,1.81,3957
15-Dec-14,1.87,1.90,1.76,1.84,10464
12-Dec-14,1.92,1.96,1.81,1.85,7021
11-Dec-14,1.97,1.97,1.90,1.90,9086
10-Dec-14,2.00,2.15,1.93,1.96,9555
9-Dec-14,1.95,1.97,1.82,1.94,4271
8-Dec-14,1.84,1.95,1.83,1.95,2385
5-Dec-14,1.85,1.96,1.83,1.85,22733
4-Dec-14,1.84,1.90,1.71,1.81,41567
3-Dec-14,1.79,1.79,1.79,1.79,200
2-Dec-14,1.79,1.82,1.75,1.81,9167
1-Dec-14,1.84,1.85,1.73,1.84,12452
28-Nov-14,1.83,1.84,1.80,1.84,8651
26-Nov-14,1.75,1.81,1.75,1.80,5518
25-Nov-14,1.75,1.82,1.71,1.81,10743
24-Nov-14,1.70,1.81,1.70,1.75,16287
21-Nov-14,1.67,1.79,1.65,1.71,12067
20-Nov-14,1.61,1.67,1.55,1.60,12354
19-Nov-14,1.55,1.60,1.50,1.58,17595
18-Nov-14,1.55,1.67,1.45,1.50,88000
17-Nov-14,1.58,1.67,1.45,1.46,60702
14-Nov-14,1.56,1.56,1.30,1.55,8720
13-Nov-14,1.56,1.65,1.55,1.56,36609
12-Nov-14,1.60,1.60,1.56,1.56,12058
11-Nov-14,1.59,1.69,1.54,1.59,28203
10-Nov-14,1.70,1.70,1.52,1.57,8643
7-Nov-14,1.42,1.65,1.42,1.63,30007
6-Nov-14,1.58,1.84,1.43,1.50,146393
5-Nov-14,1.35,1.59,1.29,1.50,44299
4-Nov-14,1.38,1.38,1.26,1.26,10306
3-Nov-14,1.29,1.40,1.29,1.29,11572
31-Oct-14,1.45,1.47,1.31,1.31,26558
30-Oct-14,1.39,1.47,1.37,1.40,16253
29-Oct-14,1.53,1.53,1.38,1.38,6813
28-Oct-14,1.43,1.53,1.41,1.45,18424
27-Oct-14,1.54,1.62,1.34,1.41,19204
24-Oct-14,1.81,1.83,1.49,1.49,54724
23-Oct-14,1.73,1.84,1.66,1.72,15158
22-Oct-14,1.88,1.88,1.70,1.70,2371
21-Oct-14,1.75,1.78,1.71,1.78,6150
20-Oct-14,1.78,1.85,1.66,1.71,16067
17-Oct-14,1.80,1.85,1.69,1.69,26713
16-Oct-14,1.80,1.90,1.62,1.85,89117
15-Oct-14,1.65,1.90,1.60,1.80,36626
14-Oct-14,1.81,1.85,1.66,1.69,17931
13-Oct-14,1.75,1.90,1.60,1.70,31349
10-Oct-14,1.77,1.94,1.61,1.75,46308
9-Oct-14,1.87,1.94,1.75,1.77,4964
8-Oct-14,1.91,2.00,1.75,2.00,13821
7-Oct-14,1.80,1.91,1.75,1.90,2740
6-Oct-14,1.86,2.02,1.75,1.78,20690
3-Oct-14,1.93,2.06,1.84,1.86,19612
1-Oct-14,1.88,2.10,1.88,2.07,8198
30-Sep-14,2.03,2.06,1.92,2.06,1431
29-Sep-14,1.95,2.11,1.91,1.99,9154
26-Sep-14,2.07,2.18,1.85,1.90,22591
25-Sep-14,2.14,2.16,2.05,2.06,3605
24-Sep-14,2.20,2.20,2.05,2.09,13265
23-Sep-14,2.16,2.37,2.02,2.23,19581
22-Sep-14,2.17,2.27,2.10,2.11,33560
19-Sep-14,2.07,2.15,2.00,2.15,27200
18-Sep-14,2.04,2.25,2.00,2.03,42484
17-Sep-14,2.10,2.15,2.05,2.05,5938
16-Sep-14,2.00,2.09,2.00,2.04,27945
15-Sep-14,2.10,2.22,2.01,2.03,14630
12-Sep-14,2.22,2.22,2.08,2.11,17119
11-Sep-14,2.04,2.28,2.03,2.24,47279
10-Sep-14,2.03,2.25,2.02,2.03,52701
9-Sep-14,2.10,2.37,2.03,2.03,22998
8-Sep-14,2.40,2.44,2.10,2.10,29060
5-Sep-14,2.39,2.48,2.21,2.21,31898
4-Sep-14,2.25,2.50,2.22,2.28,54151
3-Sep-14,2.20,2.27,2.20,2.27,4411
2-Sep-14,2.21,2.30,2.21,2.26,8272
29-Aug-14,2.22,2.43,2.22,2.30,27459
28-Aug-14,2.56,2.60,2.04,2.35,65997
27-Aug-14,2.63,2.65,2.60,2.62,9317
26-Aug-14,2.77,2.77,2.47,2.63,21755
25-Aug-14,2.76,2.82,2.76,2.77,5993
22-Aug-14,2.74,2.74,2.70,2.71,1738
21-Aug-14,2.83,2.83,2.65,2.82,4830
20-Aug-14,2.85,2.85,2.83,2.83,293
19-Aug-14,2.89,2.89,2.83,2.85,3377
18-Aug-14,2.91,2.97,2.83,2.94,9428
15-Aug-14,2.73,2.85,2.73,2.81,1055
14-Aug-14,2.75,2.75,2.71,2.71,893
13-Aug-14,2.70,2.75,2.66,2.70,3615
12-Aug-14,2.70,2.95,2.60,2.60,759
11-Aug-14,2.45,2.64,2.45,2.46,9413
8-Aug-14,2.46,2.61,2.46,2.55,1966
7-Aug-14,2.35,2.78,2.35,2.48,7372
6-Aug-14,2.66,2.96,2.12,2.43,10868
5-Aug-14,2.75,2.88,2.73,2.74,22028
4-Aug-14,2.72,2.76,2.55,2.74,10176
1-Aug-14,2.50,2.65,2.50,2.64,1817
31-Jul-14,2.65,2.65,2.50,2.60,8510
30-Jul-14,2.80,2.80,2.68,2.68,2482
29-Jul-14,2.90,2.92,2.66,2.80,49825
28-Jul-14,2.92,3.00,2.90,3.00,12322
25-Jul-14,3.13,3.13,2.90,2.90,76705
24-Jul-14,3.10,3.10,2.92,3.04,23267
23-Jul-14,3.17,3.17,2.92,3.00,13778
22-Jul-14,3.17,3.17,2.81,3.00,40657
21-Jul-14,2.78,2.92,2.76,2.76,35774
18-Jul-14,2.65,2.83,2.65,2.75,63072
17-Jul-14,2.80,2.88,2.69,2.70,11914
16-Jul-14,2.99,3.00,2.86,2.93,5400
15-Jul-14,3.04,3.10,2.85,3.03,14896
14-Jul-14,3.13,3.15,3.00,3.14,6049
11-Jul-14,3.45,3.45,3.00,3.00,16225
