Date,Open,High,Low,Close,Volume
31-Dec-14,8.06,8.11,7.85,7.94,33670
30-Dec-14,8.01,8.13,7.96,8.12,16364
29-Dec-14,8.00,8.12,8.00,8.12,32692
26-Dec-14,8.10,8.10,8.01,8.06,6508
24-Dec-14,7.95,8.08,7.95,7.99,6728
23-Dec-14,7.96,8.12,7.96,7.99,12127
22-Dec-14,8.00,8.11,7.95,8.01,14149
19-Dec-14,7.98,8.12,7.97,7.97,33262
18-Dec-14,8.19,8.19,8.02,8.02,10968
17-Dec-14,7.98,8.11,7.98,8.06,3837
16-Dec-14,7.94,8.02,7.91,8.00,18062
15-Dec-14,8.05,8.05,7.93,8.01,24815
12-Dec-14,7.99,8.12,7.92,7.98,14724
11-Dec-14,8.10,8.10,7.91,8.10,53537
10-Dec-14,8.07,8.12,8.02,8.02,20116
9-Dec-14,8.09,8.12,7.94,8.05,12861
8-Dec-14,7.98,8.10,7.92,7.99,9112
5-Dec-14,8.06,8.20,7.92,7.95,32703
4-Dec-14,8.01,8.26,8.01,8.09,26892
3-Dec-14,8.00,8.08,7.93,8.00,17655
2-Dec-14,8.06,8.16,8.00,8.00,8962
1-Dec-14,8.17,8.26,8.01,8.01,22547
28-Nov-14,8.17,8.25,8.17,8.19,2549
26-Nov-14,8.12,8.27,8.12,8.19,19672
25-Nov-14,8.16,8.26,8.08,8.16,7427
24-Nov-14,8.27,8.27,8.17,8.20,19306
21-Nov-14,8.20,8.44,8.20,8.30,20866
20-Nov-14,8.07,8.39,8.07,8.16,12230
19-Nov-14,8.20,8.40,8.05,8.09,28357
18-Nov-14,8.59,8.66,8.22,8.29,28149
17-Nov-14,8.62,8.71,8.57,8.59,15697
14-Nov-14,8.59,8.70,8.55,8.56,9431
13-Nov-14,8.54,8.79,8.54,8.56,11885
12-Nov-14,8.57,8.68,8.44,8.54,17679
11-Nov-14,8.74,8.74,8.63,8.68,2454
10-Nov-14,8.73,8.83,8.63,8.75,9796
7-Nov-14,8.82,8.83,8.55,8.63,9517
6-Nov-14,8.66,8.93,8.66,8.83,8129
5-Nov-14,8.58,8.85,8.38,8.84,25785
4-Nov-14,8.81,8.87,8.50,8.62,26580
3-Nov-14,8.23,8.76,8.22,8.72,45715
31-Oct-14,7.98,8.24,7.94,8.22,40486
30-Oct-14,7.91,7.95,7.86,7.94,15983
29-Oct-14,7.95,7.99,7.82,7.87,37380
28-Oct-14,7.86,8.00,7.86,7.96,35497
27-Oct-14,8.21,8.25,7.90,7.92,89695
24-Oct-14,8.27,8.32,8.16,8.29,35465
