Date,Open,High,Low,Close,Volume
31-Dec-14,1.00,1.03,0.99,1.00,79699
30-Dec-14,1.03,1.03,1.00,1.01,55256
29-Dec-14,1.03,1.04,1.01,1.01,19624
26-Dec-14,1.01,1.05,0.99,1.04,124790
24-Dec-14,0.99,1.05,0.99,1.03,26225
23-Dec-14,1.05,1.05,0.99,0.99,71463
22-Dec-14,1.04,1.11,1.00,1.00,20102
19-Dec-14,1.07,1.11,1.03,1.06,40321
18-Dec-14,1.15,1.15,1.07,1.11,26532
17-Dec-14,1.18,1.18,1.05,1.08,21910
16-Dec-14,1.17,1.18,1.06,1.07,48488
15-Dec-14,1.00,1.12,1.00,1.12,68456
12-Dec-14,1.20,1.20,1.00,1.00,213300
11-Dec-14,1.15,1.17,1.12,1.12,12046
10-Dec-14,1.16,1.16,1.05,1.14,60611
9-Dec-14,1.12,1.20,0.99,1.13,95376
8-Dec-14,1.14,1.20,1.12,1.12,39700
5-Dec-14,1.15,1.24,1.13,1.13,48305
4-Dec-14,1.17,1.20,1.15,1.15,14493
3-Dec-14,1.20,1.20,1.16,1.16,15914
2-Dec-14,1.20,1.25,1.14,1.15,56200
1-Dec-14,1.16,1.21,1.13,1.19,30392
28-Nov-14,1.17,1.17,1.13,1.15,29113
26-Nov-14,1.13,1.20,1.13,1.19,12083
25-Nov-14,1.16,1.20,1.13,1.13,30789
24-Nov-14,1.20,1.20,1.16,1.16,14108
21-Nov-14,1.15,1.20,1.15,1.16,32343
20-Nov-14,1.21,1.21,1.14,1.14,625
19-Nov-14,1.21,1.21,1.15,1.16,22582
18-Nov-14,1.16,1.16,1.12,1.15,6175
17-Nov-14,1.14,1.20,1.08,1.20,53200
14-Nov-14,1.15,1.16,1.12,1.16,28714
13-Nov-14,1.20,1.22,1.14,1.14,62272
12-Nov-14,1.25,1.25,1.18,1.21,28539
11-Nov-14,1.23,1.24,1.20,1.20,36056
10-Nov-14,1.34,1.34,1.25,1.27,51381
7-Nov-14,1.28,1.33,1.26,1.29,24789
6-Nov-14,1.25,1.32,1.23,1.28,69999
5-Nov-14,1.31,1.47,1.23,1.23,617312
4-Nov-14,1.13,1.31,1.12,1.21,112275
3-Nov-14,1.25,1.31,1.20,1.20,68514
31-Oct-14,1.10,1.27,1.09,1.22,345798
30-Oct-14,1.09,1.10,1.08,1.08,26070
29-Oct-14,1.13,1.13,1.08,1.11,7657
28-Oct-14,1.07,1.13,1.07,1.11,29292
27-Oct-14,1.03,1.10,1.03,1.06,24125
24-Oct-14,1.12,1.15,1.02,1.07,60652
23-Oct-14,1.10,1.21,1.10,1.13,8806
22-Oct-14,1.11,1.13,1.09,1.11,35633
21-Oct-14,1.11,1.17,1.09,1.14,63993
20-Oct-14,1.15,1.20,1.14,1.16,10572
17-Oct-14,1.21,1.25,1.15,1.20,23906
16-Oct-14,1.09,1.24,1.09,1.19,33530
15-Oct-14,1.10,1.10,1.10,1.10,400
14-Oct-14,1.12,1.13,1.10,1.11,13709
13-Oct-14,1.08,1.13,1.08,1.13,35958
10-Oct-14,1.10,1.12,1.08,1.08,28894
9-Oct-14,1.12,1.17,1.12,1.13,22467
8-Oct-14,1.18,1.18,1.13,1.16,18237
7-Oct-14,1.18,1.18,1.16,1.16,21206
6-Oct-14,1.18,1.22,1.15,1.15,9922
3-Oct-14,1.18,1.22,1.17,1.17,12831
