Date,Open,High,Low,Close,Volume
31-Dec-14,12.07,12.07,11.64,11.70,117761
30-Dec-14,12.07,12.16,11.87,12.05,68174
29-Dec-14,12.17,12.27,12.01,12.26,42798
26-Dec-14,12.00,12.16,11.97,12.13,45966
24-Dec-14,12.00,12.00,11.89,12.00,19267
23-Dec-14,11.90,12.00,11.81,11.99,41040
22-Dec-14,11.87,11.90,11.74,11.89,29770
19-Dec-14,11.89,11.92,11.72,11.90,191906
18-Dec-14,11.85,11.97,11.68,11.93,57918
17-Dec-14,11.26,11.78,11.23,11.77,87898
16-Dec-14,10.97,11.49,10.97,11.24,75721
15-Dec-14,11.15,11.25,10.78,11.05,102199
12-Dec-14,11.11,11.33,11.11,11.12,36717
11-Dec-14,11.22,11.42,11.22,11.28,28364
10-Dec-14,11.49,11.55,11.11,11.13,61020
9-Dec-14,11.12,11.50,11.10,11.50,45607
8-Dec-14,11.22,11.50,11.15,11.27,43260
5-Dec-14,11.01,11.37,11.01,11.29,57814
4-Dec-14,10.99,11.12,10.92,11.02,34205
3-Dec-14,11.04,11.25,10.89,11.10,54167
2-Dec-14,10.81,11.07,10.79,11.03,41948
1-Dec-14,10.93,11.15,10.74,10.74,74627
28-Nov-14,11.25,11.27,10.97,11.03,58001
26-Nov-14,11.26,11.34,11.18,11.29,45179
25-Nov-14,11.30,11.32,11.20,11.26,64257
24-Nov-14,11.07,11.27,11.07,11.22,43602
21-Nov-14,11.14,11.16,11.00,11.01,59727
20-Nov-14,10.87,11.02,10.86,11.00,48580
19-Nov-14,11.23,11.23,10.85,10.96,64323
18-Nov-14,11.27,11.31,11.10,11.20,50808
17-Nov-14,11.35,11.35,11.05,11.20,70822
14-Nov-14,11.37,11.42,11.24,11.33,122057
13-Nov-14,11.43,11.43,11.10,11.31,84491
12-Nov-14,10.62,11.38,10.62,11.36,130689
11-Nov-14,10.75,10.82,10.69,10.70,135106
10-Nov-14,10.82,10.82,10.64,10.69,118990
7-Nov-14,10.88,10.88,10.68,10.75,52208
6-Nov-14,11.08,11.18,10.85,10.90,66204
