Date,Open,High,Low,Close,Volume
31-Dec-14,17.40,17.98,17.08,17.81,114189
30-Dec-14,17.62,18.49,17.50,17.50,74183
29-Dec-14,18.02,18.11,17.72,17.79,73159
26-Dec-14,17.79,18.23,17.70,17.80,41588
24-Dec-14,18.00,18.00,17.53,17.79,56497
23-Dec-14,17.70,18.00,17.50,17.91,75024
22-Dec-14,17.90,18.57,17.40,17.75,90369
19-Dec-14,18.28,18.63,18.19,18.20,148473
18-Dec-14,19.00,19.64,17.81,18.19,110496
17-Dec-14,17.70,19.50,17.68,18.93,98941
16-Dec-14,16.85,18.00,16.51,17.50,63879
15-Dec-14,17.83,18.25,16.45,16.91,96800
12-Dec-14,17.20,17.87,17.10,17.40,52198
11-Dec-14,16.40,18.34,16.40,17.40,139858
10-Dec-14,16.98,17.10,16.35,16.40,137704
9-Dec-14,16.15,17.80,16.01,17.25,127644
8-Dec-14,18.54,18.56,15.53,16.64,242722
5-Dec-14,18.95,18.95,18.54,18.86,80134
4-Dec-14,18.78,19.23,18.78,18.95,80005
3-Dec-14,19.00,19.66,18.63,18.81,132865
2-Dec-14,19.10,19.49,18.48,19.08,189442
1-Dec-14,19.94,19.99,19.05,19.10,131099
28-Nov-14,20.88,21.29,20.04,20.21,86236
26-Nov-14,21.92,22.15,21.57,21.61,48322
25-Nov-14,22.38,22.39,21.91,22.05,131158
24-Nov-14,22.25,22.70,22.15,22.25,149269
21-Nov-14,21.96,22.39,21.95,22.05,50407
20-Nov-14,21.63,22.29,21.63,21.95,52936
19-Nov-14,21.80,22.28,21.65,21.65,73677
18-Nov-14,21.91,21.95,21.55,21.77,62042
17-Nov-14,21.95,22.32,21.90,21.90,59118
14-Nov-14,21.90,22.19,21.72,21.90,59886
13-Nov-14,22.36,22.55,21.79,21.80,35754
12-Nov-14,22.78,22.79,22.17,22.27,37986
11-Nov-14,22.80,23.10,22.47,22.59,17131
10-Nov-14,23.15,23.18,22.72,22.82,21895
7-Nov-14,22.80,23.18,22.80,23.06,24563
6-Nov-14,22.91,23.04,22.53,22.72,30792
5-Nov-14,22.84,23.16,22.34,23.16,38235
4-Nov-14,23.16,23.16,22.75,22.75,28146
3-Nov-14,23.32,23.49,23.16,23.16,71758
31-Oct-14,23.50,23.51,22.88,23.05,40440
30-Oct-14,23.68,23.91,23.29,23.34,23084
29-Oct-14,23.60,23.90,23.56,23.56,78493
28-Oct-14,23.76,23.99,23.58,23.63,15670
27-Oct-14,23.90,24.05,23.60,23.70,25668
24-Oct-14,24.04,24.07,23.83,23.99,21937
23-Oct-14,23.99,24.11,23.96,24.04,41442
22-Oct-14,23.87,24.15,23.80,23.87,49056
21-Oct-14,23.77,23.88,23.69,23.87,40459
20-Oct-14,23.58,23.71,23.45,23.65,30574
17-Oct-14,23.20,23.69,23.10,23.29,68328
16-Oct-14,22.16,23.39,21.95,22.91,60085
15-Oct-14,22.50,22.50,21.83,22.32,68041
14-Oct-14,23.15,23.44,22.04,22.56,62463
13-Oct-14,23.83,23.92,23.11,23.15,59747
10-Oct-14,24.48,24.48,23.57,23.61,111034
9-Oct-14,24.46,24.53,24.31,24.31,56708
8-Oct-14,24.58,24.58,24.36,24.55,60354
7-Oct-14,24.54,24.61,24.53,24.53,33559
6-Oct-14,24.69,24.73,24.54,24.56,30955
3-Oct-14,24.76,24.77,24.60,24.61,143868
2-Oct-14,24.69,24.74,24.61,24.68,24984
1-Oct-14,24.65,24.75,24.61,24.70,35568
30-Sep-14,24.68,24.68,24.60,24.66,28300
29-Sep-14,24.71,24.78,24.54,24.70,45789
26-Sep-14,24.67,24.87,24.67,24.83,35630
25-Sep-14,24.74,24.75,24.68,24.74,16228
24-Sep-14,24.75,24.75,24.53,24.74,80301
23-Sep-14,24.72,24.80,24.50,24.74,34423
22-Sep-14,24.87,24.87,24.65,24.67,12868
19-Sep-14,24.79,24.85,24.74,24.76,39230
18-Sep-14,24.89,24.89,24.70,24.79,28665
17-Sep-14,24.75,24.86,24.64,24.72,53249
16-Sep-14,24.60,24.74,24.47,24.62,43740
15-Sep-14,24.75,24.75,24.48,24.59,33845
12-Sep-14,24.75,24.84,24.53,24.60,44854
11-Sep-14,24.60,24.89,24.60,24.76,29717
10-Sep-14,24.80,24.86,24.66,24.74,35528
9-Sep-14,24.80,24.93,24.80,24.83,15838
8-Sep-14,24.86,24.93,24.73,24.78,14197
5-Sep-14,24.73,24.94,24.73,24.87,30796
4-Sep-14,24.94,24.94,24.75,24.78,34020
3-Sep-14,25.00,25.00,24.90,24.93,37282
2-Sep-14,25.08,25.08,24.88,24.88,38229
29-Aug-14,25.05,25.08,25.02,25.07,24222
28-Aug-14,25.01,25.04,24.90,24.99,84517
27-Aug-14,25.04,25.08,25.01,25.04,69599
26-Aug-14,25.07,25.07,24.98,25.01,44612
25-Aug-14,24.98,25.07,24.97,25.00,53529
22-Aug-14,24.99,25.02,24.95,24.95,38776
21-Aug-14,24.96,24.98,24.91,24.98,52942
20-Aug-14,24.98,24.98,24.90,24.94,36972
19-Aug-14,24.90,24.97,24.88,24.93,51826
18-Aug-14,24.90,24.95,24.84,24.91,30342
15-Aug-14,24.82,24.87,24.77,24.83,17999
14-Aug-14,24.90,24.90,24.82,24.87,28930
13-Aug-14,24.84,24.89,24.80,24.87,26011
12-Aug-14,24.77,24.83,24.70,24.81,56987
11-Aug-14,24.84,24.84,24.70,24.77,24845
8-Aug-14,24.68,24.75,24.63,24.74,57816
7-Aug-14,24.62,24.69,24.60,24.67,55300
6-Aug-14,24.57,24.60,24.46,24.59,112698
5-Aug-14,24.50,24.58,24.42,24.53,94509
4-Aug-14,24.65,24.67,24.33,24.49,69995
1-Aug-14,24.62,24.67,24.33,24.63,56916
31-Jul-14,24.78,24.78,24.41,24.56,108764
30-Jul-14,24.87,24.87,24.76,24.80,61933
29-Jul-14,24.85,24.97,24.85,24.97,68848
28-Jul-14,24.90,24.90,24.80,24.88,60189
25-Jul-14,24.87,24.89,24.83,24.85,44724
24-Jul-14,24.83,24.89,24.82,24.86,83228
23-Jul-14,24.86,24.91,24.83,24.87,114070
22-Jul-14,24.94,24.94,24.84,24.85,175924
21-Jul-14,24.91,24.94,24.91,24.92,23557
18-Jul-14,24.98,24.99,24.85,24.89,459328
17-Jul-14,24.98,25.04,24.88,24.94,94038
16-Jul-14,25.03,25.03,24.94,24.98,186030
15-Jul-14,25.01,25.01,24.93,24.98,66977
14-Jul-14,25.05,25.07,24.98,24.98,78965
11-Jul-14,25.04,25.05,24.99,25.02,104124
10-Jul-14,25.07,25.10,25.00,25.03,84527
9-Jul-14,25.05,25.08,25.00,25.08,173293
8-Jul-14,25.04,25.09,25.02,25.05,109995
7-Jul-14,24.97,25.04,24.95,25.04,263140
3-Jul-14,24.96,24.96,23.07,24.90,46157
2-Jul-14,24.93,24.96,24.78,24.95,186519
1-Jul-14,24.81,24.95,24.80,24.93,153431
30-Jun-14,24.95,24.95,24.80,24.80,132845
27-Jun-14,24.95,24.95,24.85,24.93,203799
26-Jun-14,24.95,24.97,24.90,24.95,254089
25-Jun-14,24.95,24.99,24.88,24.88,357639
24-Jun-14,24.95,25.00,24.75,24.95,367815
23-Jun-14,24.88,24.95,24.85,24.90,141265
20-Jun-14,24.85,24.90,24.75,24.85,129060
19-Jun-14,24.85,24.87,24.70,24.85,109997
18-Jun-14,24.77,24.84,24.70,24.80,393196
