Date,Open,High,Low,Close,Volume
31-Dec-14,5.75,5.80,5.73,5.75,210805
30-Dec-14,5.80,5.93,5.73,5.75,193839
29-Dec-14,5.83,5.86,5.77,5.85,87623
26-Dec-14,5.81,5.91,5.75,5.80,91549
24-Dec-14,5.76,5.86,5.62,5.82,91648
23-Dec-14,5.82,5.89,5.73,5.77,202730
22-Dec-14,5.82,5.91,5.73,5.77,201504
19-Dec-14,5.75,5.83,5.70,5.81,559913
18-Dec-14,5.72,5.78,5.62,5.76,248386
17-Dec-14,5.45,5.64,5.42,5.64,274585
16-Dec-14,5.49,5.63,5.42,5.46,262232
15-Dec-14,5.51,5.62,5.48,5.51,206470
12-Dec-14,5.47,5.70,5.39,5.50,240741
11-Dec-14,5.59,5.76,5.56,5.57,284185
10-Dec-14,5.72,5.80,5.55,5.56,352595
9-Dec-14,5.54,5.82,5.43,5.77,422453
8-Dec-14,5.44,5.71,5.44,5.61,531080
5-Dec-14,5.21,5.53,5.16,5.48,497136
4-Dec-14,5.13,5.28,5.13,5.21,306750
3-Dec-14,5.15,5.21,5.06,5.12,455849
2-Dec-14,4.99,5.13,4.95,5.12,157118
1-Dec-14,5.04,5.08,4.90,4.98,338775
28-Nov-14,5.07,5.18,5.01,5.07,140798
26-Nov-14,4.95,5.10,4.95,5.04,377017
25-Nov-14,5.18,5.28,4.96,4.98,333045
24-Nov-14,5.13,5.26,5.08,5.18,301922
21-Nov-14,5.39,5.39,5.09,5.10,235325
20-Nov-14,4.92,5.32,4.92,5.29,382044
19-Nov-14,5.11,5.20,4.96,4.96,304837
18-Nov-14,5.02,5.15,4.98,5.14,283728
17-Nov-14,5.23,5.55,4.97,4.97,347104
14-Nov-14,5.26,5.28,5.13,5.26,299338
13-Nov-14,5.45,5.47,5.20,5.25,293217
12-Nov-14,5.39,5.48,5.32,5.43,482317
11-Nov-14,5.34,5.50,5.28,5.43,414858
10-Nov-14,4.90,5.65,4.81,5.54,834584
7-Nov-14,4.85,4.85,4.69,4.74,376272
6-Nov-14,4.79,4.84,4.76,4.83,247369
5-Nov-14,4.80,4.85,4.74,4.78,141168
4-Nov-14,4.74,4.80,4.69,4.78,129326
3-Nov-14,4.84,4.86,4.69,4.73,189356
31-Oct-14,4.76,4.83,4.69,4.83,325858
30-Oct-14,4.56,4.64,4.45,4.62,305701
29-Oct-14,4.69,4.71,4.53,4.56,181222
28-Oct-14,4.50,4.70,4.47,4.69,307490
27-Oct-14,4.44,4.52,4.37,4.51,147212
24-Oct-14,4.50,4.50,4.41,4.44,201809
23-Oct-14,4.50,4.57,4.37,4.47,314047
22-Oct-14,4.51,4.55,4.42,4.44,248374
21-Oct-14,4.45,4.55,4.38,4.49,441084
20-Oct-14,4.27,4.46,4.26,4.44,157427
17-Oct-14,4.41,4.41,4.26,4.30,471582
16-Oct-14,4.20,4.36,4.20,4.34,365608
15-Oct-14,4.22,4.28,4.17,4.27,531016
14-Oct-14,4.37,4.39,4.24,4.26,402107
13-Oct-14,4.15,4.34,4.13,4.31,375902
10-Oct-14,4.07,4.17,4.02,4.13,461219
9-Oct-14,4.26,4.30,4.06,4.13,335237
8-Oct-14,4.25,4.34,4.17,4.28,455581
7-Oct-14,4.51,4.51,4.27,4.27,468771
6-Oct-14,4.68,4.68,4.53,4.53,237204
3-Oct-14,4.66,4.70,4.61,4.67,320366
2-Oct-14,4.62,4.66,4.56,4.62,490053
1-Oct-14,4.62,4.68,4.58,4.63,483712
30-Sep-14,4.58,4.61,4.47,4.50,468181
29-Sep-14,4.53,4.61,4.52,4.59,208281
26-Sep-14,4.57,4.61,4.53,4.61,492320
25-Sep-14,4.63,4.64,4.51,4.54,396416
24-Sep-14,4.58,4.65,4.47,4.63,391736
23-Sep-14,4.48,4.59,4.48,4.55,341417
22-Sep-14,4.61,4.61,4.45,4.51,584378
19-Sep-14,4.38,4.64,4.38,4.61,840281
18-Sep-14,4.36,4.38,4.32,4.37,328578
17-Sep-14,4.32,4.41,4.32,4.34,381253
16-Sep-14,4.30,4.37,4.27,4.30,414175
15-Sep-14,4.40,4.42,4.28,4.32,441434
12-Sep-14,4.42,4.45,4.35,4.42,274105
11-Sep-14,4.42,4.46,4.39,4.41,306643
10-Sep-14,4.40,4.46,4.39,4.45,292985
9-Sep-14,4.50,4.51,4.37,4.40,330803
8-Sep-14,4.59,4.61,4.52,4.53,533753
5-Sep-14,4.60,4.66,4.56,4.59,358783
4-Sep-14,4.59,4.66,4.59,4.61,301368
3-Sep-14,4.65,4.67,4.58,4.59,568372
2-Sep-14,4.66,4.67,4.59,4.62,413442
29-Aug-14,4.61,4.65,4.57,4.64,290206
28-Aug-14,4.58,4.65,4.53,4.58,463147
27-Aug-14,4.63,4.67,4.56,4.60,295576
26-Aug-14,4.51,4.64,4.50,4.61,514245
25-Aug-14,4.50,4.62,4.40,4.53,948955
22-Aug-14,4.55,4.55,4.42,4.49,556579
21-Aug-14,4.52,4.57,4.46,4.52,469592
20-Aug-14,4.49,4.57,4.45,4.51,386210
19-Aug-14,4.60,4.67,4.51,4.53,580718
18-Aug-14,4.82,4.85,4.61,4.62,336718
15-Aug-14,4.78,4.80,4.63,4.74,293947
14-Aug-14,4.73,4.81,4.69,4.73,164488
13-Aug-14,4.75,4.90,4.73,4.75,556621
12-Aug-14,5.02,5.03,4.74,4.76,334402
11-Aug-14,5.15,5.15,5.00,5.04,344580
8-Aug-14,5.00,5.18,4.91,5.14,754143
7-Aug-14,5.03,5.25,4.96,5.01,563007
6-Aug-14,5.40,5.62,4.16,5.02,4184371
5-Aug-14,5.72,5.96,5.66,5.84,1356605
4-Aug-14,5.65,5.77,5.65,5.74,463200
1-Aug-14,5.73,5.82,5.61,5.65,410089
