Date,Open,High,Low,Close,Volume
31-Dec-14,2.77,2.80,2.76,2.77,184881
30-Dec-14,2.78,2.83,2.78,2.79,120140
29-Dec-14,2.82,2.84,2.77,2.80,202783
26-Dec-14,2.80,2.86,2.80,2.82,193857
24-Dec-14,2.80,2.88,2.80,2.80,206152
23-Dec-14,2.85,2.85,2.80,2.80,244947
22-Dec-14,2.82,2.85,2.77,2.84,113331
19-Dec-14,2.83,2.85,2.81,2.84,329996
18-Dec-14,2.86,2.86,2.79,2.85,185070
17-Dec-14,2.75,2.86,2.74,2.83,255056
16-Dec-14,2.70,2.85,2.67,2.77,226070
15-Dec-14,2.87,2.93,2.69,2.72,369786
12-Dec-14,2.79,2.96,2.78,2.86,184722
11-Dec-14,2.73,2.88,2.73,2.85,228228
10-Dec-14,2.89,2.93,2.75,2.78,223333
9-Dec-14,2.90,2.95,2.81,2.91,438182
8-Dec-14,2.93,2.95,2.76,2.86,219022
5-Dec-14,2.81,2.97,2.81,2.89,277424
4-Dec-14,2.73,2.85,2.68,2.81,214644
3-Dec-14,2.74,2.84,2.65,2.74,149595
2-Dec-14,2.64,2.80,2.64,2.75,211758
1-Dec-14,2.74,2.74,2.61,2.62,199490
28-Nov-14,2.79,2.88,2.72,2.73,117306
26-Nov-14,2.81,2.87,2.77,2.81,150459
25-Nov-14,2.79,2.83,2.74,2.80,211938
24-Nov-14,2.71,2.83,2.65,2.80,242961
21-Nov-14,2.80,2.99,2.65,2.71,506659
20-Nov-14,2.57,2.77,2.54,2.75,334603
19-Nov-14,2.64,2.64,2.49,2.59,198903
18-Nov-14,2.61,2.66,2.57,2.64,132505
17-Nov-14,2.64,2.71,2.58,2.59,106176
14-Nov-14,2.69,2.71,2.61,2.65,185114
13-Nov-14,2.72,2.74,2.65,2.69,288755
12-Nov-14,2.73,2.74,2.61,2.69,383420
11-Nov-14,2.70,2.80,2.60,2.69,688836
10-Nov-14,2.45,2.53,2.40,2.50,399624
7-Nov-14,2.31,2.44,2.28,2.43,122496
6-Nov-14,2.34,2.37,2.28,2.33,137553
5-Nov-14,2.36,2.39,2.25,2.33,120993
4-Nov-14,2.34,2.39,2.30,2.34,86651
3-Nov-14,2.45,2.45,2.31,2.38,108145
31-Oct-14,2.45,2.45,2.33,2.44,234213
30-Oct-14,2.32,2.40,2.26,2.40,153608
29-Oct-14,2.30,2.31,2.18,2.31,113316
28-Oct-14,2.20,2.30,2.11,2.29,195852
27-Oct-14,2.19,2.21,2.15,2.19,71975
24-Oct-14,2.22,2.25,2.13,2.21,216119
23-Oct-14,2.23,2.29,2.20,2.23,103349
22-Oct-14,2.29,2.30,2.20,2.21,160639
21-Oct-14,2.33,2.40,2.24,2.29,147483
20-Oct-14,2.25,2.36,2.21,2.32,155300
17-Oct-14,2.42,2.42,2.27,2.28,139875
16-Oct-14,2.36,2.39,2.27,2.37,296309
15-Oct-14,2.22,2.41,2.21,2.40,313215
14-Oct-14,2.31,2.33,2.20,2.29,267839
13-Oct-14,2.20,2.30,2.19,2.29,170692
10-Oct-14,2.20,2.27,2.18,2.21,158878
9-Oct-14,2.24,2.28,2.20,2.23,178906
8-Oct-14,2.20,2.28,2.13,2.25,190857
7-Oct-14,2.27,2.32,2.21,2.21,107979
6-Oct-14,2.39,2.39,2.24,2.28,137779
3-Oct-14,2.35,2.40,2.31,2.37,130841
2-Oct-14,2.24,2.31,2.21,2.31,252162
1-Oct-14,2.32,2.34,2.25,2.25,244730
30-Sep-14,2.32,2.38,2.30,2.34,365555
29-Sep-14,2.35,2.37,2.31,2.34,152007
26-Sep-14,2.34,2.41,2.30,2.34,186298
25-Sep-14,2.41,2.41,2.30,2.34,294051
24-Sep-14,2.46,2.47,2.40,2.43,210342
23-Sep-14,2.46,2.54,2.42,2.44,186593
22-Sep-14,2.54,2.55,2.45,2.48,185447
19-Sep-14,2.56,2.62,2.40,2.57,703142
18-Sep-14,2.45,2.54,2.44,2.52,283675
17-Sep-14,2.45,2.54,2.40,2.44,216343
16-Sep-14,2.43,2.52,2.41,2.46,256982
15-Sep-14,2.50,2.53,2.44,2.45,232743
12-Sep-14,2.39,2.54,2.35,2.48,447686
11-Sep-14,2.40,2.41,2.29,2.38,299832
10-Sep-14,2.22,2.46,2.16,2.41,530278
9-Sep-14,2.25,2.27,2.20,2.21,189955
8-Sep-14,2.29,2.33,2.22,2.25,233740
5-Sep-14,2.28,2.30,2.25,2.28,121318
4-Sep-14,2.29,2.40,2.27,2.30,340727
3-Sep-14,2.34,2.35,2.25,2.27,349992
2-Sep-14,2.39,2.40,2.26,2.30,411552
29-Aug-14,2.37,2.43,2.28,2.37,352463
28-Aug-14,2.29,2.37,2.27,2.35,443612
27-Aug-14,2.28,2.32,2.24,2.29,209661
26-Aug-14,2.26,2.30,2.21,2.26,348199
25-Aug-14,2.27,2.34,2.23,2.26,283786
22-Aug-14,2.34,2.34,2.28,2.28,118934
21-Aug-14,2.32,2.35,2.29,2.33,172499
20-Aug-14,2.37,2.37,2.29,2.33,136288
19-Aug-14,2.40,2.44,2.34,2.36,144074
18-Aug-14,2.38,2.43,2.36,2.41,148525
15-Aug-14,2.45,2.47,2.34,2.36,305983
14-Aug-14,2.42,2.51,2.39,2.41,146535
13-Aug-14,2.48,2.52,2.41,2.42,198598
12-Aug-14,2.46,2.52,2.46,2.46,174717
11-Aug-14,2.57,2.59,2.50,2.55,137766
8-Aug-14,2.50,2.57,2.47,2.57,179295
7-Aug-14,2.50,2.56,2.50,2.51,133064
6-Aug-14,2.56,2.58,2.49,2.50,144936
5-Aug-14,2.53,2.64,2.36,2.57,657304
4-Aug-14,2.49,2.57,2.47,2.52,304810
1-Aug-14,2.59,2.64,2.45,2.49,306984
31-Jul-14,2.62,2.64,2.57,2.57,198271
30-Jul-14,2.63,2.70,2.57,2.65,139246
29-Jul-14,2.70,2.74,2.61,2.62,141904
28-Jul-14,2.62,2.81,2.62,2.70,357588
25-Jul-14,2.74,2.78,2.56,2.65,468981
24-Jul-14,2.68,2.80,2.68,2.78,267017
23-Jul-14,2.76,2.88,2.56,2.78,296441
22-Jul-14,2.89,2.92,2.82,2.87,250996
21-Jul-14,2.89,2.92,2.82,2.88,130113
18-Jul-14,2.80,2.91,2.71,2.90,269616
17-Jul-14,2.89,2.95,2.81,2.81,211952
16-Jul-14,2.88,2.98,2.85,2.90,366203
15-Jul-14,2.91,2.91,2.81,2.84,242490
14-Jul-14,2.89,2.94,2.89,2.90,171605
11-Jul-14,2.83,2.89,2.83,2.87,195254
10-Jul-14,2.76,2.89,2.75,2.82,260521
9-Jul-14,2.86,2.93,2.84,2.85,275665
8-Jul-14,2.96,2.96,2.81,2.86,459382
7-Jul-14,3.10,3.12,2.92,2.95,440953
3-Jul-14,3.08,3.12,3.04,3.10,125528
2-Jul-14,3.06,3.15,3.02,3.09,360705
1-Jul-14,3.06,3.10,3.02,3.06,494463
30-Jun-14,3.00,3.10,2.95,3.06,648011
27-Jun-14,3.00,3.07,3.00,3.02,519675
26-Jun-14,3.04,3.06,2.97,3.03,262721
25-Jun-14,2.87,3.01,2.87,3.01,473072
24-Jun-14,3.03,3.07,2.91,2.91,366477
23-Jun-14,3.00,3.07,2.97,3.03,351009
20-Jun-14,2.94,3.00,2.94,2.99,386665
19-Jun-14,3.00,3.04,2.92,2.99,397394
18-Jun-14,2.96,3.24,2.90,2.98,823069
17-Jun-14,2.93,3.10,2.85,2.98,738112
16-Jun-14,3.07,3.25,2.97,2.98,2174373
13-Jun-14,2.90,2.90,2.75,2.83,630803
12-Jun-14,3.00,3.00,2.90,2.92,423948
11-Jun-14,3.00,3.04,2.92,2.98,497293
10-Jun-14,2.96,3.09,2.88,3.02,1102370
9-Jun-14,2.88,3.19,2.84,2.96,2160179
6-Jun-14,2.67,2.92,2.65,2.88,1498704
5-Jun-14,2.54,2.69,2.53,2.69,975811
4-Jun-14,2.35,2.54,2.33,2.50,1013815
3-Jun-14,2.31,2.44,2.18,2.37,1338992
2-Jun-14,2.18,2.35,2.12,2.32,752337
30-May-14,2.31,2.31,2.16,2.18,144212
29-May-14,2.30,2.30,2.22,2.30,231081
28-May-14,2.29,2.29,2.21,2.29,180467
27-May-14,2.20,2.27,2.18,2.27,300074
23-May-14,2.17,2.17,2.13,2.17,173045
22-May-14,2.13,2.15,2.11,2.13,117374
21-May-14,2.12,2.15,2.10,2.14,254256
20-May-14,2.12,2.17,2.10,2.10,241522
19-May-14,2.09,2.17,2.09,2.14,213977
16-May-14,2.06,2.10,2.03,2.09,210143
15-May-14,2.06,2.10,2.02,2.07,228808
14-May-14,2.09,2.13,2.04,2.08,214834
13-May-14,2.11,2.13,2.07,2.08,226185
12-May-14,2.04,2.13,2.00,2.11,283480
9-May-14,1.92,2.05,1.92,2.04,226976
8-May-14,1.93,1.99,1.92,1.94,272588
7-May-14,1.99,2.03,1.91,1.92,534509
