Date,Open,High,Low,Close,Volume
31-Dec-14,35.79,35.79,35.79,35.79,147
18-Dec-14,34.74,34.76,34.74,34.76,625
17-Dec-14,33.90,33.90,33.90,33.90,206
16-Dec-14,34.20,34.20,33.61,33.61,3843
15-Dec-14,34.56,34.56,34.56,34.56,391
9-Dec-14,34.56,39.89,34.56,39.89,1137
1-Dec-14,40.99,45.09,39.30,39.30,3033
25-Nov-14,37.58,37.58,37.50,37.50,500
18-Nov-14,37.20,37.20,37.20,37.20,235
17-Nov-14,37.11,37.17,37.11,37.17,364
14-Nov-14,40.45,40.45,37.62,38.75,6379
13-Nov-14,40.40,41.14,36.93,38.50,31604
4-Nov-14,48.07,48.54,48.07,48.54,452
3-Nov-14,48.50,48.50,48.50,48.50,100
28-Oct-14,46.32,48.21,46.32,46.78,740
22-Oct-14,47.50,47.50,47.45,47.50,300
8-Oct-14,47.81,47.81,47.81,47.81,300
2-Oct-14,47.69,47.69,46.20,46.20,418
1-Oct-14,48.06,48.06,46.57,46.67,608
30-Sep-14,47.08,48.00,47.08,48.00,1704
25-Sep-14,47.75,47.75,47.75,47.75,500
23-Sep-14,47.16,47.16,46.51,46.51,400
22-Sep-14,55.03,55.03,49.61,49.62,676
19-Sep-14,49.51,49.51,49.51,49.51,200
15-Sep-14,48.86,48.86,48.86,48.86,100
11-Sep-14,50.26,50.50,49.50,50.50,459
10-Sep-14,49.01,49.01,49.01,49.01,100
8-Sep-14,49.38,49.38,49.23,49.34,1742
3-Sep-14,50.56,50.56,50.56,50.56,301
2-Sep-14,49.91,49.91,49.91,49.91,130
27-Aug-14,49.23,49.23,49.23,49.23,150
25-Aug-14,49.13,49.13,49.13,49.13,184
21-Aug-14,49.53,49.53,49.53,49.53,150
15-Aug-14,49.14,50.68,49.14,49.38,1100
12-Aug-14,46.78,46.78,46.78,46.78,378
7-Aug-14,46.50,48.24,46.25,48.24,400
5-Aug-14,48.22,48.22,48.22,48.22,175
4-Aug-14,46.91,48.04,46.91,47.12,911
31-Jul-14,49.44,49.44,48.20,48.20,739
30-Jul-14,49.00,49.00,49.00,49.00,100
25-Jul-14,49.36,49.36,49.36,49.36,400
24-Jul-14,51.88,51.88,49.01,49.99,3779
22-Jul-14,143.00,143.00,143.00,143.00,100
17-Jul-14,140.05,141.55,140.05,141.55,354
16-Jul-14,139.45,141.10,139.41,141.10,1400
15-Jul-14,138.00,138.67,138.00,138.57,375
11-Jul-14,137.27,137.30,137.27,137.30,500
8-Jul-14,137.49,137.49,136.95,137.49,800
7-Jul-14,140.00,140.00,140.00,140.00,313
3-Jul-14,140.00,140.00,140.00,140.00,222
2-Jul-14,141.64,141.64,141.64,141.64,100
1-Jul-14,137.92,137.92,137.15,137.15,200
30-Jun-14,135.12,137.67,135.12,136.53,808
25-Jun-14,136.28,136.28,134.27,134.27,300
24-Jun-14,134.69,134.69,134.53,134.56,1301
20-Jun-14,133.46,133.46,133.46,133.46,198
19-Jun-14,134.07,134.07,134.07,134.07,1000
18-Jun-14,132.35,134.01,132.35,134.01,1800
17-Jun-14,130.22,130.22,130.22,130.22,100
16-Jun-14,130.24,131.05,130.24,131.05,1140
13-Jun-14,132.11,132.11,130.72,130.98,1978
6-Jun-14,130.73,130.73,130.73,130.73,100
5-Jun-14,130.47,130.47,130.47,130.47,440
19-May-14,124.12,124.12,124.12,124.12,200
13-May-14,130.75,130.75,128.52,128.52,706
2-May-14,131.20,131.24,131.20,131.24,301
16-Apr-14,125.23,126.41,125.23,126.38,618
9-Apr-14,125.74,125.74,125.74,125.74,130
8-Apr-14,123.23,123.44,123.23,123.44,201
2-Apr-14,132.00,133.68,132.00,133.68,450
31-Mar-14,129.75,131.03,129.07,131.03,841
24-Mar-14,136.72,136.74,136.69,136.74,742
21-Mar-14,138.04,138.04,138.04,138.04,633
14-Mar-14,136.97,137.55,135.32,135.34,6819
13-Mar-14,126.50,126.50,126.50,126.50,101
12-Mar-14,128.41,128.41,128.17,128.17,262
11-Mar-14,130.51,130.65,130.51,130.65,201
10-Mar-14,131.98,131.98,131.98,131.98,104
7-Mar-14,133.34,133.34,133.34,133.34,170
5-Mar-14,135.77,135.77,135.77,135.77,137
4-Mar-14,137.05,138.50,137.05,138.50,300
3-Mar-14,135.41,135.41,135.41,135.41,100
28-Feb-14,136.52,136.52,136.52,136.52,100
27-Feb-14,135.49,135.49,135.45,135.45,1100
21-Feb-14,135.79,135.79,135.79,135.79,235
18-Feb-14,134.94,136.51,134.84,134.84,300
14-Feb-14,136.80,136.80,136.05,136.05,200
13-Feb-14,130.15,131.38,129.99,131.38,600
7-Feb-14,128.86,128.86,128.52,128.86,309
4-Feb-14,128.62,128.62,128.62,128.62,242
29-Jan-14,133.06,133.06,133.06,133.06,151
28-Jan-14,134.60,134.60,134.60,134.60,100
23-Jan-14,136.62,136.62,136.62,136.62,101
15-Jan-14,136.23,136.23,136.23,136.23,490
14-Jan-14,134.96,134.96,134.96,134.96,178
10-Jan-14,137.77,137.77,137.74,137.74,284
9-Jan-14,139.16,139.21,139.16,139.21,443
8-Jan-14,141.27,141.78,141.27,141.78,260
7-Jan-14,141.24,142.69,141.20,142.69,752
3-Jan-14,145.35,145.35,145.35,145.35,227
31-Dec-13,146.21,146.21,146.05,146.05,202
30-Dec-13,146.87,146.87,146.87,146.87,100
26-Dec-13,144.57,144.57,144.57,144.57,100
23-Dec-13,146.11,146.11,144.43,144.43,465
19-Dec-13,142.69,142.69,142.69,142.69,277
17-Dec-13,145.78,145.78,145.78,145.78,111
16-Dec-13,147.97,147.97,147.97,147.97,100
10-Dec-13,150.44,150.48,150.44,150.48,702
6-Dec-13,148.08,149.29,148.08,149.28,1200
5-Dec-13,147.23,147.23,146.10,146.10,1100
4-Dec-13,149.17,149.17,149.17,149.17,100
3-Dec-13,153.74,153.74,152.05,152.05,700
2-Dec-13,152.13,153.70,152.13,153.70,400
27-Nov-13,154.29,154.29,154.29,154.29,101
26-Nov-13,151.58,154.33,151.58,154.33,200
25-Nov-13,150.65,151.82,150.65,151.82,400
22-Nov-13,146.33,149.80,146.33,149.80,200
21-Nov-13,145.59,145.59,144.82,144.82,200
20-Nov-13,144.51,144.51,144.51,144.51,100
19-Nov-13,146.98,146.98,146.98,146.98,100
18-Nov-13,151.50,151.50,150.64,150.64,400
15-Nov-13,150.32,150.34,150.25,150.25,300
13-Nov-13,148.17,148.17,148.17,148.17,100
12-Nov-13,147.59,147.59,147.59,147.59,100
11-Nov-13,148.22,148.22,148.22,148.22,100
8-Nov-13,149.04,149.49,149.04,149.49,300
7-Nov-13,148.59,148.59,148.56,148.56,300
31-Oct-13,150.77,150.77,150.77,150.77,200
16-Oct-13,153.54,153.54,153.54,153.54,100
15-Oct-13,148.22,148.22,147.84,147.84,275
7-Oct-13,148.10,148.10,148.10,148.10,170
27-Sep-13,150.50,150.50,150.50,150.50,100
26-Sep-13,147.33,147.33,147.33,147.33,100
24-Sep-13,146.67,146.67,146.67,146.67,100
23-Sep-13,145.91,145.91,145.91,145.91,100
20-Sep-13,149.20,149.27,149.19,149.27,400
13-Sep-13,145.45,145.50,145.45,145.50,400
12-Sep-13,143.96,143.96,143.96,143.96,100
10-Sep-13,145.08,145.08,145.08,145.08,100
9-Sep-13,144.83,144.83,144.83,144.83,100
5-Sep-13,144.35,144.35,144.35,144.35,100
3-Sep-13,138.91,140.01,138.91,140.01,300
28-Aug-13,136.31,136.31,136.31,136.31,140
12-Aug-13,144.66,144.66,144.66,144.66,100
9-Aug-13,144.49,144.49,144.49,144.49,100
8-Aug-13,144.78,144.78,144.78,144.78,100
6-Aug-13,144.44,144.44,143.48,143.48,200
25-Jul-13,141.38,141.38,141.38,141.38,100
24-Jul-13,142.15,142.15,142.15,142.15,100
23-Jul-13,141.96,141.96,141.96,141.96,100
22-Jul-13,141.91,141.91,141.91,141.91,100
19-Jul-13,140.85,140.97,140.82,140.82,400
18-Jul-13,138.49,138.77,138.49,138.77,200
17-Jul-13,138.16,138.16,137.44,137.57,500
16-Jul-13,138.10,138.79,137.38,138.79,1600
12-Jul-13,136.87,136.87,136.86,136.87,300
9-Jul-13,131.26,134.45,131.26,134.35,1425
8-Jul-13,131.59,131.59,131.59,131.59,100
5-Jul-13,129.72,129.72,129.72,129.72,100
2-Jul-13,129.65,129.65,129.65,129.65,100
1-Jul-13,127.33,127.33,127.33,127.33,100
24-Jun-13,123.36,123.36,122.04,122.04,200
21-Jun-13,123.71,124.50,123.71,124.50,653
17-May-13,125.87,125.87,125.87,125.87,100
13-May-13,121.26,121.26,121.26,121.26,103
8-May-13,121.13,121.32,120.12,121.32,900
26-Apr-13,110.50,111.50,109.96,111.07,620
24-Apr-13,110.25,110.25,110.25,110.25,378
22-Apr-13,108.55,108.55,108.55,108.55,300
16-Apr-13,108.04,108.04,108.04,108.04,543
15-Apr-13,107.88,108.71,107.87,108.71,450
12-Apr-13,112.49,112.49,112.49,112.49,200
3-Apr-13,110.34,110.39,108.78,109.21,500
5-Mar-13,111.04,111.45,110.77,110.77,474
25-Feb-13,106.21,107.54,106.09,107.54,400
21-Feb-13,107.07,107.07,106.81,106.81,525
5-Feb-13,111.05,111.13,110.35,111.13,600
1-Feb-13,112.21,112.21,112.21,112.21,100
29-Jan-13,110.78,110.78,110.78,110.78,100
24-Jan-13,109.33,109.33,109.33,109.33,100
