Date,Open,High,Low,Close,Volume
31-Dec-14,14.24,14.32,13.79,13.81,81817
30-Dec-14,14.17,14.44,14.11,14.13,31108
29-Dec-14,14.25,14.58,14.11,14.23,97198
26-Dec-14,14.04,14.34,13.99,14.20,38726
24-Dec-14,14.19,14.25,13.93,13.96,27765
23-Dec-14,13.69,14.23,13.59,14.11,80293
22-Dec-14,13.01,13.68,13.01,13.60,172062
19-Dec-14,14.64,14.64,13.00,13.00,898295
18-Dec-14,14.44,14.73,14.25,14.68,139079
17-Dec-14,14.00,14.48,13.86,14.44,102049
16-Dec-14,13.49,14.00,13.42,13.87,196940
15-Dec-14,13.67,13.87,13.34,13.51,60217
12-Dec-14,13.58,13.88,13.44,13.56,58404
11-Dec-14,13.80,13.97,13.70,13.79,124071
10-Dec-14,13.92,13.92,13.58,13.70,68030
9-Dec-14,13.58,14.00,13.50,14.00,64802
8-Dec-14,13.95,14.06,13.72,13.74,73517
5-Dec-14,13.76,14.04,13.75,13.96,68704
4-Dec-14,13.49,13.89,13.49,13.76,106291
3-Dec-14,13.15,13.63,13.13,13.48,101327
2-Dec-14,13.06,13.45,13.03,13.14,92985
1-Dec-14,13.15,13.30,12.93,13.09,62648
28-Nov-14,13.40,13.48,13.10,13.14,32249
26-Nov-14,13.24,13.49,13.23,13.37,62698
25-Nov-14,13.41,13.49,13.19,13.20,49067
24-Nov-14,13.27,13.42,13.16,13.35,57026
21-Nov-14,13.64,13.64,13.22,13.27,86013
20-Nov-14,13.35,13.50,13.30,13.43,62698
19-Nov-14,13.45,13.57,13.05,13.36,89524
18-Nov-14,13.24,13.47,13.24,13.45,89633
17-Nov-14,13.29,13.37,13.13,13.20,47510
14-Nov-14,13.20,13.39,13.13,13.26,42789
13-Nov-14,13.47,13.54,13.20,13.23,157483
12-Nov-14,13.38,13.50,13.30,13.45,126726
11-Nov-14,13.14,13.45,13.08,13.42,80088
10-Nov-14,12.98,13.18,12.88,13.16,108652
7-Nov-14,12.98,13.24,12.87,12.97,85757
6-Nov-14,12.71,13.25,12.69,13.09,109821
5-Nov-14,12.71,12.74,12.51,12.71,99345
4-Nov-14,12.64,12.88,12.59,12.66,71487
3-Nov-14,12.60,12.75,12.52,12.72,84588
31-Oct-14,12.76,12.80,12.44,12.59,129483
30-Oct-14,12.31,12.62,12.26,12.50,92755
29-Oct-14,12.35,12.44,12.11,12.33,141678
28-Oct-14,12.01,12.45,11.99,12.28,136465
27-Oct-14,12.01,12.15,11.78,11.90,57861
24-Oct-14,12.06,12.24,11.90,12.05,108882
23-Oct-14,12.05,12.19,11.13,12.03,83853
22-Oct-14,12.00,12.11,11.79,11.88,107821
21-Oct-14,11.95,12.15,11.66,11.96,57164
20-Oct-14,11.79,12.29,11.75,11.92,88621
17-Oct-14,12.03,12.04,11.47,11.80,233519
16-Oct-14,11.79,12.19,11.67,11.88,177326
15-Oct-14,11.39,12.00,11.20,11.94,366999
14-Oct-14,11.62,11.66,11.33,11.45,486135
13-Oct-14,11.14,11.43,11.10,11.40,257457
10-Oct-14,11.08,11.32,10.97,11.15,362690
9-Oct-14,11.33,11.39,10.75,11.14,504601
8-Oct-14,11.30,11.62,11.20,11.54,575481
7-Oct-14,11.67,11.85,11.29,11.32,174788
6-Oct-14,11.92,12.30,11.78,11.78,68392
3-Oct-14,12.23,12.25,11.90,11.93,81875
2-Oct-14,11.89,12.09,11.68,12.03,127456
1-Oct-14,12.21,12.32,11.86,11.91,155489
30-Sep-14,12.40,12.51,12.20,12.25,144163
29-Sep-14,12.36,12.50,12.30,12.35,45390
26-Sep-14,12.26,12.57,12.26,12.51,58928
25-Sep-14,12.71,12.86,12.21,12.26,77431
24-Sep-14,12.35,12.86,12.35,12.78,117475
23-Sep-14,12.53,12.58,12.25,12.28,215972
22-Sep-14,12.43,12.60,12.36,12.53,110924
19-Sep-14,12.65,12.71,12.40,12.52,253089
18-Sep-14,12.63,12.75,12.58,12.64,42175
17-Sep-14,12.59,12.64,12.50,12.58,63357
16-Sep-14,12.51,12.77,12.46,12.51,58541
15-Sep-14,12.89,12.89,12.55,12.57,42248
12-Sep-14,12.83,12.95,12.54,12.80,104657
11-Sep-14,12.66,12.89,12.66,12.80,96859
10-Sep-14,12.87,12.90,12.63,12.75,67928
9-Sep-14,12.90,13.03,12.73,12.90,248726
8-Sep-14,12.88,13.03,12.73,12.94,103875
5-Sep-14,12.87,12.97,12.81,12.93,71759
4-Sep-14,13.11,13.16,12.80,12.85,90012
3-Sep-14,13.15,13.18,13.09,13.09,135473
2-Sep-14,13.24,13.24,13.00,13.15,135237
29-Aug-14,13.09,13.16,12.95,13.13,66458
28-Aug-14,13.02,13.15,12.95,13.10,70449
27-Aug-14,13.12,13.23,12.97,13.11,53086
26-Aug-14,13.10,13.22,13.10,13.14,80314
25-Aug-14,12.99,13.26,12.98,13.14,161593
22-Aug-14,12.75,12.94,12.62,12.91,273208
21-Aug-14,12.26,13.00,12.12,12.81,949121
20-Aug-14,12.25,12.25,12.11,12.24,79408
19-Aug-14,12.22,12.28,12.22,12.25,58305
18-Aug-14,12.28,12.28,12.18,12.25,78111
15-Aug-14,12.22,12.25,11.98,12.25,92729
14-Aug-14,12.06,12.21,12.01,12.05,45296
13-Aug-14,12.16,12.29,12.03,12.08,66648
12-Aug-14,12.14,12.20,12.07,12.16,48960
11-Aug-14,12.25,12.25,12.19,12.20,71287
