Date,Open,High,Low,Close,Volume
31-Dec-14,17.97,18.00,17.56,17.94,6243
30-Dec-14,18.24,18.35,17.31,18.06,17060
29-Dec-14,17.32,18.50,17.20,18.49,25100
26-Dec-14,17.75,17.98,17.52,17.79,8768
24-Dec-14,18.20,18.20,17.76,18.00,18305
23-Dec-14,17.99,18.27,17.82,18.25,22089
22-Dec-14,18.50,18.50,17.63,17.86,33572
19-Dec-14,17.73,18.50,17.70,18.50,117296
18-Dec-14,17.95,18.00,17.72,18.00,25880
17-Dec-14,17.84,18.00,17.60,17.97,20795
16-Dec-14,17.61,18.00,17.61,17.93,25068
15-Dec-14,17.58,17.85,17.30,17.80,36916
12-Dec-14,17.27,17.75,17.20,17.39,61732
11-Dec-14,17.25,17.75,17.18,17.19,14548
10-Dec-14,17.10,17.50,17.10,17.49,27885
9-Dec-14,17.63,17.63,17.06,17.22,17421
8-Dec-14,17.73,17.77,17.42,17.75,15818
5-Dec-14,17.36,17.93,17.30,17.70,48116
4-Dec-14,17.66,17.89,17.49,17.58,24404
3-Dec-14,17.70,17.82,17.16,17.57,115859
2-Dec-14,17.28,17.94,17.05,17.86,102020
1-Dec-14,17.60,17.60,17.10,17.25,119769
28-Nov-14,18.53,18.57,17.53,17.90,36849
26-Nov-14,18.20,18.85,17.77,18.85,15490
25-Nov-14,18.67,18.67,18.05,18.58,7183
24-Nov-14,18.18,19.00,17.23,18.60,53529
21-Nov-14,18.10,18.30,17.90,18.11,35483
20-Nov-14,18.00,18.10,17.69,18.01,20829
19-Nov-14,18.00,18.30,17.50,18.00,140719
18-Nov-14,17.00,17.76,17.00,17.71,30002
17-Nov-14,17.32,17.94,17.12,17.49,39145
14-Nov-14,17.55,17.81,17.05,17.63,40330
13-Nov-14,17.45,18.03,16.75,17.72,690341
12-Nov-14,18.19,18.37,16.90,18.00,26234
11-Nov-14,18.68,18.80,18.04,18.13,4764
10-Nov-14,18.55,18.57,18.10,18.31,2349
7-Nov-14,18.63,18.88,18.16,18.50,20562
6-Nov-14,18.16,18.18,18.15,18.18,1104
5-Nov-14,18.82,18.86,18.02,18.34,24166
4-Nov-14,19.00,19.78,18.18,18.18,13426
3-Nov-14,19.32,19.55,19.10,19.11,7282
31-Oct-14,19.64,19.65,19.40,19.40,2827
30-Oct-14,19.22,19.55,19.06,19.55,4094
29-Oct-14,19.00,19.55,19.00,19.40,3823
28-Oct-14,19.40,19.67,19.00,19.00,7002
27-Oct-14,19.36,19.79,19.36,19.74,4791
24-Oct-14,19.66,19.99,19.05,19.44,11289
23-Oct-14,20.00,20.16,19.71,19.82,1487
22-Oct-14,19.73,19.99,19.51,19.99,7709
21-Oct-14,19.80,19.97,19.39,19.83,4151
20-Oct-14,19.88,19.88,19.17,19.53,12258
17-Oct-14,20.20,20.21,19.35,19.99,8470
16-Oct-14,19.50,20.15,19.39,19.70,11840
15-Oct-14,20.18,20.72,18.88,18.88,14776
14-Oct-14,19.63,20.99,18.83,20.79,51581
13-Oct-14,19.23,19.97,18.25,19.74,26947
10-Oct-14,20.08,20.08,19.12,19.29,10551
9-Oct-14,19.43,20.30,19.43,20.08,29499
8-Oct-14,18.60,20.00,18.18,19.79,96634
7-Oct-14,18.73,18.99,18.40,18.40,3541
6-Oct-14,18.78,19.00,18.48,19.00,15046
3-Oct-14,18.99,19.23,18.50,18.77,13022
2-Oct-14,20.25,20.28,18.35,18.35,35033
1-Oct-14,20.50,20.50,18.87,18.88,25555
30-Sep-14,18.84,21.00,18.64,20.58,87383
29-Sep-14,18.83,18.87,18.60,18.82,8648
26-Sep-14,19.37,19.72,18.83,19.03,10302
25-Sep-14,19.41,19.42,18.84,19.02,26048
24-Sep-14,18.26,19.79,18.25,19.26,31508
23-Sep-14,18.21,18.70,18.21,18.41,11973
22-Sep-14,17.90,18.85,17.64,18.66,57716
19-Sep-14,17.80,18.02,17.79,18.00,10842
18-Sep-14,17.60,18.02,17.58,17.66,8621
17-Sep-14,17.96,18.09,17.42,17.62,6692
16-Sep-14,17.77,17.90,17.50,17.90,29892
15-Sep-14,17.56,18.00,17.43,17.51,21580
12-Sep-14,17.80,17.89,17.35,17.57,2430
11-Sep-14,17.87,18.00,17.35,17.40,13332
10-Sep-14,18.10,18.10,17.48,17.74,8190
9-Sep-14,18.21,18.41,18.00,18.01,9838
8-Sep-14,18.04,18.50,18.04,18.49,4183
5-Sep-14,17.80,18.55,17.37,18.40,13653
4-Sep-14,17.96,18.40,17.80,18.39,86005
3-Sep-14,17.62,18.00,17.62,17.88,20648
2-Sep-14,17.36,17.89,17.36,17.76,22346
29-Aug-14,17.52,17.52,17.44,17.51,2760
28-Aug-14,17.68,17.86,17.50,17.51,8308
27-Aug-14,18.05,18.05,17.64,17.77,8404
26-Aug-14,18.01,18.05,17.95,18.01,21799
25-Aug-14,18.10,18.10,17.69,18.00,13699
22-Aug-14,18.10,18.25,18.00,18.03,17751
21-Aug-14,17.88,18.09,17.88,18.05,12173
20-Aug-14,18.15,18.25,17.96,17.96,16267
19-Aug-14,18.21,18.32,18.21,18.25,14926
18-Aug-14,18.18,18.33,18.10,18.10,30677
15-Aug-14,18.20,18.20,17.94,18.10,17514
14-Aug-14,17.90,18.16,17.90,18.04,11615
13-Aug-14,18.00,18.20,17.88,18.09,63700
12-Aug-14,18.10,18.33,17.88,18.05,56630
11-Aug-14,17.04,18.20,17.04,18.04,110472
8-Aug-14,18.50,18.98,17.18,17.69,70121
7-Aug-14,19.50,19.50,16.87,18.14,130068
6-Aug-14,19.54,19.65,19.01,19.56,7859
5-Aug-14,19.06,19.81,19.06,19.22,12893
4-Aug-14,19.31,19.54,19.00,19.54,14496
1-Aug-14,19.31,19.43,19.04,19.26,5330
31-Jul-14,19.49,19.66,18.90,19.27,6689
30-Jul-14,19.81,19.94,19.64,19.90,9416
29-Jul-14,20.25,20.33,19.90,20.19,3742
28-Jul-14,19.84,20.34,19.68,20.14,8680
25-Jul-14,19.90,20.21,19.50,20.10,15771
24-Jul-14,19.97,19.99,19.21,19.80,11083
23-Jul-14,20.34,20.60,20.15,20.15,6703
