Date,Open,High,Low,Close,Volume
31-Dec-14,12.21,12.21,11.58,11.75,15823
30-Dec-14,13.39,13.50,12.01,12.06,21666
29-Dec-14,13.50,13.50,13.00,13.17,14130
26-Dec-14,13.66,14.92,13.12,13.33,19189
24-Dec-14,13.36,13.86,13.20,13.50,16729
23-Dec-14,14.51,14.64,13.00,13.44,27882
22-Dec-14,13.88,14.39,13.23,14.37,21475
19-Dec-14,13.73,14.36,13.10,13.67,134810
18-Dec-14,13.13,14.05,12.90,13.79,51157
17-Dec-14,12.52,13.06,12.09,13.00,27878
16-Dec-14,11.58,12.20,11.41,12.18,19686
15-Dec-14,11.37,11.79,11.07,11.64,34278
12-Dec-14,11.93,12.80,11.01,11.13,134786
11-Dec-14,11.44,12.27,11.44,12.05,56001
10-Dec-14,11.30,11.95,11.30,11.31,24587
9-Dec-14,10.99,11.55,10.99,11.03,31352
8-Dec-14,10.82,11.29,10.72,10.89,22514
5-Dec-14,10.34,10.89,10.16,10.80,59981
4-Dec-14,10.20,10.34,10.20,10.29,25237
3-Dec-14,10.13,10.30,10.00,10.14,28253
2-Dec-14,10.12,10.38,10.00,10.08,23698
1-Dec-14,10.36,10.52,10.01,10.01,40591
28-Nov-14,10.38,10.67,10.30,10.30,6388
26-Nov-14,10.04,10.40,10.04,10.37,5751
25-Nov-14,10.57,10.57,10.05,10.20,50821
24-Nov-14,10.64,10.86,10.40,10.53,28291
21-Nov-14,10.99,10.99,10.37,10.42,30672
20-Nov-14,10.90,11.19,10.45,10.70,25837
19-Nov-14,11.44,12.45,10.97,11.15,10710
18-Nov-14,11.55,12.30,11.28,11.50,6193
17-Nov-14,11.51,12.00,11.33,11.45,5012
14-Nov-14,11.34,11.55,11.25,11.45,11831
13-Nov-14,10.90,11.74,10.90,11.51,10958
12-Nov-14,11.34,11.50,10.90,11.34,23718
11-Nov-14,12.09,12.09,11.56,11.74,20975
10-Nov-14,12.00,12.00,11.80,11.93,23512
7-Nov-14,12.04,12.05,11.85,12.00,25469
6-Nov-14,11.70,12.26,11.45,11.99,23943
5-Nov-14,10.67,11.58,10.66,11.37,21552
4-Nov-14,10.68,10.71,10.41,10.63,22947
3-Nov-14,11.24,11.24,10.70,10.95,28297
31-Oct-14,11.16,11.69,10.51,10.79,68424
30-Oct-14,11.93,12.00,10.90,10.90,21388
29-Oct-14,11.43,11.97,11.27,11.39,11648
28-Oct-14,11.25,12.51,11.24,11.49,21264
27-Oct-14,11.12,11.44,11.12,11.25,43332
24-Oct-14,11.21,11.49,11.04,11.25,27340
23-Oct-14,11.35,11.47,11.05,11.26,43817
22-Oct-14,11.47,11.61,11.25,11.34,23028
21-Oct-14,11.17,11.44,11.09,11.30,37680
20-Oct-14,11.34,11.59,11.11,11.17,12140
17-Oct-14,11.94,12.13,11.26,11.30,29852
16-Oct-14,11.95,12.00,11.52,11.90,17943
15-Oct-14,11.24,12.32,11.24,11.99,25753
14-Oct-14,11.03,11.46,10.66,11.46,20989
13-Oct-14,11.15,11.40,10.85,11.01,10973
10-Oct-14,12.50,12.50,11.08,11.08,19321
9-Oct-14,13.35,13.51,12.34,12.47,37797
8-Oct-14,12.86,13.94,12.55,13.30,44862
7-Oct-14,12.82,12.95,12.25,12.90,66464
6-Oct-14,13.03,13.20,12.57,12.95,55166
3-Oct-14,12.52,13.71,12.52,13.02,30847
2-Oct-14,12.42,12.93,11.05,12.49,38709
1-Oct-14,13.16,13.77,11.97,12.42,145015
30-Sep-14,13.70,14.28,12.61,13.13,451269
29-Sep-14,12.06,14.21,12.06,13.74,86031
26-Sep-14,11.80,12.41,11.57,12.11,40429
25-Sep-14,12.15,12.15,11.02,11.80,80230
24-Sep-14,11.30,12.24,11.05,12.12,46705
23-Sep-14,10.44,11.59,10.01,11.02,50384
22-Sep-14,10.81,10.94,10.00,10.11,38535
19-Sep-14,11.99,11.99,10.89,10.89,71854
18-Sep-14,12.09,12.09,11.25,11.35,23451
17-Sep-14,11.28,11.66,11.13,11.31,28485
16-Sep-14,11.86,11.86,10.93,11.40,37332
15-Sep-14,12.81,12.85,10.50,11.68,109609
12-Sep-14,13.74,14.09,12.55,12.79,67498
11-Sep-14,14.25,14.44,13.01,13.97,79974
10-Sep-14,15.39,15.39,14.50,14.67,28118
9-Sep-14,15.67,15.67,14.74,15.02,43307
8-Sep-14,15.75,16.20,15.02,15.42,153649
5-Sep-14,15.00,16.45,14.90,15.56,95339
4-Sep-14,14.44,14.84,14.24,14.80,58984
3-Sep-14,14.88,14.88,14.05,14.44,80840
2-Sep-14,13.25,14.29,13.01,13.80,75980
29-Aug-14,13.05,13.22,13.00,13.01,45834
28-Aug-14,13.05,13.14,13.00,13.07,34152
27-Aug-14,13.00,13.19,13.00,13.00,16458
26-Aug-14,13.06,13.13,12.69,13.01,54016
25-Aug-14,13.08,13.10,13.01,13.05,41765
22-Aug-14,13.00,13.08,13.00,13.04,24017
21-Aug-14,13.00,13.08,12.95,13.07,14987
20-Aug-14,13.07,13.08,12.95,13.01,14185
19-Aug-14,13.00,13.07,12.95,13.07,14813
18-Aug-14,13.10,13.10,12.91,13.04,39751
15-Aug-14,13.15,13.25,13.04,13.08,43862
14-Aug-14,13.00,13.10,12.90,13.10,28646
13-Aug-14,13.10,13.11,12.90,13.00,132880
12-Aug-14,13.14,13.25,13.00,13.08,236303
11-Aug-14,13.01,13.20,13.00,13.14,68665
8-Aug-14,13.01,13.10,12.95,13.00,11036
7-Aug-14,13.01,13.05,12.90,13.00,160740
6-Aug-14,13.00,13.25,12.90,13.00,97609
5-Aug-14,13.00,13.12,12.85,13.00,80253
4-Aug-14,12.95,13.25,12.95,13.02,163190
1-Aug-14,13.07,13.42,12.72,13.00,2625410
