Date,Open,High,Low,Close,Volume
31-Dec-14,13.69,14.26,13.63,14.10,288280
30-Dec-14,13.64,13.76,13.33,13.60,151059
29-Dec-14,13.93,13.94,13.68,13.74,206944
26-Dec-14,13.96,14.14,13.95,14.09,147928
24-Dec-14,13.93,14.15,13.90,13.99,182813
23-Dec-14,13.97,14.15,13.88,14.00,257420
22-Dec-14,14.18,14.31,13.85,13.99,203942
19-Dec-14,14.22,14.41,13.93,14.11,856801
18-Dec-14,14.41,14.52,14.12,14.24,348769
17-Dec-14,14.09,14.51,14.00,14.32,533230
16-Dec-14,13.60,14.31,13.51,14.11,375545
15-Dec-14,13.59,13.80,13.39,13.68,272678
12-Dec-14,13.27,13.91,13.11,13.65,191081
11-Dec-14,13.37,13.84,13.34,13.41,136139
10-Dec-14,13.86,13.92,13.27,13.31,190387
9-Dec-14,13.08,13.98,13.01,13.84,274410
8-Dec-14,13.63,13.73,13.13,13.25,173436
5-Dec-14,13.46,13.75,13.46,13.66,158870
4-Dec-14,13.36,13.63,13.20,13.46,160939
3-Dec-14,13.36,13.63,13.10,13.40,183829
2-Dec-14,13.06,13.49,12.96,13.34,205127
1-Dec-14,12.94,13.29,12.70,13.10,234655
28-Nov-14,13.62,13.62,12.87,12.94,169703
26-Nov-14,13.23,13.60,13.16,13.58,170916
25-Nov-14,12.86,13.28,12.80,13.20,214534
24-Nov-14,12.75,13.04,12.75,12.95,215917
21-Nov-14,13.23,13.50,12.77,12.88,261622
20-Nov-14,12.84,13.15,12.82,13.06,189591
19-Nov-14,13.77,13.78,12.93,12.99,267589
18-Nov-14,13.77,13.92,13.63,13.82,172249
17-Nov-14,13.92,13.99,13.61,13.81,218284
14-Nov-14,13.91,14.06,13.85,13.96,176960
13-Nov-14,14.16,14.30,13.79,13.89,299679
12-Nov-14,14.37,14.44,14.17,14.36,254995
11-Nov-14,14.16,14.59,14.09,14.43,296359
10-Nov-14,13.91,14.27,13.80,14.25,378550
7-Nov-14,13.94,14.06,13.68,13.70,399169
6-Nov-14,12.72,14.04,11.82,13.94,1036780
5-Nov-14,13.81,14.04,13.38,13.45,574857
4-Nov-14,13.85,13.98,13.73,13.84,238098
3-Nov-14,14.35,14.35,13.81,13.93,310524
31-Oct-14,14.49,14.70,14.32,14.40,455829
30-Oct-14,14.08,14.48,14.02,14.38,174089
29-Oct-14,14.46,14.47,14.10,14.17,171289
28-Oct-14,13.73,14.45,13.70,14.42,324049
27-Oct-14,13.63,13.72,13.50,13.67,161901
24-Oct-14,13.64,13.75,13.44,13.69,151777
23-Oct-14,13.50,13.74,13.44,13.59,155344
22-Oct-14,13.80,13.84,13.35,13.39,217134
21-Oct-14,13.79,13.92,13.67,13.84,129355
20-Oct-14,13.80,14.03,13.69,13.76,279570
17-Oct-14,14.55,14.60,13.89,13.93,336696
16-Oct-14,14.17,14.59,13.94,14.34,321905
15-Oct-14,13.78,14.44,13.50,14.37,277841
14-Oct-14,13.91,14.31,13.81,13.93,309281
13-Oct-14,13.71,13.94,13.45,13.77,404286
10-Oct-14,13.78,14.03,13.50,13.73,523962
9-Oct-14,14.08,14.46,13.80,13.86,837933
8-Oct-14,13.18,13.67,12.96,13.65,473737
7-Oct-14,12.66,13.29,12.58,13.25,652583
6-Oct-14,12.86,12.94,12.67,12.73,142522
3-Oct-14,12.76,13.05,12.67,12.79,165402
2-Oct-14,12.41,12.76,12.37,12.70,156030
1-Oct-14,12.55,12.62,12.43,12.45,376901
30-Sep-14,12.63,12.72,12.53,12.59,535152
29-Sep-14,12.55,12.66,12.52,12.66,230849
26-Sep-14,12.57,12.66,12.48,12.64,192401
25-Sep-14,12.71,12.71,12.45,12.56,328628
24-Sep-14,12.50,12.70,12.41,12.67,164301
23-Sep-14,12.54,12.74,12.41,12.50,226150
22-Sep-14,12.76,12.78,12.46,12.62,327509
19-Sep-14,12.99,13.04,12.60,12.78,712693
18-Sep-14,12.89,13.08,12.82,12.95,277258
17-Sep-14,12.70,12.89,12.69,12.81,228297
16-Sep-14,12.51,12.70,12.42,12.66,228267
15-Sep-14,12.91,12.91,12.57,12.61,264402
12-Sep-14,13.05,13.20,12.79,12.93,253861
11-Sep-14,13.01,13.14,12.92,13.07,151252
10-Sep-14,12.92,13.13,12.81,13.13,151747
9-Sep-14,13.02,13.03,12.78,12.90,251768
8-Sep-14,13.16,13.24,12.96,13.08,196384
5-Sep-14,12.83,13.01,12.78,12.97,145406
4-Sep-14,13.17,13.25,12.83,12.89,171594
3-Sep-14,13.13,13.27,13.11,13.17,318340
2-Sep-14,13.16,13.19,12.92,13.09,264001
29-Aug-14,12.79,12.94,12.76,12.91,164833
28-Aug-14,12.75,13.11,12.72,12.78,249386
27-Aug-14,12.96,12.99,12.75,12.82,179459
26-Aug-14,12.67,12.86,12.58,12.85,250729
25-Aug-14,12.86,12.86,12.54,12.60,174162
22-Aug-14,12.85,12.95,12.77,12.83,163303
21-Aug-14,12.72,12.91,12.58,12.85,189319
20-Aug-14,12.96,12.96,12.62,12.73,227984
19-Aug-14,12.99,13.26,12.92,12.95,262842
18-Aug-14,12.89,12.94,12.85,12.91,281106
15-Aug-14,12.87,12.98,12.66,12.81,516831
14-Aug-14,12.68,12.74,12.58,12.72,378898
13-Aug-14,12.48,12.82,12.38,12.73,572494
12-Aug-14,12.71,12.71,12.42,12.45,396201
11-Aug-14,12.60,12.92,12.53,12.78,310196
8-Aug-14,12.47,12.69,12.36,12.58,544568
7-Aug-14,12.90,12.94,12.28,12.43,664890
6-Aug-14,12.47,13.14,12.40,13.02,685980
5-Aug-14,12.44,12.72,12.23,12.63,615741
4-Aug-14,12.12,12.53,12.06,12.51,882788
1-Aug-14,11.75,12.25,11.63,12.19,1135026
31-Jul-14,11.55,12.43,11.52,11.78,4051973
30-Jul-14,9.77,10.22,9.77,10.16,630239
29-Jul-14,9.70,9.77,9.64,9.67,177802
28-Jul-14,9.74,9.83,9.52,9.69,270540
25-Jul-14,9.74,9.87,9.64,9.75,244819
24-Jul-14,10.08,10.11,9.79,9.81,250365
23-Jul-14,10.16,10.17,9.97,10.05,355250
22-Jul-14,10.06,10.19,9.98,10.16,272804
21-Jul-14,9.83,10.22,9.83,10.04,381649
18-Jul-14,9.65,10.00,9.65,9.91,323734
17-Jul-14,9.61,9.70,9.54,9.67,364577
16-Jul-14,9.66,9.71,9.41,9.47,331436
15-Jul-14,9.77,9.83,9.48,9.60,271563
14-Jul-14,10.14,10.25,9.79,9.82,205074
11-Jul-14,9.83,10.04,9.81,10.01,266439
10-Jul-14,9.80,9.94,9.70,9.86,350944
9-Jul-14,9.84,10.07,9.78,10.01,386244
8-Jul-14,10.02,10.09,9.74,9.76,356141
7-Jul-14,10.38,10.38,10.09,10.11,250865
3-Jul-14,10.55,10.63,10.41,10.49,191856
2-Jul-14,10.50,10.69,10.42,10.55,505547
1-Jul-14,10.19,10.56,10.17,10.50,339938
30-Jun-14,10.11,10.20,10.03,10.15,576992
27-Jun-14,9.90,10.11,9.89,10.08,863432
26-Jun-14,9.86,10.03,9.82,9.97,533996
25-Jun-14,9.65,10.04,9.60,9.82,1070154
24-Jun-14,9.48,9.76,9.46,9.75,666626
23-Jun-14,9.18,9.50,9.16,9.43,464077
20-Jun-14,9.22,9.24,9.09,9.15,911639
19-Jun-14,9.27,9.36,9.11,9.19,434189
18-Jun-14,9.30,9.32,9.21,9.28,338023
17-Jun-14,9.08,9.36,8.96,9.28,720569
16-Jun-14,9.14,9.17,8.84,9.10,766765
13-Jun-14,9.31,9.38,9.14,9.19,176946
12-Jun-14,9.32,9.40,9.20,9.28,200791
11-Jun-14,9.42,9.51,9.28,9.34,168096
10-Jun-14,9.44,9.57,9.35,9.50,175080
9-Jun-14,9.36,9.47,9.33,9.47,151456
6-Jun-14,9.49,9.52,9.36,9.38,194016
5-Jun-14,9.21,9.47,9.14,9.44,299476
4-Jun-14,9.17,9.33,9.05,9.16,167680
3-Jun-14,9.40,9.43,9.15,9.20,246567
2-Jun-14,9.49,9.49,9.22,9.44,362856
30-May-14,9.81,9.81,9.34,9.52,329594
29-May-14,9.86,9.98,9.75,9.76,259671
28-May-14,10.13,10.18,9.80,9.85,454466
27-May-14,9.90,10.14,9.89,10.12,562581
23-May-14,9.91,9.99,9.76,9.89,258944
22-May-14,9.72,9.98,9.72,9.88,400372
21-May-14,9.66,9.79,9.53,9.71,235933
20-May-14,9.83,9.94,9.50,9.60,323906
19-May-14,9.79,9.91,9.79,9.88,266293
16-May-14,9.80,9.91,9.61,9.84,495271
15-May-14,9.65,10.00,9.56,9.75,547814
14-May-14,9.68,9.90,9.60,9.64,359711
13-May-14,9.81,9.88,9.42,9.70,620344
12-May-14,9.34,9.84,9.32,9.76,354148
9-May-14,9.18,9.36,9.08,9.30,261947
8-May-14,9.31,9.64,9.15,9.21,610152
7-May-14,9.50,9.50,9.15,9.29,231983
6-May-14,9.69,9.77,9.49,9.49,246920
5-May-14,9.64,9.80,9.58,9.73,224875
2-May-14,9.94,10.13,9.71,9.72,325568
1-May-14,9.93,10.03,9.77,9.93,285218
30-Apr-14,9.70,9.93,9.55,9.90,413405
29-Apr-14,9.87,9.93,9.61,9.77,452759
28-Apr-14,10.20,10.32,9.75,9.89,424941
25-Apr-14,10.53,10.57,10.02,10.13,447280
24-Apr-14,10.95,11.01,10.51,10.61,175991
23-Apr-14,11.06,11.06,10.80,10.81,349427
