Date,Open,High,Low,Close,Volume
31-Dec-14,27.31,28.00,26.84,26.90,507293
30-Dec-14,27.17,27.33,26.93,27.16,410330
29-Dec-14,27.34,27.34,26.89,27.28,343661
26-Dec-14,27.46,27.62,27.26,27.44,124438
24-Dec-14,27.29,27.63,27.16,27.37,150217
23-Dec-14,27.21,27.21,26.69,26.96,407436
22-Dec-14,26.62,27.25,26.62,26.97,1115665
19-Dec-14,26.55,27.12,26.37,26.63,1801367
18-Dec-14,26.15,26.54,26.10,26.52,413865
17-Dec-14,25.00,25.70,24.88,25.61,633032
16-Dec-14,25.04,25.43,24.87,24.93,303022
15-Dec-14,25.10,25.50,24.99,25.25,342679
12-Dec-14,25.14,25.45,24.93,25.04,398232
11-Dec-14,25.50,26.00,25.30,25.40,420023
10-Dec-14,25.87,26.05,25.07,25.28,731225
9-Dec-14,25.52,26.08,25.38,25.90,888387
8-Dec-14,27.05,27.05,25.87,26.00,684989
5-Dec-14,26.96,27.31,26.85,27.18,921071
4-Dec-14,26.34,27.29,26.08,26.99,1121318
3-Dec-14,27.17,27.17,26.32,26.48,1065814
2-Dec-14,25.13,27.41,25.13,27.11,1129682
1-Dec-14,26.04,26.21,24.91,25.00,643613
28-Nov-14,25.86,26.43,25.71,26.21,128917
26-Nov-14,25.74,25.97,25.42,25.71,336964
25-Nov-14,25.73,25.73,25.18,25.58,284160
24-Nov-14,25.35,25.67,25.22,25.53,321122
21-Nov-14,25.66,25.81,25.24,25.37,271434
20-Nov-14,25.35,25.81,25.26,25.36,546998
19-Nov-14,25.21,25.49,24.79,25.37,560054
18-Nov-14,24.46,25.18,24.22,24.89,444643
17-Nov-14,24.86,25.04,24.21,24.23,685744
14-Nov-14,24.58,24.96,23.91,24.91,522538
13-Nov-14,25.32,25.57,24.38,24.55,736052
12-Nov-14,24.47,25.20,24.47,25.15,648025
11-Nov-14,26.20,26.21,24.44,24.88,1150283
10-Nov-14,26.14,26.16,25.63,26.00,423917
7-Nov-14,26.30,26.42,25.83,26.03,713381
6-Nov-14,25.11,26.26,25.11,26.20,1123380
5-Nov-14,26.51,26.51,24.79,25.21,2687560
4-Nov-14,30.01,30.22,29.20,29.89,393827
3-Nov-14,31.58,31.58,30.26,30.30,477815
31-Oct-14,31.21,31.76,30.63,31.58,467154
30-Oct-14,31.00,31.00,30.18,30.30,575478
29-Oct-14,31.36,31.51,30.78,30.92,594082
28-Oct-14,31.21,31.73,31.18,31.68,392370
27-Oct-14,31.31,31.52,30.88,31.20,222605
24-Oct-14,31.18,31.76,30.88,31.60,425124
23-Oct-14,30.88,31.56,30.52,31.27,371662
22-Oct-14,31.70,31.72,30.38,30.53,308642
21-Oct-14,29.89,31.53,29.68,31.47,584411
20-Oct-14,28.58,29.66,28.38,29.40,285303
17-Oct-14,28.20,28.70,28.13,28.48,508454
16-Oct-14,26.54,28.21,26.39,27.79,517321
15-Oct-14,27.36,27.76,26.39,27.59,714287
14-Oct-14,28.56,28.73,27.03,27.87,636098
13-Oct-14,29.40,29.78,28.01,28.27,642219
10-Oct-14,31.07,31.07,29.39,29.58,345209
9-Oct-14,32.23,32.23,30.74,30.93,603426
8-Oct-14,30.44,32.20,29.80,32.03,309295
7-Oct-14,32.37,32.37,31.50,31.55,398734
6-Oct-14,32.96,33.42,32.18,32.37,396602
3-Oct-14,32.89,33.39,32.40,32.70,302306
2-Oct-14,33.37,33.43,31.90,32.57,633655
1-Oct-14,34.04,34.04,32.75,33.23,334768
30-Sep-14,33.72,34.10,32.46,33.90,355712
29-Sep-14,33.89,33.94,32.91,33.62,278248
26-Sep-14,33.82,34.25,33.49,33.99,698415
25-Sep-14,34.19,34.64,33.35,33.61,674621
24-Sep-14,33.63,34.68,33.06,34.58,280494
23-Sep-14,33.85,35.10,33.49,33.88,1161525
22-Sep-14,36.00,36.00,34.16,34.74,1166401
19-Sep-14,36.62,36.62,35.69,36.11,916591
18-Sep-14,35.80,36.08,35.46,35.78,523754
17-Sep-14,34.73,35.44,34.06,34.99,637743
16-Sep-14,34.56,35.18,33.93,34.92,524165
15-Sep-14,36.32,36.32,34.59,34.77,652267
12-Sep-14,35.28,36.29,35.01,36.28,1186135
11-Sep-14,35.28,35.90,34.53,35.26,304556
10-Sep-14,33.85,35.30,33.82,35.14,1766864
9-Sep-14,34.76,35.57,34.12,34.33,2325123
8-Sep-14,35.49,35.52,34.56,35.20,1495223
5-Sep-14,34.90,34.99,34.22,34.71,2229955
4-Sep-14,34.95,35.17,34.65,34.80,1314430
3-Sep-14,35.27,35.85,34.83,35.02,500839
2-Sep-14,36.69,36.69,35.27,35.45,775724
29-Aug-14,35.84,36.19,35.50,35.77,1101801
28-Aug-14,37.36,38.39,34.24,36.00,2454686
27-Aug-14,38.10,38.10,35.11,37.93,490457
