Date,Open,High,Low,Close,Volume
31-Dec-14,24.04,24.54,23.76,23.85,255211
30-Dec-14,23.68,24.17,23.63,23.89,131621
29-Dec-14,23.58,24.07,23.58,23.82,200308
26-Dec-14,23.49,23.77,23.41,23.53,106367
24-Dec-14,23.53,23.68,23.26,23.37,73511
23-Dec-14,23.35,23.78,23.32,23.42,164678
22-Dec-14,23.15,23.23,22.86,23.18,163274
19-Dec-14,22.96,23.23,22.56,23.10,577613
18-Dec-14,22.56,23.05,22.25,23.02,278571
17-Dec-14,21.40,21.93,21.11,21.82,271796
16-Dec-14,21.51,21.85,21.29,21.33,194864
15-Dec-14,21.83,21.98,21.15,21.49,354138
12-Dec-14,22.10,22.47,21.53,21.72,528885
11-Dec-14,23.04,23.39,22.36,22.38,489129
10-Dec-14,23.41,23.98,23.01,23.04,391750
9-Dec-14,22.87,23.16,22.56,23.13,290335
8-Dec-14,23.89,24.26,23.12,23.16,172293
5-Dec-14,23.98,24.57,23.81,23.92,204603
4-Dec-14,24.16,24.36,23.93,23.99,214948
3-Dec-14,23.55,24.26,23.33,24.11,209215
2-Dec-14,22.80,23.75,22.80,23.61,1009176
1-Dec-14,23.89,24.00,22.56,22.73,858453
28-Nov-14,25.65,25.86,23.72,23.84,184558
26-Nov-14,25.65,25.71,25.31,25.63,115783
25-Nov-14,25.65,25.74,25.45,25.67,98074
24-Nov-14,25.22,25.64,25.22,25.59,93348
21-Nov-14,26.12,26.14,25.10,25.22,168134
20-Nov-14,25.68,25.88,25.57,25.84,120399
19-Nov-14,26.24,26.24,25.50,25.81,90461
18-Nov-14,26.57,26.65,26.23,26.29,93383
17-Nov-14,26.68,26.89,26.50,26.50,81376
14-Nov-14,27.07,27.07,26.66,26.80,105725
13-Nov-14,27.60,27.60,27.01,27.06,79972
12-Nov-14,27.23,27.71,27.23,27.61,95410
11-Nov-14,27.50,27.50,27.19,27.31,69558
10-Nov-14,27.22,27.50,27.15,27.47,119087
7-Nov-14,27.19,27.26,27.01,27.25,70474
6-Nov-14,27.21,27.33,27.06,27.29,71737
5-Nov-14,27.29,27.44,26.81,27.15,95544
4-Nov-14,26.92,27.21,26.65,27.13,124818
3-Nov-14,27.23,27.49,26.89,27.02,162715
31-Oct-14,27.64,27.64,26.90,27.27,248868
30-Oct-14,26.65,27.18,26.53,26.99,104308
29-Oct-14,26.52,26.94,26.34,26.92,199250
28-Oct-14,26.02,26.62,25.94,26.56,192507
27-Oct-14,25.38,25.91,25.25,25.83,93597
24-Oct-14,25.44,25.63,25.17,25.58,103564
23-Oct-14,25.69,25.79,25.29,25.36,130723
22-Oct-14,24.80,25.75,24.65,25.29,196024
21-Oct-14,24.74,25.07,24.51,24.92,137465
20-Oct-14,24.52,24.87,24.46,24.72,94173
17-Oct-14,24.99,24.99,24.53,24.65,182501
16-Oct-14,23.71,24.72,23.61,24.60,109973
15-Oct-14,24.65,24.98,23.96,24.08,290015
14-Oct-14,25.12,25.64,25.08,25.11,203818
13-Oct-14,24.21,25.01,24.06,24.92,218946
10-Oct-14,23.50,24.41,23.50,24.15,180043
9-Oct-14,24.46,24.47,23.59,23.67,185464
8-Oct-14,23.78,24.54,23.76,24.47,116724
7-Oct-14,24.00,24.17,23.77,23.78,309483
6-Oct-14,24.52,24.52,24.09,24.10,97441
3-Oct-14,24.75,24.94,24.46,24.48,131542
2-Oct-14,24.11,24.82,24.11,24.44,202770
1-Oct-14,24.00,24.15,23.53,23.82,146978
30-Sep-14,24.08,24.27,23.89,23.94,207502
29-Sep-14,24.05,24.35,24.04,24.16,92950
26-Sep-14,24.09,24.33,24.07,24.27,74538
25-Sep-14,24.80,24.80,24.05,24.07,116388
24-Sep-14,24.57,24.76,24.41,24.65,102864
23-Sep-14,25.14,25.35,24.62,24.64,140181
22-Sep-14,25.69,25.96,25.17,25.24,107678
19-Sep-14,26.14,26.62,25.68,25.81,729435
18-Sep-14,25.63,26.53,25.63,26.07,140453
17-Sep-14,25.69,25.89,25.29,25.57,118788
16-Sep-14,26.07,26.18,25.66,25.71,107745
15-Sep-14,26.43,26.43,26.04,26.07,107512
12-Sep-14,26.64,26.75,26.04,26.48,147894
11-Sep-14,25.93,26.63,25.93,26.59,125511
10-Sep-14,25.83,26.19,25.75,26.13,97748
9-Sep-14,26.10,26.10,25.74,25.75,92243
8-Sep-14,26.25,26.40,25.92,26.17,57966
5-Sep-14,26.05,26.45,25.82,26.19,94766
4-Sep-14,26.16,26.48,26.04,26.18,92118
3-Sep-14,26.20,26.31,26.02,26.13,80561
2-Sep-14,26.01,26.42,25.83,26.07,94950
29-Aug-14,25.93,26.11,25.75,26.05,78409
28-Aug-14,26.22,26.22,25.85,25.93,121062
27-Aug-14,26.54,26.60,26.23,26.33,67140
26-Aug-14,26.24,26.75,25.88,26.57,175971
25-Aug-14,26.23,26.46,26.08,26.18,91584
22-Aug-14,25.94,26.35,25.90,26.11,79472
21-Aug-14,25.56,26.08,25.36,25.94,67986
20-Aug-14,25.86,25.92,25.44,25.65,58718
19-Aug-14,25.93,26.12,25.89,25.94,62200
18-Aug-14,25.52,25.94,25.50,25.93,85369
15-Aug-14,25.64,25.81,25.16,25.26,198295
14-Aug-14,25.21,25.55,25.16,25.35,101165
13-Aug-14,24.84,25.38,24.82,25.23,89839
12-Aug-14,24.91,25.05,24.56,24.83,52305
11-Aug-14,25.07,25.52,24.67,25.03,99360
8-Aug-14,24.75,25.18,24.27,24.95,109693
7-Aug-14,25.05,25.21,24.57,24.73,86013
6-Aug-14,24.97,25.26,24.86,25.00,107563
5-Aug-14,24.59,25.37,24.55,25.09,115490
4-Aug-14,24.72,24.84,24.33,24.77,152048
1-Aug-14,25.21,25.47,24.45,24.57,151851
31-Jul-14,25.61,25.96,25.09,25.14,197091
30-Jul-14,25.57,26.16,25.54,26.08,129127
29-Jul-14,25.57,25.81,25.35,25.38,68819
28-Jul-14,26.26,26.26,25.33,25.59,124552
25-Jul-14,25.70,26.56,25.70,26.25,210897
24-Jul-14,25.43,26.22,25.43,25.96,255516
23-Jul-14,25.25,25.90,25.00,25.53,201479
22-Jul-14,25.57,25.89,25.10,25.18,159462
21-Jul-14,25.25,25.57,25.09,25.49,168262
18-Jul-14,25.02,25.74,25.02,25.27,163043
17-Jul-14,25.81,25.95,24.96,25.11,120740
16-Jul-14,26.67,26.67,25.99,26.07,81457
15-Jul-14,26.25,26.56,25.91,26.52,90174
14-Jul-14,26.54,26.56,26.07,26.19,62512
11-Jul-14,26.20,26.45,26.00,26.24,65597
10-Jul-14,26.38,26.47,25.87,26.30,104597
9-Jul-14,26.76,26.96,26.50,26.59,96566
8-Jul-14,27.13,27.16,26.54,26.63,168432
7-Jul-14,27.52,27.58,27.14,27.17,107712
3-Jul-14,26.87,27.53,26.87,27.52,70279
2-Jul-14,27.34,27.51,26.72,26.73,114415
1-Jul-14,27.03,27.77,26.95,27.36,190397
30-Jun-14,26.96,27.32,26.50,26.91,131981
27-Jun-14,26.84,27.37,26.84,27.06,346240
26-Jun-14,27.02,27.18,26.72,27.06,68985
25-Jun-14,26.67,27.12,26.50,27.09,122041
24-Jun-14,26.93,27.50,26.81,26.86,159359
23-Jun-14,27.40,27.40,26.89,27.05,107755
20-Jun-14,27.26,28.00,27.06,27.42,313383
19-Jun-14,27.37,27.45,26.75,27.11,74329
18-Jun-14,27.00,27.39,26.72,27.32,212305
17-Jun-14,26.25,27.12,26.25,26.95,129595
16-Jun-14,26.46,26.46,26.04,26.23,109004
13-Jun-14,26.82,27.16,26.34,26.51,96207
12-Jun-14,27.12,27.28,26.43,26.67,121697
11-Jun-14,26.90,27.38,26.73,27.09,109994
10-Jun-14,27.53,27.53,26.85,27.09,148451
9-Jun-14,27.23,27.61,27.22,27.54,154258
6-Jun-14,26.94,27.51,26.91,27.28,233094
5-Jun-14,25.72,26.80,25.62,26.72,447905
4-Jun-14,25.20,26.10,25.20,25.73,170059
3-Jun-14,24.86,25.56,24.65,25.28,152518
2-Jun-14,24.85,25.25,24.61,25.02,134171
30-May-14,24.58,25.00,24.58,24.85,159170
29-May-14,24.94,25.02,24.55,24.74,90759
28-May-14,25.12,25.12,24.63,24.82,99505
27-May-14,24.86,25.38,24.74,25.02,100831
23-May-14,24.46,24.93,24.23,24.68,97844
22-May-14,24.42,24.81,24.29,24.38,90778
21-May-14,24.36,24.73,24.07,24.36,135733
20-May-14,24.70,24.71,24.20,24.22,188019
19-May-14,24.28,24.96,24.28,24.69,138374
16-May-14,24.00,24.43,24.00,24.35,150688
15-May-14,23.74,24.12,23.15,24.07,390701
14-May-14,24.73,24.73,23.74,23.95,204112
13-May-14,25.44,25.61,24.77,24.79,172724
12-May-14,25.04,25.75,24.67,25.52,146689
9-May-14,24.51,25.08,24.40,25.01,99018
8-May-14,24.76,24.86,24.55,24.66,157811
7-May-14,24.80,24.95,24.40,24.69,173923
6-May-14,25.49,25.67,24.72,24.73,177526
