Date,Open,High,Low,Close,Volume
31-Dec-14,30.33,30.70,30.16,30.23,89916
30-Dec-14,30.28,30.60,30.27,30.35,39141
29-Dec-14,30.58,30.72,30.16,30.27,83200
26-Dec-14,30.64,30.77,30.47,30.56,50209
24-Dec-14,30.64,30.86,30.38,30.52,53032
23-Dec-14,30.34,31.06,29.98,30.70,95540
22-Dec-14,29.60,30.32,29.53,30.32,111508
19-Dec-14,29.62,30.10,29.06,29.65,388526
18-Dec-14,30.11,30.14,29.62,29.70,212458
17-Dec-14,28.86,29.84,28.70,29.78,169835
16-Dec-14,28.62,29.45,28.33,28.86,120255
15-Dec-14,29.06,29.17,28.53,28.62,137134
12-Dec-14,29.02,29.20,28.66,28.89,163277
11-Dec-14,29.47,30.07,29.27,29.39,262719
10-Dec-14,30.40,30.40,29.25,29.39,136259
9-Dec-14,29.48,30.55,29.48,30.44,121419
8-Dec-14,30.45,30.70,29.84,29.88,68372
5-Dec-14,30.24,30.63,30.23,30.48,97356
4-Dec-14,30.31,30.40,30.00,30.27,106092
3-Dec-14,30.09,30.41,29.68,30.25,95910
2-Dec-14,29.57,30.30,29.57,30.16,108726
1-Dec-14,30.00,30.06,29.40,29.53,163086
28-Nov-14,30.07,30.56,29.98,30.12,57979
26-Nov-14,30.17,30.54,30.01,30.15,81632
25-Nov-14,29.80,30.39,29.70,30.27,130163
24-Nov-14,29.50,29.63,29.23,29.42,80020
21-Nov-14,29.89,29.97,29.35,29.47,79437
20-Nov-14,29.16,29.75,29.16,29.46,75818
19-Nov-14,29.34,29.54,28.97,29.20,76214
18-Nov-14,29.77,29.85,29.38,29.44,66772
17-Nov-14,30.21,30.22,29.63,29.73,99517
14-Nov-14,30.16,30.30,29.93,30.17,105554
13-Nov-14,29.75,30.45,29.68,30.32,163898
12-Nov-14,29.29,29.93,29.21,29.78,88416
11-Nov-14,29.61,29.90,29.34,29.49,82105
10-Nov-14,29.42,29.74,28.92,29.69,124910
7-Nov-14,29.69,29.76,29.37,29.46,108693
6-Nov-14,29.54,29.90,29.41,29.59,134070
5-Nov-14,28.86,29.74,28.83,29.71,183928
4-Nov-14,28.89,29.10,28.72,28.76,126264
3-Nov-14,28.09,29.39,28.09,29.07,175390
31-Oct-14,28.64,28.64,27.94,28.16,272459
30-Oct-14,28.18,28.84,27.62,28.09,297534
29-Oct-14,28.32,28.65,28.06,28.29,149771
28-Oct-14,27.94,28.44,27.66,28.39,96010
27-Oct-14,27.49,27.77,27.40,27.72,62047
24-Oct-14,27.67,27.67,27.10,27.57,55178
23-Oct-14,27.27,27.75,27.23,27.61,66136
22-Oct-14,27.43,27.67,27.04,27.09,68841
21-Oct-14,27.36,27.63,27.01,27.47,53692
20-Oct-14,26.85,27.17,26.85,27.15,77401
17-Oct-14,27.57,27.57,26.98,27.04,90933
16-Oct-14,26.59,27.39,26.59,27.17,84186
15-Oct-14,26.11,27.07,26.09,26.93,129878
14-Oct-14,26.68,26.97,26.44,26.65,129106
13-Oct-14,26.68,27.03,26.53,26.58,120354
10-Oct-14,27.03,27.32,26.68,26.72,110391
9-Oct-14,28.04,28.05,27.13,27.17,141071
8-Oct-14,26.78,28.19,26.54,28.13,278663
7-Oct-14,27.12,27.20,26.75,26.75,131421
6-Oct-14,27.22,27.76,26.96,27.21,116750
3-Oct-14,27.45,27.63,27.09,27.21,81207
2-Oct-14,26.82,27.25,26.75,27.16,114972
1-Oct-14,26.88,27.02,26.71,26.91,152477
30-Sep-14,27.62,27.88,26.94,26.95,255192
29-Sep-14,27.33,27.79,26.74,27.57,92634
26-Sep-14,27.70,27.73,27.55,27.65,135423
25-Sep-14,27.97,28.07,27.67,27.70,117361
24-Sep-14,27.95,28.08,27.79,27.94,95676
23-Sep-14,28.21,28.32,27.99,28.01,139212
22-Sep-14,28.91,28.91,28.06,28.35,227230
19-Sep-14,29.27,29.46,28.93,29.02,200197
18-Sep-14,29.07,29.29,28.98,29.26,67938
17-Sep-14,28.84,29.06,28.70,28.95,63067
16-Sep-14,28.85,28.99,28.72,28.88,113569
15-Sep-14,29.04,29.15,28.86,28.96,105441
12-Sep-14,29.13,29.18,28.88,29.12,91683
11-Sep-14,29.33,29.34,29.02,29.22,108438
10-Sep-14,29.07,29.42,29.07,29.40,91311
9-Sep-14,29.32,29.32,28.95,29.07,126167
8-Sep-14,29.32,29.35,29.18,29.32,82023
5-Sep-14,29.23,29.37,29.22,29.31,90148
4-Sep-14,29.22,29.56,29.22,29.39,166808
3-Sep-14,29.41,29.65,29.12,29.18,122087
2-Sep-14,29.21,29.70,28.88,29.62,189419
29-Aug-14,28.70,29.05,28.63,28.98,59925
28-Aug-14,28.77,28.83,28.55,28.70,63153
27-Aug-14,28.92,29.14,28.83,28.95,69662
26-Aug-14,28.42,29.23,28.38,28.95,155001
25-Aug-14,28.83,28.92,28.22,28.49,90283
22-Aug-14,28.66,28.73,28.41,28.60,70319
21-Aug-14,28.49,28.72,28.30,28.69,69450
20-Aug-14,28.53,28.60,28.29,28.53,123488
19-Aug-14,28.59,28.70,28.41,28.66,106628
18-Aug-14,28.29,28.59,28.06,28.59,108445
15-Aug-14,28.47,28.47,27.68,28.04,137678
14-Aug-14,27.98,28.31,27.97,28.24,64647
13-Aug-14,28.23,28.23,27.85,28.03,59778
12-Aug-14,28.14,28.38,28.05,28.12,289060
11-Aug-14,28.09,28.39,27.20,28.21,140916
8-Aug-14,27.85,29.09,27.75,27.95,202016
7-Aug-14,27.94,28.04,27.70,27.82,359036
6-Aug-14,27.23,27.96,27.09,27.90,325007
5-Aug-14,26.92,27.51,26.86,27.49,161436
4-Aug-14,27.07,27.14,26.57,26.98,159988
1-Aug-14,26.99,27.07,26.36,27.03,277057
31-Jul-14,28.75,28.91,26.64,27.00,482981
30-Jul-14,29.44,29.44,29.14,29.42,77165
29-Jul-14,29.15,29.36,29.01,29.25,131224
28-Jul-14,29.07,29.28,28.77,29.14,104368
25-Jul-14,29.27,29.43,29.01,29.09,144022
24-Jul-14,29.72,29.87,29.43,29.53,67889
23-Jul-14,29.32,29.87,29.28,29.59,134375
22-Jul-14,29.06,29.43,29.06,29.27,131677
21-Jul-14,28.91,29.04,28.65,28.93,82506
18-Jul-14,28.30,29.07,28.30,29.03,149185
17-Jul-14,28.28,28.51,28.24,28.35,123960
