Date,Open,High,Low,Close,Volume
31-Dec-14,26.41,26.97,26.31,26.34,242676
30-Dec-14,26.60,26.80,26.19,26.43,161589
29-Dec-14,27.00,27.15,26.56,26.60,260749
26-Dec-14,26.74,27.06,26.59,27.00,203832
24-Dec-14,26.52,26.81,26.51,26.60,105732
23-Dec-14,26.50,26.68,26.10,26.56,396435
22-Dec-14,26.89,27.00,26.19,26.47,316654
19-Dec-14,26.40,27.07,26.07,26.81,1654468
18-Dec-14,26.51,26.79,25.55,26.44,754369
17-Dec-14,24.40,26.32,23.99,26.30,688734
16-Dec-14,24.15,24.59,23.73,24.27,299455
15-Dec-14,24.60,24.60,24.02,24.15,269800
12-Dec-14,24.61,24.81,24.43,24.49,298177
11-Dec-14,25.46,25.64,24.84,24.91,388453
10-Dec-14,26.42,26.42,25.31,25.35,514441
9-Dec-14,25.15,26.51,25.15,26.47,408640
8-Dec-14,25.32,25.94,25.32,25.37,258027
5-Dec-14,25.27,25.65,25.25,25.42,329199
4-Dec-14,25.40,25.56,25.12,25.25,496537
3-Dec-14,25.56,25.81,25.39,25.40,619760
2-Dec-14,25.86,26.07,25.53,25.59,409463
1-Dec-14,26.15,26.46,25.74,25.79,362185
28-Nov-14,26.59,26.68,26.17,26.25,130254
26-Nov-14,26.23,26.54,26.23,26.47,238897
25-Nov-14,26.36,26.36,25.99,26.19,271937
24-Nov-14,25.94,26.32,25.86,26.32,374073
21-Nov-14,26.34,26.42,25.84,25.92,266414
20-Nov-14,25.82,26.12,25.51,26.04,245689
19-Nov-14,26.24,26.38,25.85,25.90,283426
18-Nov-14,26.30,26.57,26.17,26.33,348851
17-Nov-14,26.33,26.54,26.24,26.24,275039
14-Nov-14,26.47,26.71,26.25,26.42,509457
13-Nov-14,26.55,26.71,26.42,26.50,332568
12-Nov-14,26.15,26.62,26.03,26.55,375867
11-Nov-14,26.06,26.33,25.78,26.24,406779
10-Nov-14,25.56,26.03,25.50,26.02,482507
7-Nov-14,25.57,25.70,25.39,25.52,530743
6-Nov-14,24.90,25.52,24.90,25.48,463246
5-Nov-14,25.15,25.35,24.55,24.73,319341
4-Nov-14,24.92,25.15,24.68,24.94,239245
3-Nov-14,25.30,25.30,24.68,24.94,473208
31-Oct-14,25.40,25.44,24.92,25.24,624692
30-Oct-14,23.12,25.10,23.12,24.98,1619896
29-Oct-14,23.31,23.49,22.95,23.23,595628
28-Oct-14,22.79,23.39,22.72,23.34,655172
27-Oct-14,22.19,22.80,22.10,22.73,583981
24-Oct-14,22.31,22.65,22.21,22.33,287193
23-Oct-14,21.99,22.24,21.59,22.22,406826
22-Oct-14,21.94,22.17,21.70,21.77,299308
21-Oct-14,21.80,22.14,21.75,21.84,286819
20-Oct-14,21.34,21.77,21.25,21.70,247811
17-Oct-14,21.80,21.80,21.28,21.33,394317
16-Oct-14,21.41,21.70,21.14,21.55,535166
15-Oct-14,21.38,21.88,21.05,21.70,661059
14-Oct-14,22.43,22.56,21.59,21.64,472868
13-Oct-14,21.91,22.53,21.42,22.24,329755
10-Oct-14,22.15,22.71,21.78,21.85,646685
9-Oct-14,22.69,22.77,22.30,22.30,661833
8-Oct-14,22.25,22.81,21.97,22.74,572568
7-Oct-14,22.50,22.67,22.14,22.23,622744
6-Oct-14,22.59,22.82,22.45,22.59,760969
3-Oct-14,22.60,22.67,21.98,22.47,671734
2-Oct-14,24.00,24.00,22.02,22.42,2014749
1-Oct-14,21.33,24.83,21.03,24.02,3967412
30-Sep-14,21.06,21.56,20.96,21.28,824094
29-Sep-14,20.87,21.10,20.48,21.07,476494
26-Sep-14,20.95,21.16,20.85,21.09,361815
25-Sep-14,21.04,21.23,20.67,20.93,726196
24-Sep-14,20.80,21.22,20.53,21.12,811043
23-Sep-14,20.75,20.93,20.66,20.69,819081
22-Sep-14,20.94,20.94,20.59,20.79,643592
19-Sep-14,21.20,21.47,20.97,20.99,1331841
18-Sep-14,21.24,21.40,21.10,21.17,420504
17-Sep-14,21.37,21.54,21.15,21.20,387168
16-Sep-14,21.65,21.69,21.23,21.36,529665
15-Sep-14,22.07,22.08,21.65,21.72,545116
12-Sep-14,22.30,22.51,21.96,22.09,493273
11-Sep-14,21.75,22.31,21.69,22.24,2252034
10-Sep-14,21.99,22.08,21.87,22.00,413353
9-Sep-14,22.06,22.18,21.88,21.93,402835
8-Sep-14,22.00,22.11,21.94,22.03,362643
5-Sep-14,21.88,22.05,21.75,21.99,273269
4-Sep-14,22.18,22.25,21.89,21.98,314807
3-Sep-14,22.50,22.70,21.98,22.08,423495
2-Sep-14,22.54,22.63,22.34,22.46,429278
29-Aug-14,22.15,22.45,21.94,22.44,404589
28-Aug-14,22.57,22.76,22.10,22.16,371545
27-Aug-14,22.73,22.95,22.56,22.74,230441
26-Aug-14,22.39,22.85,22.39,22.68,467309
25-Aug-14,22.54,22.62,22.25,22.39,366270
22-Aug-14,21.94,22.57,21.85,22.43,787921
21-Aug-14,21.70,22.00,21.70,21.94,518393
20-Aug-14,21.73,21.95,21.56,21.69,748185
19-Aug-14,21.90,22.09,21.83,21.88,656753
18-Aug-14,22.17,22.37,21.88,21.94,740724
15-Aug-14,22.28,22.39,21.84,21.92,723218
14-Aug-14,22.46,22.63,22.29,22.40,440627
13-Aug-14,21.84,22.56,21.84,22.44,492745
12-Aug-14,22.12,22.43,21.75,21.77,450152
11-Aug-14,21.86,22.48,21.56,22.22,668124
8-Aug-14,19.30,23.15,19.30,21.73,2018073
7-Aug-14,24.50,24.59,24.11,24.23,325408
6-Aug-14,24.00,24.55,23.81,24.48,357624
5-Aug-14,23.91,24.21,23.86,24.15,290390
4-Aug-14,24.12,24.22,23.53,24.05,325488
1-Aug-14,24.04,24.21,23.82,24.05,326570
31-Jul-14,24.39,24.53,24.06,24.08,400853
30-Jul-14,24.27,24.70,24.11,24.64,322734
29-Jul-14,24.10,24.29,23.79,24.14,267197
28-Jul-14,24.11,24.26,23.74,24.08,236231
25-Jul-14,24.18,24.52,23.88,24.14,328541
24-Jul-14,24.46,24.50,24.16,24.35,321562
23-Jul-14,24.22,24.57,23.93,24.41,270300
22-Jul-14,24.19,24.59,23.91,24.12,488205
21-Jul-14,24.35,24.35,23.88,24.03,251441
18-Jul-14,23.98,24.47,23.84,24.44,304912
17-Jul-14,24.05,24.46,23.89,24.02,410324
16-Jul-14,24.48,24.48,24.00,24.16,237253
15-Jul-14,24.42,24.46,24.05,24.30,718086
14-Jul-14,24.66,24.66,24.31,24.37,310984
11-Jul-14,24.26,24.59,24.06,24.49,257815
10-Jul-14,24.10,24.46,23.93,24.33,342323
9-Jul-14,24.38,24.75,24.14,24.40,385020
8-Jul-14,24.36,24.46,23.98,24.28,876640
7-Jul-14,24.23,24.23,23.72,23.95,308017
3-Jul-14,24.06,24.34,24.06,24.26,123514
2-Jul-14,24.14,24.28,23.82,24.00,373856
1-Jul-14,23.61,24.38,23.50,24.20,587347
30-Jun-14,23.60,23.69,23.42,23.60,504329
27-Jun-14,23.46,23.72,23.29,23.65,624539
26-Jun-14,23.40,23.72,23.30,23.63,482537
25-Jun-14,22.89,23.51,22.76,23.43,667026
24-Jun-14,23.88,23.90,22.94,23.02,716029
23-Jun-14,23.60,24.18,23.60,23.83,603868
20-Jun-14,23.54,23.88,23.32,23.58,9063873
19-Jun-14,23.36,23.68,23.09,23.48,564205
18-Jun-14,23.40,23.56,23.25,23.38,424947
17-Jun-14,23.42,23.56,23.32,23.36,620361
16-Jun-14,23.71,23.71,23.06,23.44,519349
13-Jun-14,23.66,23.66,23.10,23.27,606020
12-Jun-14,23.95,24.04,23.65,23.87,422254
11-Jun-14,24.02,24.12,23.89,23.95,163731
10-Jun-14,24.39,24.39,23.93,24.11,294035
9-Jun-14,24.07,24.46,24.06,24.39,412156
6-Jun-14,24.18,24.28,24.08,24.16,330521
5-Jun-14,24.02,24.15,23.76,23.97,531441
4-Jun-14,23.88,24.06,23.77,23.95,244466
3-Jun-14,23.95,24.12,23.72,23.97,315405
2-Jun-14,24.63,24.63,24.00,24.04,349372
30-May-14,24.85,24.90,24.50,24.64,271098
29-May-14,25.01,25.01,24.66,24.75,478872
28-May-14,24.83,24.94,24.57,24.71,484864
27-May-14,24.82,25.01,24.62,24.80,446036
23-May-14,24.73,24.77,24.55,24.58,397972
22-May-14,24.58,25.13,24.53,24.68,461230
21-May-14,24.43,24.79,24.32,24.41,471061
20-May-14,24.15,24.41,23.91,24.24,499398
19-May-14,24.05,24.60,23.84,24.28,503443
16-May-14,23.77,24.17,23.56,24.07,739851
15-May-14,23.46,24.01,23.17,23.83,934944
14-May-14,23.54,24.00,23.36,23.65,464416
13-May-14,23.77,24.09,23.00,23.63,820666
12-May-14,22.22,23.90,22.22,23.79,709976
9-May-14,22.20,22.34,21.45,22.03,1018862
8-May-14,22.91,23.16,22.55,22.58,671206
7-May-14,23.46,23.82,22.59,22.99,643538
6-May-14,22.88,23.54,22.85,23.32,1012149
5-May-14,23.53,23.68,22.70,23.04,1273136
2-May-14,24.00,24.12,23.63,23.70,717488
1-May-14,26.29,26.29,23.52,23.95,2196351
30-Apr-14,26.24,26.92,26.07,26.76,488617
29-Apr-14,26.49,28.78,26.09,26.36,300253
28-Apr-14,26.18,26.54,25.75,26.31,170065
25-Apr-14,26.34,26.74,25.95,26.05,260518
24-Apr-14,26.90,26.96,26.38,26.52,182423
23-Apr-14,27.58,27.58,26.76,26.79,264522
22-Apr-14,27.10,27.70,27.10,27.56,302094
21-Apr-14,26.57,27.04,26.56,27.03,160384
17-Apr-14,26.28,26.80,26.05,26.59,219312
16-Apr-14,26.69,26.69,26.11,26.34,280284
15-Apr-14,26.46,26.63,25.65,26.50,433304
14-Apr-14,26.30,26.61,26.11,26.38,232918
11-Apr-14,25.90,26.40,25.80,26.16,302656
10-Apr-14,26.89,26.98,25.94,26.14,400021
9-Apr-14,26.63,26.92,26.36,26.92,212325
8-Apr-14,26.69,26.73,26.18,26.52,262531
7-Apr-14,27.59,27.59,26.37,26.69,443411
4-Apr-14,28.19,28.64,27.70,27.73,577325
3-Apr-14,27.83,27.98,27.62,27.90,362210
2-Apr-14,27.86,27.91,27.46,27.74,315336
1-Apr-14,27.42,27.91,27.29,27.87,315719
31-Mar-14,26.82,27.44,26.59,27.31,455179
28-Mar-14,26.81,27.18,26.52,26.62,262991
27-Mar-14,27.16,27.24,26.71,26.81,329094
26-Mar-14,27.67,27.86,27.17,27.17,330155
25-Mar-14,27.70,27.95,27.08,27.47,316054
24-Mar-14,27.54,27.84,27.07,27.60,459126
21-Mar-14,27.77,27.98,27.35,27.48,510911
20-Mar-14,27.87,28.00,27.53,27.63,295404
19-Mar-14,28.51,28.52,27.96,28.02,487900
18-Mar-14,28.53,28.70,28.35,28.59,256313
17-Mar-14,28.38,28.76,28.23,28.42,247885
14-Mar-14,28.23,28.57,28.20,28.29,327672
13-Mar-14,28.40,28.54,28.01,28.32,603193
12-Mar-14,27.79,28.40,27.66,28.37,428902
11-Mar-14,27.75,28.24,27.60,27.86,618293
10-Mar-14,27.56,28.38,27.52,27.77,662542
7-Mar-14,26.89,27.61,26.70,27.57,751985
6-Mar-14,26.31,26.74,26.30,26.67,441201
5-Mar-14,26.10,26.38,25.94,26.20,449073
4-Mar-14,25.72,26.22,25.60,26.06,468355
3-Mar-14,25.19,25.54,25.08,25.37,515660
28-Feb-14,26.15,26.42,25.52,25.55,616664
27-Feb-14,26.57,26.68,25.71,26.12,1276931
26-Feb-14,26.23,26.80,26.04,26.75,790912
25-Feb-14,26.63,26.66,26.15,26.29,476374
24-Feb-14,26.46,26.93,26.46,26.69,482048
21-Feb-14,27.39,27.39,26.36,26.36,532961
20-Feb-14,26.98,27.33,26.44,27.25,694024
19-Feb-14,27.88,28.18,26.77,26.86,777760
18-Feb-14,27.77,28.49,27.70,28.03,618954
14-Feb-14,29.00,29.12,27.36,27.78,1739226
13-Feb-14,28.70,29.38,28.70,29.13,524252
12-Feb-14,29.01,29.26,28.80,28.99,539909
11-Feb-14,28.52,29.11,28.52,29.00,331042
10-Feb-14,27.92,28.47,27.76,28.40,266391
7-Feb-14,27.88,28.20,27.59,28.00,396608
6-Feb-14,27.70,27.91,27.40,27.72,551312
5-Feb-14,27.85,27.85,27.25,27.62,472417
4-Feb-14,27.95,28.24,27.50,27.94,555473
3-Feb-14,29.31,29.54,27.74,27.79,738238
31-Jan-14,29.22,29.48,28.18,29.25,639556
30-Jan-14,29.72,30.09,29.52,29.76,295954
29-Jan-14,29.81,30.38,29.32,29.46,446918
28-Jan-14,30.43,30.64,29.99,30.07,467899
27-Jan-14,30.99,31.05,30.05,30.44,383546
24-Jan-14,31.50,32.20,30.68,31.08,322149
23-Jan-14,31.65,32.16,31.65,31.80,492263
22-Jan-14,31.66,31.97,31.61,31.88,318163
21-Jan-14,31.39,31.68,31.18,31.56,211929
17-Jan-14,31.46,31.53,31.09,31.15,239530
16-Jan-14,30.92,31.60,30.85,31.42,321797
15-Jan-14,31.00,31.11,30.61,31.07,367750
14-Jan-14,30.75,30.92,30.47,30.83,217705
13-Jan-14,30.78,31.02,30.36,30.52,323283
10-Jan-14,30.85,31.20,30.58,30.80,502303
9-Jan-14,31.31,31.49,30.64,30.82,716530
8-Jan-14,30.22,31.62,30.22,31.26,689553
7-Jan-14,29.60,30.41,29.36,30.28,352402
6-Jan-14,30.00,30.33,29.37,29.41,536267
3-Jan-14,29.07,30.00,28.96,29.95,499324
2-Jan-14,29.06,29.24,28.86,29.05,213381
31-Dec-13,29.39,29.56,29.20,29.23,243666
30-Dec-13,28.83,29.62,28.80,29.33,297086
27-Dec-13,28.95,29.18,28.58,28.86,287068
26-Dec-13,29.13,29.22,28.75,28.83,211719
24-Dec-13,28.95,29.22,28.80,29.03,189279
23-Dec-13,28.90,29.07,28.66,28.87,304151
20-Dec-13,29.19,29.43,28.60,28.73,1071926
19-Dec-13,28.79,29.37,28.74,29.08,430096
18-Dec-13,28.15,28.84,27.76,28.81,407438
17-Dec-13,28.39,28.39,27.70,28.08,177965
16-Dec-13,28.28,28.70,28.13,28.34,340419
13-Dec-13,28.78,28.96,28.19,28.23,269802
12-Dec-13,28.60,28.82,28.47,28.69,513525
11-Dec-13,29.32,29.40,28.43,28.61,376115
10-Dec-13,29.48,29.61,29.22,29.25,348141
9-Dec-13,29.21,29.66,29.15,29.61,384165
6-Dec-13,29.06,29.50,28.85,29.41,349482
5-Dec-13,28.24,28.99,28.11,28.88,535377
4-Dec-13,28.07,28.52,28.00,28.32,218597
3-Dec-13,28.56,28.71,28.03,28.12,310518
2-Dec-13,28.56,28.82,28.42,28.62,284982
29-Nov-13,28.87,28.99,28.59,28.63,72088
27-Nov-13,28.56,28.99,28.47,28.85,174580
26-Nov-13,28.52,28.92,28.37,28.65,145640
25-Nov-13,28.25,28.58,28.18,28.42,260435
22-Nov-13,28.35,28.45,28.23,28.25,127587
21-Nov-13,28.30,28.59,28.14,28.37,199045
20-Nov-13,28.27,28.37,27.85,28.29,240552
19-Nov-13,28.04,28.42,27.91,28.11,181893
18-Nov-13,28.44,28.54,28.02,28.09,149804
15-Nov-13,28.25,28.50,28.05,28.36,588769
14-Nov-13,27.97,28.51,27.69,28.28,289614
13-Nov-13,27.58,27.82,27.48,27.81,150482
12-Nov-13,27.48,27.78,27.44,27.69,171544
11-Nov-13,27.29,27.57,27.22,27.50,184085
8-Nov-13,26.71,27.43,26.60,27.40,242028
7-Nov-13,27.04,27.13,26.71,26.75,240483
6-Nov-13,26.81,26.90,26.55,26.85,380220
5-Nov-13,26.07,26.75,25.75,26.62,620738
4-Nov-13,26.61,26.61,25.54,26.22,435663
1-Nov-13,25.56,26.12,25.51,26.01,494959
31-Oct-13,27.40,27.90,25.42,25.62,1152919
30-Oct-13,28.20,29.08,28.07,28.38,533022
29-Oct-13,28.25,28.39,28.10,28.22,334427
28-Oct-13,28.40,28.49,28.02,28.14,355287
25-Oct-13,28.56,28.60,28.20,28.40,184592
24-Oct-13,27.99,28.62,27.82,28.44,320162
23-Oct-13,28.01,28.36,27.98,28.03,163671
22-Oct-13,28.40,28.53,28.07,28.24,209844
21-Oct-13,28.39,28.45,28.22,28.40,148379
18-Oct-13,28.32,28.46,28.04,28.42,208104
17-Oct-13,27.62,28.44,27.28,28.08,173420
16-Oct-13,27.47,27.93,27.14,27.87,128060
