Date,Open,High,Low,Close,Volume
31-Dec-14,22.82,23.24,22.67,22.72,191113
30-Dec-14,22.61,22.89,22.53,22.68,72419
29-Dec-14,22.73,22.79,22.39,22.73,165442
26-Dec-14,22.99,23.00,22.55,22.75,80015
24-Dec-14,22.83,23.00,22.52,22.85,52295
23-Dec-14,23.14,23.14,22.65,22.70,162529
22-Dec-14,23.11,23.31,22.28,22.96,238896
19-Dec-14,22.65,23.29,22.37,23.16,309435
18-Dec-14,22.69,22.72,22.08,22.71,223612
17-Dec-14,21.40,22.45,21.32,22.44,145627
16-Dec-14,21.05,21.61,20.87,21.41,146272
15-Dec-14,21.09,21.23,20.91,21.15,180414
12-Dec-14,21.73,21.87,20.94,21.00,234910
11-Dec-14,22.26,22.34,21.86,22.06,335739
10-Dec-14,23.21,23.45,22.04,22.23,222230
9-Dec-14,22.77,23.44,22.39,23.37,324430
8-Dec-14,22.70,23.45,22.20,23.08,300527
5-Dec-14,22.61,23.25,22.47,22.63,345835
4-Dec-14,22.13,22.75,21.94,22.62,267802
3-Dec-14,21.70,22.27,21.32,22.19,123361
2-Dec-14,21.29,21.87,21.18,21.67,110771
1-Dec-14,22.09,22.14,21.05,21.30,207984
28-Nov-14,22.27,22.39,21.83,22.07,68461
26-Nov-14,22.26,22.37,22.05,22.17,86933
25-Nov-14,21.38,22.23,21.26,22.20,342144
24-Nov-14,20.75,21.28,20.60,21.25,171012
21-Nov-14,20.72,20.92,20.46,20.73,133837
20-Nov-14,20.42,20.56,20.21,20.44,94768
19-Nov-14,20.59,20.67,20.32,20.55,132628
18-Nov-14,20.62,20.83,20.53,20.59,153326
17-Nov-14,20.42,20.79,20.26,20.54,165799
14-Nov-14,20.59,20.79,20.36,20.49,124676
13-Nov-14,20.74,21.00,20.57,20.64,96753
12-Nov-14,20.66,20.81,20.40,20.67,154233
11-Nov-14,20.75,21.00,20.45,20.84,104463
10-Nov-14,20.02,20.73,19.80,20.72,124233
7-Nov-14,19.87,20.27,19.80,19.98,213165
6-Nov-14,20.28,20.36,19.92,20.05,173623
5-Nov-14,21.11,21.20,20.24,20.47,172707
4-Nov-14,21.30,21.57,20.92,20.94,258141
3-Nov-14,20.76,21.57,20.52,21.41,395479
31-Oct-14,20.82,21.40,20.37,20.70,338334
30-Oct-14,19.08,20.59,19.08,20.30,736382
29-Oct-14,21.17,21.37,20.70,21.05,243350
28-Oct-14,20.83,21.08,20.55,20.99,286516
27-Oct-14,20.41,20.75,20.22,20.68,157768
24-Oct-14,20.44,20.46,20.13,20.28,123015
23-Oct-14,20.32,20.54,20.06,20.38,172689
22-Oct-14,20.08,20.56,20.07,20.11,276430
21-Oct-14,19.84,20.20,19.64,20.14,246111
20-Oct-14,19.38,19.75,19.00,19.69,282874
17-Oct-14,19.23,19.60,17.99,19.52,282949
16-Oct-14,19.38,19.87,18.84,18.93,280858
15-Oct-14,18.90,19.79,18.72,19.66,298126
14-Oct-14,18.88,19.24,18.67,19.21,198124
13-Oct-14,18.26,19.05,18.15,18.67,237519
10-Oct-14,18.70,18.98,18.21,18.21,157286
9-Oct-14,19.12,19.12,18.59,18.84,171549
8-Oct-14,18.66,19.29,18.23,19.20,183747
7-Oct-14,18.73,19.00,18.60,18.69,145791
6-Oct-14,18.90,19.17,18.48,18.91,126193
3-Oct-14,19.06,19.28,18.66,18.90,229030
2-Oct-14,18.44,18.88,18.00,18.84,193731
1-Oct-14,19.23,19.51,18.24,18.45,419856
30-Sep-14,19.63,19.71,19.18,19.19,289307
29-Sep-14,19.66,19.85,19.37,19.60,193291
26-Sep-14,19.74,20.00,19.41,19.79,98727
25-Sep-14,20.24,20.34,19.70,19.72,167193
24-Sep-14,20.53,20.56,20.08,20.27,158790
23-Sep-14,20.38,20.76,20.28,20.47,269463
22-Sep-14,20.80,20.91,20.24,20.52,356980
19-Sep-14,21.01,21.01,19.96,20.18,423518
18-Sep-14,21.03,21.19,20.73,21.05,139468
17-Sep-14,20.90,21.27,20.74,20.89,131473
16-Sep-14,21.26,21.49,20.85,20.92,197994
15-Sep-14,22.15,22.15,21.49,21.50,220825
12-Sep-14,22.06,22.51,21.87,22.16,470686
11-Sep-14,21.78,22.22,21.74,22.01,244630
10-Sep-14,22.13,22.30,21.75,21.97,101344
9-Sep-14,22.50,22.60,22.09,22.16,255807
8-Sep-14,22.55,22.58,22.30,22.58,169959
5-Sep-14,22.19,22.69,22.18,22.54,138180
4-Sep-14,22.14,22.71,22.05,22.31,198056
3-Sep-14,22.35,22.70,22.09,22.11,424194
2-Sep-14,21.92,22.46,21.90,22.30,353788
29-Aug-14,21.90,22.00,21.72,21.90,113238
28-Aug-14,21.70,22.00,21.64,21.87,368233
27-Aug-14,21.09,21.89,21.09,21.86,412951
26-Aug-14,20.68,21.30,20.62,21.13,567061
25-Aug-14,20.75,20.92,20.58,20.68,89586
22-Aug-14,19.75,21.04,19.75,20.65,396503
21-Aug-14,20.62,20.73,19.58,19.77,217817
20-Aug-14,20.70,20.74,19.88,19.94,190983
19-Aug-14,21.00,21.30,20.74,20.78,155569
18-Aug-14,20.93,21.14,20.61,21.02,174139
15-Aug-14,20.69,20.93,20.25,20.74,500850
14-Aug-14,20.12,20.40,19.85,20.36,181052
13-Aug-14,19.54,20.21,19.39,20.18,170827
12-Aug-14,19.12,19.56,19.11,19.54,266162
11-Aug-14,18.93,19.64,18.54,19.22,278150
8-Aug-14,18.96,19.11,18.62,18.73,210798
7-Aug-14,19.75,19.75,18.79,19.01,209673
6-Aug-14,19.83,20.13,19.55,19.70,106852
5-Aug-14,20.29,20.29,19.54,19.90,280967
4-Aug-14,20.35,20.50,19.80,20.37,125013
1-Aug-14,20.50,20.88,20.04,20.24,106231
31-Jul-14,21.55,21.55,20.46,20.62,203292
30-Jul-14,22.13,22.13,21.67,21.84,69000
29-Jul-14,22.21,22.50,21.62,21.93,193433
28-Jul-14,22.15,22.30,21.57,22.09,144783
25-Jul-14,22.04,22.25,21.34,22.15,216641
24-Jul-14,21.47,21.57,20.99,21.20,239238
23-Jul-14,21.88,22.01,21.30,21.36,79989
22-Jul-14,21.44,22.02,21.40,21.88,99336
21-Jul-14,21.39,21.57,21.09,21.31,130598
18-Jul-14,21.07,21.60,21.07,21.51,165403
17-Jul-14,21.25,21.60,20.98,21.18,237630
16-Jul-14,21.64,21.72,21.14,21.31,110759
15-Jul-14,21.91,21.97,21.38,21.47,180081
14-Jul-14,22.03,22.36,21.75,22.00,168002
11-Jul-14,21.83,22.00,21.52,21.83,89234
10-Jul-14,21.36,22.01,21.18,21.92,197531
9-Jul-14,21.60,22.00,21.28,21.86,137028
8-Jul-14,21.38,21.53,21.19,21.49,200170
7-Jul-14,22.00,22.10,21.30,21.49,215619
3-Jul-14,21.67,21.94,21.53,21.92,48013
2-Jul-14,21.68,21.89,21.58,21.65,79084
1-Jul-14,21.57,21.82,21.28,21.69,261398
30-Jun-14,21.57,21.88,21.46,21.49,215733
27-Jun-14,21.25,21.84,21.23,21.51,497107
26-Jun-14,21.04,21.62,21.04,21.46,248480
25-Jun-14,20.75,21.13,20.38,20.75,135722
24-Jun-14,20.48,21.29,20.38,20.97,282971
23-Jun-14,20.12,20.52,20.02,20.48,153351
20-Jun-14,19.77,20.22,19.52,20.12,259495
19-Jun-14,19.65,19.80,19.50,19.65,227072
18-Jun-14,20.10,20.10,19.31,19.63,187099
17-Jun-14,20.21,20.38,19.92,20.06,206268
16-Jun-14,20.36,20.36,19.97,20.30,142499
13-Jun-14,21.02,21.02,20.11,20.34,321683
12-Jun-14,21.56,21.73,20.86,20.93,136875
11-Jun-14,21.78,22.00,21.43,21.67,122497
10-Jun-14,21.74,22.15,21.12,21.98,448213
9-Jun-14,22.25,22.45,21.72,21.90,166312
6-Jun-14,21.97,22.38,21.47,22.34,590641
5-Jun-14,21.50,21.88,21.21,21.80,163783
4-Jun-14,21.30,21.97,21.22,21.50,528673
3-Jun-14,21.11,21.40,20.76,21.30,261096
2-Jun-14,21.18,21.46,20.96,21.30,145031
30-May-14,21.42,21.42,20.88,21.02,141904
29-May-14,21.10,21.50,21.00,21.42,156242
28-May-14,21.39,21.52,20.85,21.13,240557
27-May-14,21.73,21.73,21.26,21.48,177633
23-May-14,21.20,21.67,21.04,21.60,146504
22-May-14,20.83,21.26,20.59,21.16,254844
21-May-14,20.77,21.08,20.37,20.84,140468
20-May-14,21.39,21.53,20.24,20.64,477966
19-May-14,21.49,21.94,21.30,21.50,105561
16-May-14,21.27,21.65,20.95,21.63,173248
15-May-14,21.71,21.89,20.91,21.29,350101
14-May-14,21.97,22.26,21.63,21.86,271523
13-May-14,22.95,23.00,21.68,21.93,529151
12-May-14,24.11,25.20,23.69,25.02,143062
9-May-14,23.02,24.17,21.74,24.08,187832
8-May-14,23.89,24.35,22.96,23.19,125370
7-May-14,24.54,24.54,23.28,23.89,151801
6-May-14,24.76,25.05,24.36,24.43,182220
5-May-14,23.91,25.05,23.62,24.93,151304
2-May-14,24.00,24.51,23.76,24.02,209072
1-May-14,24.27,24.40,23.52,23.88,351890
30-Apr-14,23.99,24.65,23.52,24.42,249683
29-Apr-14,24.01,24.49,23.85,24.08,205383
28-Apr-14,24.37,24.94,23.55,23.99,286471
25-Apr-14,23.74,25.48,23.74,24.21,353692
24-Apr-14,24.14,24.33,23.70,24.04,193741
23-Apr-14,24.36,24.36,23.79,23.86,171223
22-Apr-14,24.54,24.63,24.07,24.32,132582
21-Apr-14,24.35,24.90,24.14,24.42,120426
17-Apr-14,23.58,24.44,23.37,24.27,179253
16-Apr-14,22.89,23.68,22.49,23.62,127204
15-Apr-14,22.88,22.90,22.12,22.65,186779
14-Apr-14,22.82,23.57,22.20,22.75,203708
11-Apr-14,22.35,22.76,22.15,22.50,192479
10-Apr-14,23.81,23.93,22.29,22.62,263140
9-Apr-14,23.98,24.34,23.28,23.88,198911
8-Apr-14,23.54,24.11,23.43,23.98,377591
7-Apr-14,23.82,23.96,22.94,23.43,331347
4-Apr-14,24.60,24.60,23.08,23.60,247725
3-Apr-14,24.57,25.03,24.10,24.47,245840
2-Apr-14,24.30,24.86,23.71,24.47,182934
1-Apr-14,22.94,24.47,22.94,24.24,405425
31-Mar-14,22.50,22.95,22.32,22.82,385259
28-Mar-14,22.55,22.66,22.19,22.35,219893
27-Mar-14,22.68,23.01,22.11,22.61,210356
26-Mar-14,22.95,22.97,22.33,22.57,291839
25-Mar-14,22.59,23.46,22.59,22.85,302390
24-Mar-14,22.90,23.28,21.90,22.30,176607
21-Mar-14,23.22,23.45,22.78,22.79,220549
20-Mar-14,23.09,23.39,22.87,23.03,167885
19-Mar-14,23.01,23.25,22.96,23.07,234683
18-Mar-14,21.98,23.37,21.98,23.08,517489
17-Mar-14,21.36,22.15,21.36,21.90,335056
14-Mar-14,20.93,21.42,20.93,21.17,229247
13-Mar-14,21.73,22.31,20.74,20.91,314815
12-Mar-14,20.69,21.59,20.57,21.36,145725
11-Mar-14,20.95,21.25,20.55,20.84,123272
10-Mar-14,22.08,22.48,20.74,20.87,346876
7-Mar-14,23.20,23.20,22.04,22.23,217460
6-Mar-14,22.91,23.30,22.75,23.12,178601
5-Mar-14,23.10,23.10,22.63,22.93,116108
4-Mar-14,22.73,23.24,22.64,23.15,318402
3-Mar-14,22.79,23.22,22.44,22.46,258786
28-Feb-14,22.67,22.87,22.39,22.49,255636
27-Feb-14,22.69,22.81,22.25,22.78,216499
26-Feb-14,22.75,23.00,22.47,22.70,221331
25-Feb-14,22.31,22.88,22.11,22.70,260516
24-Feb-14,22.52,23.41,21.81,22.21,388097
21-Feb-14,25.19,25.19,21.84,22.46,869259
20-Feb-14,25.54,25.54,25.22,25.41,129203
19-Feb-14,25.43,26.20,25.41,25.54,167329
18-Feb-14,25.20,25.60,25.08,25.56,131763
14-Feb-14,25.15,25.25,24.66,25.16,92659
13-Feb-14,24.59,25.10,24.59,25.10,79519
12-Feb-14,24.95,25.03,24.61,24.83,127779
11-Feb-14,24.83,25.05,24.55,24.96,124499
10-Feb-14,24.86,24.86,24.39,24.85,189929
7-Feb-14,24.70,25.06,24.64,24.90,167441
6-Feb-14,24.68,25.04,24.50,24.64,131480
5-Feb-14,24.48,24.85,24.13,24.53,160730
4-Feb-14,24.12,24.68,24.12,24.56,280966
3-Feb-14,24.02,24.21,23.78,24.12,316566
31-Jan-14,23.30,24.21,23.23,24.03,147756
30-Jan-14,23.22,24.33,22.43,23.88,262040
29-Jan-14,24.23,24.54,22.88,22.94,369020
28-Jan-14,23.83,24.54,23.59,24.44,178665
27-Jan-14,25.17,25.18,23.56,23.88,405566
24-Jan-14,25.41,25.81,25.04,25.19,202594
23-Jan-14,25.14,25.65,25.14,25.65,141095
22-Jan-14,25.80,25.80,25.17,25.30,222583
21-Jan-14,26.06,26.43,25.50,25.80,139310
17-Jan-14,26.20,26.21,25.86,26.02,127297
16-Jan-14,26.12,26.62,25.91,26.32,87228
15-Jan-14,26.35,26.38,25.99,26.22,124023
14-Jan-14,25.50,26.38,25.45,26.28,222108
13-Jan-14,25.76,25.92,25.08,25.34,228467
10-Jan-14,26.17,26.35,25.88,25.92,138993
9-Jan-14,26.10,26.20,25.86,26.19,198158
8-Jan-14,25.82,26.10,25.66,26.05,169796
7-Jan-14,25.90,26.08,25.88,25.93,155442
6-Jan-14,26.03,26.10,25.54,25.73,171500
3-Jan-14,25.07,26.09,25.00,25.99,136403
2-Jan-14,25.45,25.57,24.74,25.06,157982
31-Dec-13,25.12,25.65,25.00,25.51,444413
30-Dec-13,24.89,25.07,24.63,24.99,183303
27-Dec-13,25.01,25.03,24.60,24.83,125096
26-Dec-13,25.59,25.59,24.72,24.97,123948
24-Dec-13,25.50,25.76,25.23,25.47,67092
23-Dec-13,25.47,25.72,25.29,25.51,150170
20-Dec-13,25.46,25.76,25.31,25.39,367649
19-Dec-13,25.54,25.76,24.96,25.36,270155
18-Dec-13,24.41,26.01,24.33,25.49,334318
17-Dec-13,23.92,24.37,23.91,24.30,153098
16-Dec-13,23.37,24.04,23.34,24.00,212696
13-Dec-13,23.02,23.71,23.02,23.33,130242
12-Dec-13,22.25,23.18,22.17,22.88,352361
11-Dec-13,22.54,22.81,22.15,22.23,329322
10-Dec-13,22.63,22.95,22.53,22.63,151785
9-Dec-13,22.46,22.77,22.35,22.60,176965
6-Dec-13,22.93,23.17,22.18,22.50,247648
5-Dec-13,23.30,23.58,22.24,22.63,238887
4-Dec-13,23.91,23.91,23.08,23.22,125803
3-Dec-13,23.38,24.00,23.19,23.96,246691
2-Dec-13,22.99,24.00,22.99,23.39,226035
29-Nov-13,22.86,23.44,21.72,22.76,165240
27-Nov-13,22.31,22.41,22.10,22.41,201360
26-Nov-13,22.21,22.34,22.01,22.30,147591
25-Nov-13,21.94,22.33,21.73,22.15,151764
22-Nov-13,22.13,22.17,21.73,21.83,138090
21-Nov-13,21.48,22.17,21.41,22.12,291184
20-Nov-13,22.00,22.07,21.36,21.48,219159
19-Nov-13,21.71,22.10,21.71,21.90,129262
18-Nov-13,22.00,22.00,21.72,21.77,362340
15-Nov-13,21.89,22.00,21.85,21.98,153924
