Date,Open,High,Low,Close,Volume
31-Dec-14,12.84,13.13,12.76,12.77,1212771
30-Dec-14,12.90,12.99,12.80,12.86,722864
29-Dec-14,13.09,13.14,12.92,12.97,1592559
26-Dec-14,12.93,13.19,12.75,13.14,1162930
24-Dec-14,12.99,13.03,12.79,12.87,713449
23-Dec-14,13.01,13.19,12.76,13.00,2528738
22-Dec-14,12.69,13.08,12.45,12.96,1556458
19-Dec-14,12.43,12.81,12.28,12.74,3029634
18-Dec-14,12.46,12.52,12.31,12.43,1708143
17-Dec-14,12.09,12.35,12.00,12.32,1799977
16-Dec-14,11.64,12.32,11.58,12.07,3641939
15-Dec-14,11.58,11.71,11.45,11.65,1713340
12-Dec-14,11.56,11.62,11.38,11.51,3676899
11-Dec-14,11.90,11.96,11.60,11.64,1471498
10-Dec-14,12.02,12.09,11.76,11.84,2518790
9-Dec-14,11.90,12.09,11.78,12.04,1675339
8-Dec-14,12.04,12.24,11.98,12.02,1441454
5-Dec-14,12.05,12.08,11.90,12.07,2080137
4-Dec-14,12.08,12.17,11.88,12.05,2103221
3-Dec-14,12.03,12.18,11.94,12.14,1750152
2-Dec-14,12.04,12.20,11.98,12.03,2257068
1-Dec-14,11.99,12.20,11.98,12.06,2504879
28-Nov-14,12.03,12.20,11.92,12.02,1522361
26-Nov-14,12.03,12.24,11.97,12.05,1717507
25-Nov-14,12.21,12.49,11.99,12.03,2504402
24-Nov-14,12.43,12.43,12.09,12.21,2315558
21-Nov-14,12.15,12.48,12.14,12.42,3421860
20-Nov-14,11.65,12.11,11.65,12.07,2531192
19-Nov-14,12.20,12.21,12.00,12.16,1915796
18-Nov-14,12.64,12.74,12.02,12.20,2192646
17-Nov-14,12.40,12.74,12.26,12.30,2734540
14-Nov-14,12.48,12.80,12.38,12.44,3472446
13-Nov-14,11.97,12.53,11.97,12.46,4669604
12-Nov-14,11.56,12.03,11.53,11.95,6826911
11-Nov-14,11.26,11.33,11.02,11.23,7979407
10-Nov-14,11.57,11.60,11.24,11.28,5575873
7-Nov-14,11.00,11.76,11.00,11.54,16963571
6-Nov-14,13.41,13.61,13.41,13.55,2709960
5-Nov-14,13.90,13.97,13.40,13.50,1874032
4-Nov-14,13.74,13.99,13.74,13.78,1506829
3-Nov-14,13.72,13.90,13.63,13.80,1304691
31-Oct-14,14.00,14.01,13.64,13.72,1919240
30-Oct-14,13.75,13.83,13.62,13.82,838194
29-Oct-14,13.83,14.04,13.67,13.79,1123210
28-Oct-14,13.65,13.87,13.62,13.86,1313442
27-Oct-14,13.56,13.62,13.46,13.61,686112
24-Oct-14,13.60,13.75,13.40,13.62,826416
23-Oct-14,13.47,13.67,13.43,13.58,893855
22-Oct-14,13.50,13.63,13.37,13.38,1536180
21-Oct-14,13.08,13.47,13.04,13.46,1980261
20-Oct-14,12.82,13.10,12.80,13.04,1171434
17-Oct-14,13.03,13.05,12.78,12.86,1272704
16-Oct-14,12.79,13.00,12.76,12.87,2061576
15-Oct-14,12.75,13.12,12.71,12.98,2279900
14-Oct-14,13.30,13.30,12.79,12.94,3497243
13-Oct-14,13.26,13.46,13.08,13.19,1681703
10-Oct-14,13.52,13.63,13.22,13.24,1827756
9-Oct-14,13.78,13.79,13.48,13.50,1339034
8-Oct-14,13.50,13.85,13.34,13.84,1488288
7-Oct-14,13.65,13.70,13.45,13.45,1565227
6-Oct-14,13.63,13.81,13.48,13.70,1670041
3-Oct-14,13.55,13.66,13.40,13.60,2203916
2-Oct-14,13.44,13.58,13.34,13.47,2403707
1-Oct-14,13.44,13.62,13.34,13.48,5966318
30-Sep-14,13.59,13.59,13.24,13.42,3979300
29-Sep-14,13.42,13.62,13.40,13.54,1694991
26-Sep-14,13.47,13.66,13.41,13.54,3232487
25-Sep-14,13.60,13.79,13.26,13.40,3112998
24-Sep-14,14.04,14.09,13.65,13.69,4325331
23-Sep-14,14.09,14.19,13.98,14.00,1194019
22-Sep-14,14.33,14.33,13.80,14.14,2552345
19-Sep-14,14.50,14.50,14.16,14.35,2930415
18-Sep-14,14.38,14.52,14.25,14.43,1273162
17-Sep-14,14.22,14.54,14.15,14.36,1517701
16-Sep-14,14.33,14.58,14.21,14.24,1632793
15-Sep-14,14.49,14.72,14.15,14.38,2654260
12-Sep-14,14.58,14.60,14.29,14.46,1974813
11-Sep-14,14.48,14.76,14.44,14.62,836366
10-Sep-14,14.58,14.77,14.41,14.55,2202884
9-Sep-14,15.08,15.08,14.37,14.58,2889320
8-Sep-14,15.08,15.30,15.01,15.12,1078241
5-Sep-14,14.90,15.10,14.80,15.06,893792
4-Sep-14,14.91,15.16,14.88,14.90,1312142
3-Sep-14,14.93,15.23,14.80,14.86,1127222
2-Sep-14,14.81,14.94,14.69,14.92,1092359
29-Aug-14,14.69,14.83,14.50,14.78,948963
28-Aug-14,14.70,14.85,14.61,14.64,1596907
27-Aug-14,14.88,14.99,14.73,14.76,1550676
26-Aug-14,14.71,14.95,14.67,14.89,904777
25-Aug-14,14.68,14.85,14.61,14.70,789856
22-Aug-14,14.65,14.79,14.58,14.60,937227
21-Aug-14,14.71,14.84,14.58,14.62,1059222
20-Aug-14,14.45,14.86,14.41,14.68,1502065
19-Aug-14,14.42,14.50,14.33,14.40,1104081
18-Aug-14,14.48,14.50,14.07,14.41,2717569
15-Aug-14,14.51,14.51,14.25,14.44,1773706
14-Aug-14,14.28,14.55,14.14,14.50,3644472
13-Aug-14,14.67,14.81,13.92,13.98,6690860
12-Aug-14,14.80,14.98,14.56,14.64,1503234
11-Aug-14,15.08,15.12,14.75,14.91,2475013
8-Aug-14,15.39,15.92,14.99,15.03,2047712
7-Aug-14,15.48,15.73,15.25,15.31,1695261
6-Aug-14,15.31,15.53,15.23,15.38,2136003
5-Aug-14,15.44,15.59,15.26,15.38,1212820
4-Aug-14,15.54,15.65,15.32,15.49,1024407
1-Aug-14,15.94,15.99,15.35,15.47,2009010
31-Jul-14,16.43,16.73,15.91,15.92,1990603
30-Jul-14,16.61,16.74,16.51,16.56,909263
29-Jul-14,16.69,16.80,16.49,16.52,1047432
28-Jul-14,16.78,16.86,16.50,16.70,828108
25-Jul-14,16.65,16.98,16.57,16.80,911617
24-Jul-14,16.77,17.01,16.64,16.74,1239142
23-Jul-14,17.15,17.17,16.73,16.75,1323311
22-Jul-14,16.72,16.92,16.58,16.60,886293
21-Jul-14,16.68,16.81,16.54,16.66,1262455
18-Jul-14,16.54,16.91,16.44,16.81,2601411
17-Jul-14,16.37,16.68,16.36,16.56,2145012
16-Jul-14,15.87,16.50,15.80,16.44,3447226
15-Jul-14,15.89,15.94,15.65,15.81,1244346
14-Jul-14,15.88,15.91,15.68,15.85,925797
11-Jul-14,16.10,16.38,15.62,15.75,1006993
10-Jul-14,15.94,16.28,15.41,16.17,3037095
9-Jul-14,15.60,15.72,15.39,15.45,1643322
8-Jul-14,15.94,16.06,15.49,15.51,1757319
7-Jul-14,16.26,16.37,15.90,16.00,943488
3-Jul-14,16.31,16.39,16.17,16.35,465940
2-Jul-14,16.20,16.36,16.16,16.27,1456353
1-Jul-14,16.11,16.37,16.11,16.22,1858386
30-Jun-14,16.12,16.14,15.92,16.05,1385960
27-Jun-14,15.72,16.10,15.39,16.09,3117673
26-Jun-14,15.57,15.57,15.40,15.45,550071
25-Jun-14,15.58,15.63,15.44,15.55,1174520
24-Jun-14,15.62,15.84,15.55,15.59,1306651
23-Jun-14,15.47,15.75,15.35,15.66,1484830
20-Jun-14,15.28,15.52,15.17,15.49,1853955
19-Jun-14,15.20,15.26,15.12,15.19,807468
18-Jun-14,15.20,15.23,15.02,15.16,837542
17-Jun-14,14.83,15.28,14.70,15.15,2463034
16-Jun-14,14.71,14.78,14.40,14.75,1471294
13-Jun-14,14.73,14.80,14.42,14.44,2550812
12-Jun-14,15.00,15.02,14.67,14.68,2907916
11-Jun-14,15.15,15.28,14.95,15.05,960170
10-Jun-14,15.31,15.44,15.16,15.25,1238241
9-Jun-14,15.22,15.57,15.16,15.38,1816193
6-Jun-14,15.00,15.30,14.98,15.25,1971116
5-Jun-14,14.84,15.05,14.75,14.90,792293
4-Jun-14,14.89,14.90,14.74,14.83,971059
3-Jun-14,14.74,15.10,14.73,14.92,1713984
2-Jun-14,14.72,14.87,14.44,14.82,1797821
30-May-14,14.97,15.03,14.65,14.74,1019838
29-May-14,14.83,15.01,14.77,14.97,900471
28-May-14,14.84,15.10,14.80,14.83,1453181
27-May-14,15.16,15.25,14.68,14.86,2323361
23-May-14,14.84,14.86,14.71,14.82,1069044
22-May-14,14.69,14.87,14.63,14.78,1550334
21-May-14,14.64,14.81,14.55,14.66,1455246
20-May-14,15.02,15.09,14.46,14.54,2402474
19-May-14,15.01,15.25,14.98,15.08,1510151
16-May-14,15.08,15.11,14.80,15.09,823242
15-May-14,14.99,15.11,14.65,15.10,1327874
14-May-14,15.24,15.33,14.94,15.02,1362659
13-May-14,15.57,15.64,15.26,15.30,1432146
12-May-14,15.02,15.74,14.89,15.69,1663353
9-May-14,15.36,15.54,14.61,14.98,3163929
8-May-14,15.03,15.30,14.82,14.99,1782097
7-May-14,15.17,15.21,14.80,15.11,1754184
6-May-14,15.28,15.46,15.03,15.06,2028105
5-May-14,15.29,15.69,15.29,15.38,1330024
2-May-14,15.50,15.64,15.38,15.41,1792956
1-May-14,15.30,15.76,15.27,15.45,2109015
30-Apr-14,15.18,15.28,15.05,15.22,2011399
29-Apr-14,15.40,15.49,15.14,15.17,1832273
28-Apr-14,15.69,15.70,15.18,15.33,1495276
25-Apr-14,15.63,15.63,15.19,15.60,2729958
24-Apr-14,16.21,16.28,15.69,15.74,2213659
23-Apr-14,16.09,16.19,15.93,16.06,2274860
22-Apr-14,16.46,16.56,15.84,16.02,4042303
21-Apr-14,16.57,16.63,16.36,16.48,944699
17-Apr-14,16.86,17.02,16.60,16.61,947743
