Date,Open,High,Low,Close,Volume
31-Dec-14,3.45,3.46,3.40,3.46,11537
30-Dec-14,3.39,3.50,3.15,3.45,9260
29-Dec-14,3.25,3.50,3.24,3.50,5523
26-Dec-14,3.31,3.35,3.05,3.20,17399
24-Dec-14,3.35,3.35,3.35,3.35,200
23-Dec-14,3.38,3.45,3.38,3.40,2174
22-Dec-14,3.40,3.45,3.35,3.44,2562
19-Dec-14,3.29,3.50,3.29,3.45,4407
18-Dec-14,3.45,3.45,3.40,3.40,950
17-Dec-14,3.46,3.46,3.45,3.45,850
16-Dec-14,3.39,3.50,2.70,3.50,1765
15-Dec-14,3.60,3.60,3.46,3.46,1310
11-Dec-14,3.60,3.70,3.60,3.69,425
10-Dec-14,3.60,3.61,3.45,3.61,12558
9-Dec-14,3.64,3.75,3.62,3.75,1650
8-Dec-14,3.60,3.75,3.60,3.75,1351
3-Dec-14,3.68,3.75,3.68,3.75,1275
2-Dec-14,3.47,3.68,3.47,3.53,7479
1-Dec-14,3.42,3.42,3.42,3.42,650
28-Nov-14,3.49,3.49,3.40,3.49,1792
26-Nov-14,3.40,3.46,3.36,3.46,2469
25-Nov-14,3.40,3.40,3.40,3.40,205
24-Nov-14,3.40,3.49,3.40,3.42,925
21-Nov-14,3.40,3.44,3.40,3.44,800
20-Nov-14,3.40,3.49,3.36,3.46,4469
19-Nov-14,3.51,3.52,3.38,3.52,3612
18-Nov-14,3.42,3.53,3.42,3.47,1309
17-Nov-14,3.53,3.53,3.46,3.53,525
14-Nov-14,3.55,3.55,3.49,3.49,500
13-Nov-14,3.40,3.55,3.40,3.49,6755
12-Nov-14,3.50,3.63,3.44,3.57,3500
11-Nov-14,3.48,3.64,3.46,3.50,6392
10-Nov-14,3.50,3.68,3.49,3.49,1649
7-Nov-14,3.40,3.68,3.39,3.56,6600
6-Nov-14,3.53,3.56,3.31,3.53,25820
5-Nov-14,3.52,3.68,3.52,3.68,800
3-Nov-14,3.65,3.65,3.65,3.65,425
31-Oct-14,3.50,3.69,3.50,3.64,7813
30-Oct-14,3.30,3.68,3.30,3.49,12331
27-Oct-14,3.61,3.61,3.45,3.55,2104
24-Oct-14,3.60,3.62,3.40,3.53,625
21-Oct-14,3.62,3.62,3.62,3.62,100
20-Oct-14,3.32,3.63,3.30,3.55,1550
15-Oct-14,3.37,3.66,3.37,3.66,1735
14-Oct-14,3.40,3.64,3.40,3.64,350
13-Oct-14,3.16,3.40,3.16,3.40,616
10-Oct-14,3.40,3.68,3.24,3.34,950
9-Oct-14,3.00,3.28,2.56,3.14,7031
8-Oct-14,3.42,3.51,3.38,3.51,2521
2-Oct-14,3.68,3.68,3.68,3.68,200
1-Oct-14,3.51,3.59,3.48,3.59,1551
24-Sep-14,3.69,3.69,3.69,3.69,150
23-Sep-14,3.63,3.70,3.55,3.55,3400
22-Sep-14,3.70,3.70,3.70,3.70,190
19-Sep-14,3.58,3.70,3.58,3.70,2673
17-Sep-14,3.60,3.60,3.60,3.60,187
16-Sep-14,3.58,3.63,3.58,3.63,350
15-Sep-14,3.67,3.67,3.56,3.60,622
12-Sep-14,3.56,3.68,3.55,3.59,3028
11-Sep-14,3.65,3.65,3.65,3.65,450
4-Sep-14,3.65,3.77,3.65,3.77,375
3-Sep-14,3.65,3.86,3.65,3.81,1500
29-Aug-14,3.79,3.88,3.79,3.88,1140
28-Aug-14,3.84,3.84,3.61,3.61,380
27-Aug-14,3.68,3.80,3.68,3.74,475
26-Aug-14,3.87,3.87,3.68,3.68,300
25-Aug-14,3.79,3.83,3.56,3.81,2090
22-Aug-14,3.88,3.88,3.88,3.88,200
18-Aug-14,3.92,3.92,3.92,3.92,204
15-Aug-14,3.95,4.01,3.82,4.01,3095
14-Aug-14,3.95,4.02,3.90,3.96,2600
13-Aug-14,3.90,4.00,3.90,4.00,524
12-Aug-14,3.93,4.03,3.90,3.93,19785
11-Aug-14,4.00,4.00,4.00,4.00,500
8-Aug-14,4.03,4.09,3.90,3.90,1650
7-Aug-14,3.94,4.03,3.91,4.03,1500
6-Aug-14,4.00,4.10,3.90,4.05,3950
5-Aug-14,3.81,3.81,3.80,3.80,615
4-Aug-14,3.91,4.15,3.88,3.88,22412
1-Aug-14,4.05,4.29,3.99,3.99,40399
31-Jul-14,4.09,4.13,3.92,4.13,14468
30-Jul-14,4.00,4.28,3.95,4.01,24462
29-Jul-14,3.97,4.15,3.93,3.98,2176
28-Jul-14,4.02,4.24,3.96,4.07,31687
25-Jul-14,3.97,4.24,3.97,4.09,13927
24-Jul-14,4.08,4.23,3.97,4.05,16436
23-Jul-14,3.99,3.99,3.97,3.99,1996
22-Jul-14,4.08,4.13,3.95,3.97,49608
21-Jul-14,3.99,3.99,3.93,3.93,6450
18-Jul-14,3.91,4.08,3.89,4.08,16077
17-Jul-14,3.97,3.97,3.97,3.97,200
16-Jul-14,3.92,3.99,3.92,3.99,1168
15-Jul-14,3.98,3.98,3.93,3.98,1800
14-Jul-14,3.86,3.97,3.86,3.97,2155
10-Jul-14,4.00,4.00,3.93,3.99,2040
9-Jul-14,4.00,4.00,3.97,3.97,880
8-Jul-14,3.98,4.07,3.93,4.07,3300
7-Jul-14,3.93,4.05,3.93,4.00,4600
3-Jul-14,4.02,4.02,4.02,4.02,166
2-Jul-14,3.97,4.05,3.93,4.05,7994
1-Jul-14,4.06,4.06,4.00,4.00,2006
30-Jun-14,4.05,4.16,4.05,4.16,1849
27-Jun-14,4.10,4.16,4.05,4.16,7498
26-Jun-14,4.05,4.10,4.00,4.10,4245
25-Jun-14,4.05,4.10,4.05,4.10,3918
24-Jun-14,4.10,4.10,4.05,4.10,5392
23-Jun-14,4.10,4.10,3.82,4.10,4300
20-Jun-14,4.05,4.11,4.00,4.11,1208
19-Jun-14,3.95,4.05,3.80,4.05,29273
18-Jun-14,4.05,4.10,3.95,4.10,8801
17-Jun-14,4.13,4.13,4.13,4.13,1065
16-Jun-14,4.05,4.05,4.00,4.00,1884
13-Jun-14,4.06,4.15,4.05,4.15,7563
12-Jun-14,4.10,4.10,3.95,4.10,3939
11-Jun-14,4.09,4.10,4.09,4.10,1050
9-Jun-14,4.05,4.10,4.04,4.06,1740
6-Jun-14,4.07,4.14,4.05,4.14,1800
5-Jun-14,4.15,4.15,4.15,4.15,379
4-Jun-14,3.96,4.15,3.91,4.13,13498
2-Jun-14,4.11,4.15,4.05,4.15,1663
27-May-14,4.13,4.22,4.11,4.20,1275
23-May-14,4.22,4.22,4.07,4.22,2375
22-May-14,4.22,4.22,4.07,4.22,2429
21-May-14,4.20,4.22,4.15,4.15,1297
20-May-14,4.22,4.24,4.15,4.23,2000
19-May-14,4.22,4.24,4.15,4.15,1360
16-May-14,4.22,4.25,4.15,4.25,1473
13-May-14,4.22,4.35,4.15,4.25,1287
12-May-14,4.25,4.27,4.15,4.20,3264
9-May-14,4.22,4.22,4.22,4.22,300
