Date,Open,High,Low,Close,Volume
31-Dec-14,127.74,128.77,126.89,127.67,176744
30-Dec-14,129.48,130.92,127.28,127.70,216810
29-Dec-14,129.65,130.18,128.12,129.45,171683
26-Dec-14,128.81,130.07,128.54,129.73,228449
24-Dec-14,127.25,130.13,126.79,127.84,128531
23-Dec-14,127.61,127.68,125.93,126.54,260754
22-Dec-14,128.75,129.95,126.84,127.41,332834
19-Dec-14,128.79,130.12,127.68,128.50,268441
18-Dec-14,130.26,131.20,127.17,128.13,359934
17-Dec-14,126.83,130.63,124.88,128.98,476244
16-Dec-14,132.89,136.99,126.65,127.00,634428
15-Dec-14,136.65,137.46,133.78,134.28,662405
12-Dec-14,134.51,137.89,134.43,134.60,250648
11-Dec-14,135.67,138.17,134.80,135.53,223894
10-Dec-14,140.32,140.79,134.77,135.52,331934
9-Dec-14,138.32,140.91,135.91,140.38,414420
8-Dec-14,139.10,141.62,137.54,139.99,490142
5-Dec-14,139.03,140.06,138.02,138.20,269753
4-Dec-14,140.75,141.06,138.22,139.21,313309
3-Dec-14,140.30,142.39,137.18,140.60,752915
2-Dec-14,140.00,141.48,139.07,140.25,426893
1-Dec-14,140.50,141.86,138.73,139.80,695816
28-Nov-14,141.00,142.25,140.00,140.94,136164
26-Nov-14,141.00,141.50,140.01,141.06,216515
25-Nov-14,139.32,141.91,139.02,140.62,292693
24-Nov-14,138.51,140.27,137.75,140.00,331119
21-Nov-14,137.57,139.32,135.48,138.71,505560
20-Nov-14,134.79,137.60,134.60,135.98,300625
19-Nov-14,135.85,137.43,133.78,135.32,382133
18-Nov-14,134.21,136.66,133.03,135.50,348752
17-Nov-14,135.62,136.68,132.01,133.71,472944
14-Nov-14,131.67,135.20,131.25,134.62,327217
13-Nov-14,135.16,136.10,131.78,132.22,719411
12-Nov-14,135.03,136.50,134.22,135.48,280284
11-Nov-14,136.34,137.30,133.13,134.93,951400
10-Nov-14,135.25,136.85,134.07,136.54,473824
7-Nov-14,135.00,135.70,133.62,134.75,517500
6-Nov-14,135.43,136.30,134.07,134.66,919204
5-Nov-14,140.16,141.00,135.87,136.48,987418
4-Nov-14,136.11,140.56,135.12,139.38,1986350
3-Nov-14,135.86,138.03,135.28,136.24,1584517
31-Oct-14,134.01,144.23,131.06,136.15,2911416
30-Oct-14,113.40,115.95,112.39,115.20,996994
29-Oct-14,115.36,116.00,112.25,113.76,786935
28-Oct-14,110.70,115.60,109.20,115.55,724332
27-Oct-14,110.01,110.78,108.15,109.73,501384
24-Oct-14,107.91,113.04,106.29,112.16,787726
23-Oct-14,107.89,109.57,107.00,107.40,380853
22-Oct-14,110.43,110.57,106.73,106.85,253886
21-Oct-14,107.60,110.45,107.44,110.34,375279
20-Oct-14,103.98,107.66,103.37,106.96,400881
17-Oct-14,107.28,107.72,103.60,104.27,507963
16-Oct-14,103.60,107.19,103.10,105.94,817302
15-Oct-14,106.66,109.56,102.44,106.16,1043491
14-Oct-14,109.78,110.83,106.61,108.03,462230
13-Oct-14,109.14,111.36,107.82,109.05,446170
10-Oct-14,111.35,112.44,108.84,109.37,911997
9-Oct-14,113.02,113.81,111.40,111.58,607148
8-Oct-14,110.97,113.87,109.50,113.75,632871
7-Oct-14,111.31,112.85,110.48,110.81,512217
6-Oct-14,113.00,113.95,110.74,112.11,343561
3-Oct-14,112.38,114.57,111.44,111.52,503635
2-Oct-14,110.28,111.71,107.44,111.08,926719
