Date,Open,High,Low,Close,Volume
31-Dec-14,46.45,46.73,45.42,45.83,609721
30-Dec-14,46.16,46.86,45.82,46.63,581984
29-Dec-14,46.42,46.95,45.85,46.39,802941
26-Dec-14,46.48,46.61,45.93,46.10,369336
24-Dec-14,46.11,46.44,45.54,46.14,274031
23-Dec-14,46.08,46.89,45.65,46.28,1043446
22-Dec-14,47.05,47.08,45.37,45.79,1047225
19-Dec-14,46.39,47.52,46.32,47.31,910471
18-Dec-14,47.12,47.63,45.27,46.05,1365129
17-Dec-14,44.27,46.14,44.22,45.67,1485367
16-Dec-14,43.49,45.65,43.17,44.22,1782656
15-Dec-14,42.53,44.03,42.32,43.23,1411156
12-Dec-14,45.90,46.15,44.02,44.07,1607929
11-Dec-14,46.23,47.36,45.95,46.38,1703971
10-Dec-14,48.06,48.26,46.33,46.54,1831796
9-Dec-14,47.77,49.19,47.56,48.57,1249407
8-Dec-14,50.17,50.17,47.58,48.20,1555050
5-Dec-14,50.82,51.24,49.97,50.50,889697
4-Dec-14,51.22,51.53,50.28,50.97,1203101
3-Dec-14,50.62,51.77,50.58,51.47,1205587
2-Dec-14,50.48,51.57,50.23,50.59,1663282
1-Dec-14,51.26,51.26,49.90,50.77,2063126
28-Nov-14,53.54,53.55,50.46,51.66,1412115
26-Nov-14,58.25,58.42,56.61,57.07,840696
25-Nov-14,58.88,59.93,58.37,58.45,604877
24-Nov-14,58.68,59.13,57.89,58.63,509466
21-Nov-14,59.81,60.62,58.54,58.64,881216
20-Nov-14,56.63,59.07,56.37,59.03,930814
19-Nov-14,57.26,57.47,56.24,56.91,645963
18-Nov-14,57.52,58.41,57.09,57.34,715684
17-Nov-14,57.19,58.40,57.00,57.74,757152
14-Nov-14,56.25,57.42,55.69,57.33,539873
13-Nov-14,56.86,57.84,55.92,56.17,553084
12-Nov-14,56.51,58.27,56.51,57.31,534453
11-Nov-14,56.33,56.96,55.82,56.95,309001
10-Nov-14,57.64,58.10,55.62,56.44,633636
7-Nov-14,56.67,57.77,56.65,57.73,1107944
6-Nov-14,56.14,56.66,55.53,56.56,742700
5-Nov-14,55.59,57.07,55.31,56.36,915010
4-Nov-14,57.50,57.64,54.86,55.28,994893
3-Nov-14,59.58,59.86,57.50,57.93,1182963
31-Oct-14,57.17,59.47,56.46,59.34,1384126
30-Oct-14,58.37,59.28,56.68,56.85,1719149
29-Oct-14,58.44,59.86,57.92,59.04,1402877
28-Oct-14,57.15,58.21,56.66,58.19,637016
27-Oct-14,56.66,56.66,55.18,56.39,986399
24-Oct-14,57.23,57.67,56.28,57.08,895396
23-Oct-14,57.32,57.66,55.95,57.24,870460
22-Oct-14,57.85,58.82,56.64,56.69,907740
21-Oct-14,56.69,58.51,56.69,58.33,835510
20-Oct-14,56.34,57.28,54.58,56.17,1204143
17-Oct-14,56.51,58.23,55.86,56.15,1622966
16-Oct-14,53.47,57.02,53.46,55.45,2115563
15-Oct-14,54.00,54.92,52.36,54.68,3053085
14-Oct-14,55.14,57.04,53.70,54.72,2654438
13-Oct-14,59.86,59.86,54.67,54.88,3271213
10-Oct-14,62.99,62.99,58.95,59.78,2670750
9-Oct-14,65.81,66.05,63.27,63.36,1036260
8-Oct-14,65.42,66.15,64.29,66.02,1333775
7-Oct-14,65.92,66.92,65.40,65.52,755983
