Date,Open,High,Low,Close,Volume
31-Dec-14,12.65,12.69,12.20,12.29,156192
30-Dec-14,12.65,12.79,12.43,12.65,140202
29-Dec-14,12.79,12.89,12.36,12.72,332207
26-Dec-14,12.79,12.95,12.38,12.81,251870
24-Dec-14,12.88,13.15,12.81,12.84,84775
23-Dec-14,12.66,12.91,12.18,12.86,187813
22-Dec-14,12.72,12.79,12.06,12.64,286398
19-Dec-14,12.36,12.86,12.15,12.82,487829
18-Dec-14,12.14,12.42,12.05,12.39,315934
17-Dec-14,11.88,12.08,11.81,12.01,178034
16-Dec-14,11.93,12.07,11.63,11.88,351479
15-Dec-14,11.50,12.00,11.50,11.93,234494
12-Dec-14,11.69,11.78,11.43,11.52,324429
11-Dec-14,12.16,12.35,11.86,11.89,221514
10-Dec-14,12.30,12.44,12.00,12.08,285081
9-Dec-14,11.84,12.47,11.53,12.40,382103
8-Dec-14,12.80,13.23,11.44,12.07,892686
5-Dec-14,13.50,13.70,13.45,13.63,297068
4-Dec-14,13.83,13.98,13.46,13.48,251556
3-Dec-14,13.36,13.91,13.18,13.87,411269
2-Dec-14,13.00,13.65,13.00,13.19,339678
1-Dec-14,13.14,13.32,12.78,13.19,447852
28-Nov-14,13.75,14.04,13.14,13.29,136162
26-Nov-14,13.82,14.01,13.78,13.93,228903
25-Nov-14,13.65,14.00,13.65,13.78,248349
24-Nov-14,13.64,13.85,13.52,13.70,250903
21-Nov-14,14.08,14.08,13.59,13.72,155010
20-Nov-14,13.75,14.02,13.34,13.79,262062
19-Nov-14,13.68,13.92,13.38,13.80,289271
18-Nov-14,13.75,13.98,13.55,13.68,281720
17-Nov-14,13.61,14.02,13.58,13.72,470453
14-Nov-14,13.55,13.61,13.42,13.51,243137
13-Nov-14,13.29,13.67,13.17,13.50,239088
12-Nov-14,13.25,13.44,13.14,13.33,577331
11-Nov-14,13.44,13.50,13.27,13.29,272909
10-Nov-14,13.35,13.65,13.28,13.40,682041
7-Nov-14,13.06,13.51,13.06,13.14,408460
6-Nov-14,13.05,13.17,12.97,13.03,456997
5-Nov-14,13.20,13.25,12.90,12.99,231659
4-Nov-14,12.79,13.27,12.79,13.10,389096
3-Nov-14,13.20,13.25,12.58,12.78,408885
31-Oct-14,12.25,13.26,11.98,12.58,911510
30-Oct-14,11.30,11.89,11.27,11.76,370094
29-Oct-14,11.30,11.39,11.05,11.29,133977
28-Oct-14,10.80,11.32,10.60,11.30,246908
27-Oct-14,11.00,11.00,10.30,10.74,125512
24-Oct-14,11.18,11.20,10.00,10.90,63349
23-Oct-14,10.78,11.55,9.81,11.22,398235
22-Oct-14,11.43,11.46,11.08,11.09,159552
21-Oct-14,11.01,11.48,11.01,11.37,156480
20-Oct-14,10.48,11.13,10.48,11.01,96152
17-Oct-14,10.28,10.71,9.68,10.46,83059
16-Oct-14,9.97,10.33,9.80,10.26,136474
15-Oct-14,9.99,10.18,9.64,10.11,78890
14-Oct-14,9.83,10.05,9.72,10.05,152256
13-Oct-14,9.92,9.92,9.71,9.83,77053
10-Oct-14,9.73,10.00,9.73,9.93,136405
9-Oct-14,9.95,10.00,9.86,9.95,146973
8-Oct-14,10.06,10.20,9.76,9.95,74161
7-Oct-14,10.13,10.20,9.98,10.11,151437
6-Oct-14,9.97,10.20,9.61,10.18,508339
3-Oct-14,9.86,10.01,9.72,9.99,75821
2-Oct-14,9.61,9.91,9.56,9.84,129686
1-Oct-14,9.62,9.75,9.25,9.61,114405
30-Sep-14,9.54,9.79,9.53,9.75,101672
29-Sep-14,9.42,9.52,9.06,9.51,116426
26-Sep-14,9.39,9.58,9.31,9.52,58677
25-Sep-14,9.70,9.70,9.41,9.41,130635
24-Sep-14,9.92,9.96,9.44,9.66,158192
23-Sep-14,9.96,10.01,9.84,9.92,66555
22-Sep-14,10.24,10.25,9.84,9.89,632903
19-Sep-14,10.16,10.30,10.16,10.26,147335
18-Sep-14,10.04,10.21,10.01,10.17,311583
17-Sep-14,10.09,10.20,9.95,10.02,87687
16-Sep-14,9.75,10.05,9.75,9.99,149828
15-Sep-14,9.94,9.96,9.78,9.86,63366
12-Sep-14,9.98,10.07,9.96,9.98,69939
11-Sep-14,10.00,10.02,9.81,10.00,73927
10-Sep-14,10.07,10.12,10.00,10.03,68139
9-Sep-14,10.07,10.14,10.02,10.09,67625
8-Sep-14,10.10,10.15,10.04,10.12,208964
5-Sep-14,10.10,10.10,9.88,10.08,82335
4-Sep-14,9.87,10.10,9.87,10.06,62582
3-Sep-14,9.93,10.01,9.76,9.90,69977
2-Sep-14,10.00,10.05,9.86,9.87,64499
29-Aug-14,10.00,10.08,9.93,10.04,69057
28-Aug-14,10.30,10.30,9.96,10.00,91557
27-Aug-14,10.11,10.42,9.96,10.37,245869
26-Aug-14,10.25,10.29,9.95,10.07,74326
25-Aug-14,10.21,10.42,10.00,10.27,59448
22-Aug-14,10.32,10.32,10.06,10.24,127907
21-Aug-14,10.23,10.32,10.19,10.29,53083
20-Aug-14,10.40,10.49,10.21,10.23,72935
19-Aug-14,10.36,10.50,10.33,10.37,93487
18-Aug-14,10.29,10.33,10.13,10.32,212744
15-Aug-14,10.30,10.45,10.25,10.31,227533
