Date,Open,High,Low,Close,Volume
31-Dec-14,17.81,17.81,17.62,17.76,11600
30-Dec-14,17.54,17.54,17.54,17.54,135
24-Dec-14,17.29,17.85,17.29,17.85,2500
23-Dec-14,17.53,17.96,17.47,17.96,1500
19-Dec-14,17.98,17.98,17.98,17.98,210
18-Dec-14,16.65,16.71,16.65,16.71,2000
17-Dec-14,16.50,16.63,16.43,16.63,4300
15-Dec-14,17.00,17.14,17.00,17.14,2200
12-Dec-14,17.65,17.65,17.36,17.36,30725
11-Dec-14,17.82,18.04,17.80,18.04,1600
10-Dec-14,17.74,17.88,17.63,17.63,4112
9-Dec-14,17.59,17.59,17.59,17.59,100
8-Dec-14,18.25,18.44,18.25,18.26,700
5-Dec-14,18.24,18.24,18.24,18.24,350
4-Dec-14,18.19,18.48,18.18,18.30,7600
3-Dec-14,18.94,19.00,18.84,18.98,2550
2-Dec-14,17.94,17.94,17.94,17.94,500
28-Nov-14,17.59,17.59,17.30,17.59,5000
26-Nov-14,18.08,18.08,18.08,18.08,1455
25-Nov-14,17.66,17.66,17.66,17.66,160
24-Nov-14,17.72,17.74,17.72,17.72,2400
20-Nov-14,17.16,17.16,17.16,17.16,500
19-Nov-14,17.36,17.37,17.33,17.37,1750
18-Nov-14,17.58,17.58,17.58,17.58,140
14-Nov-14,17.46,17.46,17.29,17.29,800
13-Nov-14,17.56,17.56,17.56,17.56,500
12-Nov-14,17.44,17.44,17.44,17.44,500
7-Nov-14,17.36,17.48,17.36,17.48,1400
6-Nov-14,17.27,17.31,17.27,17.31,600
4-Nov-14,18.10,18.19,18.10,18.19,600
3-Nov-14,18.10,18.40,18.10,18.40,700
31-Oct-14,18.42,18.68,18.42,18.68,748
30-Oct-14,18.15,18.15,18.15,18.15,100
28-Oct-14,17.86,18.15,17.85,18.15,2230
27-Oct-14,16.80,17.00,16.80,17.00,2185
24-Oct-14,16.68,16.68,16.68,16.68,200
22-Oct-14,16.70,16.70,16.56,16.56,700
21-Oct-14,16.60,16.61,16.39,16.49,15350
20-Oct-14,17.21,17.21,17.21,17.21,500
17-Oct-14,17.27,17.74,17.27,17.74,900
16-Oct-14,16.20,16.54,16.20,16.30,2639
15-Oct-14,16.80,16.80,16.80,16.80,3020
14-Oct-14,16.82,16.88,16.82,16.88,900
13-Oct-14,16.93,17.02,16.85,17.02,1070
10-Oct-14,17.23,17.27,16.89,16.89,1031
9-Oct-14,17.82,17.83,17.58,17.58,480
8-Oct-14,17.81,18.08,17.81,18.08,360
6-Oct-14,18.47,18.47,18.35,18.35,620
3-Oct-14,18.16,18.20,18.16,18.20,1050
2-Oct-14,18.36,18.36,18.36,18.36,500
1-Oct-14,18.79,18.79,18.48,18.64,2855
30-Sep-14,19.08,19.08,19.08,19.08,100
29-Sep-14,18.50,18.76,18.44,18.76,2000
26-Sep-14,19.21,19.21,19.21,19.21,126
23-Sep-14,19.75,19.75,19.75,19.75,750
22-Sep-14,19.75,19.75,19.56,19.56,2800
19-Sep-14,21.38,21.38,21.18,21.18,907
18-Sep-14,21.64,21.64,21.64,21.64,100
17-Sep-14,22.40,22.40,22.05,22.05,1840
16-Sep-14,22.36,22.61,22.21,22.61,1617
12-Sep-14,22.75,22.80,22.75,22.75,960
11-Sep-14,23.04,23.04,22.75,22.94,3525
9-Sep-14,23.68,23.79,23.68,23.79,1260
8-Sep-14,23.69,23.70,23.69,23.70,880
5-Sep-14,24.93,24.93,24.74,24.90,650
4-Sep-14,26.20,26.25,26.02,26.09,2625
3-Sep-14,27.01,27.01,26.67,26.80,13476
2-Sep-14,25.56,25.76,25.56,25.76,2069
29-Aug-14,23.40,23.40,23.40,23.40,520
28-Aug-14,23.21,23.21,23.11,23.12,1520
27-Aug-14,22.26,22.26,22.26,22.26,600
26-Aug-14,20.94,21.20,20.94,21.20,7355
25-Aug-14,19.87,19.87,19.87,19.87,220
20-Aug-14,19.71,19.72,19.71,19.72,200
15-Aug-14,19.87,19.87,19.87,19.87,100
14-Aug-14,19.56,19.59,19.56,19.59,550
13-Aug-14,18.85,18.96,18.85,18.96,3638
8-Aug-14,18.45,18.65,18.45,18.65,13400
7-Aug-14,18.77,18.77,18.68,18.68,2700
6-Aug-14,18.83,18.83,18.79,18.79,2350
5-Aug-14,19.04,19.04,19.01,19.02,3700
4-Aug-14,19.11,19.12,18.84,19.00,2427
1-Aug-14,19.66,19.97,19.66,19.97,200
31-Jul-14,19.69,19.69,19.39,19.39,4022
30-Jul-14,19.75,19.78,19.75,19.78,200
28-Jul-14,18.91,18.91,18.83,18.83,875
25-Jul-14,19.25,19.25,19.16,19.19,3690
24-Jul-14,20.50,20.51,20.35,20.35,12300
23-Jul-14,20.57,20.59,20.57,20.59,200
22-Jul-14,20.11,20.11,20.11,20.11,110
21-Jul-14,19.87,19.87,19.87,19.87,190
18-Jul-14,19.57,19.59,19.57,19.59,450
17-Jul-14,20.08,20.08,19.94,19.94,352
16-Jul-14,20.10,20.10,20.07,20.09,1803
15-Jul-14,20.07,20.07,20.07,20.07,150
14-Jul-14,20.57,20.57,20.57,20.57,500
9-Jul-14,20.90,20.90,20.90,20.90,500
8-Jul-14,21.30,21.30,21.30,21.30,120
7-Jul-14,21.16,21.16,21.00,21.15,800
3-Jul-14,21.28,21.28,21.28,21.28,293
2-Jul-14,21.62,21.62,21.62,21.62,170
1-Jul-14,21.82,21.82,21.82,21.82,185
27-Jun-14,21.55,21.57,21.55,21.57,400
26-Jun-14,21.17,21.17,21.17,21.17,350
25-Jun-14,20.52,20.52,20.52,20.52,250
23-Jun-14,20.56,20.79,20.56,20.79,340
20-Jun-14,19.85,19.85,19.85,19.85,150
19-Jun-14,20.38,20.38,20.38,20.38,700
18-Jun-14,19.89,19.89,19.61,19.70,3605
17-Jun-14,20.63,20.80,20.63,20.80,496
12-Jun-14,20.91,20.91,20.90,20.90,275
11-Jun-14,21.04,21.04,21.04,21.04,500
10-Jun-14,21.18,21.18,21.15,21.15,425
9-Jun-14,21.04,21.25,21.04,21.25,2775
6-Jun-14,21.22,21.22,20.90,20.90,2300
5-Jun-14,20.71,20.71,20.71,20.71,200
4-Jun-14,21.37,21.37,20.86,20.86,7003
3-Jun-14,22.09,22.09,22.09,22.09,500
2-Jun-14,22.84,23.04,22.84,23.04,1098
30-May-14,22.44,22.48,22.44,22.48,448
28-May-14,22.34,22.34,22.34,22.34,400
27-May-14,22.10,22.10,22.10,22.10,465
21-May-14,21.99,21.99,21.99,21.99,250
19-May-14,21.96,21.96,21.96,21.96,1000
16-May-14,22.11,22.23,22.05,22.05,3270
15-May-14,22.40,22.40,22.40,22.40,540
14-May-14,22.55,22.58,22.55,22.58,857
12-May-14,22.05,22.16,22.03,22.16,1778
8-May-14,22.71,22.71,22.71,22.71,480
7-May-14,22.06,22.06,22.01,22.01,600
6-May-14,22.42,22.49,22.30,22.30,610
5-May-14,22.15,22.19,22.15,22.19,936
2-May-14,21.72,21.72,21.72,21.72,104
1-May-14,21.74,21.74,21.74,21.74,415
30-Apr-14,21.70,21.70,21.70,21.70,150
29-Apr-14,21.81,21.90,21.72,21.72,5155
28-Apr-14,22.52,22.53,22.04,22.04,3271
25-Apr-14,23.12,23.12,23.12,23.12,520
22-Apr-14,22.76,22.76,22.76,22.76,100
17-Apr-14,22.82,22.82,22.82,22.82,605
16-Apr-14,22.73,22.73,22.65,22.65,3655
15-Apr-14,22.51,22.51,22.51,22.51,155
14-Apr-14,22.45,22.45,22.45,22.45,1553
11-Apr-14,23.05,23.05,23.00,23.00,352
10-Apr-14,23.72,23.72,23.50,23.50,2000
9-Apr-14,23.57,23.57,23.57,23.57,537
8-Apr-14,23.02,23.37,23.02,23.37,3000
7-Apr-14,21.56,21.56,21.39,21.39,2833
4-Apr-14,23.90,23.90,23.61,23.61,1455
3-Apr-14,24.40,24.48,24.40,24.48,685
2-Apr-14,24.50,24.53,24.49,24.53,4451
