Date,Open,High,Low,Close,Volume
31-Dec-14,6.26,6.40,6.25,6.40,2052
30-Dec-14,5.66,6.22,5.66,6.22,4055
29-Dec-14,5.59,6.78,5.51,6.23,10951
26-Dec-14,6.65,6.65,6.26,6.27,4430
23-Dec-14,6.40,6.50,6.15,6.50,6373
22-Dec-14,6.10,6.32,6.10,6.21,13092
19-Dec-14,5.62,6.14,5.62,6.00,7184
18-Dec-14,6.11,6.19,5.52,5.74,8342
17-Dec-14,5.76,6.29,5.76,6.00,1307
16-Dec-14,6.00,6.02,6.00,6.00,4912
15-Dec-14,6.18,6.48,5.97,6.00,12874
12-Dec-14,6.38,6.49,6.18,6.19,2916
11-Dec-14,6.15,6.50,6.15,6.35,12832
10-Dec-14,6.31,6.34,5.77,6.04,10855
9-Dec-14,6.15,6.38,6.15,6.35,10959
8-Dec-14,5.95,6.26,5.95,6.15,9602
5-Dec-14,6.26,6.27,5.77,5.86,16329
4-Dec-14,6.53,6.69,6.07,6.25,17319
3-Dec-14,6.70,6.70,6.52,6.56,5550
2-Dec-14,6.57,6.78,6.57,6.61,5897
1-Dec-14,6.72,6.73,6.57,6.60,5724
26-Nov-14,6.89,6.90,6.70,6.70,6600
25-Nov-14,6.90,6.90,6.80,6.89,4231
24-Nov-14,6.92,7.00,6.90,6.90,1905
21-Nov-14,7.06,7.10,6.86,6.86,5299
20-Nov-14,6.88,7.19,6.78,6.90,10303
19-Nov-14,6.90,6.93,6.77,6.84,7220
18-Nov-14,6.75,6.99,6.75,6.99,4709
17-Nov-14,6.61,6.75,6.57,6.65,6443
14-Nov-14,6.59,6.62,6.57,6.62,300
13-Nov-14,6.65,6.75,6.57,6.57,4370
12-Nov-14,6.84,7.32,6.84,6.85,14401
11-Nov-14,6.65,6.73,6.65,6.65,916
10-Nov-14,6.73,6.73,6.65,6.65,940
7-Nov-14,6.73,6.73,6.73,6.73,199
5-Nov-14,6.58,6.63,6.57,6.63,7906
4-Nov-14,6.55,6.57,6.55,6.57,2224
3-Nov-14,6.55,7.00,6.55,6.57,3250
31-Oct-14,6.67,6.85,6.55,6.75,4086
30-Oct-14,6.97,7.13,6.60,6.77,14119
28-Oct-14,6.82,6.92,6.78,6.78,2334
27-Oct-14,6.55,6.87,6.55,6.79,5802
23-Oct-14,6.77,6.81,6.51,6.51,9087
22-Oct-14,6.75,7.10,6.75,6.77,11068
21-Oct-14,6.66,6.75,6.66,6.67,5993
20-Oct-14,6.63,6.73,6.63,6.66,2475
17-Oct-14,6.61,6.78,6.57,6.62,3698
16-Oct-14,6.57,6.78,6.54,6.60,3623
15-Oct-14,6.59,6.73,6.56,6.56,5134
14-Oct-14,6.76,6.79,6.60,6.60,10487
13-Oct-14,6.77,6.77,6.77,6.77,111
10-Oct-14,6.60,6.80,6.60,6.63,8268
9-Oct-14,6.50,6.55,6.47,6.55,9537
8-Oct-14,6.47,6.62,6.47,6.48,3544
7-Oct-14,6.50,6.67,6.47,6.47,9900
6-Oct-14,6.55,6.55,6.50,6.50,811
3-Oct-14,6.66,6.66,6.51,6.62,14035
2-Oct-14,6.64,6.96,6.63,6.93,4177
1-Oct-14,6.53,6.86,6.53,6.56,6334
30-Sep-14,6.47,6.80,6.47,6.55,7100
29-Sep-14,6.55,6.68,6.55,6.60,3180
26-Sep-14,6.49,6.64,6.49,6.55,1730
25-Sep-14,6.60,6.69,6.48,6.48,6943
24-Sep-14,6.61,6.73,6.49,6.69,3775
23-Sep-14,6.78,6.80,6.47,6.50,18735
22-Sep-14,6.76,6.76,6.76,6.76,1036
19-Sep-14,7.10,7.10,6.59,6.74,6129
18-Sep-14,6.99,7.46,6.81,6.85,9015
17-Sep-14,6.53,6.99,6.53,6.85,26748
16-Sep-14,7.09,7.09,6.53,6.53,10894
15-Sep-14,6.80,6.80,6.56,6.78,11815
12-Sep-14,6.85,7.10,6.77,6.83,10760
11-Sep-14,7.05,7.05,6.80,6.83,9273
10-Sep-14,7.14,7.14,6.65,6.99,61045
9-Sep-14,8.28,8.41,7.45,8.14,8431
8-Sep-14,8.42,8.45,8.18,8.44,4882
5-Sep-14,8.21,8.38,8.03,8.35,5649
4-Sep-14,8.13,8.48,7.89,8.25,8573
3-Sep-14,7.97,8.50,7.75,8.44,13893
2-Sep-14,7.98,7.98,7.91,7.91,600
29-Aug-14,7.65,8.05,7.65,8.03,4267
28-Aug-14,7.87,8.05,7.50,7.67,6286
27-Aug-14,7.81,7.97,7.70,7.76,6034
