Date,Open,High,Low,Close,Volume
31-Dec-14,7.90,7.90,7.79,7.84,34414
30-Dec-14,7.94,7.97,7.85,7.88,16938
29-Dec-14,7.88,7.90,7.85,7.90,33042
26-Dec-14,7.95,7.95,7.81,7.86,25180
24-Dec-14,7.66,7.99,7.66,7.90,29562
23-Dec-14,7.73,7.75,7.64,7.67,90369
22-Dec-14,7.69,7.70,7.65,7.69,60980
19-Dec-14,7.61,7.71,7.61,7.68,177793
18-Dec-14,7.70,7.72,7.64,7.65,124897
17-Dec-14,7.62,7.80,7.62,7.69,181937
16-Dec-14,7.70,7.76,7.51,7.63,132648
15-Dec-14,7.69,7.81,7.64,7.69,126620
12-Dec-14,7.66,7.85,7.63,7.64,69406
11-Dec-14,7.77,7.81,7.63,7.75,101835
10-Dec-14,7.74,7.81,7.72,7.72,86689
9-Dec-14,7.83,7.83,7.66,7.78,244309
8-Dec-14,7.91,7.95,7.77,7.92,92680
5-Dec-14,7.93,8.07,7.88,7.95,60670
4-Dec-14,7.90,7.99,7.78,7.94,39328
3-Dec-14,7.90,7.96,7.82,7.91,56032
2-Dec-14,7.93,8.02,7.86,7.92,79730
1-Dec-14,8.14,8.16,7.86,7.92,120905
28-Nov-14,8.13,8.17,8.05,8.10,33102
26-Nov-14,8.08,8.16,8.04,8.10,55035
25-Nov-14,8.14,8.23,7.99,8.10,32603
24-Nov-14,8.07,8.11,8.06,8.10,47693
21-Nov-14,8.12,8.24,8.02,8.05,60813
20-Nov-14,7.96,8.10,7.96,8.01,61543
19-Nov-14,8.13,8.13,7.86,8.01,74871
18-Nov-14,8.01,8.19,7.94,8.11,43199
17-Nov-14,8.08,8.25,7.81,7.97,94089
14-Nov-14,8.17,8.20,8.08,8.11,82033
13-Nov-14,8.19,8.23,8.13,8.15,76334
12-Nov-14,8.00,8.18,8.00,8.17,89219
11-Nov-14,8.03,8.10,7.99,8.08,139959
10-Nov-14,8.02,8.16,7.92,8.02,64649
7-Nov-14,7.98,8.03,7.72,7.99,107651
6-Nov-14,8.08,8.13,7.94,8.03,84502
5-Nov-14,8.16,8.16,7.98,8.05,97959
