Date,Open,High,Low,Close,Volume
31-Dec-14,3.24,3.24,3.12,3.22,110806
30-Dec-14,3.25,3.25,3.19,3.21,100346
29-Dec-14,3.29,3.29,3.18,3.23,89044
26-Dec-14,3.25,3.31,3.24,3.26,56861
24-Dec-14,3.30,3.31,3.24,3.30,30931
23-Dec-14,3.07,3.30,3.07,3.28,72623
22-Dec-14,2.93,3.10,2.93,3.06,86323
19-Dec-14,3.01,3.01,2.86,2.91,156663
18-Dec-14,2.86,2.99,2.86,2.98,124457
17-Dec-14,2.75,2.88,2.70,2.86,81125
16-Dec-14,2.60,2.81,2.58,2.74,101625
15-Dec-14,2.78,2.83,2.65,2.65,232661
12-Dec-14,2.82,2.90,2.78,2.83,57380
11-Dec-14,2.82,2.99,2.82,2.89,126245
10-Dec-14,2.99,2.99,2.78,2.80,241930
9-Dec-14,2.99,3.00,2.86,2.99,85443
8-Dec-14,3.01,3.02,2.86,2.86,193990
5-Dec-14,3.02,3.02,2.91,3.00,107245
4-Dec-14,3.08,3.08,2.86,2.97,189986
3-Dec-14,3.06,3.11,2.99,3.04,63997
2-Dec-14,3.05,3.12,2.94,3.09,134127
1-Dec-14,3.22,3.22,3.00,3.06,132404
28-Nov-14,3.20,3.25,3.12,3.12,31961
26-Nov-14,3.21,3.21,3.09,3.21,56406
25-Nov-14,3.18,3.25,3.17,3.20,35311
24-Nov-14,3.11,3.27,3.10,3.18,67889
21-Nov-14,3.24,3.24,3.07,3.09,90450
20-Nov-14,3.32,3.32,3.13,3.19,197505
19-Nov-14,3.31,3.32,3.25,3.28,67157
18-Nov-14,3.25,3.39,3.24,3.30,109962
17-Nov-14,3.40,3.46,3.27,3.27,101309
14-Nov-14,3.55,3.62,3.36,3.39,146064
13-Nov-14,3.68,3.71,3.50,3.58,177937
12-Nov-14,3.68,3.68,3.40,3.61,214050
11-Nov-14,3.57,3.70,3.52,3.65,198952
10-Nov-14,3.62,3.66,3.47,3.55,219517
7-Nov-14,3.25,3.53,3.20,3.44,372925
6-Nov-14,2.91,3.24,2.91,3.09,323841
5-Nov-14,2.93,2.99,2.90,2.90,101644
4-Nov-14,2.92,3.13,2.92,2.95,164110
3-Nov-14,2.85,3.10,2.85,2.96,159909
31-Oct-14,2.87,3.02,2.82,2.85,68202
30-Oct-14,2.93,2.97,2.80,2.87,67279
29-Oct-14,2.91,3.05,2.91,2.99,100219
28-Oct-14,2.96,3.05,2.82,2.96,83873
27-Oct-14,2.80,3.04,2.75,3.04,152140
