Date,Open,High,Low,Close,Volume
31-Dec-14,0.04,0.04,0.04,0.04,25761800
30-Dec-14,0.04,0.04,0.04,0.04,17844500
29-Dec-14,0.04,0.04,0.04,0.04,18046200
26-Dec-14,0.04,0.04,0.04,0.04,9672200
24-Dec-14,0.04,0.04,0.04,0.04,12774200
23-Dec-14,0.04,0.04,0.04,0.04,23725600
22-Dec-14,0.04,0.04,0.04,0.04,11299400
19-Dec-14,0.04,0.04,0.04,0.04,42055200
18-Dec-14,0.03,0.04,0.03,0.04,58751100
17-Dec-14,0.03,0.03,0.03,0.03,17512800
16-Dec-14,0.03,0.03,0.03,0.03,7897800
15-Dec-14,0.03,0.03,0.03,0.03,13671500
12-Dec-14,0.03,0.03,0.03,0.03,11568600
11-Dec-14,0.03,0.03,0.03,0.03,18771000
10-Dec-14,0.03,0.03,0.03,0.03,21452400
9-Dec-14,0.03,0.03,0.03,0.03,36381700
8-Dec-14,0.03,0.03,0.03,0.03,11067100
5-Dec-14,0.03,0.03,0.03,0.03,7645300
4-Dec-14,0.03,0.03,0.03,0.03,5488100
3-Dec-14,0.03,0.03,0.03,0.03,10348200
2-Dec-14,0.03,0.03,0.03,0.03,12311900
1-Dec-14,0.03,0.03,0.03,0.03,11573900
28-Nov-14,0.03,0.03,0.03,0.03,4151800
26-Nov-14,0.03,0.03,0.03,0.03,10327400
25-Nov-14,0.03,0.03,0.03,0.03,6625700
24-Nov-14,0.03,0.03,0.03,0.03,12344900
21-Nov-14,0.04,0.04,0.03,0.03,10251100
20-Nov-14,0.03,0.04,0.03,0.03,15726500
19-Nov-14,0.03,0.04,0.03,0.03,13834600
18-Nov-14,0.03,0.03,0.03,0.03,13028200
17-Nov-14,0.04,0.04,0.03,0.03,10734000
14-Nov-14,0.03,0.04,0.03,0.04,12576400
13-Nov-14,0.03,0.04,0.03,0.03,12707400
12-Nov-14,0.03,0.03,0.03,0.03,12718400
11-Nov-14,0.03,0.03,0.03,0.03,8866600
10-Nov-14,0.04,0.04,0.03,0.03,13243500
7-Nov-14,0.04,0.04,0.03,0.04,124934200
6-Nov-14,0.03,0.04,0.03,0.03,7519500
5-Nov-14,0.03,0.03,0.03,0.03,12082100
4-Nov-14,0.03,0.03,0.03,0.03,10581900
3-Nov-14,0.04,0.04,0.03,0.03,22080700
31-Oct-14,0.04,0.04,0.03,0.04,18222700
30-Oct-14,0.03,0.04,0.03,0.04,20900800
29-Oct-14,0.03,0.04,0.03,0.04,31807800
28-Oct-14,0.03,0.03,0.03,0.03,12013700
27-Oct-14,0.03,0.03,0.03,0.03,9512900
24-Oct-14,0.03,0.03,0.03,0.03,10746800
23-Oct-14,0.03,0.03,0.03,0.03,18060900
22-Oct-14,0.03,0.03,0.03,0.03,35398400
21-Oct-14,0.03,0.03,0.03,0.03,11944400
20-Oct-14,0.03,0.03,0.03,0.03,21495000
17-Oct-14,0.03,0.03,0.03,0.03,50065100
16-Oct-14,0.03,0.03,0.03,0.03,21230100
15-Oct-14,0.03,0.03,0.03,0.03,20629500
14-Oct-14,0.03,0.03,0.03,0.03,54995500
13-Oct-14,0.03,0.03,0.03,0.03,14943300
10-Oct-14,0.03,0.03,0.03,0.03,20186500
9-Oct-14,0.03,0.04,0.03,0.03,15033300
8-Oct-14,0.03,0.03,0.03,0.03,11534900
7-Oct-14,0.03,0.03,0.03,0.03,14862600
6-Oct-14,0.03,0.04,0.03,0.03,8816800
3-Oct-14,0.04,0.04,0.03,0.04,12579200
2-Oct-14,0.04,0.04,0.03,0.03,23800800
1-Oct-14,0.04,0.04,0.04,0.04,14590600
30-Sep-14,0.04,0.04,0.04,0.04,18309100
29-Sep-14,0.04,0.04,0.04,0.04,13336800
26-Sep-14,0.04,0.04,0.04,0.04,11324700
25-Sep-14,0.04,0.04,0.04,0.04,13985500
24-Sep-14,0.04,0.04,0.04,0.04,21373200
23-Sep-14,0.04,0.04,0.04,0.04,10838700
22-Sep-14,0.04,0.04,0.04,0.04,11381700
19-Sep-14,0.04,0.04,0.04,0.04,26246700
18-Sep-14,0.04,0.04,0.04,0.04,14070600
17-Sep-14,0.04,0.04,0.04,0.04,23911700
16-Sep-14,0.04,0.04,0.04,0.04,15345300
15-Sep-14,0.04,0.04,0.04,0.04,27677400
12-Sep-14,0.04,0.04,0.04,0.04,8719700
11-Sep-14,0.04,0.04,0.04,0.04,4693200
10-Sep-14,0.04,0.04,0.04,0.04,17895100
9-Sep-14,0.04,0.04,0.04,0.04,10266000
8-Sep-14,0.04,0.04,0.04,0.04,3611800
5-Sep-14,0.04,0.04,0.04,0.04,8552600
4-Sep-14,0.04,0.04,0.04,0.04,11067200
3-Sep-14,0.04,0.04,0.04,0.04,19460700
2-Sep-14,0.04,0.04,0.04,0.04,14082300
29-Aug-14,0.04,0.04,0.04,0.04,7426100
28-Aug-14,0.04,0.04,0.04,0.04,10704800
27-Aug-14,0.04,0.04,0.04,0.04,28466500
26-Aug-14,0.04,0.04,0.04,0.04,50070200
25-Aug-14,0.04,0.04,0.04,0.04,17268300
22-Aug-14,0.04,0.04,0.04,0.04,4248700
21-Aug-14,0.04,0.04,0.04,0.04,9048600
20-Aug-14,0.04,0.04,0.04,0.04,23263800
19-Aug-14,0.04,0.04,0.04,0.04,29530400
18-Aug-14,0.04,0.04,0.04,0.04,5544500
15-Aug-14,0.04,0.04,0.04,0.04,13218600
14-Aug-14,0.04,0.04,0.04,0.04,8817700
13-Aug-14,0.04,0.04,0.04,0.04,10719500
12-Aug-14,0.04,0.04,0.04,0.04,4972000
11-Aug-14,0.04,0.04,0.04,0.04,7709300
8-Aug-14,0.04,0.04,0.04,0.04,16399500
7-Aug-14,0.04,0.04,0.04,0.04,14440300
6-Aug-14,0.04,0.04,0.04,0.04,4114400
5-Aug-14,0.04,0.04,0.04,0.04,10839500
4-Aug-14,0.04,0.04,0.04,0.04,6510600
1-Aug-14,0.04,0.04,0.04,0.04,12594300
31-Jul-14,0.04,0.04,0.04,0.04,35036400
30-Jul-14,0.04,0.04,0.04,0.04,6140300
29-Jul-14,0.04,0.04,0.04,0.04,9593700
28-Jul-14,0.04,0.04,0.04,0.04,7900100
25-Jul-14,0.04,0.04,0.04,0.04,5971500
24-Jul-14,0.04,0.04,0.04,0.04,13686300
23-Jul-14,0.04,0.04,0.04,0.04,6871800
22-Jul-14,0.04,0.04,0.04,0.04,8151700
21-Jul-14,0.04,0.04,0.04,0.04,7688800
18-Jul-14,0.04,0.04,0.04,0.04,8802600
17-Jul-14,0.04,0.04,0.04,0.04,18428700
16-Jul-14,0.04,0.04,0.04,0.04,5876200
15-Jul-14,0.04,0.04,0.04,0.04,5847400
14-Jul-14,0.04,0.04,0.04,0.04,6880800
11-Jul-14,0.04,0.04,0.04,0.04,5262500
10-Jul-14,0.04,0.04,0.04,0.04,8559600
9-Jul-14,0.04,0.04,0.04,0.04,13515500
8-Jul-14,0.04,0.04,0.04,0.04,35451100
7-Jul-14,0.04,0.04,0.04,0.04,17911000
3-Jul-14,0.04,0.04,0.04,0.04,10065800
2-Jul-14,0.04,0.04,0.04,0.04,11906000
1-Jul-14,0.04,0.04,0.04,0.04,15586600
