Date,Open,High,Low,Close,Volume
31-Dec-14,9.36,9.56,9.33,9.36,6782
30-Dec-14,9.35,9.44,9.34,9.36,12345
29-Dec-14,9.19,9.54,9.03,9.50,25100
26-Dec-14,9.32,9.37,9.25,9.25,17301
24-Dec-14,9.30,9.45,9.30,9.33,6223
23-Dec-14,9.60,9.60,9.27,9.30,13882
22-Dec-14,9.65,9.70,9.62,9.62,7422
19-Dec-14,9.68,9.70,9.66,9.68,13678
18-Dec-14,9.70,9.73,9.69,9.70,43601
17-Dec-14,9.70,9.72,9.70,9.70,10392
16-Dec-14,9.75,9.75,9.69,9.71,10852
15-Dec-14,9.70,9.81,9.70,9.70,6321
12-Dec-14,9.89,9.89,9.70,9.70,7050
11-Dec-14,9.80,10.08,9.80,9.80,60799
10-Dec-14,9.75,9.90,9.71,9.71,3147
9-Dec-14,9.80,9.82,9.80,9.82,3101
8-Dec-14,9.75,9.85,9.70,9.81,14988
5-Dec-14,9.90,9.90,9.70,9.80,11810
4-Dec-14,9.75,9.80,9.70,9.70,2885
3-Dec-14,9.73,9.79,9.69,9.69,7231
2-Dec-14,9.70,9.77,9.69,9.73,8079
1-Dec-14,9.68,9.74,9.67,9.70,5303
28-Nov-14,9.69,9.87,9.69,9.80,3472
26-Nov-14,9.60,9.80,9.60,9.80,3609
25-Nov-14,9.79,9.79,9.54,9.70,14702
24-Nov-14,9.80,9.80,9.65,9.73,11513
21-Nov-14,9.65,9.80,9.65,9.79,8692
20-Nov-14,9.50,9.70,9.50,9.70,10261
19-Nov-14,9.88,10.05,9.50,9.52,95996
18-Nov-14,9.92,10.05,9.90,9.95,8634
17-Nov-14,9.98,10.05,9.77,10.04,28212
14-Nov-14,9.30,9.91,9.30,9.89,23271
13-Nov-14,9.10,9.31,9.10,9.27,16259
12-Nov-14,9.10,9.10,9.07,9.09,8944
11-Nov-14,9.02,9.13,9.00,9.10,13068
10-Nov-14,8.32,9.19,8.32,8.99,67834
7-Nov-14,8.32,8.35,8.32,8.34,9059
6-Nov-14,8.26,8.33,8.26,8.32,8264
5-Nov-14,8.23,8.25,8.20,8.25,2043
4-Nov-14,8.31,8.34,8.25,8.25,8471
3-Nov-14,8.20,8.39,8.20,8.31,15812
31-Oct-14,8.20,8.25,8.20,8.20,5982
30-Oct-14,8.30,8.30,8.20,8.22,12508
29-Oct-14,8.28,8.30,8.21,8.25,30468
28-Oct-14,8.29,8.31,8.25,8.27,7786
27-Oct-14,8.30,8.33,8.27,8.32,10164
