Date,Open,High,Low,Close,Volume
31-Dec-14,27.05,27.86,26.80,26.88,323088
30-Dec-14,27.78,28.17,27.11,27.22,298634
29-Dec-14,27.46,28.09,27.40,27.95,302870
26-Dec-14,27.75,28.17,27.22,27.59,215206
24-Dec-14,28.32,28.57,27.10,27.41,120685
23-Dec-14,28.11,28.57,27.49,28.32,237569
22-Dec-14,28.00,28.16,27.28,28.12,199527
19-Dec-14,28.90,28.93,27.50,27.97,405299
18-Dec-14,30.08,30.74,28.34,28.95,354590
17-Dec-14,27.96,30.76,27.80,29.36,376657
16-Dec-14,26.10,28.47,25.80,27.96,496344
15-Dec-14,28.70,29.47,26.26,26.55,458994
12-Dec-14,29.57,29.57,28.16,28.91,269202
11-Dec-14,29.50,30.97,29.50,29.72,247700
10-Dec-14,30.68,30.75,29.24,29.57,248083
9-Dec-14,29.18,31.11,29.18,30.94,217977
8-Dec-14,32.66,32.89,29.25,29.73,488836
5-Dec-14,33.24,33.65,32.66,32.89,168792
4-Dec-14,34.17,34.17,33.23,33.46,114880
3-Dec-14,33.30,34.64,33.13,34.20,166858
2-Dec-14,33.00,34.16,32.94,33.26,244027
1-Dec-14,35.13,35.17,33.07,33.22,331108
28-Nov-14,35.04,35.43,34.32,35.03,148995
26-Nov-14,34.68,35.66,34.31,35.61,243168
25-Nov-14,34.39,35.06,34.13,34.53,286857
24-Nov-14,35.55,35.55,34.28,34.46,287129
21-Nov-14,37.16,37.18,35.38,35.50,1311950
20-Nov-14,36.90,37.00,36.25,36.67,290024
19-Nov-14,36.22,36.85,35.57,36.80,405929
18-Nov-14,36.00,36.38,35.45,35.67,181306
17-Nov-14,35.00,35.94,34.44,35.73,515041
14-Nov-14,34.38,34.89,34.07,34.84,206075
13-Nov-14,34.18,34.60,33.75,33.93,114747
12-Nov-14,33.92,34.89,33.92,34.39,167227
11-Nov-14,33.98,34.77,33.75,34.00,220230
10-Nov-14,34.74,35.08,33.90,34.06,226177
7-Nov-14,34.17,34.85,33.71,34.61,193082
6-Nov-14,33.78,34.19,33.33,33.92,108004
5-Nov-14,34.00,34.37,33.38,33.80,149053
4-Nov-14,35.25,35.25,34.00,34.62,216536
3-Nov-14,35.00,35.92,34.94,35.35,136404
31-Oct-14,35.67,35.88,34.70,35.12,177447
30-Oct-14,36.65,36.65,34.95,35.46,162351
29-Oct-14,36.48,36.75,35.77,36.26,134578
28-Oct-14,35.18,36.57,35.15,36.24,179723
27-Oct-14,36.75,36.75,34.73,35.35,257870
24-Oct-14,36.10,36.97,36.03,36.88,147235
23-Oct-14,36.40,36.91,36.07,36.43,123514
22-Oct-14,36.50,36.66,35.98,36.24,198467
21-Oct-14,35.47,36.66,35.00,36.18,323973
20-Oct-14,34.70,35.77,34.54,35.48,259065
17-Oct-14,36.20,36.28,33.66,34.54,385847
16-Oct-14,33.17,36.45,33.01,35.84,481262
15-Oct-14,31.60,33.31,30.40,33.12,494636
14-Oct-14,33.25,33.59,31.70,32.07,507369
13-Oct-14,35.00,35.35,33.04,33.09,281380
10-Oct-14,34.05,35.55,32.72,34.97,528276
9-Oct-14,34.62,35.01,33.78,34.27,246302
8-Oct-14,36.03,36.03,34.00,34.92,509591
7-Oct-14,37.08,37.08,35.82,35.97,349511
6-Oct-14,37.12,37.28,36.89,37.17,132094
3-Oct-14,37.13,37.19,36.86,37.10,142597
2-Oct-14,37.40,37.40,36.75,37.20,183020
1-Oct-14,36.93,37.26,36.93,37.18,185520
30-Sep-14,37.35,37.35,37.00,37.29,189193
29-Sep-14,37.01,37.50,36.69,37.42,187036
26-Sep-14,37.50,37.55,36.79,37.35,215374
25-Sep-14,37.31,37.82,36.75,37.64,677798
24-Sep-14,36.75,37.41,36.52,37.24,2828405
23-Sep-14,39.25,39.55,38.17,38.51,107389
22-Sep-14,38.16,39.52,38.03,39.48,236042
19-Sep-14,38.23,38.39,37.63,38.21,735158
18-Sep-14,37.76,38.55,37.51,38.17,269506
17-Sep-14,36.75,37.67,36.53,37.50,189968
16-Sep-14,36.98,37.33,36.53,36.67,147506
15-Sep-14,37.10,37.37,36.33,36.99,165482
12-Sep-14,38.32,38.34,36.77,37.04,533790
11-Sep-14,38.54,38.95,38.17,38.75,99115
10-Sep-14,38.79,39.12,38.44,38.85,83536
9-Sep-14,38.37,39.12,38.33,38.80,93250
8-Sep-14,38.49,38.50,37.83,38.37,102595
5-Sep-14,38.59,38.59,38.27,38.41,54153
4-Sep-14,38.79,39.19,38.40,38.50,176673
3-Sep-14,39.03,39.19,38.89,39.02,93643
2-Sep-14,39.29,39.41,39.00,39.22,109689
29-Aug-14,39.46,39.50,39.14,39.28,62812
28-Aug-14,41.44,41.44,39.11,39.27,122828
27-Aug-14,38.69,39.28,38.69,39.27,115727
26-Aug-14,39.40,39.40,38.59,38.69,166056
25-Aug-14,39.40,39.70,39.06,39.25,144672
22-Aug-14,39.77,39.77,38.93,39.23,112384
21-Aug-14,39.84,40.05,39.00,39.56,141420
20-Aug-14,40.21,40.21,39.55,39.64,136985
19-Aug-14,40.48,40.48,40.07,40.12,93162
18-Aug-14,40.82,40.95,39.98,40.20,179315
15-Aug-14,41.05,41.25,40.41,40.64,135823
14-Aug-14,40.41,41.00,39.93,40.65,238237
13-Aug-14,39.49,40.18,39.14,40.08,173989
12-Aug-14,38.97,39.48,37.92,39.17,249481
11-Aug-14,36.86,38.65,36.86,37.64,350526
8-Aug-14,36.26,36.43,35.75,36.30,246459
7-Aug-14,36.66,37.00,36.31,36.44,171314
6-Aug-14,37.54,37.54,36.60,36.82,260623
