Date,Open,High,Low,Close,Volume
31-Dec-14,17.61,17.69,17.06,17.33,292927
30-Dec-14,17.50,17.62,17.00,17.53,212626
29-Dec-14,17.33,17.52,17.07,17.49,163326
26-Dec-14,17.24,17.44,17.04,17.35,113926
24-Dec-14,17.24,17.30,16.71,17.17,139109
23-Dec-14,17.16,17.23,16.82,17.16,145423
22-Dec-14,16.79,17.15,16.64,17.13,208526
19-Dec-14,16.99,17.00,16.65,16.80,495206
18-Dec-14,17.00,17.23,16.82,17.03,259663
17-Dec-14,16.39,16.91,16.36,16.84,231111
16-Dec-14,16.18,16.55,16.04,16.30,192225
15-Dec-14,16.51,16.53,16.05,16.19,176863
12-Dec-14,16.28,16.65,15.96,16.41,204665
11-Dec-14,16.49,16.78,16.35,16.39,165405
10-Dec-14,16.48,17.10,16.37,16.44,342481
9-Dec-14,15.65,16.60,13.88,16.53,304020
8-Dec-14,15.54,16.14,15.54,15.83,299270
5-Dec-14,15.17,15.76,15.15,15.57,233298
4-Dec-14,15.03,15.36,14.87,15.16,158078
3-Dec-14,15.07,15.26,14.90,15.02,279797
2-Dec-14,14.87,15.18,14.63,15.02,205610
1-Dec-14,14.73,15.03,14.67,14.84,141359
28-Nov-14,15.00,15.12,14.76,14.80,106866
26-Nov-14,15.13,15.22,14.88,14.95,123007
25-Nov-14,14.98,15.17,14.80,15.12,131162
24-Nov-14,14.80,15.20,14.80,15.00,182051
21-Nov-14,14.99,14.99,14.67,14.72,116414
20-Nov-14,14.55,14.87,14.45,14.81,116702
19-Nov-14,14.83,14.84,14.45,14.65,118836
18-Nov-14,14.90,14.98,14.75,14.80,154854
17-Nov-14,14.92,15.09,14.85,14.86,109544
14-Nov-14,15.06,15.21,14.86,14.96,183885
13-Nov-14,15.42,15.50,15.00,15.04,243126
12-Nov-14,15.13,15.58,15.11,15.40,189096
11-Nov-14,15.18,15.49,14.66,15.25,289187
10-Nov-14,14.91,15.20,14.88,15.19,136885
7-Nov-14,15.30,15.42,14.82,14.94,151996
6-Nov-14,15.10,15.42,15.10,15.31,113355
5-Nov-14,15.11,15.19,14.92,15.13,116751
4-Nov-14,15.07,15.31,14.99,15.09,219403
3-Nov-14,15.12,15.33,15.04,15.14,148431
31-Oct-14,15.59,15.59,14.80,15.15,280616
30-Oct-14,14.88,15.20,14.35,15.06,312413
29-Oct-14,15.01,15.24,14.96,15.01,269284
28-Oct-14,14.88,15.16,14.73,15.00,673398
27-Oct-14,14.76,15.04,14.71,14.77,322660
24-Oct-14,13.96,15.85,13.34,14.89,1165618
23-Oct-14,12.95,12.98,12.68,12.88,205022
22-Oct-14,12.80,12.97,12.52,12.78,162954
21-Oct-14,12.64,12.84,12.44,12.74,136576
20-Oct-14,12.47,12.68,12.47,12.61,186360
17-Oct-14,12.92,12.92,12.54,12.57,159758
16-Oct-14,12.49,12.83,12.41,12.74,192147
15-Oct-14,12.27,12.65,12.12,12.61,202717
14-Oct-14,12.47,12.76,12.35,12.43,162265
13-Oct-14,12.12,12.46,11.96,12.33,217849
10-Oct-14,11.92,12.19,11.92,12.00,192989
9-Oct-14,12.31,12.38,11.87,12.00,157925
8-Oct-14,12.00,12.45,11.94,12.35,89752
7-Oct-14,12.02,12.18,11.97,12.01,160711
6-Oct-14,12.08,12.25,12.01,12.08,74042
3-Oct-14,12.31,12.42,12.03,12.06,132976
2-Oct-14,11.72,12.18,11.64,12.17,130773
1-Oct-14,11.82,11.88,11.61,11.70,241434
30-Sep-14,12.02,12.18,11.87,11.88,230411
29-Sep-14,11.88,12.05,11.87,12.00,154133
26-Sep-14,11.97,12.10,11.95,12.01,143249
25-Sep-14,12.14,12.46,11.95,11.99,202615
24-Sep-14,12.11,12.43,12.01,12.17,92304
23-Sep-14,12.22,12.39,12.01,12.07,153244
22-Sep-14,12.40,12.56,12.10,12.28,125751
19-Sep-14,12.84,12.94,12.40,12.46,382681
18-Sep-14,12.58,12.90,12.58,12.81,156789
17-Sep-14,12.42,12.55,12.33,12.54,157126
16-Sep-14,12.31,12.52,12.15,12.38,187972
15-Sep-14,12.64,12.74,12.19,12.31,142013
12-Sep-14,12.41,12.68,12.33,12.62,228677
11-Sep-14,12.32,12.40,12.21,12.38,99943
10-Sep-14,12.18,12.44,12.18,12.34,136283
9-Sep-14,12.31,12.42,12.09,12.19,114580
8-Sep-14,12.00,12.43,12.00,12.35,169810
5-Sep-14,12.23,12.31,12.01,12.01,141060
4-Sep-14,12.43,12.61,12.25,12.28,70603
3-Sep-14,12.70,12.83,12.36,12.44,163964
2-Sep-14,12.55,12.69,12.30,12.64,107054
29-Aug-14,12.35,12.55,12.35,12.51,61026
28-Aug-14,12.41,12.56,12.22,12.34,206632
27-Aug-14,12.60,12.68,12.35,12.44,109601
26-Aug-14,12.46,12.63,12.42,12.62,166497
25-Aug-14,12.32,12.61,12.29,12.39,98731
22-Aug-14,12.32,12.37,12.07,12.22,245029
21-Aug-14,12.50,12.58,12.20,12.32,217581
20-Aug-14,12.75,12.78,12.48,12.49,163381
19-Aug-14,12.76,12.86,12.56,12.80,225728
18-Aug-14,12.77,12.90,12.55,12.71,114131
15-Aug-14,12.76,12.96,12.41,12.62,146539
14-Aug-14,12.75,12.96,12.58,12.61,325063
13-Aug-14,12.60,12.83,12.60,12.73,73921
12-Aug-14,12.57,12.83,12.41,12.60,130481
11-Aug-14,12.65,12.91,12.54,12.60,119105
8-Aug-14,12.64,12.77,12.49,12.59,211800
7-Aug-14,12.83,12.97,12.59,12.65,175656
6-Aug-14,12.68,12.97,12.68,12.80,160149
5-Aug-14,12.83,12.95,12.58,12.74,190326
4-Aug-14,12.95,12.98,12.71,12.90,189254
1-Aug-14,12.85,12.94,12.68,12.90,394687
31-Jul-14,12.65,12.89,12.32,12.84,323753
30-Jul-14,12.01,12.99,11.41,12.79,1833162
29-Jul-14,14.98,15.01,14.73,14.74,225294
28-Jul-14,14.83,15.09,14.61,14.94,133797
25-Jul-14,14.92,15.18,14.69,14.82,170429
24-Jul-14,15.23,15.68,14.85,15.04,358403
23-Jul-14,14.94,15.19,14.84,15.04,180418
22-Jul-14,14.90,15.00,14.72,14.86,189043
21-Jul-14,14.68,14.93,14.34,14.80,180042
18-Jul-14,14.28,14.85,14.11,14.80,323921
17-Jul-14,14.86,14.92,14.24,14.30,136036
16-Jul-14,14.99,15.09,14.85,14.98,192496
15-Jul-14,15.07,15.07,14.83,14.95,160442
14-Jul-14,15.15,15.25,14.90,15.09,114410
11-Jul-14,14.98,15.09,14.88,15.02,104553
10-Jul-14,15.19,15.20,14.61,15.02,171562
9-Jul-14,14.98,15.23,14.78,15.04,159935
8-Jul-14,15.46,15.46,14.81,14.97,236442
7-Jul-14,15.67,15.67,15.16,15.18,177104
3-Jul-14,15.58,15.77,15.50,15.76,108501
2-Jul-14,15.43,15.63,15.38,15.51,183263
1-Jul-14,15.18,15.65,15.18,15.50,395593
30-Jun-14,15.96,16.76,14.95,15.10,345560
27-Jun-14,14.77,15.24,14.75,15.20,967313
26-Jun-14,14.47,14.88,14.39,14.85,396937
25-Jun-14,13.95,14.40,13.95,14.35,230864
24-Jun-14,14.09,14.15,13.98,14.01,179968
23-Jun-14,14.59,14.59,14.05,14.14,97999
20-Jun-14,14.72,14.89,14.16,14.30,300502
19-Jun-14,14.25,14.66,13.95,14.64,557421
18-Jun-14,14.09,14.20,14.00,14.19,138655
17-Jun-14,14.01,14.15,13.95,14.06,176593
16-Jun-14,14.02,14.06,13.88,13.98,143793
13-Jun-14,14.10,14.19,13.95,14.00,152509
12-Jun-14,13.93,14.10,13.84,14.05,213984
11-Jun-14,13.94,14.09,13.94,13.99,170289
10-Jun-14,14.13,14.13,13.95,14.01,193440
9-Jun-14,14.02,14.18,13.99,14.17,203106
6-Jun-14,14.13,14.14,13.97,14.04,301685
5-Jun-14,13.97,14.13,13.92,14.08,251587
4-Jun-14,13.90,14.08,13.90,13.98,165712
3-Jun-14,13.94,14.15,13.86,13.99,268746
2-Jun-14,14.03,14.14,13.72,14.00,272700
