Date,Open,High,Low,Close,Volume
31-Dec-14,12.00,12.25,12.00,12.04,371024
30-Dec-14,11.86,12.15,11.86,11.92,278530
29-Dec-14,11.85,12.11,11.80,11.87,307924
26-Dec-14,11.43,11.96,11.26,11.88,282327
24-Dec-14,11.50,11.78,11.39,11.42,156417
23-Dec-14,11.94,11.94,11.24,11.48,445794
22-Dec-14,11.66,11.93,11.52,11.89,418695
19-Dec-14,11.95,12.07,11.63,11.72,1097035
18-Dec-14,11.75,11.99,11.63,11.97,523275
17-Dec-14,11.06,11.63,10.98,11.58,834511
16-Dec-14,11.41,11.71,10.98,11.00,718691
15-Dec-14,12.19,12.52,11.27,11.43,891121
12-Dec-14,12.04,12.26,11.95,12.16,366419
11-Dec-14,12.29,12.71,12.13,12.20,294756
10-Dec-14,12.78,12.80,12.23,12.24,609184
9-Dec-14,12.37,12.87,12.37,12.82,528873
8-Dec-14,12.87,13.10,12.51,12.52,678560
5-Dec-14,12.50,12.92,12.46,12.81,468516
4-Dec-14,12.44,12.83,12.33,12.50,579789
3-Dec-14,12.04,12.75,11.90,12.46,961764
2-Dec-14,11.85,12.07,11.77,11.95,819369
1-Dec-14,12.00,12.12,11.71,11.80,907725
28-Nov-14,11.80,12.00,11.70,11.73,267880
26-Nov-14,11.60,11.88,11.55,11.78,284875
25-Nov-14,11.67,11.80,11.57,11.61,432554
24-Nov-14,11.53,11.67,11.47,11.61,615314
21-Nov-14,11.50,11.58,11.32,11.51,703566
20-Nov-14,11.13,11.40,11.05,11.32,450225
19-Nov-14,10.98,11.15,10.73,11.15,709106
18-Nov-14,10.60,11.07,10.60,11.00,535733
17-Nov-14,10.64,10.70,10.56,10.60,316418
14-Nov-14,10.56,10.71,10.38,10.63,266726
13-Nov-14,10.77,10.99,10.52,10.54,266652
12-Nov-14,10.85,10.89,10.15,10.71,824085
11-Nov-14,10.95,11.09,10.83,10.92,278656
10-Nov-14,11.00,11.08,10.56,10.93,744291
7-Nov-14,10.84,11.16,10.71,10.98,438739
6-Nov-14,10.75,11.09,10.56,10.88,391131
5-Nov-14,10.58,11.24,10.34,10.78,659019
4-Nov-14,10.83,11.03,10.75,10.99,349234
3-Nov-14,10.92,11.20,10.77,10.89,396055
31-Oct-14,11.19,11.20,10.80,10.91,463177
30-Oct-14,10.91,11.15,10.91,10.99,362252
29-Oct-14,11.07,11.14,10.93,10.95,352913
28-Oct-14,11.04,11.23,10.90,11.08,439921
27-Oct-14,10.94,11.01,10.75,10.97,320840
24-Oct-14,11.03,11.13,10.92,11.02,325594
23-Oct-14,10.78,11.13,10.78,11.00,484204
22-Oct-14,11.15,11.20,10.52,10.66,768515
21-Oct-14,11.28,11.40,11.04,11.13,398526
20-Oct-14,11.22,11.47,11.03,11.21,654794
17-Oct-14,11.49,11.53,11.01,11.35,1037208
16-Oct-14,10.49,11.48,10.40,11.31,704788
15-Oct-14,10.26,11.10,10.08,10.74,763985
14-Oct-14,10.00,10.50,9.79,10.48,993374
13-Oct-14,10.05,10.54,9.38,9.90,790221
10-Oct-14,11.56,11.92,10.07,10.09,1278172
9-Oct-14,12.40,12.40,11.56,11.67,385066
8-Oct-14,11.89,12.42,11.55,12.36,560945
7-Oct-14,12.02,12.02,11.57,11.96,547990
6-Oct-14,12.04,12.11,11.79,12.07,394464
3-Oct-14,12.00,12.03,11.65,12.02,423004
2-Oct-14,11.44,11.93,11.18,11.88,416408
1-Oct-14,11.34,11.73,11.11,11.46,632304
30-Sep-14,11.10,11.50,10.91,11.34,566184
29-Sep-14,11.18,11.36,11.05,11.11,323145
26-Sep-14,11.21,11.42,11.16,11.30,356999
25-Sep-14,11.55,11.58,11.14,11.18,276224
24-Sep-14,11.40,11.62,11.28,11.57,178099
23-Sep-14,11.20,11.49,11.19,11.35,295768
22-Sep-14,11.49,11.71,11.04,11.25,404405
19-Sep-14,11.62,11.72,11.26,11.52,721014
