Date,Open,High,Low,Close,Volume
31-Dec-14,17.96,17.96,17.50,17.89,1768
30-Dec-14,18.00,18.00,17.19,17.19,829
29-Dec-14,16.79,17.50,16.74,17.23,3093
26-Dec-14,17.00,17.50,16.86,16.96,5258
24-Dec-14,17.98,17.98,17.01,17.10,4406
23-Dec-14,17.40,18.00,17.40,17.94,3700
22-Dec-14,16.72,17.40,16.52,17.40,3509
19-Dec-14,16.76,17.38,16.70,16.79,4193
18-Dec-14,17.63,17.63,16.92,17.02,4119
17-Dec-14,16.79,17.53,16.79,17.24,2420
16-Dec-14,16.75,17.00,16.53,16.59,2448
15-Dec-14,17.53,17.53,16.59,16.83,3424
12-Dec-14,17.29,17.75,17.27,17.75,2238
11-Dec-14,17.24,17.90,16.78,17.45,5888
10-Dec-14,17.48,17.50,17.05,17.05,2776
9-Dec-14,17.56,17.75,16.85,17.75,17037
8-Dec-14,18.40,18.40,17.28,17.60,7209
5-Dec-14,18.39,18.69,18.23,18.41,9126
4-Dec-14,17.96,18.82,17.95,18.50,12175
3-Dec-14,17.68,17.90,17.47,17.90,12406
2-Dec-14,17.30,17.61,17.07,17.55,11739
1-Dec-14,16.59,17.98,16.59,17.31,7121
28-Nov-14,17.65,17.76,17.05,17.05,7330
26-Nov-14,17.31,17.85,16.66,17.67,17302
25-Nov-14,16.91,17.40,16.76,17.11,19684
24-Nov-14,16.64,17.00,16.64,16.95,3726
21-Nov-14,16.80,16.96,16.51,16.75,6105
20-Nov-14,16.91,16.91,16.48,16.90,4270
19-Nov-14,16.53,16.99,16.53,16.86,3786
18-Nov-14,16.88,16.97,15.99,16.42,8044
17-Nov-14,16.69,16.75,16.30,16.75,7521
14-Nov-14,16.52,16.75,15.90,16.50,9983
13-Nov-14,16.27,16.75,16.27,16.52,10915
12-Nov-14,16.68,16.71,15.82,15.82,15160
11-Nov-14,16.76,16.98,16.01,16.60,13904
10-Nov-14,15.77,16.86,15.75,16.86,14148
7-Nov-14,15.53,15.79,15.20,15.49,10944
