Date,Open,High,Low,Close,Volume
31-Dec-14,2.95,3.17,2.95,3.05,583174
30-Dec-14,2.90,3.07,2.84,2.97,723427
29-Dec-14,2.87,3.00,2.69,2.92,696052
26-Dec-14,2.90,3.03,2.82,2.90,471132
24-Dec-14,2.88,2.92,2.82,2.92,125347
23-Dec-14,2.90,2.91,2.80,2.90,503868
22-Dec-14,2.89,3.03,2.83,2.88,793959
19-Dec-14,2.90,3.09,2.72,2.80,1938662
18-Dec-14,2.63,2.87,2.55,2.71,685413
17-Dec-14,2.47,2.74,2.45,2.60,427071
16-Dec-14,2.51,2.64,2.45,2.49,657337
15-Dec-14,2.85,3.02,2.50,2.64,569256
12-Dec-14,2.98,3.14,2.81,2.90,1110194
11-Dec-14,2.60,3.25,2.60,2.95,2418416
10-Dec-14,2.60,2.92,2.52,2.59,903699
9-Dec-14,2.66,2.66,2.45,2.59,650097
8-Dec-14,2.80,2.91,2.54,2.66,1108963
5-Dec-14,2.98,3.38,2.64,2.80,3049151
4-Dec-14,3.80,3.94,2.77,2.85,6014410
3-Dec-14,4.32,5.12,3.69,3.90,26035965
2-Dec-14,1.90,3.69,1.86,3.65,19930871
1-Dec-14,3.99,4.00,1.53,1.69,9390578
21-Nov-14,6.50,6.50,3.99,4.09,6104830
20-Nov-14,8.12,9.13,7.90,8.86,398609
19-Nov-14,7.96,8.25,7.95,8.03,17327
18-Nov-14,8.09,8.19,7.92,8.09,75049
17-Nov-14,8.33,8.39,8.05,8.25,27337
14-Nov-14,8.25,8.62,8.17,8.38,41583
13-Nov-14,8.45,8.76,8.21,8.41,104803
12-Nov-14,8.43,8.61,7.94,8.40,214777
11-Nov-14,7.43,8.30,7.43,8.14,306997
10-Nov-14,7.66,7.68,7.43,7.53,145307
7-Nov-14,7.47,7.69,7.42,7.46,50721
6-Nov-14,7.77,7.87,7.43,7.61,361135
5-Nov-14,7.44,7.80,7.44,7.77,84822
4-Nov-14,7.25,7.55,7.12,7.43,133232
3-Nov-14,7.34,7.43,7.18,7.21,162908
31-Oct-14,7.19,7.51,7.03,7.51,180879
30-Oct-14,7.50,7.50,7.16,7.31,27909
29-Oct-14,7.33,7.60,7.20,7.36,326160
28-Oct-14,7.26,7.54,7.16,7.50,115520
27-Oct-14,7.45,7.64,7.32,7.49,14893
24-Oct-14,7.71,7.75,7.16,7.44,120123
23-Oct-14,7.70,8.04,7.55,7.65,199311
22-Oct-14,7.99,7.99,7.54,7.65,156149
21-Oct-14,8.03,8.35,7.85,7.94,188747
20-Oct-14,8.49,8.49,7.81,8.20,186439
17-Oct-14,7.41,7.85,7.41,7.76,172483
16-Oct-14,7.64,7.75,7.13,7.46,279930
15-Oct-14,7.83,7.94,7.25,7.72,362532
14-Oct-14,8.80,8.90,7.98,8.15,420350
13-Oct-14,8.82,8.92,8.29,8.70,636451
10-Oct-14,8.34,8.89,8.00,8.21,1327419
9-Oct-14,10.75,11.14,7.98,8.14,11252199
