Date,Open,High,Low,Close,Volume
31-Dec-14,65.31,66.07,64.47,64.71,34729
30-Dec-14,65.81,66.30,65.22,65.69,32636
29-Dec-14,65.85,66.96,65.44,66.10,79312
26-Dec-14,66.30,66.54,65.77,66.04,32516
24-Dec-14,66.16,66.55,65.60,66.02,27683
23-Dec-14,65.72,66.73,65.58,65.94,32472
22-Dec-14,64.88,66.03,64.54,65.54,48355
19-Dec-14,65.35,65.57,64.75,64.90,106611
18-Dec-14,65.47,65.97,64.81,65.26,46269
17-Dec-14,64.24,65.28,63.93,64.99,49170
16-Dec-14,63.87,64.82,63.29,64.29,57285
15-Dec-14,63.69,64.29,63.29,63.96,84762
12-Dec-14,63.61,64.14,63.31,63.59,53366
11-Dec-14,63.85,64.43,63.82,63.95,68688
10-Dec-14,65.74,65.74,63.28,63.47,90222
9-Dec-14,65.83,66.07,65.05,65.75,83398
8-Dec-14,66.56,66.78,65.82,66.03,75248
5-Dec-14,65.82,66.81,65.60,66.47,68143
4-Dec-14,66.41,66.43,65.49,65.92,53888
3-Dec-14,65.83,66.59,65.55,66.44,70760
2-Dec-14,66.36,66.62,65.75,65.97,36995
1-Dec-14,66.77,66.79,65.90,66.07,66861
28-Nov-14,66.88,67.24,66.61,66.74,34084
26-Nov-14,66.51,66.98,65.71,66.98,58080
25-Nov-14,66.78,67.10,66.27,66.78,102486
24-Nov-14,66.89,67.61,66.89,67.10,113928
21-Nov-14,67.08,67.40,66.40,67.18,64603
20-Nov-14,66.86,67.27,66.22,66.88,46850
19-Nov-14,67.95,67.99,67.00,67.24,49264
18-Nov-14,69.14,69.58,68.06,68.14,103613
17-Nov-14,69.38,69.88,68.65,68.91,76138
14-Nov-14,69.68,69.86,68.91,69.58,84226
13-Nov-14,70.52,71.08,69.47,69.49,108055
12-Nov-14,69.54,71.04,69.54,70.72,83420
11-Nov-14,70.39,70.81,69.87,70.07,88830
10-Nov-14,69.62,70.66,68.93,70.44,80105
7-Nov-14,69.11,69.79,68.83,69.51,79243
6-Nov-14,68.54,69.45,68.54,69.26,66500
5-Nov-14,68.70,69.34,68.41,68.78,88130
4-Nov-14,68.47,69.42,68.17,68.59,76917
3-Nov-14,68.54,69.34,67.98,69.00,116485
31-Oct-14,68.30,68.95,67.77,68.25,102119
30-Oct-14,65.99,67.91,65.99,67.67,85894
29-Oct-14,66.47,66.80,65.65,66.37,69222
28-Oct-14,65.47,66.91,65.08,66.55,73385
27-Oct-14,63.84,65.72,63.84,65.39,83734
