Date,Open,High,Low,Close,Volume
26-Dec-14,15.52,15.55,15.52,15.55,421
24-Dec-14,15.95,15.95,15.95,15.95,726
23-Dec-14,15.65,15.69,15.65,15.65,758
22-Dec-14,15.63,15.65,15.55,15.64,1701
18-Dec-14,15.95,15.95,15.55,15.65,3486
10-Dec-14,15.55,15.55,15.55,15.55,148
9-Dec-14,15.55,15.76,15.55,15.76,393
8-Dec-14,15.75,15.76,15.56,15.72,3115
5-Dec-14,15.60,15.60,15.60,15.60,215
4-Dec-14,15.55,15.55,15.55,15.55,665
3-Dec-14,15.64,15.64,15.64,15.64,204
2-Dec-14,15.50,15.56,15.50,15.55,1576
26-Nov-14,15.70,15.70,15.60,15.60,1700
25-Nov-14,15.65,15.84,15.48,15.75,2642
24-Nov-14,15.80,15.80,15.50,15.51,7230
21-Nov-14,15.65,15.65,15.50,15.50,8001
20-Nov-14,15.40,15.41,15.40,15.40,701
19-Nov-14,15.26,15.29,15.23,15.25,3710
18-Nov-14,15.32,15.46,15.25,15.46,3581
17-Nov-14,15.35,15.35,15.27,15.27,2374
14-Nov-14,15.48,15.48,15.31,15.31,1220
12-Nov-14,15.82,15.82,15.77,15.77,425
7-Nov-14,15.15,15.62,15.15,15.25,1070
6-Nov-14,15.45,15.50,15.07,15.15,11576
5-Nov-14,15.65,15.65,15.47,15.47,1165
31-Oct-14,15.46,15.70,15.43,15.43,1178
30-Oct-14,15.57,15.57,15.16,15.17,7049
29-Oct-14,15.66,15.66,15.58,15.58,3927
28-Oct-14,15.68,15.80,15.68,15.70,5410
24-Oct-14,15.30,15.69,15.26,15.69,3899
22-Oct-14,15.11,15.42,15.11,15.15,1317
15-Oct-14,15.06,15.06,15.06,15.06,105
14-Oct-14,15.31,15.31,15.06,15.18,5625
13-Oct-14,15.28,15.30,15.27,15.30,733
7-Oct-14,15.26,15.27,15.26,15.26,630
2-Oct-14,15.39,15.39,15.39,15.39,100
1-Oct-14,15.44,15.44,15.06,15.06,5100
26-Sep-14,15.40,15.40,15.39,15.40,2244
25-Sep-14,15.68,15.68,15.25,15.51,1405
24-Sep-14,15.80,15.80,15.80,15.80,316
23-Sep-14,15.96,15.99,15.68,15.80,1984
22-Sep-14,15.79,15.79,15.55,15.65,4869
19-Sep-14,15.50,15.55,15.49,15.55,2959
17-Sep-14,15.80,15.82,15.73,15.75,3530
15-Sep-14,15.81,15.81,15.81,15.81,117
12-Sep-14,15.87,15.87,15.86,15.87,5917
11-Sep-14,15.97,16.00,15.83,15.90,3637
10-Sep-14,16.05,16.05,16.05,16.05,201
9-Sep-14,16.03,16.03,15.80,15.82,5401
8-Sep-14,15.97,16.21,15.97,16.03,7037
5-Sep-14,16.05,16.14,16.01,16.01,718
4-Sep-14,15.93,16.12,15.80,15.80,1719
3-Sep-14,15.72,15.72,15.72,15.72,1398
2-Sep-14,15.80,15.81,15.65,15.81,2423
29-Aug-14,16.13,16.13,15.80,15.83,2641
28-Aug-14,16.15,16.15,16.10,16.10,201
27-Aug-14,15.90,15.90,15.87,15.87,2322
26-Aug-14,16.10,16.10,16.00,16.00,740
25-Aug-14,16.15,16.15,16.00,16.05,6148
22-Aug-14,16.10,16.10,16.10,16.10,197
21-Aug-14,15.96,16.00,15.92,15.98,2000
20-Aug-14,15.99,15.99,15.79,15.94,3759
19-Aug-14,15.99,16.19,15.85,15.98,17510
18-Aug-14,16.22,16.24,15.89,16.07,17006
