Date,Open,High,Low,Close,Volume
31-Dec-14,49.87,50.36,49.40,49.74,257965
30-Dec-14,49.72,50.29,49.55,49.81,121344
29-Dec-14,50.26,50.62,49.80,50.06,163410
26-Dec-14,50.01,50.66,49.83,50.44,98485
24-Dec-14,50.07,50.43,48.84,50.00,119123
23-Dec-14,49.68,50.63,48.64,49.13,190064
22-Dec-14,48.67,49.69,48.39,49.50,219911
19-Dec-14,48.71,48.85,47.94,48.73,588390
18-Dec-14,48.76,49.37,48.22,48.81,166687
17-Dec-14,47.45,48.03,46.46,47.77,454040
16-Dec-14,48.00,48.34,46.95,47.46,251319
15-Dec-14,48.71,49.77,47.67,48.03,218643
12-Dec-14,48.49,49.20,48.04,48.56,140334
11-Dec-14,49.17,49.74,48.94,49.14,274240
10-Dec-14,49.47,49.90,48.75,49.00,248653
9-Dec-14,47.76,49.81,47.29,49.71,230266
8-Dec-14,49.41,50.00,47.98,48.50,215843
5-Dec-14,49.18,49.80,48.87,49.67,176345
4-Dec-14,49.54,49.65,48.52,49.16,283111
3-Dec-14,48.00,49.47,48.00,49.15,214071
2-Dec-14,47.22,48.17,46.75,48.11,199821
1-Dec-14,47.82,48.26,46.63,47.12,254844
28-Nov-14,48.31,48.49,47.73,48.13,157576
26-Nov-14,46.99,48.50,46.73,48.21,183554
25-Nov-14,47.20,47.55,46.68,47.11,211670
24-Nov-14,46.64,47.48,46.60,47.19,218165
21-Nov-14,46.92,47.00,46.19,46.63,268258
20-Nov-14,45.49,46.23,45.12,46.19,250313
19-Nov-14,46.41,46.41,45.51,45.86,263330
18-Nov-14,44.10,46.76,44.10,46.41,425874
17-Nov-14,45.24,45.72,44.68,44.98,302480
14-Nov-14,44.96,45.70,44.26,45.46,263175
13-Nov-14,45.31,45.65,44.60,44.87,188838
12-Nov-14,44.93,45.66,44.92,45.38,283433
11-Nov-14,44.78,45.00,44.37,44.89,164598
10-Nov-14,44.46,44.99,44.41,44.86,193399
7-Nov-14,44.67,44.88,43.86,44.69,320722
6-Nov-14,44.26,45.09,44.20,44.82,477269
5-Nov-14,43.81,44.48,43.58,44.41,236616
4-Nov-14,43.70,44.71,43.62,43.74,321704
3-Nov-14,44.48,45.37,43.80,44.10,271010
31-Oct-14,43.37,44.53,43.37,44.19,550062
30-Oct-14,41.73,42.22,40.81,42.17,461555
29-Oct-14,42.32,42.60,41.37,41.98,555346
28-Oct-14,45.55,46.00,41.37,42.51,954563
27-Oct-14,40.47,40.94,39.89,40.00,569381
24-Oct-14,39.70,40.63,39.23,40.47,418897
23-Oct-14,39.65,39.96,39.37,39.59,415404
22-Oct-14,39.63,39.90,39.13,39.21,445848
21-Oct-14,38.57,39.61,38.45,39.39,732655
20-Oct-14,37.89,38.91,37.76,38.30,485200
17-Oct-14,38.59,39.45,37.49,38.03,551256
16-Oct-14,35.58,38.33,35.29,38.02,862746
15-Oct-14,34.50,36.50,33.99,36.17,667995
14-Oct-14,34.92,36.15,34.39,34.47,611018
13-Oct-14,35.66,36.22,34.25,34.69,953802
10-Oct-14,40.00,40.00,35.62,35.62,1269237
9-Oct-14,43.45,43.67,41.51,41.98,318764
8-Oct-14,42.51,43.64,41.69,43.59,464834
7-Oct-14,43.67,44.19,42.56,42.70,530557
6-Oct-14,44.11,44.27,43.64,44.06,258925
3-Oct-14,44.17,44.56,43.81,43.89,257711
2-Oct-14,43.36,44.20,43.23,44.10,248794
1-Oct-14,44.15,44.27,43.30,43.48,390909
30-Sep-14,44.54,44.76,44.05,44.05,388973
29-Sep-14,44.02,44.62,44.02,44.61,218827
26-Sep-14,44.32,44.77,44.32,44.65,188700
25-Sep-14,44.85,44.85,44.08,44.30,296670
24-Sep-14,44.42,45.28,44.41,44.87,180953
23-Sep-14,44.51,45.20,44.08,44.43,295871
22-Sep-14,45.26,45.52,44.52,44.56,261033
19-Sep-14,47.00,47.00,45.10,45.45,689556
18-Sep-14,46.26,47.65,46.26,47.26,246030
17-Sep-14,45.78,46.71,45.78,46.22,246457
16-Sep-14,45.17,46.07,45.00,45.81,360150
