Date,Open,High,Low,Close,Volume
31-Dec-14,13.87,14.05,13.87,13.92,84904
30-Dec-14,13.93,14.05,13.77,13.91,47077
29-Dec-14,13.99,14.04,13.93,14.00,45321
26-Dec-14,14.00,14.05,13.94,13.99,78061
24-Dec-14,13.96,14.00,13.72,13.98,59274
23-Dec-14,14.00,14.00,13.86,13.97,72294
22-Dec-14,13.77,14.00,13.64,14.00,65088
19-Dec-14,13.78,13.94,13.70,13.77,307818
18-Dec-14,13.58,13.85,13.45,13.80,98381
17-Dec-14,13.04,13.53,13.04,13.48,118995
16-Dec-14,13.00,13.18,12.90,13.09,172174
15-Dec-14,13.22,13.30,13.00,13.06,78612
12-Dec-14,13.23,13.32,13.05,13.12,63760
11-Dec-14,13.25,13.63,13.25,13.36,71556
10-Dec-14,13.23,13.41,13.17,13.22,82185
9-Dec-14,12.70,13.36,12.69,13.31,140058
8-Dec-14,13.11,13.27,12.78,12.79,67224
5-Dec-14,12.88,13.26,12.79,13.17,72296
4-Dec-14,12.91,13.00,12.79,12.92,98625
3-Dec-14,12.97,12.99,12.84,12.91,77434
2-Dec-14,12.74,13.00,12.61,12.94,87136
1-Dec-14,12.90,12.96,12.67,12.68,143693
28-Nov-14,13.12,13.22,12.91,12.92,40513
26-Nov-14,13.15,13.30,13.08,13.15,110294
25-Nov-14,13.26,13.30,13.18,13.28,49407
24-Nov-14,13.12,13.30,13.04,13.26,87774
21-Nov-14,13.32,13.37,13.02,13.06,112305
20-Nov-14,12.71,13.20,12.71,13.20,82323
19-Nov-14,13.11,13.14,12.72,12.73,103821
18-Nov-14,13.20,13.40,13.12,13.14,102498
17-Nov-14,13.43,13.45,13.14,13.14,64632
14-Nov-14,13.38,13.49,13.26,13.48,131759
13-Nov-14,13.61,13.70,13.36,13.41,79968
12-Nov-14,13.37,13.65,13.35,13.63,75654
11-Nov-14,13.75,13.75,13.37,13.42,91916
10-Nov-14,13.56,13.75,13.47,13.75,79677
7-Nov-14,13.72,13.72,13.41,13.51,121966
6-Nov-14,13.59,13.75,13.56,13.69,72133
5-Nov-14,13.76,13.78,13.49,13.61,111750
4-Nov-14,13.64,13.79,13.50,13.67,113696
3-Nov-14,13.88,14.03,13.63,13.70,173673
31-Oct-14,14.10,14.41,13.85,13.98,299376
30-Oct-14,13.59,14.43,13.48,14.05,405222
29-Oct-14,12.67,13.77,12.67,13.72,587058
28-Oct-14,12.10,12.46,11.97,12.17,779012
27-Oct-14,11.88,12.18,11.85,12.08,163569
24-Oct-14,12.12,12.17,11.90,11.99,125198
23-Oct-14,11.82,12.40,11.82,12.07,186331
22-Oct-14,11.99,12.06,11.74,11.75,78303
21-Oct-14,12.16,12.16,11.90,12.02,150813
20-Oct-14,11.83,12.20,11.83,12.13,268098
17-Oct-14,11.90,12.07,11.56,11.92,216171
16-Oct-14,11.58,11.99,11.58,11.71,167989
15-Oct-14,11.05,11.77,10.91,11.73,136825
14-Oct-14,11.10,11.49,10.86,11.24,95282
13-Oct-14,10.70,11.08,10.61,10.99,141559
10-Oct-14,10.68,11.05,10.68,10.72,151731
9-Oct-14,10.94,10.98,10.72,10.78,97263
8-Oct-14,10.86,11.11,10.80,10.96,158295
7-Oct-14,10.93,11.08,10.81,10.88,61416
6-Oct-14,11.00,11.23,10.98,11.01,76366
3-Oct-14,11.19,11.30,11.00,11.00,97146
2-Oct-14,10.92,11.26,10.90,11.13,118618
1-Oct-14,11.04,11.08,10.85,10.88,252232
30-Sep-14,11.15,11.26,10.81,11.01,213686
29-Sep-14,10.86,10.95,10.76,10.86,255768
26-Sep-14,11.02,11.17,10.98,11.01,157070
25-Sep-14,11.11,11.15,10.96,11.01,131940
24-Sep-14,11.12,11.24,11.04,11.15,63711
23-Sep-14,11.01,11.15,11.00,11.10,188912
22-Sep-14,11.15,11.20,10.94,11.04,126849
19-Sep-14,11.31,11.44,11.00,11.19,361797
18-Sep-14,11.18,11.31,11.11,11.29,149748
17-Sep-14,11.14,11.38,11.12,11.17,459765
16-Sep-14,11.06,11.17,11.00,11.15,455363
15-Sep-14,11.00,11.04,10.88,11.00,130627
12-Sep-14,11.01,11.14,10.86,11.00,109073
11-Sep-14,11.17,11.19,10.99,11.04,87638
10-Sep-14,11.02,11.25,11.02,11.20,73194
9-Sep-14,11.03,11.11,10.97,11.02,129098
8-Sep-14,10.97,11.12,10.97,11.02,63088
5-Sep-14,10.97,11.17,10.97,11.02,60128
4-Sep-14,11.18,11.35,10.98,11.03,87593
3-Sep-14,11.15,11.21,11.01,11.12,113910
2-Sep-14,11.20,11.27,11.01,11.06,260656
29-Aug-14,11.16,11.33,11.08,11.17,96515
28-Aug-14,10.72,11.33,10.69,11.16,416788
27-Aug-14,10.67,10.81,10.64,10.69,105796
26-Aug-14,10.75,10.84,10.65,10.67,168975
25-Aug-14,10.70,10.98,10.65,10.71,160946
22-Aug-14,10.66,10.72,10.62,10.69,100918
21-Aug-14,10.70,10.80,10.55,10.66,478319
20-Aug-14,10.93,10.93,10.47,10.75,162101
19-Aug-14,11.09,11.14,10.84,10.95,131962
18-Aug-14,11.50,11.50,10.98,11.09,141076
15-Aug-14,11.62,11.71,11.16,11.41,64065
14-Aug-14,11.18,11.61,11.18,11.48,37557
13-Aug-14,11.40,11.61,11.16,11.24,87713
12-Aug-14,11.67,11.70,11.25,11.30,53131
11-Aug-14,11.55,11.88,11.49,11.78,40270
8-Aug-14,11.16,11.60,11.16,11.56,66830
7-Aug-14,11.22,11.42,11.14,11.19,48998
6-Aug-14,11.20,11.44,11.05,11.15,95498
5-Aug-14,11.13,11.48,11.10,11.31,125477
4-Aug-14,11.23,11.25,11.16,11.22,61206
1-Aug-14,11.10,11.24,11.10,11.15,103954
31-Jul-14,11.04,11.21,11.00,11.05,122693
30-Jul-14,11.18,11.28,11.11,11.24,84065
29-Jul-14,11.15,11.26,11.06,11.07,43898
28-Jul-14,11.22,11.25,11.05,11.11,49744
25-Jul-14,11.17,11.42,11.10,11.17,84786
24-Jul-14,11.40,11.58,11.25,11.29,78468
23-Jul-14,11.51,11.51,11.34,11.41,51906
22-Jul-14,11.27,11.66,11.18,11.43,42366
21-Jul-14,11.50,11.50,11.20,11.23,69747
18-Jul-14,11.41,11.56,11.38,11.54,78754
17-Jul-14,11.50,11.58,11.40,11.45,69658
16-Jul-14,11.61,11.74,11.51,11.57,50747
15-Jul-14,11.78,11.87,11.62,11.63,59696
14-Jul-14,11.73,11.89,11.71,11.76,42522
11-Jul-14,11.72,11.78,11.60,11.60,47071
10-Jul-14,11.71,11.91,11.64,11.73,61814
9-Jul-14,11.88,11.97,11.80,11.88,57104
8-Jul-14,11.95,12.00,11.75,11.82,87193
7-Jul-14,12.32,12.32,11.90,11.97,179826
3-Jul-14,12.01,12.34,12.01,12.33,54190
2-Jul-14,11.73,12.07,11.61,12.00,110753
1-Jul-14,11.16,11.75,11.16,11.71,252468
30-Jun-14,11.40,11.50,11.25,11.34,147983
27-Jun-14,11.47,11.66,11.35,11.38,159707
26-Jun-14,11.57,11.60,11.40,11.58,61987
25-Jun-14,11.42,11.63,11.42,11.60,66517
24-Jun-14,11.62,11.94,11.47,11.50,72056
23-Jun-14,11.74,11.74,11.50,11.65,59072
20-Jun-14,11.84,11.84,11.52,11.76,170786
19-Jun-14,12.05,12.05,11.71,11.80,43328
18-Jun-14,12.00,12.03,11.73,12.00,50008
17-Jun-14,11.81,12.11,11.81,11.98,59207
16-Jun-14,11.84,11.96,11.74,11.84,46232
13-Jun-14,11.80,12.03,11.67,11.80,177515
12-Jun-14,11.76,11.82,11.59,11.74,86901
11-Jun-14,11.73,11.95,11.65,11.79,83834
10-Jun-14,11.73,11.85,11.54,11.84,55568
9-Jun-14,11.70,11.85,11.65,11.75,58506
6-Jun-14,11.72,11.99,11.62,11.68,105006
5-Jun-14,11.26,11.78,11.21,11.74,150463
4-Jun-14,11.16,11.37,11.14,11.28,106029
3-Jun-14,11.41,11.47,11.09,11.21,104536
2-Jun-14,11.75,11.78,11.46,11.47,133153
30-May-14,11.91,11.91,11.56,11.72,142524
29-May-14,11.95,12.09,11.80,11.91,136488
28-May-14,11.84,12.10,11.80,11.86,136509
27-May-14,12.16,12.28,11.51,11.91,552074
23-May-14,11.93,12.13,11.90,12.11,61912
22-May-14,11.96,12.11,11.88,11.90,91341
21-May-14,12.02,12.14,11.94,11.96,146405
20-May-14,12.15,12.15,11.83,11.95,202641
19-May-14,11.95,12.23,11.95,12.12,85666
16-May-14,11.96,11.97,11.67,11.93,88920
15-May-14,11.85,12.10,11.80,11.99,256631
14-May-14,12.11,12.20,11.80,11.82,150475
13-May-14,12.42,12.46,12.03,12.15,160440
12-May-14,12.10,12.62,11.92,12.41,336311
9-May-14,11.86,12.29,11.86,12.00,283912
8-May-14,12.23,12.52,11.94,11.96,175930
7-May-14,12.30,12.39,11.94,12.30,241003
6-May-14,13.22,13.24,12.28,12.29,328331
5-May-14,13.07,13.48,13.03,13.33,183599
2-May-14,13.17,13.35,13.03,13.26,137700
1-May-14,13.99,13.99,12.90,13.19,278473
30-Apr-14,13.13,14.03,12.81,13.96,226468
29-Apr-14,13.26,13.56,13.07,13.15,101183
28-Apr-14,13.42,13.49,13.01,13.26,84516
25-Apr-14,13.70,13.70,13.15,13.43,123139
24-Apr-14,14.04,14.15,13.63,13.77,70664
23-Apr-14,14.34,14.35,13.84,13.90,112074
22-Apr-14,13.95,14.39,13.79,14.21,323610
21-Apr-14,13.76,14.14,13.62,13.91,99346
17-Apr-14,13.45,14.05,13.35,13.78,162259
16-Apr-14,13.44,13.59,13.28,13.53,57985
15-Apr-14,13.28,13.60,13.17,13.39,155043
14-Apr-14,13.70,13.70,13.03,13.27,216048
11-Apr-14,13.40,13.74,13.40,13.53,129957
10-Apr-14,13.93,14.01,13.50,13.54,135560
9-Apr-14,13.82,14.05,13.62,13.99,126619
