Date,Open,High,Low,Close,Volume
31-Dec-14,22.22,22.42,21.82,21.86,183440
30-Dec-14,22.13,22.33,21.90,22.09,61913
29-Dec-14,22.33,22.36,21.92,22.12,104657
26-Dec-14,22.25,22.50,22.25,22.31,45866
24-Dec-14,22.28,22.50,22.02,22.19,76727
23-Dec-14,21.95,22.34,21.78,22.19,146202
22-Dec-14,21.56,21.95,21.48,21.87,313328
19-Dec-14,21.63,21.65,21.17,21.60,447196
18-Dec-14,21.68,21.89,21.41,21.63,416033
17-Dec-14,21.28,21.46,20.76,21.46,633061
16-Dec-14,21.65,21.88,21.19,21.32,598697
15-Dec-14,20.82,21.78,20.82,21.65,290703
12-Dec-14,20.28,20.83,20.21,20.65,274875
11-Dec-14,21.01,21.29,20.54,20.60,164723
10-Dec-14,21.08,21.19,20.73,20.93,291994
9-Dec-14,20.56,21.17,20.33,21.07,126598
8-Dec-14,21.16,21.19,20.60,20.82,156903
5-Dec-14,21.25,21.46,21.07,21.16,117203
4-Dec-14,20.68,21.32,20.58,21.28,352925
3-Dec-14,20.77,20.87,20.48,20.71,310325
2-Dec-14,20.91,21.15,20.63,20.82,181638
1-Dec-14,21.55,21.55,20.70,20.80,175620
28-Nov-14,21.18,21.66,21.14,21.50,139331
26-Nov-14,21.13,21.21,20.81,21.07,228305
25-Nov-14,21.50,21.61,20.96,21.10,280873
24-Nov-14,21.84,21.90,21.42,21.54,218356
21-Nov-14,21.74,21.87,21.45,21.86,250630
20-Nov-14,21.65,21.79,21.38,21.67,288076
19-Nov-14,21.80,21.89,21.40,21.67,118398
18-Nov-14,21.56,21.95,21.56,21.75,132905
17-Nov-14,21.63,21.75,21.35,21.56,163810
14-Nov-14,21.70,22.24,21.49,21.68,345799
13-Nov-14,21.43,21.68,21.30,21.65,162752
12-Nov-14,21.06,21.41,20.92,21.41,88149
11-Nov-14,21.05,21.30,20.84,21.19,117891
10-Nov-14,20.70,21.15,20.66,21.11,131738
7-Nov-14,20.62,20.75,20.36,20.73,96660
6-Nov-14,20.35,20.68,20.14,20.65,94591
5-Nov-14,20.71,20.90,20.24,20.30,187765
4-Nov-14,19.80,20.67,19.80,20.63,169674
3-Nov-14,19.60,19.96,19.41,19.83,104128
31-Oct-14,19.64,19.65,19.13,19.62,146230
30-Oct-14,19.36,19.71,19.12,19.23,134997
29-Oct-14,19.53,19.83,19.25,19.50,90453
28-Oct-14,19.00,19.69,19.00,19.58,404765
27-Oct-14,18.52,19.04,18.33,18.98,187869
24-Oct-14,18.91,18.93,18.63,18.68,105870
23-Oct-14,18.57,19.03,18.57,18.86,152717
22-Oct-14,19.24,19.50,18.29,18.43,239151
21-Oct-14,18.73,19.20,18.62,19.11,235986
20-Oct-14,18.16,18.77,18.16,18.57,176521
17-Oct-14,18.02,18.34,17.97,18.20,160511
16-Oct-14,17.45,18.02,17.26,17.80,203061
15-Oct-14,16.74,17.81,15.36,17.73,277790
14-Oct-14,17.14,17.44,16.96,17.16,361429
13-Oct-14,17.05,17.40,16.79,16.98,188287
10-Oct-14,17.13,17.56,16.76,17.09,201195
9-Oct-14,17.24,17.40,17.00,17.24,285008
8-Oct-14,17.13,17.34,16.90,17.30,166288
7-Oct-14,17.31,17.62,17.11,17.17,137450
6-Oct-14,17.79,18.02,17.45,17.48,133591
3-Oct-14,18.07,18.27,17.80,17.81,95496
2-Oct-14,17.52,18.01,17.45,17.94,133195
1-Oct-14,17.78,17.95,17.46,17.54,154629
30-Sep-14,18.00,18.00,17.75,17.81,179901
29-Sep-14,17.78,18.61,17.78,17.97,219999
26-Sep-14,17.96,18.21,17.92,18.06,188250
25-Sep-14,18.13,18.27,17.62,17.95,176377
24-Sep-14,18.19,18.36,17.93,18.19,205110
23-Sep-14,18.34,18.44,18.18,18.20,211673
22-Sep-14,18.38,18.54,18.24,18.37,158600
19-Sep-14,18.80,18.92,18.40,18.51,277358
18-Sep-14,18.30,18.69,18.30,18.66,149742
17-Sep-14,18.22,18.45,17.99,18.23,141196
16-Sep-14,17.98,18.21,17.04,18.16,731123
15-Sep-14,18.92,19.03,18.01,18.03,570956
12-Sep-14,19.18,19.50,19.06,19.45,405867
11-Sep-14,19.49,19.79,19.10,19.20,190721
10-Sep-14,19.53,19.69,19.48,19.56,94906
9-Sep-14,19.72,19.81,19.45,19.55,90881
8-Sep-14,19.62,19.85,19.54,19.77,58675
5-Sep-14,19.53,19.78,19.37,19.58,62307
4-Sep-14,19.82,20.06,19.56,19.63,167605
3-Sep-14,20.23,20.25,19.63,19.75,140760
2-Sep-14,19.88,20.34,19.84,20.18,111172
29-Aug-14,19.86,20.01,19.73,19.80,210381
28-Aug-14,19.90,20.00,19.72,19.86,116187
27-Aug-14,20.61,20.62,19.87,19.99,277614
26-Aug-14,21.00,21.06,20.40,20.50,132622
25-Aug-14,21.16,21.30,20.83,21.00,111261
22-Aug-14,20.86,21.08,20.50,21.03,139977
