Date,Open,High,Low,Close,Volume
31-Dec-14,28.58,28.92,28.33,28.38,297814
30-Dec-14,28.53,28.53,28.24,28.41,284587
29-Dec-14,28.78,28.99,28.42,28.71,357991
26-Dec-14,28.79,28.92,28.59,28.86,193255
24-Dec-14,28.24,28.81,28.03,28.61,232771
23-Dec-14,28.69,29.15,28.14,28.24,380674
22-Dec-14,27.85,28.80,27.63,28.64,394525
19-Dec-14,28.00,28.25,27.75,27.89,910974
18-Dec-14,28.45,28.45,27.77,28.11,529345
17-Dec-14,27.31,27.96,26.74,27.92,537648
16-Dec-14,27.03,27.85,26.62,27.15,642972
15-Dec-14,27.97,28.30,27.46,27.72,390969
12-Dec-14,28.00,28.38,27.86,27.86,303572
11-Dec-14,28.39,28.79,28.10,28.30,206832
10-Dec-14,29.00,29.26,28.23,28.34,344735
9-Dec-14,28.08,29.22,28.06,29.18,373029
8-Dec-14,28.94,29.05,28.38,28.53,362214
5-Dec-14,28.61,29.12,28.61,29.01,332042
4-Dec-14,29.06,29.10,28.47,28.63,404539
3-Dec-14,27.78,28.94,27.70,28.81,626489
2-Dec-14,27.10,27.89,26.82,27.85,384130
1-Dec-14,27.20,27.37,26.81,26.97,411344
28-Nov-14,27.50,27.65,27.15,27.20,176976
26-Nov-14,26.95,27.50,26.95,27.46,361895
25-Nov-14,27.02,27.28,26.82,26.93,240319
24-Nov-14,26.61,27.02,26.50,27.01,314198
21-Nov-14,26.93,26.98,26.44,26.58,281007
20-Nov-14,26.21,26.71,26.21,26.61,187163
19-Nov-14,26.83,26.83,26.20,26.48,296523
18-Nov-14,26.68,26.98,26.49,26.85,358383
17-Nov-14,26.78,27.00,26.28,26.58,349408
14-Nov-14,26.73,27.11,26.45,26.91,333558
13-Nov-14,27.30,27.36,26.76,26.80,506607
12-Nov-14,26.89,27.47,26.87,27.32,744405
11-Nov-14,26.98,27.15,26.77,27.13,523398
10-Nov-14,26.42,27.10,26.13,27.04,472138
7-Nov-14,26.49,26.51,25.65,26.47,608705
6-Nov-14,26.30,26.46,25.70,25.97,659712
5-Nov-14,25.50,26.32,25.35,26.22,827427
4-Nov-14,25.72,25.94,25.10,25.29,865139
3-Nov-14,26.06,26.36,25.78,25.90,526158
31-Oct-14,25.78,26.24,25.04,26.07,884277
30-Oct-14,25.15,25.40,24.59,25.12,533942
29-Oct-14,25.19,25.58,24.94,25.35,394227
28-Oct-14,24.69,25.30,24.45,25.28,547912
27-Oct-14,24.41,24.58,24.08,24.49,381765
24-Oct-14,24.34,24.71,24.17,24.56,327949
23-Oct-14,24.00,24.81,23.95,24.43,604896
22-Oct-14,23.84,24.10,23.52,23.72,793084
21-Oct-14,23.26,23.88,23.08,23.58,485820
20-Oct-14,22.25,23.05,22.08,23.04,701129
17-Oct-14,22.79,22.99,22.29,22.34,583348
16-Oct-14,21.93,22.78,21.84,22.44,835517
15-Oct-14,21.01,22.52,20.61,22.34,1227081
14-Oct-14,21.93,22.19,21.38,21.40,880255
13-Oct-14,22.39,22.52,21.62,21.66,1127970
10-Oct-14,24.59,24.63,22.44,22.44,1109736
9-Oct-14,25.02,25.02,24.39,24.59,638836
8-Oct-14,24.46,25.10,24.08,25.02,481810
7-Oct-14,24.93,25.03,24.48,24.49,577139
6-Oct-14,25.52,25.57,25.04,25.10,397555
3-Oct-14,25.73,25.75,25.41,25.44,659488
2-Oct-14,25.15,25.59,24.86,25.40,2252468
1-Oct-14,25.40,25.77,25.12,25.22,1020141
30-Sep-14,25.41,25.64,25.11,25.41,885431
29-Sep-14,24.76,25.52,24.71,25.43,390403
26-Sep-14,24.95,25.13,24.56,25.08,315427
25-Sep-14,25.39,25.39,24.63,24.82,320532
24-Sep-14,25.07,25.59,24.90,25.43,360044
23-Sep-14,25.22,25.61,24.98,24.98,290716
22-Sep-14,25.47,25.72,25.25,25.41,389548
19-Sep-14,26.21,26.43,25.60,25.65,803807
18-Sep-14,26.01,26.30,25.74,26.15,457854
17-Sep-14,25.73,26.09,25.46,25.82,503993
16-Sep-14,25.51,25.93,25.23,25.74,297078
15-Sep-14,25.92,26.00,25.35,25.65,406234
12-Sep-14,26.38,26.40,25.66,25.87,475633
11-Sep-14,26.34,26.56,26.09,26.30,472053
10-Sep-14,26.37,26.60,25.95,26.47,483940
9-Sep-14,26.45,26.55,26.10,26.29,256942
8-Sep-14,26.48,26.77,26.30,26.48,173335
5-Sep-14,26.17,26.52,26.02,26.49,195204
4-Sep-14,26.38,26.63,26.24,26.31,144253
3-Sep-14,26.60,26.67,26.23,26.33,395030
2-Sep-14,26.84,26.84,26.22,26.41,322423
29-Aug-14,26.23,26.64,26.19,26.64,424937
28-Aug-14,25.65,26.19,25.48,26.15,330465
27-Aug-14,25.92,26.02,25.65,25.84,250961
26-Aug-14,25.84,25.98,25.76,25.89,238091
25-Aug-14,26.00,26.01,25.71,25.82,233675
22-Aug-14,25.74,26.02,25.54,25.79,248990
21-Aug-14,25.30,26.25,25.08,25.71,484564
20-Aug-14,24.97,25.33,24.75,25.26,307061
19-Aug-14,24.85,25.18,24.77,25.04,179147
18-Aug-14,24.49,24.79,24.19,24.76,217495
15-Aug-14,24.62,24.77,23.98,24.34,361237
14-Aug-14,24.20,24.59,24.20,24.35,207254
13-Aug-14,24.06,24.34,23.95,24.12,334867
12-Aug-14,24.20,24.38,23.82,24.01,228555
11-Aug-14,24.16,24.56,23.98,24.25,201526
8-Aug-14,23.82,24.25,23.78,23.99,295184
7-Aug-14,24.40,24.51,23.78,23.81,219992
6-Aug-14,23.92,24.46,23.82,24.26,209385
5-Aug-14,24.01,24.27,23.76,24.07,266874
4-Aug-14,24.08,24.18,23.55,24.08,404443
1-Aug-14,24.03,24.31,23.80,23.96,382097
31-Jul-14,24.40,24.70,23.89,23.98,601322
30-Jul-14,24.62,24.87,24.38,24.79,298617
29-Jul-14,24.71,25.08,24.44,24.45,315201
28-Jul-14,24.60,24.91,24.17,24.71,377356
25-Jul-14,25.76,26.24,24.60,24.66,536894
24-Jul-14,25.66,25.84,25.35,25.59,393268
23-Jul-14,26.44,26.44,25.54,25.69,519826
22-Jul-14,26.24,26.59,26.08,26.50,575632
21-Jul-14,26.11,26.33,25.95,26.12,384099
18-Jul-14,25.62,26.35,25.52,26.20,487567
17-Jul-14,26.04,26.30,25.57,25.70,329788
16-Jul-14,26.52,26.56,26.06,26.17,355518
15-Jul-14,26.42,26.59,25.94,26.27,217195
14-Jul-14,26.76,26.94,26.27,26.51,171750
11-Jul-14,26.44,26.54,25.97,26.40,215521
10-Jul-14,26.00,26.61,25.77,26.36,355762
9-Jul-14,26.99,27.07,26.57,26.62,294181
8-Jul-14,26.98,27.13,26.71,26.89,450549
7-Jul-14,27.34,27.50,26.89,27.09,290192
3-Jul-14,27.21,27.47,27.05,27.44,161170
