Date,Open,High,Low,Close,Volume
31-Dec-14,12.25,12.61,11.57,12.37,22510
30-Dec-14,12.56,12.56,11.42,12.42,16573
29-Dec-14,13.20,13.20,12.56,12.56,27269
26-Dec-14,12.14,13.24,11.97,12.98,58000
24-Dec-14,11.55,11.86,11.40,11.76,10360
23-Dec-14,11.00,11.80,11.00,11.62,12821
22-Dec-14,10.28,11.00,10.28,10.85,23701
19-Dec-14,10.26,10.90,10.17,10.17,35287
18-Dec-14,10.43,10.96,10.14,10.46,12975
17-Dec-14,10.43,10.95,10.43,10.58,5950
16-Dec-14,10.00,10.99,9.83,10.21,40377
15-Dec-14,10.87,10.87,10.05,10.26,32185
12-Dec-14,10.30,11.18,10.30,10.90,20392
11-Dec-14,10.30,10.59,10.30,10.44,3514
10-Dec-14,10.90,10.90,10.31,10.31,9227
9-Dec-14,10.00,10.80,9.90,10.74,21539
8-Dec-14,10.03,10.32,9.82,9.95,11968
5-Dec-14,9.75,10.27,9.69,10.27,18795
4-Dec-14,9.81,10.41,9.80,9.86,25145
3-Dec-14,10.45,10.45,9.80,9.97,65244
2-Dec-14,10.55,10.77,10.29,10.35,20435
1-Dec-14,10.72,10.91,10.25,10.68,40759
28-Nov-14,11.38,11.39,10.77,10.78,24120
26-Nov-14,10.55,11.38,10.43,11.15,53198
25-Nov-14,10.24,10.63,10.16,10.31,11408
24-Nov-14,10.55,10.70,10.15,10.24,35596
21-Nov-14,10.99,11.00,10.56,10.60,25633
20-Nov-14,11.10,11.43,10.57,10.63,56772
19-Nov-14,11.91,11.91,11.04,11.13,21016
18-Nov-14,11.33,12.14,11.30,11.44,31331
17-Nov-14,11.13,11.90,10.79,11.78,103416
14-Nov-14,11.75,12.44,11.42,11.66,39805
13-Nov-14,12.05,12.49,11.71,11.83,48329
12-Nov-14,12.51,12.99,11.71,12.00,37051
11-Nov-14,11.22,12.26,11.10,12.26,124879
10-Nov-14,11.69,11.70,11.02,11.55,106399
7-Nov-14,11.98,13.75,11.00,11.80,88040
6-Nov-14,14.68,14.68,13.29,14.24,46944
5-Nov-14,14.42,14.89,13.77,14.12,64080
4-Nov-14,14.00,14.14,13.64,14.14,30638
3-Nov-14,13.44,14.23,13.44,13.83,56960
31-Oct-14,13.46,13.51,12.80,13.36,36506
30-Oct-14,13.88,13.88,12.11,13.28,91263
29-Oct-14,14.90,14.90,13.56,13.85,73578
28-Oct-14,13.80,14.90,13.58,14.88,188223
27-Oct-14,13.00,13.99,12.98,13.58,139456
24-Oct-14,11.91,13.02,11.80,13.00,48178
23-Oct-14,11.53,12.18,11.19,11.98,43491
22-Oct-14,10.11,11.26,10.11,11.26,22587
21-Oct-14,9.79,10.19,9.62,10.19,15549
20-Oct-14,9.50,10.06,9.50,9.77,28292
17-Oct-14,9.31,10.27,9.31,9.72,37933
16-Oct-14,8.98,9.48,8.89,9.29,18432
15-Oct-14,9.33,9.36,8.91,8.99,22121
14-Oct-14,9.80,9.81,9.23,9.34,24868
13-Oct-14,10.01,10.01,9.60,9.79,23349
10-Oct-14,9.86,10.26,9.81,10.12,12021
9-Oct-14,10.23,10.29,9.82,9.87,21527
8-Oct-14,10.28,10.35,10.06,10.24,20503
7-Oct-14,10.14,10.44,10.06,10.17,12112
6-Oct-14,10.40,10.58,10.05,10.26,33133
3-Oct-14,11.01,11.47,10.50,10.51,30426
2-Oct-14,10.72,11.13,10.06,10.97,41164
1-Oct-14,10.77,11.77,10.56,10.74,67102
30-Sep-14,12.15,13.49,11.67,12.02,131355
29-Sep-14,11.67,12.45,11.55,12.16,137308
26-Sep-14,10.49,11.85,10.38,11.55,77662
25-Sep-14,10.93,11.10,10.20,10.26,76543
24-Sep-14,11.25,11.75,11.08,11.34,52458
23-Sep-14,11.78,12.19,10.57,11.65,362400
22-Sep-14,11.75,12.00,11.19,11.99,307879
19-Sep-14,10.50,11.73,10.09,11.36,163788
18-Sep-14,9.36,10.77,8.92,10.50,91677
17-Sep-14,9.47,9.47,8.74,9.15,29721
16-Sep-14,9.44,9.50,9.15,9.46,31231
15-Sep-14,9.09,9.50,8.52,9.37,41910
12-Sep-14,8.81,9.35,8.74,8.88,63036
11-Sep-14,8.35,10.80,8.35,9.15,305633
10-Sep-14,7.78,7.84,7.38,7.40,19812
9-Sep-14,7.57,7.82,7.52,7.76,34700
8-Sep-14,6.66,8.00,6.51,7.87,51031
5-Sep-14,6.64,6.64,6.52,6.63,3676
4-Sep-14,6.51,6.64,6.51,6.64,400
3-Sep-14,6.58,6.63,6.49,6.57,6895
2-Sep-14,6.67,6.80,6.57,6.70,4127
29-Aug-14,6.49,6.85,6.49,6.81,6040
28-Aug-14,6.90,6.90,6.78,6.80,13002
27-Aug-14,6.85,6.85,6.85,6.85,2134
26-Aug-14,6.80,6.80,6.79,6.80,1784
25-Aug-14,6.67,6.90,6.67,6.76,10365
22-Aug-14,6.62,6.62,6.61,6.61,650
21-Aug-14,6.51,6.63,6.51,6.63,4150
20-Aug-14,6.52,6.55,6.52,6.55,566
19-Aug-14,6.66,6.66,6.52,6.56,5158
18-Aug-14,6.53,6.53,6.43,6.45,4315
14-Aug-14,6.50,6.53,6.50,6.53,1317
13-Aug-14,6.42,6.46,6.42,6.46,451
12-Aug-14,6.38,6.47,6.38,6.47,3718
11-Aug-14,6.20,6.70,6.20,6.57,1368
8-Aug-14,6.85,6.85,6.60,6.70,6283
7-Aug-14,6.01,6.76,6.01,6.70,30144
6-Aug-14,6.44,6.44,6.20,6.20,10200
5-Aug-14,6.58,6.58,6.04,6.13,3119
4-Aug-14,6.42,6.43,6.41,6.43,2224
1-Aug-14,6.58,6.60,6.46,6.46,1406
