Date,Open,High,Low,Close,Volume
31-Dec-14,1.01,1.02,0.98,0.99,14797
30-Dec-14,1.01,1.05,1.01,1.01,2464
29-Dec-14,1.00,1.02,0.98,1.01,7088
26-Dec-14,1.00,1.00,0.99,1.00,11276
23-Dec-14,1.01,1.03,1.00,1.00,5410
22-Dec-14,1.01,1.06,1.01,1.03,13839
19-Dec-14,1.02,1.04,1.01,1.01,9747
18-Dec-14,1.03,1.04,1.01,1.03,7730
17-Dec-14,1.01,1.05,1.01,1.01,8460
16-Dec-14,1.01,1.05,1.01,1.01,5200
15-Dec-14,1.01,1.07,1.01,1.01,1315
12-Dec-14,1.01,1.04,1.01,1.04,2669
11-Dec-14,1.02,1.08,1.01,1.03,12143
10-Dec-14,1.00,1.08,1.00,1.00,30117
9-Dec-14,1.00,1.05,1.00,1.00,18970
8-Dec-14,1.08,1.08,1.01,1.01,4780
5-Dec-14,1.06,1.09,1.03,1.08,4680
4-Dec-14,1.10,1.10,1.05,1.08,10400
3-Dec-14,1.07,1.13,1.07,1.08,3800
2-Dec-14,1.08,1.15,1.08,1.14,5500
1-Dec-14,1.10,1.11,1.01,1.08,53970
28-Nov-14,1.15,1.15,1.10,1.10,23519
26-Nov-14,1.20,1.20,1.16,1.16,2564
25-Nov-14,1.22,1.27,1.19,1.21,3176
24-Nov-14,1.20,1.27,1.20,1.27,3815
21-Nov-14,1.21,1.22,1.21,1.21,2846
20-Nov-14,1.20,1.22,1.20,1.22,6535
19-Nov-14,1.24,1.24,1.20,1.20,15372
18-Nov-14,1.29,1.29,1.20,1.27,953
17-Nov-14,1.21,1.32,1.21,1.32,663
14-Nov-14,1.21,1.21,1.21,1.21,346
13-Nov-14,1.25,1.31,1.13,1.20,14380
12-Nov-14,1.25,1.29,1.24,1.24,2300
11-Nov-14,1.22,1.22,1.22,1.22,200
10-Nov-14,1.24,1.26,1.21,1.23,2817
7-Nov-14,1.22,1.26,1.19,1.21,17000
6-Nov-14,1.37,1.37,1.28,1.28,2745
5-Nov-14,1.30,1.32,1.30,1.32,4662
4-Nov-14,1.31,1.34,1.28,1.33,9662
3-Nov-14,1.35,1.35,1.30,1.34,13940
31-Oct-14,1.38,1.42,1.31,1.42,6201
30-Oct-14,1.32,1.41,1.32,1.35,1339
29-Oct-14,1.36,1.36,1.26,1.32,17804
28-Oct-14,1.24,1.30,1.19,1.30,30992
27-Oct-14,1.30,1.30,1.12,1.20,17476
24-Oct-14,1.36,1.41,1.30,1.30,12239
23-Oct-14,1.45,1.45,1.36,1.36,8018
22-Oct-14,1.52,1.60,1.36,1.36,44971
21-Oct-14,1.46,1.56,1.35,1.44,45493
20-Oct-14,1.38,1.43,1.38,1.42,1579
17-Oct-14,1.31,1.43,1.31,1.35,1225
16-Oct-14,1.31,1.45,1.28,1.32,14025
15-Oct-14,1.37,1.37,1.26,1.28,12072
14-Oct-14,1.41,1.41,1.35,1.36,3700
13-Oct-14,1.38,1.44,1.35,1.38,35181
10-Oct-14,1.46,1.49,1.37,1.39,49160
9-Oct-14,1.47,1.55,1.45,1.46,18884
8-Oct-14,1.48,1.51,1.48,1.51,6567
7-Oct-14,1.53,1.63,1.50,1.50,16310
6-Oct-14,1.59,1.64,1.52,1.53,24075
3-Oct-14,1.69,1.69,1.54,1.63,21884
2-Oct-14,1.48,1.58,1.48,1.58,20025
1-Oct-14,1.53,1.56,1.48,1.52,10381
30-Sep-14,1.69,1.73,1.53,1.54,26386
29-Sep-14,1.58,1.73,1.53,1.66,63498
26-Sep-14,1.55,1.60,1.49,1.60,30015
25-Sep-14,1.65,1.65,1.47,1.58,24012
24-Sep-14,1.67,1.93,1.61,1.64,440006
23-Sep-14,1.42,1.53,1.36,1.46,34268
22-Sep-14,1.51,1.51,1.40,1.41,8609
19-Sep-14,1.53,1.53,1.40,1.41,18261
18-Sep-14,1.45,1.53,1.43,1.51,42363
17-Sep-14,1.50,1.58,1.44,1.53,27987
16-Sep-14,1.49,1.79,1.40,1.50,69650
15-Sep-14,1.63,1.68,1.43,1.50,127114
12-Sep-14,1.69,1.82,1.64,1.68,71163
11-Sep-14,1.93,1.93,1.65,1.69,160970
10-Sep-14,1.95,2.40,1.80,1.99,1363160
9-Sep-14,1.60,1.98,1.53,1.73,248360
8-Sep-14,1.60,1.73,1.57,1.61,112061
5-Sep-14,1.36,2.02,1.36,1.73,395614
4-Sep-14,1.36,1.37,1.36,1.37,2196
3-Sep-14,1.40,1.40,1.36,1.36,2718
2-Sep-14,1.32,1.40,1.32,1.39,6300
29-Aug-14,1.30,1.40,1.30,1.40,5304
28-Aug-14,1.37,1.37,1.35,1.35,1300
27-Aug-14,1.24,1.25,1.24,1.25,2800
