Date,Open,High,Low,Close,Volume
31-Dec-14,3.32,3.44,3.32,3.40,389550
30-Dec-14,3.30,3.35,3.24,3.34,315839
29-Dec-14,3.45,3.46,3.21,3.28,888701
26-Dec-14,3.55,3.59,3.32,3.35,728616
24-Dec-14,3.55,3.58,3.48,3.53,219756
23-Dec-14,3.68,3.68,3.49,3.56,433368
22-Dec-14,3.54,3.69,3.48,3.68,899226
19-Dec-14,3.44,3.55,3.39,3.47,950253
18-Dec-14,3.33,3.45,3.25,3.42,777051
17-Dec-14,3.18,3.31,3.10,3.30,691499
16-Dec-14,3.01,3.17,2.80,3.12,620271
15-Dec-14,3.06,3.25,2.97,3.01,1634292
12-Dec-14,3.03,3.23,3.03,3.19,834889
11-Dec-14,2.95,3.09,2.95,3.02,545262
10-Dec-14,2.93,3.04,2.86,2.95,1003687
9-Dec-14,2.64,2.93,2.55,2.88,647703
8-Dec-14,2.67,2.75,2.63,2.64,354912
5-Dec-14,2.68,2.77,2.63,2.67,139062
4-Dec-14,2.66,2.72,2.64,2.68,158329
3-Dec-14,2.66,2.73,2.65,2.66,157837
2-Dec-14,2.59,2.71,2.58,2.69,441236
1-Dec-14,2.62,2.63,2.52,2.60,252773
28-Nov-14,2.70,2.71,2.62,2.62,86689
26-Nov-14,2.74,2.78,2.70,2.72,459835
25-Nov-14,2.62,2.74,2.56,2.71,373618
24-Nov-14,2.66,2.69,2.60,2.63,414040
21-Nov-14,2.69,2.73,2.68,2.68,290377
20-Nov-14,2.60,2.70,2.56,2.67,365054
19-Nov-14,2.68,2.70,2.61,2.61,88670
18-Nov-14,2.66,2.70,2.65,2.69,195632
17-Nov-14,2.73,2.75,2.66,2.68,423394
14-Nov-14,2.72,2.75,2.62,2.73,527877
13-Nov-14,2.68,2.74,2.66,2.74,384622
12-Nov-14,2.64,2.71,2.64,2.68,552723
11-Nov-14,2.60,2.68,2.57,2.67,576009
10-Nov-14,2.54,2.60,2.50,2.58,486358
7-Nov-14,2.54,2.59,2.53,2.57,54465
6-Nov-14,2.53,2.60,2.51,2.56,213079
5-Nov-14,2.61,2.64,2.52,2.56,216870
4-Nov-14,2.64,2.66,2.52,2.61,193835
3-Nov-14,2.70,2.71,2.60,2.64,326031
31-Oct-14,2.69,2.70,2.61,2.66,446518
30-Oct-14,2.57,2.67,2.57,2.65,472576
29-Oct-14,2.56,2.62,2.51,2.60,387572
28-Oct-14,2.55,2.58,2.42,2.58,521424
27-Oct-14,2.50,2.55,2.46,2.55,466031
24-Oct-14,2.42,2.56,2.30,2.50,1553287
23-Oct-14,2.30,2.50,2.30,2.43,484104
22-Oct-14,2.31,2.32,2.27,2.29,287772
21-Oct-14,2.26,2.35,2.22,2.28,156807
20-Oct-14,2.27,2.35,2.22,2.25,359398
17-Oct-14,2.29,2.30,2.23,2.26,303603
16-Oct-14,2.13,2.27,2.11,2.23,299243
