Date,Open,High,Low,Close,Volume
31-Dec-14,0.09,0.15,0.09,0.15,42891
30-Dec-14,0.09,0.11,0.09,0.10,80524
29-Dec-14,0.11,0.12,0.07,0.09,156097
26-Dec-14,0.14,0.14,0.14,0.14,8400
24-Dec-14,0.13,0.14,0.11,0.14,176771
23-Dec-14,0.15,0.15,0.12,0.13,22634
22-Dec-14,0.14,0.14,0.12,0.14,11450
19-Dec-14,0.12,0.14,0.12,0.14,50401
18-Dec-14,0.14,0.14,0.11,0.12,34100
17-Dec-14,0.14,0.14,0.14,0.14,800
16-Dec-14,0.14,0.14,0.14,0.14,300
15-Dec-14,0.14,0.14,0.12,0.14,30450
12-Dec-14,0.14,0.14,0.13,0.13,12000
11-Dec-14,0.14,0.14,0.13,0.14,88500
10-Dec-14,0.14,0.14,0.14,0.14,800
9-Dec-14,0.12,0.14,0.12,0.12,46572
8-Dec-14,0.13,0.14,0.13,0.13,115779
5-Dec-14,0.14,0.14,0.14,0.14,114568
4-Dec-14,0.14,0.16,0.13,0.15,117000
3-Dec-14,0.15,0.17,0.15,0.16,76500
2-Dec-14,0.15,0.15,0.14,0.14,73867
1-Dec-14,0.16,0.16,0.12,0.15,34700
28-Nov-14,0.18,0.18,0.17,0.17,50727
26-Nov-14,0.17,0.18,0.17,0.18,10008
25-Nov-14,0.16,0.17,0.16,0.17,17000
24-Nov-14,0.17,0.17,0.17,0.17,40900
21-Nov-14,0.16,0.18,0.16,0.18,55550
20-Nov-14,0.18,0.18,0.17,0.18,16000
19-Nov-14,0.17,0.17,0.17,0.17,7450
18-Nov-14,0.18,0.18,0.17,0.17,13600
17-Nov-14,0.18,0.18,0.18,0.18,40000
14-Nov-14,0.18,0.18,0.18,0.18,20190
13-Nov-14,0.18,0.18,0.16,0.16,8325
12-Nov-14,0.16,0.17,0.16,0.16,17700
11-Nov-14,0.17,0.19,0.17,0.17,29700
10-Nov-14,0.17,0.19,0.17,0.17,10200
7-Nov-14,0.17,0.17,0.17,0.17,500
6-Nov-14,0.18,0.18,0.17,0.17,41405
5-Nov-14,0.19,0.19,0.17,0.18,23700
4-Nov-14,0.16,0.19,0.16,0.19,59900
3-Nov-14,0.19,0.19,0.16,0.19,66075
