Date,Open,High,Low,Close,Volume
31-Dec-14,79.64,81.00,79.54,80.00,52476
30-Dec-14,79.32,80.09,78.21,79.39,13834
29-Dec-14,77.94,79.62,77.94,79.62,13501
26-Dec-14,77.30,79.11,77.30,77.79,5819
24-Dec-14,77.77,78.00,76.40,77.34,20586
23-Dec-14,77.66,78.12,77.40,78.10,5433
22-Dec-14,77.76,78.25,77.07,77.95,9060
19-Dec-14,78.84,79.42,77.45,77.88,17429
18-Dec-14,77.89,79.98,77.68,79.22,21236
17-Dec-14,77.86,78.73,76.10,78.00,19311
16-Dec-14,76.23,78.78,76.23,78.21,24830
15-Dec-14,76.91,76.91,75.14,76.70,13228
12-Dec-14,77.65,77.65,76.52,77.03,6902
11-Dec-14,78.50,78.95,76.78,78.21,12216
10-Dec-14,77.61,78.38,77.12,78.11,9149
9-Dec-14,76.96,78.95,76.26,78.15,38034
8-Dec-14,75.86,77.95,75.86,77.50,4487
5-Dec-14,76.19,77.78,74.80,77.29,27291
4-Dec-14,75.61,77.31,74.75,76.02,29194
3-Dec-14,75.24,75.78,73.81,75.60,9723
2-Dec-14,75.04,75.84,73.32,75.39,8560
1-Dec-14,75.13,75.24,74.14,74.62,9465
28-Nov-14,74.28,75.98,74.28,75.18,7665
26-Nov-14,72.88,73.99,72.81,73.97,10020
25-Nov-14,73.29,73.50,73.01,73.04,5470
24-Nov-14,70.38,72.65,70.00,72.57,18585
21-Nov-14,71.79,71.79,69.88,70.53,12927
20-Nov-14,72.05,72.05,70.95,71.20,5570
19-Nov-14,72.48,72.48,67.53,71.45,10048
18-Nov-14,73.13,73.13,71.84,71.93,8698
17-Nov-14,73.55,73.93,72.63,72.90,7017
14-Nov-14,73.09,73.60,72.75,73.38,14885
13-Nov-14,72.62,73.65,72.03,73.05,23654
12-Nov-14,69.83,72.70,69.54,72.62,16591
11-Nov-14,70.94,71.04,69.60,69.85,30653
10-Nov-14,70.70,70.95,69.75,70.90,11589
7-Nov-14,69.58,70.47,68.59,70.41,8848
6-Nov-14,69.75,70.28,67.01,70.28,25360
5-Nov-14,72.57,73.41,69.46,70.24,32323
4-Nov-14,73.00,73.50,72.35,72.71,11025
3-Nov-14,72.00,73.60,71.65,73.28,59530
31-Oct-14,72.00,72.00,67.01,71.88,18358
30-Oct-14,70.60,71.77,70.55,71.47,14305
29-Oct-14,70.45,72.35,69.75,70.40,25283
28-Oct-14,69.45,70.50,69.21,70.39,31536
27-Oct-14,69.78,69.78,68.35,69.17,36263
24-Oct-14,67.99,69.49,67.01,69.47,16468
23-Oct-14,68.16,69.78,67.98,68.38,16932
22-Oct-14,68.00,69.85,67.32,68.44,7473
21-Oct-14,68.84,69.83,67.79,68.39,37549
20-Oct-14,68.00,70.00,68.00,68.75,16908
17-Oct-14,69.68,70.00,64.55,68.03,12449
16-Oct-14,68.16,70.00,67.57,68.93,13019
15-Oct-14,68.54,69.00,64.87,68.62,13966
14-Oct-14,68.63,69.32,68.12,68.80,19328
13-Oct-14,67.65,69.50,66.65,68.20,26972
