Date,Open,High,Low,Close,Volume
31-Dec-14,26.77,26.88,26.23,26.27,103773
30-Dec-14,26.54,26.77,26.40,26.62,83941
29-Dec-14,26.00,26.56,26.00,26.54,174968
26-Dec-14,26.03,26.16,25.83,26.10,68029
24-Dec-14,25.91,25.99,25.61,25.94,45734
23-Dec-14,26.00,26.17,25.73,25.94,85785
22-Dec-14,25.82,25.95,25.51,25.80,87286
19-Dec-14,25.89,26.00,25.31,25.88,470809
18-Dec-14,25.93,26.20,25.74,25.95,155275
17-Dec-14,25.07,25.70,24.72,25.68,184950
16-Dec-14,24.45,25.14,24.33,24.95,199832
15-Dec-14,24.79,24.94,24.33,24.50,119699
12-Dec-14,24.62,24.94,24.40,24.55,109966
11-Dec-14,24.93,25.22,24.89,25.00,91645
10-Dec-14,25.61,25.71,24.73,24.76,97777
9-Dec-14,24.84,25.73,24.84,25.64,174266
8-Dec-14,25.14,25.52,25.01,25.13,93101
5-Dec-14,24.76,25.40,24.76,25.20,118111
4-Dec-14,24.78,24.92,24.56,24.79,101148
3-Dec-14,24.58,24.95,24.41,24.86,87661
2-Dec-14,24.16,24.82,24.16,24.53,118846
1-Dec-14,24.17,24.36,24.03,24.05,156475
28-Nov-14,24.91,25.15,24.26,24.31,74431
26-Nov-14,24.93,25.02,24.79,24.98,96364
25-Nov-14,24.94,25.14,24.70,25.12,89526
24-Nov-14,24.54,24.99,24.54,24.97,75033
21-Nov-14,25.17,25.17,24.38,24.51,85653
20-Nov-14,24.50,24.88,24.45,24.86,142542
19-Nov-14,25.00,25.00,24.40,24.68,86482
18-Nov-14,25.13,25.28,24.95,25.10,76934
17-Nov-14,25.19,25.22,25.01,25.04,61135
14-Nov-14,25.46,25.47,25.22,25.29,99714
13-Nov-14,25.86,25.86,25.43,25.45,73108
12-Nov-14,25.45,25.80,25.45,25.80,120379
11-Nov-14,25.68,25.86,25.43,25.60,60847
10-Nov-14,25.60,25.71,25.38,25.68,69798
7-Nov-14,25.76,25.76,25.40,25.57,78941
