Date,Open,High,Low,Close,Volume
31-Dec-14,4.17,4.25,4.09,4.17,128807
30-Dec-14,4.07,4.23,4.00,4.14,154478
29-Dec-14,4.16,4.16,4.09,4.09,89129
26-Dec-14,4.12,4.15,4.09,4.15,164388
24-Dec-14,4.15,4.15,3.96,4.03,570572
23-Dec-14,4.19,4.20,4.04,4.13,135388
22-Dec-14,4.17,4.25,4.17,4.20,150544
19-Dec-14,4.20,4.25,4.16,4.16,190954
18-Dec-14,4.15,4.27,4.15,4.18,569000
17-Dec-14,4.12,4.24,4.09,4.11,208817
16-Dec-14,4.10,4.15,4.04,4.13,247682
15-Dec-14,4.33,4.42,4.06,4.09,147056
12-Dec-14,4.25,4.47,4.20,4.33,134681
11-Dec-14,4.13,4.42,4.13,4.25,160946
10-Dec-14,4.41,4.41,4.05,4.10,127215
9-Dec-14,3.96,4.45,3.96,4.45,149610
8-Dec-14,4.17,4.31,4.01,4.02,207166
5-Dec-14,4.47,4.49,4.17,4.21,184880
4-Dec-14,4.26,4.58,4.25,4.49,198912
3-Dec-14,4.25,4.37,4.17,4.25,234945
2-Dec-14,4.12,4.38,4.10,4.27,243928
1-Dec-14,4.20,4.30,4.17,4.19,218558
28-Nov-14,4.35,4.35,4.17,4.24,286240
26-Nov-14,4.33,4.45,4.01,4.36,243796
25-Nov-14,4.40,4.45,4.31,4.31,271823
24-Nov-14,4.36,4.50,4.36,4.42,97978
21-Nov-14,4.50,4.54,4.34,4.36,384056
20-Nov-14,4.55,4.59,4.46,4.49,281068
19-Nov-14,4.60,4.61,4.52,4.56,153483
18-Nov-14,4.58,4.72,4.53,4.61,135915
17-Nov-14,4.72,4.74,4.54,4.60,236614
14-Nov-14,4.79,4.83,4.65,4.68,179651
13-Nov-14,4.92,5.10,4.79,4.81,268498
12-Nov-14,4.85,4.97,4.78,4.94,305839
11-Nov-14,4.86,4.91,4.85,4.85,132030
10-Nov-14,4.86,4.96,4.82,4.87,126408
7-Nov-14,4.90,4.95,4.83,4.83,257877
6-Nov-14,4.76,4.93,4.76,4.85,294174
5-Nov-14,4.78,4.94,4.66,4.79,517828
4-Nov-14,4.86,4.87,4.52,4.64,1119771
3-Nov-14,5.59,5.59,4.79,4.80,881579
31-Oct-14,5.49,5.81,5.41,5.65,496263
30-Oct-14,5.49,5.64,5.29,5.48,847130
29-Oct-14,5.10,5.39,5.01,5.33,282187
28-Oct-14,4.90,5.12,4.81,5.11,242267
27-Oct-14,4.91,4.92,4.76,4.85,102354
24-Oct-14,4.98,4.98,4.80,4.91,128026
23-Oct-14,4.81,4.96,4.77,4.95,193164
22-Oct-14,4.68,4.90,4.68,4.83,227775
21-Oct-14,4.72,4.84,4.60,4.70,259808
20-Oct-14,5.00,5.05,4.71,4.74,101025
17-Oct-14,4.94,5.14,4.87,4.97,180489
16-Oct-14,4.68,5.14,4.68,4.89,236371
15-Oct-14,4.70,4.77,4.55,4.74,151585
14-Oct-14,4.66,4.73,4.31,4.70,351954
13-Oct-14,4.79,4.88,4.55,4.61,176169
10-Oct-14,4.63,4.93,4.53,4.79,161449
9-Oct-14,4.80,4.84,4.51,4.69,238172
8-Oct-14,4.88,4.99,4.65,4.80,145511
7-Oct-14,5.01,5.04,4.91,4.91,144913
6-Oct-14,5.06,5.11,4.96,5.00,211818
3-Oct-14,5.11,5.15,4.99,5.08,173253
2-Oct-14,5.11,5.22,5.00,5.06,200476
1-Oct-14,5.17,5.21,4.91,5.14,507719
30-Sep-14,5.12,5.30,5.01,5.21,378475
29-Sep-14,5.25,5.35,5.04,5.17,139855
26-Sep-14,5.29,5.31,5.12,5.25,142007
25-Sep-14,5.50,5.50,5.16,5.25,175989
24-Sep-14,5.45,5.48,5.34,5.48,95324
23-Sep-14,5.49,5.56,5.35,5.42,224069
22-Sep-14,5.49,5.57,5.26,5.44,230440
19-Sep-14,5.45,5.65,5.38,5.57,292373
18-Sep-14,5.43,5.52,5.35,5.45,202809
17-Sep-14,5.54,5.65,5.35,5.41,357030
16-Sep-14,5.57,5.61,5.36,5.48,241063
15-Sep-14,5.95,5.95,5.49,5.62,409067
12-Sep-14,5.86,6.06,5.72,5.99,478060
11-Sep-14,5.87,5.94,5.77,5.82,277247
10-Sep-14,5.48,6.10,5.43,5.86,1039260
9-Sep-14,5.44,5.56,5.44,5.51,321238
8-Sep-14,5.45,5.54,5.38,5.46,145315
5-Sep-14,5.55,5.65,5.11,5.47,792518
4-Sep-14,5.50,5.64,5.45,5.60,552756
3-Sep-14,5.44,5.50,5.35,5.50,240435
2-Sep-14,5.31,5.43,5.10,5.39,298341
