Date,Open,High,Low,Close,Volume
31-Dec-14,3.29,3.48,3.15,3.38,2708414
30-Dec-14,2.54,3.28,2.51,3.08,3474341
29-Dec-14,2.65,2.65,2.51,2.53,184567
26-Dec-14,2.65,2.77,2.59,2.65,116219
24-Dec-14,2.60,2.68,2.54,2.68,253213
23-Dec-14,2.69,2.69,2.53,2.58,325172
22-Dec-14,2.50,2.69,2.43,2.66,243825
19-Dec-14,2.51,2.51,2.45,2.50,208442
18-Dec-14,2.41,2.55,2.36,2.51,442073
17-Dec-14,2.17,2.38,2.17,2.37,191875
16-Dec-14,2.06,2.27,2.06,2.18,443441
15-Dec-14,2.11,2.17,2.05,2.07,362796
12-Dec-14,2.07,2.21,2.06,2.12,120503
11-Dec-14,2.23,2.26,2.05,2.11,1672900
10-Dec-14,2.26,2.29,2.20,2.20,418339
9-Dec-14,2.09,2.31,2.07,2.27,241930
8-Dec-14,2.25,2.30,2.08,2.14,213857
5-Dec-14,2.32,2.33,2.21,2.24,201857
4-Dec-14,2.25,2.33,2.21,2.26,168852
3-Dec-14,2.31,2.37,2.25,2.26,258031
2-Dec-14,2.36,2.38,2.28,2.32,223097
1-Dec-14,2.46,2.55,2.30,2.32,360872
28-Nov-14,2.36,2.51,2.29,2.45,344974
26-Nov-14,2.28,2.39,2.21,2.36,259056
25-Nov-14,2.43,2.43,2.28,2.29,331173
24-Nov-14,2.47,2.58,2.35,2.40,626967
21-Nov-14,2.36,2.50,2.31,2.43,1156612
20-Nov-14,2.23,2.36,2.21,2.29,367029
19-Nov-14,2.21,2.40,2.19,2.23,474680
18-Nov-14,2.15,2.25,2.12,2.21,162418
17-Nov-14,2.10,2.20,2.10,2.13,85757
14-Nov-14,2.04,2.25,1.99,2.12,327544
13-Nov-14,2.12,2.16,2.03,2.05,62624
12-Nov-14,2.20,2.25,2.08,2.15,292830
11-Nov-14,2.26,2.35,2.15,2.25,306187
10-Nov-14,2.13,2.30,2.08,2.25,234585
7-Nov-14,2.16,2.20,2.02,2.14,318707
6-Nov-14,2.18,2.30,2.12,2.15,451215
5-Nov-14,2.14,2.15,2.08,2.13,185233
4-Nov-14,2.10,2.12,2.06,2.11,104583
3-Nov-14,2.11,2.18,2.11,2.12,138700
31-Oct-14,2.12,2.15,2.06,2.14,124725
30-Oct-14,2.01,2.09,2.01,2.08,97728
29-Oct-14,2.10,2.13,1.97,2.01,102563
28-Oct-14,1.98,2.16,1.98,2.12,204262
27-Oct-14,1.97,2.04,1.88,2.00,169179
24-Oct-14,1.98,2.00,1.90,1.97,248415
23-Oct-14,2.10,2.12,1.98,2.00,296076
22-Oct-14,2.08,2.21,2.02,2.05,488331
21-Oct-14,2.36,2.46,2.04,2.11,2091449
20-Oct-14,1.96,2.07,1.91,2.05,222073
17-Oct-14,1.90,1.99,1.84,1.95,273986
16-Oct-14,1.84,1.93,1.84,1.86,287289
15-Oct-14,1.72,1.92,1.72,1.86,576479
14-Oct-14,1.83,1.86,1.75,1.78,356501
13-Oct-14,1.92,1.95,1.76,1.79,425060
10-Oct-14,1.99,1.99,1.86,1.94,288256
9-Oct-14,2.06,2.08,1.95,1.98,166651
8-Oct-14,2.07,2.10,1.96,2.07,281308
7-Oct-14,2.15,2.16,2.05,2.07,418109
6-Oct-14,2.21,2.29,2.12,2.18,324928
3-Oct-14,2.20,2.23,2.13,2.19,222140
2-Oct-14,2.10,2.34,2.10,2.15,523075
1-Oct-14,2.12,2.18,2.06,2.08,184694
30-Sep-14,2.28,2.30,2.11,2.15,266169
29-Sep-14,2.03,2.26,2.03,2.20,567769
26-Sep-14,2.14,2.14,2.02,2.05,296347
25-Sep-14,2.09,2.21,2.01,2.11,635088
24-Sep-14,2.18,2.21,1.94,2.11,1512779
23-Sep-14,2.27,2.34,2.09,2.16,1910769
22-Sep-14,2.22,2.44,2.20,2.23,984040
19-Sep-14,2.60,2.63,2.16,2.24,1179037
18-Sep-14,2.78,2.81,2.50,2.61,454760
17-Sep-14,2.74,2.83,2.70,2.78,112034
16-Sep-14,2.82,2.82,2.59,2.73,493597
15-Sep-14,2.98,3.02,2.79,2.82,475837
12-Sep-14,2.99,3.08,2.98,2.98,124099
11-Sep-14,3.01,3.06,2.99,3.00,103597
10-Sep-14,3.02,3.07,2.95,3.03,207966
9-Sep-14,3.06,3.19,2.98,3.01,425219
8-Sep-14,3.06,3.12,3.00,3.08,304863
5-Sep-14,2.86,3.10,2.85,3.03,657367
4-Sep-14,3.02,3.06,2.87,2.87,301167
3-Sep-14,2.95,3.15,2.90,2.98,760884
2-Sep-14,3.04,3.05,2.90,2.92,409685
29-Aug-14,3.05,3.10,3.00,3.03,232981
28-Aug-14,3.00,3.10,2.95,3.04,429786
27-Aug-14,3.04,3.04,2.95,3.00,276452
26-Aug-14,3.08,3.10,3.02,3.02,157851
25-Aug-14,3.15,3.15,3.04,3.07,200056
