Date,Open,High,Low,Close,Volume
31-Dec-14,6.90,7.54,6.90,7.48,145167
30-Dec-14,6.70,7.00,6.60,6.87,43514
29-Dec-14,7.30,7.30,6.87,6.87,32195
26-Dec-14,6.54,7.24,6.47,7.15,47474
24-Dec-14,6.36,6.74,6.24,6.65,26036
23-Dec-14,6.45,6.51,6.11,6.40,21385
22-Dec-14,6.50,6.50,6.32,6.47,32844
19-Dec-14,6.94,6.94,6.34,6.57,78298
18-Dec-14,7.10,7.29,6.95,6.99,34419
17-Dec-14,7.45,7.58,6.93,7.10,38167
16-Dec-14,7.50,7.58,7.41,7.45,70462
15-Dec-14,8.00,8.00,7.28,7.41,136149
12-Dec-14,7.98,7.98,7.44,7.49,32446
11-Dec-14,8.73,8.73,7.57,7.97,40508
10-Dec-14,7.70,8.90,7.46,8.50,123380
9-Dec-14,7.71,7.71,7.43,7.55,47480
8-Dec-14,8.04,8.15,7.40,7.70,90783
5-Dec-14,8.50,8.50,8.00,8.38,95705
4-Dec-14,8.68,9.25,8.00,8.70,152708
3-Dec-14,9.83,9.83,8.55,8.75,121337
2-Dec-14,10.50,10.50,9.27,9.60,70574
1-Dec-14,10.65,10.83,10.00,10.17,114737
28-Nov-14,10.78,10.97,10.55,10.78,6273
26-Nov-14,11.09,11.13,10.50,10.59,76520
25-Nov-14,11.00,11.26,11.00,11.13,5773
24-Nov-14,11.10,11.17,10.63,11.00,35419
21-Nov-14,11.82,12.00,11.17,11.25,212496
20-Nov-14,14.00,14.10,11.27,12.00,3113581
