Date,Open,High,Low,Close,Volume
31-Dec-14,1.85,1.90,1.82,1.90,113798
30-Dec-14,1.87,1.89,1.82,1.86,58558
29-Dec-14,1.86,1.90,1.85,1.86,69431
26-Dec-14,1.85,1.94,1.83,1.85,48666
24-Dec-14,1.81,1.90,1.81,1.88,26922
23-Dec-14,1.87,1.90,1.82,1.84,46590
22-Dec-14,1.89,1.92,1.81,1.90,159922
19-Dec-14,1.98,1.98,1.88,1.92,99322
18-Dec-14,1.91,2.01,1.90,2.00,152775
17-Dec-14,1.92,1.94,1.88,1.89,60833
16-Dec-14,1.89,1.95,1.88,1.91,77947
15-Dec-14,1.98,1.98,1.84,1.92,132193
12-Dec-14,1.99,2.04,1.91,1.96,65352
11-Dec-14,1.86,1.99,1.86,1.98,163533
10-Dec-14,1.76,1.84,1.73,1.82,112812
9-Dec-14,1.80,1.80,1.62,1.80,154973
8-Dec-14,1.88,1.88,1.73,1.75,155727
5-Dec-14,1.83,1.89,1.82,1.85,30586
4-Dec-14,1.90,1.90,1.83,1.84,53020
3-Dec-14,1.97,1.97,1.85,1.92,46918
2-Dec-14,1.86,1.98,1.82,1.98,216511
1-Dec-14,1.98,2.00,1.82,1.89,117496
28-Nov-14,2.03,2.04,1.95,2.01,67147
26-Nov-14,2.05,2.06,2.02,2.05,48484
25-Nov-14,2.14,2.15,2.04,2.05,96747
24-Nov-14,2.10,2.20,2.06,2.10,415384
21-Nov-14,1.98,2.10,1.94,2.05,361196
20-Nov-14,1.83,1.94,1.80,1.91,68910
19-Nov-14,1.90,1.94,1.83,1.85,88210
18-Nov-14,1.92,1.94,1.87,1.89,118640
17-Nov-14,1.95,1.96,1.89,1.89,27966
14-Nov-14,1.97,1.97,1.89,1.92,23054
13-Nov-14,1.99,2.00,1.88,1.92,62261
12-Nov-14,1.86,1.99,1.86,1.98,120631
11-Nov-14,1.82,1.89,1.82,1.88,72665
10-Nov-14,1.72,1.86,1.72,1.83,99903
7-Nov-14,1.77,1.77,1.67,1.69,125126
6-Nov-14,1.75,1.77,1.73,1.77,49803
5-Nov-14,1.66,1.76,1.66,1.74,96390
4-Nov-14,1.65,1.67,1.64,1.66,74819
3-Nov-14,1.68,1.68,1.64,1.64,78860
31-Oct-14,1.66,1.70,1.63,1.68,52782
30-Oct-14,1.66,1.71,1.64,1.67,117139
29-Oct-14,1.65,1.72,1.63,1.68,125569
28-Oct-14,1.58,1.61,1.56,1.60,27510
27-Oct-14,1.69,1.69,1.59,1.59,55097
24-Oct-14,1.52,1.69,1.52,1.67,107864
