Date,Open,High,Low,Close,Volume
31-Dec-14,14.82,14.86,14.60,14.76,297606
30-Dec-14,14.75,14.99,14.51,14.64,168391
29-Dec-14,14.10,15.75,14.00,14.75,279148
26-Dec-14,13.24,13.90,13.24,13.50,6804
24-Dec-14,13.60,13.60,13.07,13.37,6260
23-Dec-14,13.77,13.89,13.25,13.59,26944
22-Dec-14,13.45,13.89,13.45,13.70,40542
19-Dec-14,13.40,13.50,13.10,13.38,317408
18-Dec-14,13.39,13.46,13.01,13.42,72518
17-Dec-14,12.80,13.44,12.80,13.37,67629
16-Dec-14,13.00,13.10,12.80,12.80,68482
15-Dec-14,13.97,13.97,12.95,13.01,111836
12-Dec-14,13.42,13.69,13.30,13.30,24423
11-Dec-14,13.57,14.07,13.32,13.59,26295
10-Dec-14,13.52,13.73,13.40,13.46,52324
9-Dec-14,13.91,14.10,13.37,13.52,25449
8-Dec-14,14.30,14.30,13.91,13.91,35308
5-Dec-14,14.07,14.20,13.95,14.18,21324
4-Dec-14,14.01,14.19,13.96,14.09,21371
3-Dec-14,14.25,14.32,13.98,14.19,60624
2-Dec-14,14.21,14.26,13.96,14.15,34244
1-Dec-14,14.14,14.30,14.05,14.22,44129
28-Nov-14,14.24,14.30,13.99,14.28,36976
26-Nov-14,14.03,14.35,13.95,14.25,35531
25-Nov-14,14.07,14.12,13.91,13.96,34164
24-Nov-14,14.03,14.27,13.91,14.07,37513
21-Nov-14,14.53,14.53,13.92,14.01,131740
20-Nov-14,13.57,14.52,13.54,14.40,104155
19-Nov-14,13.17,13.59,13.10,13.40,57147
18-Nov-14,13.35,13.62,13.07,13.12,36011
17-Nov-14,13.50,13.50,13.20,13.47,46476
14-Nov-14,13.00,13.66,12.77,13.33,102770
13-Nov-14,12.75,13.06,12.65,12.91,569268
12-Nov-14,12.79,13.35,12.61,12.65,157665
11-Nov-14,13.49,13.55,13.01,13.05,95804
10-Nov-14,12.97,13.86,12.82,13.69,123570
7-Nov-14,13.26,13.26,12.96,12.98,41434
6-Nov-14,13.90,13.94,13.09,13.26,56962
5-Nov-14,14.26,14.42,13.95,14.05,11427
4-Nov-14,14.15,14.39,13.81,13.83,16854
3-Nov-14,14.40,14.51,14.12,14.15,25548
31-Oct-14,14.09,14.24,13.81,13.94,7897
30-Oct-14,14.31,14.32,13.81,14.12,12409
29-Oct-14,14.05,14.50,14.05,14.24,16619
28-Oct-14,14.28,14.51,14.12,14.12,37030
27-Oct-14,14.43,14.60,14.37,14.39,42281
24-Oct-14,14.24,14.51,13.82,14.47,31234
23-Oct-14,13.98,14.42,13.34,14.25,19153
22-Oct-14,13.55,14.32,13.00,14.30,27938
21-Oct-14,13.60,13.90,13.15,13.70,9589
20-Oct-14,13.60,13.75,13.25,13.75,4432
17-Oct-14,13.70,13.75,13.45,13.65,6769
16-Oct-14,12.80,13.75,12.80,13.60,4175
15-Oct-14,13.05,13.35,12.95,12.95,5820
14-Oct-14,13.75,13.75,13.10,13.15,6678
13-Oct-14,13.30,13.70,13.15,13.25,7247
10-Oct-14,13.20,13.50,13.20,13.20,8275
9-Oct-14,13.25,13.50,13.25,13.30,9343
8-Oct-14,13.20,13.55,13.20,13.40,7217
7-Oct-14,13.55,13.75,13.20,13.25,12495
6-Oct-14,14.00,14.25,13.40,13.55,5545
3-Oct-14,13.26,14.15,13.19,13.90,19950
2-Oct-14,13.05,13.25,13.05,13.20,12981
1-Oct-14,13.60,13.70,13.15,13.15,19817
30-Sep-14,13.95,14.10,13.50,13.75,13368
29-Sep-14,14.40,14.65,13.85,13.90,10707
26-Sep-14,14.35,14.70,14.30,14.50,29127
25-Sep-14,13.90,14.55,13.90,14.25,20571
24-Sep-14,14.35,14.45,13.80,13.85,2591
23-Sep-14,14.35,14.55,14.10,14.55,15047
22-Sep-14,14.00,14.40,13.95,14.30,21869
19-Sep-14,13.65,14.10,13.55,14.00,8511
18-Sep-14,13.65,13.95,13.55,13.70,2581
17-Sep-14,13.55,13.83,13.55,13.60,13576
16-Sep-14,13.60,13.74,13.50,13.50,5668
15-Sep-14,13.75,13.75,13.55,13.55,1020
12-Sep-14,13.80,13.80,13.60,13.75,3083
11-Sep-14,13.70,13.84,13.55,13.70,8108
10-Sep-14,13.55,13.80,13.55,13.80,8171
9-Sep-14,13.75,13.85,13.50,13.70,5845
8-Sep-14,13.60,13.85,13.55,13.80,3884
