Date,Open,High,Low,Close,Volume
31-Dec-14,11.35,11.45,11.30,11.45,14090
30-Dec-14,11.35,11.45,11.35,11.35,26697
29-Dec-14,11.30,11.45,11.30,11.31,5219
26-Dec-14,11.30,11.38,11.29,11.30,9086
24-Dec-14,11.32,11.40,11.01,11.30,26820
23-Dec-14,11.27,11.45,11.27,11.32,20325
22-Dec-14,11.50,11.50,11.30,11.30,16934
19-Dec-14,11.60,11.74,11.50,11.65,16700
18-Dec-14,11.50,11.50,11.26,11.47,10604
17-Dec-14,11.30,12.02,11.20,11.20,27675
16-Dec-14,12.00,12.00,11.25,11.41,19021
15-Dec-14,12.05,12.10,11.95,12.00,37078
12-Dec-14,12.25,12.25,11.90,12.14,25064
11-Dec-14,11.21,12.23,11.21,12.23,23897
10-Dec-14,11.60,11.85,11.19,11.21,51606
9-Dec-14,12.90,12.91,11.15,11.85,72525
8-Dec-14,13.75,13.75,12.80,12.81,22431
5-Dec-14,13.80,13.85,13.51,13.74,5111
4-Dec-14,13.75,13.80,13.75,13.80,18258
3-Dec-14,13.65,13.75,13.61,13.75,23938
2-Dec-14,13.37,13.78,13.37,13.65,49444
1-Dec-14,13.60,13.95,13.50,13.80,26925
28-Nov-14,13.40,13.55,13.37,13.55,11997
26-Nov-14,13.40,13.56,13.40,13.50,32210
25-Nov-14,12.80,13.55,12.80,13.41,40913
24-Nov-14,12.73,13.09,12.50,12.89,45287
21-Nov-14,12.15,12.80,12.15,12.72,51611
20-Nov-14,11.81,12.22,11.81,12.22,17963
19-Nov-14,11.90,12.03,11.80,12.00,20167
18-Nov-14,11.90,12.05,11.50,12.00,27707
17-Nov-14,11.88,12.10,11.88,12.07,26916
14-Nov-14,12.00,12.00,11.51,11.93,11117
13-Nov-14,11.90,12.20,11.90,12.10,75229
12-Nov-14,11.80,11.96,11.80,11.90,39540
11-Nov-14,11.90,12.15,11.55,11.80,48757
10-Nov-14,10.80,12.15,10.80,11.90,70097
7-Nov-14,11.43,11.72,10.56,10.80,60354
6-Nov-14,12.30,12.35,11.50,12.00,59122
5-Nov-14,11.40,12.50,11.00,12.50,180613
4-Nov-14,10.40,10.50,10.20,10.20,16187
3-Nov-14,10.43,10.50,10.05,10.39,24614
31-Oct-14,9.65,10.20,9.65,9.95,19643
30-Oct-14,9.30,9.68,9.30,9.55,24554
29-Oct-14,9.41,9.41,9.15,9.20,18705
28-Oct-14,9.40,9.84,8.70,9.50,33119
27-Oct-14,9.50,9.95,9.15,9.85,25476
24-Oct-14,10.20,10.65,8.52,9.25,71376
23-Oct-14,9.94,10.40,9.85,10.00,39963
22-Oct-14,8.05,9.66,8.05,9.50,51829
21-Oct-14,8.76,8.90,7.61,8.10,135234
20-Oct-14,9.90,10.00,8.77,8.90,132326
17-Oct-14,10.30,10.30,9.63,9.90,43609
16-Oct-14,10.45,10.75,9.81,10.09,52062
15-Oct-14,10.76,10.77,10.12,10.32,31764
14-Oct-14,10.30,10.80,10.25,10.60,37574
13-Oct-14,10.05,10.55,9.61,10.05,105505
10-Oct-14,10.80,11.33,10.02,10.34,125937
9-Oct-14,11.35,11.49,10.20,10.20,124611
8-Oct-14,12.00,12.30,10.41,11.07,68253
7-Oct-14,12.45,12.54,11.53,11.70,63523
6-Oct-14,11.95,12.85,11.76,12.45,70002
3-Oct-14,9.50,11.60,9.50,11.57,127591
2-Oct-14,10.90,10.99,9.30,9.55,215247
1-Oct-14,11.78,12.10,11.15,11.20,99763
30-Sep-14,13.05,13.10,12.00,12.10,124603
