Date,Open,High,Low,Close,Volume
31-Dec-14,4.78,4.78,4.65,4.70,31163
30-Dec-14,4.66,4.78,4.65,4.77,5493
29-Dec-14,4.65,4.81,4.65,4.78,17619
26-Dec-14,4.63,4.69,4.57,4.60,42824
24-Dec-14,4.55,4.65,4.55,4.62,17886
23-Dec-14,4.48,4.57,4.45,4.55,84621
22-Dec-14,4.57,4.57,4.50,4.50,25651
19-Dec-14,4.43,4.59,4.42,4.59,32256
18-Dec-14,4.42,4.49,4.32,4.46,63163
17-Dec-14,4.34,4.50,4.30,4.49,26947
16-Dec-14,4.30,4.41,4.30,4.37,8336
15-Dec-14,4.31,4.42,4.18,4.29,43541
12-Dec-14,4.46,4.46,4.28,4.31,8768
11-Dec-14,4.38,4.51,4.35,4.40,12211
10-Dec-14,4.50,4.55,4.31,4.47,14227
9-Dec-14,4.54,4.54,4.50,4.53,7852
8-Dec-14,4.61,4.62,4.53,4.56,18203
5-Dec-14,4.56,4.62,4.50,4.55,23468
4-Dec-14,4.53,4.68,4.38,4.51,60553
3-Dec-14,4.64,4.64,4.46,4.59,16067
2-Dec-14,4.42,4.64,4.42,4.59,6668
1-Dec-14,4.53,4.54,4.50,4.54,11151
28-Nov-14,4.50,4.56,4.50,4.51,3959
26-Nov-14,4.54,4.59,4.43,4.51,27477
25-Nov-14,4.46,4.64,4.37,4.50,42840
24-Nov-14,4.40,4.60,4.40,4.40,37845
21-Nov-14,4.43,4.51,4.40,4.41,20634
20-Nov-14,4.50,4.67,4.40,4.51,21377
19-Nov-14,4.56,4.62,4.40,4.56,37866
18-Nov-14,4.50,4.60,4.45,4.56,24460
17-Nov-14,4.37,4.60,4.37,4.52,14729
14-Nov-14,4.30,4.47,4.29,4.43,21902
13-Nov-14,4.44,4.46,4.34,4.41,16899
12-Nov-14,4.28,4.51,4.28,4.36,22125
11-Nov-14,4.30,4.51,4.28,4.28,28336
10-Nov-14,4.40,4.50,4.23,4.34,25452
7-Nov-14,4.22,4.59,4.22,4.56,11222
6-Nov-14,4.28,4.28,4.16,4.18,19446
5-Nov-14,4.28,4.44,4.11,4.32,30202
4-Nov-14,4.34,4.37,4.26,4.26,24801
3-Nov-14,4.34,4.42,4.33,4.35,11854
31-Oct-14,4.26,4.29,4.25,4.28,7624
30-Oct-14,4.31,4.40,4.27,4.29,13093
29-Oct-14,4.45,4.45,4.22,4.28,11075
28-Oct-14,4.29,4.53,4.29,4.45,30571
27-Oct-14,4.06,4.26,4.06,4.23,21269
24-Oct-14,3.98,4.29,3.98,4.23,77137
23-Oct-14,4.40,4.46,4.35,4.35,16499
22-Oct-14,4.49,4.70,4.35,4.39,71898
21-Oct-14,4.49,4.54,4.41,4.54,17934
20-Oct-14,4.50,4.50,4.29,4.37,11569
17-Oct-14,4.49,4.49,4.26,4.32,2560
16-Oct-14,4.37,4.47,4.37,4.47,29276
15-Oct-14,4.15,4.45,4.12,4.45,19883
14-Oct-14,4.10,4.19,4.08,4.19,32320
13-Oct-14,4.03,4.19,3.99,4.10,29200
10-Oct-14,4.30,4.30,4.00,4.07,35880
9-Oct-14,4.30,4.35,4.26,4.31,13265
8-Oct-14,4.43,4.56,4.30,4.42,19820
7-Oct-14,4.63,4.73,4.37,4.39,25130
