Date,Open,High,Low,Close,Volume
31-Dec-14,99.48,100.07,98.25,99.14,170935
30-Dec-14,99.00,100.14,98.35,98.99,266554
29-Dec-14,101.93,102.80,99.33,99.44,242482
26-Dec-14,101.39,103.01,99.85,101.60,247357
24-Dec-14,100.27,103.44,99.73,101.31,77331
23-Dec-14,102.61,103.00,99.58,100.41,245641
22-Dec-14,103.02,104.27,102.22,102.66,329120
19-Dec-14,103.08,103.22,101.62,101.94,392653
18-Dec-14,98.81,102.97,98.81,102.32,455388
17-Dec-14,99.53,99.96,97.32,97.74,258487
16-Dec-14,99.97,99.97,97.76,98.93,430701
15-Dec-14,99.63,100.68,98.79,99.75,298691
12-Dec-14,99.49,102.00,98.24,99.45,340986
11-Dec-14,97.53,101.29,96.01,100.78,463832
10-Dec-14,100.18,101.64,96.39,96.56,375234
9-Dec-14,95.98,100.50,95.23,99.90,601619
8-Dec-14,101.89,101.96,97.12,98.61,486183
5-Dec-14,101.93,102.40,100.95,101.34,367084
4-Dec-14,104.19,104.19,101.46,101.93,426611
3-Dec-14,104.70,104.94,103.07,103.22,253169
2-Dec-14,105.37,105.68,103.76,104.64,232209
1-Dec-14,104.90,105.95,103.75,104.84,371716
28-Nov-14,107.04,107.46,104.96,105.67,268432
26-Nov-14,103.97,105.91,103.61,105.82,285039
25-Nov-14,104.50,105.49,103.40,104.20,327792
24-Nov-14,105.00,106.81,103.53,105.02,634858
21-Nov-14,104.41,106.30,103.70,105.23,679550
20-Nov-14,100.87,103.35,100.22,102.70,602116
19-Nov-14,101.15,102.08,99.66,100.16,314595
18-Nov-14,101.02,102.00,99.78,101.90,382815
17-Nov-14,100.67,101.81,99.84,101.12,385929
14-Nov-14,99.40,101.29,97.96,100.64,653039
13-Nov-14,94.69,99.18,94.04,98.00,982298
12-Nov-14,94.40,96.22,94.23,94.93,519767
11-Nov-14,93.95,95.10,93.39,93.85,481364
10-Nov-14,92.64,93.43,92.38,93.08,562989
7-Nov-14,92.52,93.36,91.78,91.80,343061
6-Nov-14,93.66,94.10,91.81,92.80,315711
5-Nov-14,95.07,95.50,92.76,93.35,296375
4-Nov-14,93.15,95.06,92.72,94.07,799161
3-Nov-14,95.49,95.59,93.53,93.83,426127
31-Oct-14,94.97,95.79,94.58,94.72,393740
30-Oct-14,92.23,94.91,92.15,94.01,461936
29-Oct-14,93.68,94.08,91.83,92.01,423544
28-Oct-14,91.97,93.21,91.57,92.75,369506
27-Oct-14,91.81,92.62,90.76,91.97,475249
24-Oct-14,91.42,93.44,90.80,92.74,307296
23-Oct-14,93.03,93.73,91.95,92.10,457265
22-Oct-14,92.09,94.20,91.77,91.97,355647
21-Oct-14,91.59,94.97,91.59,92.22,588670
20-Oct-14,88.31,90.57,88.06,90.20,481856
17-Oct-14,89.12,89.89,87.58,88.06,315844
16-Oct-14,86.84,88.81,85.92,88.10,816490
15-Oct-14,85.12,89.46,83.87,88.99,1132301
14-Oct-14,83.89,87.50,83.05,85.86,567970
13-Oct-14,83.21,85.07,82.50,83.01,809596
10-Oct-14,85.44,86.59,82.75,83.42,929849
9-Oct-14,85.25,86.88,84.90,85.00,672351
8-Oct-14,84.07,85.91,82.65,85.00,806319
7-Oct-14,83.69,85.24,83.50,83.67,377733
6-Oct-14,84.07,85.28,83.25,84.18,301479
3-Oct-14,83.20,84.33,83.00,83.37,260114
2-Oct-14,82.82,83.95,81.42,82.41,286445
1-Oct-14,86.06,86.09,81.78,82.95,358998
30-Sep-14,85.50,85.79,84.32,85.66,362319
29-Sep-14,84.75,86.73,83.87,84.99,364247
26-Sep-14,85.36,86.83,85.10,85.70,286387
25-Sep-14,87.74,87.98,84.60,84.97,334185
24-Sep-14,87.92,88.77,87.31,88.32,265745
23-Sep-14,86.70,88.48,86.51,87.31,174100
22-Sep-14,88.24,88.98,86.44,87.01,301462
19-Sep-14,89.40,90.08,87.55,88.84,406064
18-Sep-14,88.72,89.55,88.29,89.45,209256
17-Sep-14,88.92,88.92,87.60,88.17,260854
16-Sep-14,86.01,88.52,85.56,88.14,256914
15-Sep-14,88.62,88.62,85.93,86.62,239480
12-Sep-14,88.60,88.72,88.09,88.32,183737
11-Sep-14,87.31,88.74,87.19,88.63,139149
10-Sep-14,87.67,88.60,87.13,87.91,236442
9-Sep-14,88.61,89.80,87.88,88.16,316347
8-Sep-14,89.51,90.32,88.66,88.93,290767
5-Sep-14,89.79,89.91,89.24,89.67,318294
4-Sep-14,88.79,90.70,88.79,89.78,303147
3-Sep-14,88.45,88.91,87.73,88.26,461761
2-Sep-14,87.72,88.58,87.51,87.90,312643
29-Aug-14,88.49,88.97,87.86,88.04,247473
28-Aug-14,88.93,89.90,87.79,88.29,229699
27-Aug-14,89.66,90.77,88.65,89.54,395619
26-Aug-14,89.79,91.06,89.10,90.12,456469
25-Aug-14,88.31,89.64,88.04,89.54,369741
22-Aug-14,88.20,88.83,87.25,87.73,149150
21-Aug-14,88.40,89.24,87.82,88.20,300027
20-Aug-14,88.58,89.35,88.05,88.10,190461
19-Aug-14,88.62,89.55,88.05,88.58,316097
18-Aug-14,87.67,89.67,87.19,89.10,625905
15-Aug-14,85.40,87.42,85.01,86.96,560711
14-Aug-14,85.00,85.87,81.68,85.41,694609
13-Aug-14,83.60,85.00,82.40,84.06,639643
12-Aug-14,82.57,83.81,81.61,82.65,429603
11-Aug-14,83.63,84.06,82.95,83.48,296037
8-Aug-14,83.16,83.90,82.08,82.90,387053
7-Aug-14,82.35,83.96,81.84,82.95,329142
6-Aug-14,82.16,82.82,81.50,82.58,325472
5-Aug-14,83.43,83.88,82.44,82.75,282403
4-Aug-14,82.81,83.62,81.86,83.41,401587
1-Aug-14,84.00,84.00,80.77,82.21,396082
31-Jul-14,84.70,85.57,83.34,84.04,368725
30-Jul-14,85.05,86.43,84.07,85.79,322112
29-Jul-14,86.11,86.75,84.81,85.02,546188
28-Jul-14,84.29,86.47,82.95,85.89,724258
25-Jul-14,85.00,85.42,83.45,83.63,373967
24-Jul-14,83.76,85.00,82.42,84.63,258773
23-Jul-14,85.46,85.46,83.19,84.12,305490
22-Jul-14,83.85,85.19,83.43,84.91,489539
21-Jul-14,82.19,83.50,81.80,82.94,380129
18-Jul-14,81.68,82.67,80.99,81.99,341790
17-Jul-14,81.59,82.37,80.57,80.75,646059
16-Jul-14,79.00,82.19,78.84,81.68,882680
15-Jul-14,78.03,78.60,76.79,78.41,268159
14-Jul-14,77.21,79.00,77.13,78.00,330283
11-Jul-14,76.15,77.26,75.52,76.35,283507
10-Jul-14,74.71,76.50,74.02,76.12,259378
9-Jul-14,75.33,76.39,74.90,76.05,310274
8-Jul-14,77.42,77.86,73.59,75.74,467198
7-Jul-14,79.69,79.69,77.32,77.94,185495
3-Jul-14,79.43,79.70,78.30,79.38,121219
2-Jul-14,79.00,79.67,78.30,78.80,374026
1-Jul-14,78.50,79.10,78.40,78.90,214728
30-Jun-14,77.70,78.68,77.41,78.36,353256
27-Jun-14,77.88,78.75,76.97,77.69,303237
26-Jun-14,77.25,78.73,77.03,78.29,445456
25-Jun-14,76.88,77.60,76.60,77.09,507431
24-Jun-14,76.30,78.17,76.10,77.62,464056
23-Jun-14,77.19,77.19,76.00,76.71,324729
20-Jun-14,77.30,77.30,76.28,77.19,460827
19-Jun-14,76.14,77.06,75.50,77.03,270799
18-Jun-14,75.49,76.50,75.07,76.28,467636
17-Jun-14,75.21,77.16,75.18,75.70,638486
16-Jun-14,74.67,75.42,73.67,75.12,388610
13-Jun-14,75.77,75.99,74.19,75.42,1878562
12-Jun-14,72.89,76.18,72.58,75.84,2048482
