Date,Open,High,Low,Close,Volume
31-Dec-14,36.40,36.49,35.57,35.58,142571
30-Dec-14,36.12,36.45,36.03,36.27,118759
29-Dec-14,36.09,36.53,35.69,36.19,104993
26-Dec-14,36.15,36.39,36.03,36.12,89368
24-Dec-14,35.74,36.31,35.51,36.00,51445
23-Dec-14,35.94,36.31,35.64,35.85,159588
22-Dec-14,35.33,35.82,35.13,35.74,177862
19-Dec-14,35.34,35.37,34.95,35.31,933097
18-Dec-14,35.35,35.78,34.79,35.38,218955
17-Dec-14,34.19,34.86,33.70,34.85,302365
16-Dec-14,33.75,34.82,33.73,34.19,211327
15-Dec-14,34.44,34.66,33.88,33.90,231796
12-Dec-14,34.72,34.79,34.13,34.17,374454
11-Dec-14,35.82,36.15,35.01,35.11,207284
10-Dec-14,36.33,36.69,35.34,35.52,207725
9-Dec-14,34.99,36.51,34.96,36.50,170607
8-Dec-14,36.23,36.40,35.36,35.44,148438
5-Dec-14,35.30,36.70,35.30,36.27,278969
4-Dec-14,35.51,35.62,35.24,35.32,146377
3-Dec-14,35.41,35.82,34.99,35.50,162589
2-Dec-14,34.96,35.36,34.30,35.26,98371
1-Dec-14,34.67,35.35,34.34,34.92,221016
28-Nov-14,34.77,35.54,34.66,34.72,130093
26-Nov-14,34.82,34.89,34.54,34.83,128967
25-Nov-14,34.87,35.36,34.59,34.87,227079
24-Nov-14,34.38,34.89,34.30,34.76,140727
21-Nov-14,34.83,34.83,34.21,34.39,129121
20-Nov-14,33.77,34.52,33.71,34.47,130746
19-Nov-14,34.20,34.38,33.67,33.97,110214
18-Nov-14,34.14,34.63,34.10,34.14,100389
17-Nov-14,34.43,34.43,33.96,34.13,98292
14-Nov-14,34.35,34.73,34.14,34.59,103025
13-Nov-14,34.43,34.72,34.22,34.29,161053
12-Nov-14,34.29,34.58,34.22,34.52,131487
11-Nov-14,34.49,34.49,34.02,34.43,129264
10-Nov-14,34.35,34.47,33.95,34.46,139607
7-Nov-14,34.27,34.50,33.90,34.49,139898
6-Nov-14,34.34,34.49,34.03,34.32,169955
5-Nov-14,34.76,34.83,34.04,34.26,165797
4-Nov-14,33.98,34.69,33.97,34.66,161463
3-Nov-14,34.16,34.54,34.03,34.10,171335
31-Oct-14,34.24,34.24,33.61,34.04,296949
30-Oct-14,33.43,33.75,33.03,33.54,262751
29-Oct-14,33.84,34.05,33.40,33.50,179826
28-Oct-14,33.04,33.97,32.97,33.88,284446
27-Oct-14,32.81,33.02,31.05,32.96,291660
24-Oct-14,32.45,33.27,31.50,32.87,525016
23-Oct-14,32.00,32.30,31.92,31.98,506546
22-Oct-14,32.33,32.40,31.49,31.52,230141
21-Oct-14,31.76,32.18,31.68,32.12,295793
20-Oct-14,31.24,31.54,30.97,31.50,276186
17-Oct-14,31.96,31.97,31.27,31.45,265402
16-Oct-14,31.22,31.90,30.78,31.54,289309
15-Oct-14,30.06,31.70,30.06,31.68,627812
14-Oct-14,30.87,31.22,30.38,30.55,380567
13-Oct-14,30.03,31.53,29.70,30.55,341189
10-Oct-14,30.27,30.69,29.97,29.97,283432
9-Oct-14,31.20,31.20,30.29,30.50,216655
8-Oct-14,30.09,31.17,29.74,31.13,376583
7-Oct-14,30.76,31.06,30.13,30.21,314341
6-Oct-14,31.43,31.43,30.59,30.99,258533
3-Oct-14,32.15,32.15,31.22,31.44,221530
2-Oct-14,31.29,32.18,31.29,31.86,239976
1-Oct-14,31.16,31.62,30.88,31.28,263612
30-Sep-14,32.08,32.32,31.25,31.25,220771
29-Sep-14,31.23,32.15,31.23,32.04,212986
26-Sep-14,31.57,31.71,31.30,31.65,141488
25-Sep-14,32.28,32.28,31.37,31.53,155708
24-Sep-14,32.06,32.41,31.85,32.33,112802
23-Sep-14,32.25,32.50,31.98,31.99,183382
22-Sep-14,32.58,32.83,32.20,32.37,193990
19-Sep-14,33.22,33.34,32.56,32.84,498445
18-Sep-14,32.71,33.32,32.50,33.20,207526
17-Sep-14,32.52,32.76,32.36,32.49,122768
16-Sep-14,32.65,32.68,32.34,32.57,166746
15-Sep-14,32.86,32.90,32.32,32.65,185337
12-Sep-14,33.15,33.37,32.82,32.91,236805
11-Sep-14,32.96,33.34,32.96,33.25,158135
10-Sep-14,32.63,33.12,32.59,33.10,108845
9-Sep-14,32.64,33.12,32.50,32.65,151431
8-Sep-14,32.98,33.22,32.57,32.77,245824
5-Sep-14,32.63,33.14,32.63,33.03,113758
4-Sep-14,33.14,33.44,32.74,32.78,146819
3-Sep-14,33.44,33.50,33.08,33.17,125765
2-Sep-14,33.37,33.40,33.04,33.33,180130
29-Aug-14,32.88,33.35,32.70,33.22,137248
28-Aug-14,32.91,33.28,32.65,32.82,190170
27-Aug-14,33.49,33.54,33.01,33.10,124257
26-Aug-14,33.25,33.49,32.88,33.33,203658
25-Aug-14,33.20,33.41,32.80,33.13,189841
22-Aug-14,33.76,33.87,32.96,32.97,313758
21-Aug-14,33.18,33.81,32.96,33.78,199774
20-Aug-14,33.36,33.36,33.01,33.15,110766
19-Aug-14,33.25,33.53,33.09,33.48,153242
18-Aug-14,33.10,33.22,32.89,33.22,284677
15-Aug-14,33.28,33.28,32.62,32.97,202647
14-Aug-14,33.00,33.04,32.72,32.99,169792
13-Aug-14,33.13,33.35,32.90,32.96,202623
12-Aug-14,33.54,33.78,32.90,32.96,226312
11-Aug-14,33.40,33.94,33.38,33.64,231332
8-Aug-14,32.76,33.59,32.76,33.26,256280
7-Aug-14,32.69,33.14,32.60,32.76,174099
6-Aug-14,32.16,32.93,32.16,32.52,203621
5-Aug-14,31.83,32.57,31.82,32.30,187740
4-Aug-14,31.40,32.09,31.29,32.03,199925
1-Aug-14,31.35,31.58,31.11,31.30,271442
31-Jul-14,31.79,32.03,31.31,31.31,297228
30-Jul-14,31.89,32.30,31.65,32.03,193294
29-Jul-14,32.00,32.10,31.70,31.80,272071
28-Jul-14,31.59,31.97,31.12,31.95,320075
25-Jul-14,30.80,32.12,30.80,31.59,1216203
24-Jul-14,34.31,34.92,34.10,34.76,374528
23-Jul-14,34.01,34.46,33.88,34.18,233402
22-Jul-14,33.84,34.38,33.81,33.98,154809
21-Jul-14,33.77,33.92,33.48,33.76,119550
18-Jul-14,33.30,33.98,33.19,33.92,191217
17-Jul-14,33.41,33.82,32.95,33.38,247637
