Date,Open,High,Low,Close,Volume
31-Dec-14,4.26,4.26,4.05,4.19,494315
30-Dec-14,4.36,4.47,4.20,4.26,452552
29-Dec-14,4.48,4.55,4.43,4.46,459041
26-Dec-14,4.39,4.59,4.37,4.49,312407
24-Dec-14,4.36,4.50,4.30,4.39,199104
23-Dec-14,4.31,4.46,4.31,4.38,292362
22-Dec-14,4.94,4.96,4.30,4.31,539696
19-Dec-14,4.89,5.06,4.64,4.97,4138782
18-Dec-14,4.59,4.90,4.58,4.89,566732
17-Dec-14,4.30,4.60,4.28,4.57,570281
16-Dec-14,4.06,4.32,4.03,4.29,796342
15-Dec-14,3.97,4.20,3.91,4.06,947707
12-Dec-14,3.85,4.00,3.85,3.91,286969
11-Dec-14,3.85,4.05,3.85,3.90,369027
10-Dec-14,4.10,4.16,3.86,3.87,551927
9-Dec-14,4.20,4.23,3.86,4.11,800550
8-Dec-14,4.23,4.44,4.22,4.25,871047
5-Dec-14,4.56,4.63,4.18,4.22,923511
4-Dec-14,4.53,4.70,4.42,4.56,1132729
3-Dec-14,4.96,5.25,4.41,4.55,2779264
2-Dec-14,7.97,7.97,4.35,4.46,3720622
1-Dec-14,8.35,8.38,8.11,8.12,688106
28-Nov-14,8.40,8.59,8.35,8.40,136335
26-Nov-14,8.40,8.72,8.40,8.51,245369
25-Nov-14,8.89,8.98,8.31,8.40,874214
24-Nov-14,8.86,8.96,8.70,8.90,127979
21-Nov-14,8.99,9.03,8.80,8.89,169557
20-Nov-14,8.78,8.97,8.73,8.86,163019
19-Nov-14,9.08,9.08,8.79,8.81,200005
18-Nov-14,9.04,9.22,9.04,9.08,197261
17-Nov-14,9.23,9.25,9.00,9.07,188117
14-Nov-14,9.08,9.30,9.02,9.25,231277
13-Nov-14,9.24,9.50,9.02,9.07,297840
12-Nov-14,8.94,9.38,8.94,9.25,485016
11-Nov-14,9.02,9.16,8.90,8.96,252842
10-Nov-14,8.93,9.15,8.76,9.04,360976
7-Nov-14,8.77,9.00,8.39,8.96,453822
6-Nov-14,9.18,9.22,8.55,8.80,596224
5-Nov-14,9.84,9.84,9.13,9.17,470957
4-Nov-14,9.71,9.98,9.54,9.82,253980
3-Nov-14,9.92,10.04,9.54,9.70,433344
31-Oct-14,9.70,10.27,9.70,10.08,523406
30-Oct-14,10.30,10.30,10.03,10.07,234621
29-Oct-14,10.04,10.33,9.90,10.27,217235
28-Oct-14,9.84,10.07,9.70,10.06,249704
27-Oct-14,9.91,10.12,9.65,9.82,222259
24-Oct-14,10.26,10.34,9.79,10.01,238073
23-Oct-14,10.31,10.45,10.17,10.30,179070
22-Oct-14,10.40,10.49,10.17,10.24,235257
21-Oct-14,10.20,10.50,10.20,10.42,223920
20-Oct-14,9.95,10.27,9.84,10.17,280349
17-Oct-14,10.15,10.42,9.69,9.89,249976
16-Oct-14,9.65,10.51,9.60,10.01,396091
15-Oct-14,9.72,9.93,9.54,9.87,311919
14-Oct-14,9.59,10.00,9.57,9.89,279413
13-Oct-14,9.50,9.71,9.25,9.51,231389
10-Oct-14,9.93,10.12,9.50,9.51,324745
9-Oct-14,10.79,10.90,10.07,10.07,190870
8-Oct-14,10.88,10.94,10.57,10.85,245297
7-Oct-14,10.69,11.06,10.65,10.88,290109
6-Oct-14,10.52,10.82,10.50,10.72,239701
3-Oct-14,10.74,10.74,10.42,10.50,115063
2-Oct-14,10.25,10.66,10.14,10.64,222146
1-Oct-14,10.60,10.83,10.27,10.29,336475
30-Sep-14,10.85,10.91,10.44,10.64,293006
29-Sep-14,11.13,11.20,10.78,10.86,282926
