Date,Open,High,Low,Close,Volume
31-Dec-14,21.81,22.14,21.26,21.56,13459
30-Dec-14,22.07,22.07,21.67,21.75,6327
29-Dec-14,22.13,22.20,21.82,21.95,9824
26-Dec-14,22.01,22.12,21.83,21.93,8487
24-Dec-14,22.50,22.50,21.67,21.91,6080
23-Dec-14,21.99,22.14,21.87,21.98,20820
22-Dec-14,21.58,21.87,21.39,21.75,9056
19-Dec-14,21.50,21.98,21.46,21.50,49740
18-Dec-14,21.48,21.63,21.09,21.59,25506
17-Dec-14,20.63,21.14,20.42,21.08,19444
16-Dec-14,20.32,20.91,20.32,20.64,14576
15-Dec-14,20.05,20.76,20.05,20.25,14124
12-Dec-14,20.14,20.67,20.04,20.22,16374
11-Dec-14,20.35,20.58,20.18,20.28,16031
10-Dec-14,20.31,20.58,20.10,20.18,11648
9-Dec-14,20.23,20.60,19.95,20.36,46299
8-Dec-14,20.42,20.89,20.42,20.47,8312
5-Dec-14,20.27,20.73,20.27,20.44,20537
4-Dec-14,20.50,20.53,20.21,20.28,13678
3-Dec-14,20.75,20.83,20.41,20.56,11810
2-Dec-14,20.80,20.87,20.70,20.76,7024
1-Dec-14,21.15,21.16,20.70,20.70,14371
28-Nov-14,21.59,21.62,21.16,21.18,10627
26-Nov-14,21.56,21.63,21.50,21.59,16576
25-Nov-14,21.65,21.65,21.54,21.55,22134
24-Nov-14,21.77,21.77,21.57,21.65,13949
21-Nov-14,22.16,22.16,21.62,21.66,15447
20-Nov-14,22.27,22.27,21.65,21.75,18534
19-Nov-14,22.70,22.87,22.42,22.42,6655
18-Nov-14,22.76,22.91,22.61,22.77,15194
17-Nov-14,22.69,22.70,22.54,22.67,6839
14-Nov-14,22.82,22.82,22.63,22.63,23919
13-Nov-14,22.99,22.99,22.72,22.76,10253
12-Nov-14,22.80,23.03,22.72,22.80,15603
11-Nov-14,22.60,22.97,22.60,22.97,17518
10-Nov-14,22.57,22.81,22.57,22.80,9924
7-Nov-14,22.50,23.10,22.49,22.58,14446
6-Nov-14,22.66,23.00,22.34,22.68,12681
5-Nov-14,22.43,22.74,22.43,22.53,8783
4-Nov-14,22.84,22.93,22.34,22.61,8741
3-Nov-14,22.56,22.91,22.38,22.59,19986
31-Oct-14,22.88,22.98,22.32,22.48,30841
30-Oct-14,22.06,22.67,22.06,22.37,38229
29-Oct-14,22.44,22.44,22.15,22.24,9962
28-Oct-14,22.00,22.34,21.92,22.25,25057
27-Oct-14,21.97,22.42,21.97,22.00,9431
24-Oct-14,22.32,22.53,21.86,22.19,23163
23-Oct-14,22.73,22.73,22.04,22.38,13927
22-Oct-14,22.72,22.72,22.20,22.36,17342
21-Oct-14,22.59,22.74,22.41,22.73,5816
20-Oct-14,22.24,22.74,22.23,22.52,16777
17-Oct-14,22.71,22.73,21.68,22.29,23340
16-Oct-14,22.06,22.76,22.06,22.36,23480
15-Oct-14,22.02,22.69,21.80,22.37,29961
14-Oct-14,21.97,22.49,21.54,22.44,24076
13-Oct-14,20.97,22.09,20.97,21.63,12783
10-Oct-14,20.82,21.22,20.82,20.92,17384
9-Oct-14,21.60,22.10,20.90,20.91,19855
8-Oct-14,21.00,21.65,20.94,21.55,38053
7-Oct-14,21.33,21.79,21.03,21.03,42009
6-Oct-14,21.25,21.59,21.07,21.36,16789
3-Oct-14,21.39,21.88,21.15,21.27,12247
2-Oct-14,21.06,22.40,20.77,21.09,22038
1-Oct-14,20.83,21.18,20.14,21.01,50819
30-Sep-14,21.73,22.01,20.55,20.91,30745
29-Sep-14,22.02,22.23,21.67,21.71,7708
26-Sep-14,21.50,22.43,21.50,22.30,7091
25-Sep-14,21.84,22.84,21.35,21.48,22612
24-Sep-14,21.87,22.60,21.80,22.09,13300
23-Sep-14,22.24,22.32,22.00,22.03,15686
22-Sep-14,22.66,22.80,22.22,22.22,11836
19-Sep-14,22.67,23.17,22.47,22.92,29546
18-Sep-14,22.28,22.98,22.02,22.63,11853
17-Sep-14,22.14,22.43,21.63,22.27,23044
16-Sep-14,21.56,22.27,21.47,22.21,15619
15-Sep-14,22.35,22.35,21.40,21.53,17909
12-Sep-14,23.08,23.33,22.11,22.17,9769
11-Sep-14,23.23,23.54,23.03,23.15,10006
10-Sep-14,23.33,23.65,23.04,23.41,13430
9-Sep-14,23.69,23.69,22.78,23.01,15518
8-Sep-14,23.43,23.84,23.40,23.80,20895
5-Sep-14,23.45,23.76,23.17,23.37,12028
4-Sep-14,23.70,24.58,23.42,23.42,17580
3-Sep-14,24.31,24.56,23.52,23.73,12882
2-Sep-14,24.42,24.55,24.08,24.34,24736
29-Aug-14,24.22,24.40,24.11,24.24,12020
28-Aug-14,24.28,24.43,24.22,24.23,7076
27-Aug-14,24.63,24.63,24.22,24.25,11610
26-Aug-14,24.36,24.67,24.23,24.40,18812
25-Aug-14,24.08,24.40,23.98,24.27,9964
22-Aug-14,23.91,24.50,23.80,24.08,18111
21-Aug-14,23.83,24.18,23.79,23.90,12295
20-Aug-14,24.09,24.12,23.72,23.96,9717
19-Aug-14,24.17,24.20,23.86,24.15,14752
18-Aug-14,24.12,24.12,23.82,24.09,14288
15-Aug-14,23.97,23.97,23.44,23.82,19226
14-Aug-14,23.86,23.96,23.46,23.65,17831
13-Aug-14,23.70,23.98,23.70,23.77,5991
12-Aug-14,24.06,24.17,23.73,23.77,7811
