Date,Open,High,Low,Close,Volume
25-Sep-13,6.08,7.04,5.88,6.32,96723
24-Sep-13,5.76,6.28,5.60,6.08,42934
23-Sep-13,5.44,5.92,5.40,5.60,50786
20-Sep-13,5.56,5.92,5.32,5.52,58158
19-Sep-13,5.68,5.72,5.28,5.68,61902
18-Sep-13,5.60,5.80,5.24,5.64,89848
17-Sep-13,5.64,6.40,5.40,5.60,130593
16-Sep-13,6.02,6.20,5.36,5.64,115088
13-Sep-13,6.04,6.36,5.80,6.00,83745
12-Sep-13,6.00,6.40,5.20,6.32,121156
11-Sep-13,6.24,7.08,5.40,5.60,316852
10-Sep-13,6.06,6.88,5.00,6.28,712931
9-Sep-13,7.12,8.40,6.84,8.20,361684
6-Sep-13,6.61,7.28,6.08,7.16,105020
5-Sep-13,6.54,6.96,5.96,6.32,326516
4-Sep-13,5.58,6.76,5.04,6.28,732317
3-Sep-13,4.90,5.84,3.76,5.64,1330375
30-Aug-13,5.50,5.88,4.60,4.76,573378
29-Aug-13,6.60,7.28,5.24,5.88,618484
28-Aug-13,7.70,7.72,5.84,6.84,914634
27-Aug-13,10.22,11.42,7.32,8.28,1121612
26-Aug-13,11.26,14.12,10.76,13.80,380562
23-Aug-13,16.00,16.04,10.44,11.92,754566
22-Aug-13,16.80,17.00,16.28,16.54,22789
21-Aug-13,16.53,17.08,16.40,16.89,38107
20-Aug-13,16.48,16.60,16.24,16.44,27647
19-Aug-13,16.70,16.84,16.20,16.32,49672
16-Aug-13,16.60,16.82,16.20,16.79,39690
15-Aug-13,17.40,17.88,16.60,16.72,27647
14-Aug-13,17.08,17.56,16.48,17.40,41642
13-Aug-13,17.60,18.00,16.48,17.00,54490
12-Aug-13,17.00,18.76,17.00,17.60,35120
9-Aug-13,17.80,17.80,16.87,16.87,67621
8-Aug-13,18.49,18.80,17.64,17.80,33139
7-Aug-13,17.60,18.92,17.40,18.00,61486
6-Aug-13,16.46,17.72,16.40,17.60,91622
5-Aug-13,18.16,18.16,16.48,16.84,142527
2-Aug-13,18.88,19.16,17.32,18.04,74473
1-Aug-13,17.88,19.16,17.76,19.00,144510
31-Jul-13,15.70,17.80,15.64,17.64,776356
30-Jul-13,20.52,20.88,20.28,20.44,51906
29-Jul-13,20.04,21.24,19.76,20.56,72194
26-Jul-13,21.46,21.68,19.52,20.40,200032
25-Jul-13,22.52,22.52,21.32,21.94,152923
24-Jul-13,22.28,23.40,21.60,22.40,147072
23-Jul-13,23.10,23.76,22.08,22.20,182158
22-Jul-13,22.44,24.80,22.04,22.68,385188
19-Jul-13,20.60,21.96,20.60,21.96,175852
18-Jul-13,21.32,21.32,20.36,20.60,104443
17-Jul-13,20.95,21.40,20.64,21.36,140744
16-Jul-13,20.34,21.40,19.68,20.88,241552
15-Jul-13,19.40,20.16,19.36,20.08,268766
12-Jul-13,17.76,18.92,17.60,18.92,210588
11-Jul-13,16.68,17.80,16.64,17.68,104080
10-Jul-13,15.84,16.76,15.52,16.68,75660
9-Jul-13,15.92,16.16,15.40,15.84,87987
8-Jul-13,16.26,16.36,15.88,16.00,44129
5-Jul-13,16.24,16.32,16.00,16.20,17487
3-Jul-13,16.24,16.36,15.84,16.16,33664
2-Jul-13,16.44,16.68,15.80,16.36,63270
1-Jul-13,16.54,16.72,16.08,16.52,86535
28-Jun-13,17.20,17.48,16.28,16.52,65949
27-Jun-13,16.84,17.80,16.44,17.20,153346
26-Jun-13,15.62,16.88,15.60,16.88,141060
25-Jun-13,15.00,15.40,14.84,15.40,50946
24-Jun-13,15.16,15.36,14.76,15.32,34838
21-Jun-13,14.92,15.40,14.68,15.16,47916
20-Jun-13,15.40,15.40,14.64,15.08,41317
19-Jun-13,15.59,15.72,14.52,15.44,50524
18-Jun-13,16.00,16.16,15.00,15.56,75232
17-Jun-13,16.20,16.92,15.96,16.00,73205
14-Jun-13,15.52,16.22,15.04,16.00,76998
13-Jun-13,16.30,16.38,13.88,15.44,275029
12-Jun-13,17.30,17.56,16.24,16.68,96881
11-Jun-13,18.68,19.00,16.00,17.04,201300
10-Jun-13,17.00,18.60,16.80,18.05,212788
7-Jun-13,15.76,17.28,15.66,16.76,145385
6-Jun-13,15.92,15.92,15.44,15.76,39293
5-Jun-13,15.56,15.80,15.04,15.80,82926
4-Jun-13,15.00,16.00,14.80,15.60,210829
3-Jun-13,13.32,14.72,13.20,14.48,116871
31-May-13,13.36,13.88,12.68,13.00,66834
30-May-13,12.48,13.76,12.48,13.36,114303
29-May-13,12.40,12.70,12.28,12.68,36448
28-May-13,11.84,12.80,11.84,12.28,97537
24-May-13,11.80,12.28,11.73,12.04,67676
23-May-13,11.56,11.76,11.32,11.76,49766
22-May-13,11.60,11.76,11.40,11.60,24675
21-May-13,11.56,11.60,11.40,11.60,23081
20-May-13,11.52,11.60,11.40,11.56,25281
17-May-13,11.40,11.60,11.32,11.56,37014
16-May-13,11.48,11.52,11.28,11.48,24541
15-May-13,11.42,11.60,11.24,11.48,57938
14-May-13,11.80,11.80,11.32,11.60,63962
13-May-13,11.40,12.20,11.36,11.80,61746
10-May-13,11.60,12.03,11.32,11.99,91747
