Date,Open,High,Low,Close,Volume
31-Dec-14,8.58,8.58,8.56,8.56,1642
30-Dec-14,8.50,8.58,8.50,8.58,2020
29-Dec-14,8.58,8.58,8.58,8.58,682
26-Dec-14,8.55,8.58,8.51,8.58,1130
24-Dec-14,8.51,8.58,8.51,8.58,3000
23-Dec-14,8.57,8.58,8.35,8.49,10339
22-Dec-14,8.45,8.45,8.34,8.45,9971
19-Dec-14,8.45,8.45,8.35,8.45,6136
18-Dec-14,8.58,8.58,8.58,8.58,214
17-Dec-14,8.34,8.40,8.17,8.33,5178
16-Dec-14,8.40,8.40,8.20,8.39,7792
15-Dec-14,8.40,8.40,8.30,8.30,414
12-Dec-14,8.53,8.53,8.35,8.40,10802
11-Dec-14,8.40,8.53,8.35,8.53,13105
10-Dec-14,8.39,8.39,8.36,8.36,611
9-Dec-14,8.35,8.37,8.29,8.36,9903
8-Dec-14,8.34,8.40,8.30,8.37,6641
5-Dec-14,8.35,8.35,8.33,8.33,1445
4-Dec-14,8.35,8.35,8.20,8.35,5602
3-Dec-14,8.35,8.40,8.35,8.35,1983
2-Dec-14,8.40,8.40,8.21,8.37,3918
1-Dec-14,8.39,8.45,8.30,8.45,23606
28-Nov-14,8.27,8.39,8.27,8.31,6341
26-Nov-14,8.22,8.27,8.22,8.26,39700
25-Nov-14,8.20,8.20,8.20,8.20,928
24-Nov-14,8.20,8.20,8.16,8.20,2228
21-Nov-14,8.15,8.20,8.10,8.20,33276
20-Nov-14,8.15,8.20,8.15,8.20,2419
19-Nov-14,8.15,8.24,8.06,8.15,8720
18-Nov-14,8.09,8.18,8.06,8.09,12359
17-Nov-14,8.05,8.08,7.97,8.05,3094
14-Nov-14,8.05,8.09,8.05,8.05,2000
13-Nov-14,8.05,8.05,8.00,8.00,3995
12-Nov-14,8.00,8.01,8.00,8.01,690
11-Nov-14,8.01,8.01,8.01,8.01,300
10-Nov-14,7.98,8.01,7.98,8.01,1569
7-Nov-14,8.05,8.05,7.98,8.00,1472
6-Nov-14,8.01,8.05,8.00,8.05,1012
5-Nov-14,8.08,8.10,8.05,8.05,3032
4-Nov-14,7.85,8.15,7.82,8.12,6307
3-Nov-14,7.92,7.92,7.82,7.92,8482
31-Oct-14,7.75,7.82,7.75,7.82,2022
30-Oct-14,7.68,7.72,7.68,7.72,1967
29-Oct-14,7.75,7.75,7.65,7.65,5837
28-Oct-14,7.65,7.65,7.65,7.65,2210
27-Oct-14,7.66,7.66,7.56,7.62,2221
24-Oct-14,7.65,7.65,7.65,7.65,500
23-Oct-14,7.56,7.72,7.56,7.72,464
20-Oct-14,7.53,7.77,7.52,7.77,919
17-Oct-14,7.55,7.87,7.55,7.79,10185
16-Oct-14,7.59,7.60,7.52,7.52,1150
15-Oct-14,7.82,7.82,7.57,7.58,3429
14-Oct-14,7.88,7.88,7.88,7.88,892
13-Oct-14,7.76,7.82,7.69,7.82,3106
10-Oct-14,7.77,7.78,7.75,7.78,6485
9-Oct-14,7.84,7.91,7.84,7.91,2129
7-Oct-14,7.76,7.94,7.76,7.88,1174
3-Oct-14,7.82,7.93,7.80,7.92,712
2-Oct-14,7.85,7.86,7.80,7.80,899
30-Sep-14,7.82,7.90,7.80,7.82,4034
29-Sep-14,7.75,7.83,7.75,7.80,1603
26-Sep-14,7.80,7.84,7.80,7.80,2008
25-Sep-14,7.86,7.86,7.80,7.80,1478
24-Sep-14,7.88,7.88,7.80,7.80,983
23-Sep-14,7.82,7.88,7.80,7.88,2636
22-Sep-14,7.73,8.00,7.73,7.82,11882
19-Sep-14,8.45,8.50,7.65,7.65,42664
18-Sep-14,8.35,8.46,8.25,8.41,11719
17-Sep-14,8.27,8.40,8.21,8.40,4335
16-Sep-14,8.38,8.40,8.11,8.11,5564
15-Sep-14,8.35,8.45,8.34,8.41,7617
12-Sep-14,8.33,8.40,8.31,8.40,4626
11-Sep-14,8.33,8.35,8.11,8.33,6453
10-Sep-14,8.20,8.32,7.95,8.32,14058
9-Sep-14,8.12,8.20,7.82,8.19,14837
8-Sep-14,7.98,8.08,7.98,8.08,13454
5-Sep-14,7.90,7.96,7.60,7.81,17458
4-Sep-14,8.00,8.00,7.99,7.99,343
3-Sep-14,7.89,7.99,7.89,7.99,403
2-Sep-14,8.04,8.07,7.95,7.95,5409
29-Aug-14,8.11,8.11,8.00,8.00,10515
28-Aug-14,8.17,8.17,8.10,8.10,964
27-Aug-14,8.18,8.18,8.11,8.11,1672
26-Aug-14,8.18,8.18,7.93,8.16,14181
25-Aug-14,8.18,8.18,8.10,8.13,1253
22-Aug-14,8.18,8.18,8.18,8.18,300
21-Aug-14,8.17,8.17,8.17,8.17,100
20-Aug-14,8.10,8.10,8.10,8.10,100
19-Aug-14,8.10,8.10,8.07,8.07,1025
18-Aug-14,8.10,8.10,8.01,8.01,836
15-Aug-14,8.10,8.10,8.10,8.10,180
14-Aug-14,8.10,8.10,8.09,8.09,6889
13-Aug-14,8.14,8.14,8.08,8.09,7474
12-Aug-14,8.17,8.17,8.01,8.12,2935
11-Aug-14,8.02,8.12,8.02,8.09,762
8-Aug-14,8.05,8.17,8.05,8.15,990
7-Aug-14,8.04,8.21,8.01,8.01,4060
6-Aug-14,8.27,8.28,8.00,8.09,7787
5-Aug-14,8.06,8.16,7.90,8.00,9265
4-Aug-14,8.11,8.17,7.89,8.02,4543
1-Aug-14,7.98,8.15,7.86,7.86,5162
31-Jul-14,8.15,8.15,7.89,8.03,6702
30-Jul-14,8.16,8.16,7.85,7.88,5109
29-Jul-14,8.16,8.16,8.16,8.16,4082
28-Jul-14,8.14,8.22,8.12,8.17,9368
25-Jul-14,7.95,8.15,7.95,8.15,2371
24-Jul-14,8.14,8.14,7.90,7.95,3844
23-Jul-14,8.11,8.25,7.88,7.88,4931
22-Jul-14,8.24,8.29,8.08,8.24,5612
21-Jul-14,8.04,8.12,7.91,7.91,1998
18-Jul-14,8.11,8.22,8.08,8.10,12063
17-Jul-14,8.22,8.24,8.13,8.23,1702
16-Jul-14,8.21,8.30,8.07,8.07,2171
15-Jul-14,8.26,8.36,8.16,8.16,3321
14-Jul-14,8.49,8.49,8.17,8.49,2061
11-Jul-14,8.45,8.45,8.20,8.28,1574
10-Jul-14,8.17,8.17,8.17,8.17,1160
9-Jul-14,8.16,8.48,8.12,8.48,4668
8-Jul-14,8.41,8.45,8.25,8.30,2541
7-Jul-14,8.55,8.55,8.36,8.49,4500
3-Jul-14,8.53,8.53,8.16,8.16,400
2-Jul-14,8.30,8.54,8.10,8.54,6000
1-Jul-14,8.51,8.63,8.51,8.52,8317
30-Jun-14,8.73,8.73,8.33,8.33,3486
27-Jun-14,8.57,8.62,8.57,8.60,19089
26-Jun-14,8.52,8.52,8.52,8.52,263
25-Jun-14,8.54,8.54,8.35,8.35,776
24-Jun-14,8.55,8.55,8.31,8.32,1607
23-Jun-14,8.59,8.59,8.45,8.45,3282
20-Jun-14,8.41,8.51,8.41,8.51,528
19-Jun-14,8.36,8.52,8.23,8.51,16593
18-Jun-14,8.82,8.82,8.81,8.81,3417
17-Jun-14,8.84,8.84,8.81,8.84,6465
16-Jun-14,8.85,8.85,8.75,8.78,3334
13-Jun-14,8.63,8.88,8.63,8.88,6975
12-Jun-14,8.66,8.66,8.56,8.62,3805
11-Jun-14,8.64,8.69,8.49,8.69,2835
10-Jun-14,8.29,8.60,8.28,8.55,16887
9-Jun-14,8.27,8.28,8.00,8.28,1712
5-Jun-14,8.17,8.17,8.17,8.17,1602
4-Jun-14,7.74,8.19,7.74,8.17,11019
3-Jun-14,7.73,7.75,7.73,7.74,1200
2-Jun-14,7.75,7.75,7.57,7.73,13283
30-May-14,7.70,7.75,7.70,7.70,2069
29-May-14,7.70,7.70,7.70,7.70,1940
28-May-14,7.71,7.75,7.71,7.73,10562
27-May-14,7.74,7.75,7.74,7.74,850
23-May-14,7.67,7.75,7.65,7.75,3000
22-May-14,7.75,7.75,7.65,7.66,4586
21-May-14,7.71,7.71,7.65,7.65,2756
19-May-14,7.75,7.75,7.70,7.71,5856
16-May-14,7.76,7.76,7.70,7.71,6800
15-May-14,7.70,7.75,7.70,7.73,1302
14-May-14,7.75,7.76,7.75,7.76,5145
13-May-14,7.75,7.76,7.75,7.76,623
12-May-14,7.75,7.76,7.74,7.76,6760
9-May-14,7.58,7.58,7.58,7.58,1000
7-May-14,7.74,7.76,7.73,7.75,12134
6-May-14,7.74,7.74,7.74,7.74,211
5-May-14,7.73,7.85,7.72,7.76,12854
2-May-14,7.73,7.73,7.70,7.70,1636
1-May-14,7.70,7.73,7.70,7.73,6474
30-Apr-14,7.70,7.70,7.68,7.68,1588
29-Apr-14,7.66,7.98,7.65,7.80,7987
28-Apr-14,7.66,7.73,7.66,7.73,766
25-Apr-14,7.66,7.66,7.65,7.65,3091
24-Apr-14,7.70,7.75,7.70,7.75,2618
23-Apr-14,7.74,7.75,7.65,7.75,6988
22-Apr-14,7.75,7.75,7.65,7.65,3805
21-Apr-14,7.70,7.75,7.61,7.75,7176
17-Apr-14,7.60,7.60,7.60,7.60,600
16-Apr-14,7.66,7.75,7.52,7.75,161274
15-Apr-14,7.65,7.65,7.60,7.61,8050
14-Apr-14,7.60,7.60,7.60,7.60,600
11-Apr-14,7.69,7.70,7.55,7.55,4838
10-Apr-14,7.60,7.60,7.56,7.56,1195
9-Apr-14,7.53,7.65,7.52,7.65,12285
8-Apr-14,7.60,7.60,7.55,7.55,9989
