Date,Open,High,Low,Close,Volume
31-Dec-14,30.17,30.40,30.09,30.12,39898
30-Dec-14,29.40,30.37,29.23,30.27,22680
29-Dec-14,29.72,29.80,29.00,29.33,46786
26-Dec-14,29.69,29.87,29.03,29.59,35821
24-Dec-14,30.40,30.40,29.53,29.53,11437
23-Dec-14,29.89,30.31,29.42,30.25,63729
22-Dec-14,29.26,29.92,29.14,29.84,43315
19-Dec-14,28.92,29.66,27.70,29.42,169081
18-Dec-14,29.08,29.15,26.03,29.04,36609
17-Dec-14,27.25,29.00,27.25,28.89,46506
16-Dec-14,26.80,27.86,26.80,27.44,51550
15-Dec-14,27.30,27.50,26.46,26.77,44300
12-Dec-14,27.50,27.57,26.65,27.20,68373
11-Dec-14,29.26,29.45,27.62,27.90,82228
10-Dec-14,30.65,30.74,29.26,29.26,55203
9-Dec-14,30.60,30.91,30.27,30.87,111350
8-Dec-14,31.35,31.49,30.59,30.70,49718
5-Dec-14,31.61,32.03,31.23,31.42,59057
4-Dec-14,32.24,32.70,31.66,31.67,48202
3-Dec-14,32.05,32.90,31.82,32.36,46831
2-Dec-14,32.32,32.76,31.92,32.05,63486
1-Dec-14,33.08,33.08,31.85,32.29,71267
28-Nov-14,33.52,33.52,32.85,33.04,28294
26-Nov-14,33.95,33.95,33.66,33.73,12547
25-Nov-14,33.79,34.11,33.58,33.92,24566
24-Nov-14,33.68,33.96,33.32,33.84,16780
21-Nov-14,33.52,34.15,33.45,33.57,31726
20-Nov-14,33.10,33.15,32.86,33.00,38615
19-Nov-14,33.44,33.44,32.74,33.02,50451
18-Nov-14,33.34,34.23,33.34,33.68,24557
17-Nov-14,33.46,33.69,33.19,33.34,33356
14-Nov-14,33.25,33.86,33.10,33.60,42967
13-Nov-14,33.83,33.83,33.15,33.25,32716
12-Nov-14,33.00,33.81,33.00,33.76,31885
11-Nov-14,33.21,33.43,33.02,33.15,47754
10-Nov-14,33.62,33.78,33.27,33.33,34071
7-Nov-14,33.32,33.80,33.30,33.79,29246
6-Nov-14,33.22,33.67,33.16,33.38,29443
5-Nov-14,34.00,34.00,33.00,33.38,53811
4-Nov-14,34.52,34.93,33.44,33.98,119376
3-Nov-14,35.76,35.92,34.88,35.13,40464
31-Oct-14,36.07,36.07,35.46,35.78,45140
30-Oct-14,34.85,35.67,34.85,35.44,37783
29-Oct-14,34.76,35.23,34.57,34.97,31104
28-Oct-14,34.04,35.16,33.60,34.61,68746
27-Oct-14,33.82,33.86,33.40,33.82,22532
24-Oct-14,33.29,34.13,33.19,33.93,29807
23-Oct-14,33.63,33.96,33.20,33.39,35554
22-Oct-14,33.74,33.74,33.08,33.20,24093
21-Oct-14,33.22,34.05,33.01,33.54,38709
20-Oct-14,32.80,33.59,32.80,33.19,23502
17-Oct-14,33.85,33.85,32.88,33.00,53338
16-Oct-14,32.25,33.76,32.25,33.35,82046
15-Oct-14,32.03,32.91,31.79,32.61,56087
14-Oct-14,32.40,32.57,32.25,32.47,45959
13-Oct-14,32.29,32.50,32.15,32.28,47917
10-Oct-14,32.65,32.86,32.29,32.32,38804
9-Oct-14,33.46,33.77,32.81,32.84,42060
8-Oct-14,33.50,34.21,33.39,33.57,141184
7-Oct-14,33.15,33.71,33.15,33.47,28377
6-Oct-14,33.95,33.95,33.39,33.53,52379
3-Oct-14,34.69,34.78,33.55,33.82,41799
2-Oct-14,34.00,34.63,33.92,34.38,34623
1-Oct-14,34.05,34.16,33.55,33.86,37715
30-Sep-14,34.64,34.78,34.02,34.10,60162
29-Sep-14,34.75,35.13,34.14,34.64,26786
26-Sep-14,34.94,35.25,34.63,34.91,28096
25-Sep-14,35.25,35.62,34.68,34.78,23972
24-Sep-14,35.00,35.52,34.60,35.22,28805
23-Sep-14,35.25,35.48,34.92,35.03,30082
