Date,Open,High,Low,Close,Volume
31-Dec-14,2.28,2.28,2.10,2.20,168611
30-Dec-14,2.38,2.41,2.15,2.31,157003
29-Dec-14,2.48,2.49,2.42,2.43,80177
26-Dec-14,2.41,2.60,2.41,2.51,43917
24-Dec-14,2.62,2.66,2.44,2.46,31564
23-Dec-14,2.32,2.67,2.32,2.55,256815
22-Dec-14,2.30,2.42,2.25,2.32,89426
19-Dec-14,2.33,2.40,2.30,2.31,133529
18-Dec-14,2.30,2.42,2.26,2.36,95712
17-Dec-14,2.31,2.38,2.28,2.31,68346
16-Dec-14,2.40,2.40,2.23,2.34,52251
15-Dec-14,2.29,2.47,2.29,2.39,80872
12-Dec-14,2.34,2.35,2.27,2.31,42416
11-Dec-14,2.35,2.50,2.35,2.42,113322
10-Dec-14,2.35,2.55,2.23,2.39,276400
9-Dec-14,2.30,2.36,2.23,2.23,50198
8-Dec-14,2.29,2.35,2.23,2.28,48614
5-Dec-14,2.28,2.32,2.20,2.24,74743
4-Dec-14,2.40,2.47,2.07,2.27,132005
3-Dec-14,2.30,2.65,2.24,2.36,225438
2-Dec-14,2.20,2.27,2.19,2.27,74421
1-Dec-14,2.07,2.24,2.07,2.15,110085
28-Nov-14,2.15,2.20,2.10,2.10,47406
26-Nov-14,2.22,2.22,2.12,2.18,15067
25-Nov-14,2.17,2.28,2.14,2.15,106699
24-Nov-14,2.07,2.23,2.07,2.15,106001
21-Nov-14,2.07,2.15,2.07,2.10,92356
20-Nov-14,2.15,2.24,2.03,2.10,238327
19-Nov-14,2.19,2.28,2.19,2.20,56835
18-Nov-14,2.20,2.30,2.20,2.22,63744
17-Nov-14,2.31,2.31,2.21,2.24,59113
14-Nov-14,2.28,2.48,2.20,2.31,108963
13-Nov-14,2.48,2.49,2.21,2.31,122033
12-Nov-14,2.48,2.50,2.34,2.46,66334
11-Nov-14,2.23,2.67,2.23,2.48,224340
10-Nov-14,2.38,2.40,2.26,2.34,77552
7-Nov-14,2.39,2.39,2.26,2.38,89193
6-Nov-14,2.22,2.42,2.19,2.34,201440
5-Nov-14,2.24,2.32,2.21,2.21,114831
4-Nov-14,2.35,2.36,2.22,2.27,108977
3-Nov-14,2.50,2.50,2.20,2.41,209851
31-Oct-14,2.41,2.63,2.40,2.50,233935
30-Oct-14,2.01,2.73,2.00,2.51,535476
29-Oct-14,2.08,2.15,2.00,2.02,228948
28-Oct-14,2.11,2.22,2.10,2.10,185719
27-Oct-14,2.23,2.25,2.05,2.13,196310
24-Oct-14,2.37,2.44,2.08,2.24,267624
23-Oct-14,2.50,2.59,2.33,2.42,231669
22-Oct-14,2.45,2.60,2.45,2.57,177231
21-Oct-14,2.73,2.79,2.45,2.51,350992
20-Oct-14,2.80,2.85,2.70,2.77,184354
17-Oct-14,2.90,3.00,2.67,2.68,285339
16-Oct-14,2.54,2.91,2.54,2.86,390859
15-Oct-14,2.82,2.92,2.56,2.65,388710
14-Oct-14,3.12,3.35,2.76,2.85,579225
13-Oct-14,3.45,3.69,2.98,3.17,828013
10-Oct-14,3.40,3.70,3.18,3.45,698857
9-Oct-14,3.64,3.64,3.12,3.41,1789085
8-Oct-14,3.15,3.32,2.98,3.01,447966
7-Oct-14,3.51,3.51,2.98,3.18,1092017
6-Oct-14,4.05,4.07,3.36,3.41,2893115
3-Oct-14,3.25,4.19,3.21,3.91,8880359
2-Oct-14,2.58,2.90,2.58,2.87,741354
1-Oct-14,2.53,2.65,2.25,2.56,447516
30-Sep-14,2.74,2.77,2.45,2.56,463273
29-Sep-14,2.63,2.69,2.39,2.39,883347
26-Sep-14,2.84,2.91,2.62,2.77,735949
25-Sep-14,2.50,3.00,2.41,2.84,1574268
24-Sep-14,2.77,2.84,2.33,2.60,2446586
23-Sep-14,2.75,3.52,2.61,2.65,14579004
22-Sep-14,1.43,2.24,1.38,2.12,3221410
19-Sep-14,1.66,1.68,1.36,1.38,340343
18-Sep-14,2.04,2.06,1.60,1.68,372205
17-Sep-14,2.28,2.30,2.00,2.08,188021
16-Sep-14,2.38,2.38,2.10,2.20,428938
15-Sep-14,2.50,2.50,2.26,2.38,151858
12-Sep-14,2.31,2.34,2.20,2.27,86956
10-Sep-14,2.69,2.69,2.30,2.31,574440
9-Sep-14,3.80,3.80,3.35,3.55,77690
8-Sep-14,3.89,3.89,3.48,3.80,20916
5-Sep-14,3.81,3.81,3.70,3.73,15674
4-Sep-14,3.71,3.89,3.70,3.80,23007
3-Sep-14,3.82,3.89,3.56,3.73,40099
