Date,Open,High,Low,Close,Volume
31-Dec-14,4.47,4.55,4.45,4.52,14430
30-Dec-14,4.52,4.54,4.44,4.45,5926
29-Dec-14,4.52,4.53,4.34,4.47,20110
26-Dec-14,4.45,4.65,4.45,4.52,18886
24-Dec-14,4.59,4.60,4.25,4.55,15864
23-Dec-14,4.70,4.75,4.41,4.52,18771
22-Dec-14,4.61,4.72,4.40,4.60,61653
19-Dec-14,4.40,5.09,4.40,4.74,183788
18-Dec-14,3.80,4.55,3.66,4.34,169631
17-Dec-14,3.27,3.76,3.27,3.67,83048
16-Dec-14,3.30,3.64,3.26,3.28,33119
15-Dec-14,3.22,3.29,3.18,3.19,7022
12-Dec-14,3.19,3.26,3.15,3.17,23203
11-Dec-14,3.33,3.33,3.16,3.31,10592
10-Dec-14,3.28,3.28,3.26,3.27,820
9-Dec-14,3.32,3.38,3.30,3.34,9671
8-Dec-14,3.31,3.34,3.26,3.32,18140
5-Dec-14,3.39,3.39,3.30,3.34,3902
4-Dec-14,3.35,3.39,3.35,3.37,684
3-Dec-14,3.51,3.51,3.31,3.32,12341
2-Dec-14,3.54,3.62,3.40,3.45,27083
1-Dec-14,3.70,3.70,3.48,3.56,16093
28-Nov-14,3.58,3.70,3.58,3.64,13530
26-Nov-14,3.56,3.69,3.55,3.62,7930
25-Nov-14,3.47,3.62,3.47,3.62,14439
24-Nov-14,3.53,3.53,3.43,3.49,5192
21-Nov-14,3.53,3.54,3.47,3.48,2049
20-Nov-14,3.52,3.57,3.50,3.52,3249
19-Nov-14,3.44,3.54,3.44,3.50,1620
18-Nov-14,3.50,3.58,3.48,3.49,10460
17-Nov-14,3.71,3.71,3.38,3.46,16953
14-Nov-14,3.50,3.74,3.50,3.68,25150
13-Nov-14,3.53,3.59,3.40,3.40,5766
12-Nov-14,3.49,3.57,3.49,3.53,2505
11-Nov-14,3.25,3.53,3.06,3.46,85818
10-Nov-14,3.48,3.48,3.26,3.30,21763
7-Nov-14,3.38,3.62,3.36,3.48,5161
6-Nov-14,3.51,3.51,3.39,3.45,15225
5-Nov-14,3.67,3.67,3.44,3.54,14101
4-Nov-14,3.72,3.80,3.56,3.67,6470
3-Nov-14,3.63,3.86,3.55,3.70,16231
31-Oct-14,3.72,3.80,3.65,3.73,7434
30-Oct-14,3.68,3.88,3.64,3.71,38590
29-Oct-14,3.80,3.90,3.39,3.47,67346
28-Oct-14,4.08,4.16,3.85,3.85,25007
27-Oct-14,4.21,4.35,4.10,4.11,26598
24-Oct-14,4.21,4.56,4.08,4.22,18045
23-Oct-14,4.32,4.50,4.06,4.28,24370
22-Oct-14,4.43,4.43,4.00,4.19,38085
21-Oct-14,4.20,4.49,4.18,4.41,17087
20-Oct-14,4.50,4.50,4.04,4.20,53478
17-Oct-14,4.27,4.65,4.02,4.49,90481
16-Oct-14,3.96,4.80,3.96,4.26,220955
15-Oct-14,4.45,4.51,3.86,4.09,172431
14-Oct-14,4.75,4.75,4.01,4.49,142989
13-Oct-14,6.00,6.18,4.50,4.92,361251
10-Oct-14,5.92,6.98,5.22,5.56,1302846
9-Oct-14,4.48,5.25,4.40,5.10,898977
8-Oct-14,3.62,4.46,3.62,4.45,233224
7-Oct-14,3.56,3.74,3.38,3.62,12983
6-Oct-14,3.83,3.89,3.78,3.85,7896
3-Oct-14,3.75,3.96,3.70,3.74,6865
2-Oct-14,3.95,3.95,3.51,3.70,19640
1-Oct-14,4.21,4.67,3.90,4.05,84582
30-Sep-14,3.70,4.21,3.70,4.09,46768
29-Sep-14,3.49,3.75,3.49,3.70,21359
26-Sep-14,3.35,3.54,3.27,3.48,22525
25-Sep-14,3.75,3.76,3.15,3.35,106520
24-Sep-14,3.27,4.85,3.27,3.57,708814
23-Sep-14,3.03,3.03,3.03,3.03,211
19-Sep-14,3.04,3.14,3.02,3.03,6384
18-Sep-14,3.09,3.09,3.05,3.05,1030
17-Sep-14,3.13,3.13,3.06,3.06,544
16-Sep-14,3.08,3.12,3.08,3.12,7945
15-Sep-14,3.13,3.13,3.03,3.12,2285
12-Sep-14,3.16,3.16,3.13,3.13,796
11-Sep-14,3.02,3.18,3.02,3.15,2412
10-Sep-14,3.14,3.18,3.04,3.18,4728
9-Sep-14,3.05,3.09,3.02,3.09,9368
8-Sep-14,3.00,3.08,3.00,3.08,741
4-Sep-14,3.01,3.03,3.01,3.03,3395
3-Sep-14,3.06,3.14,3.03,3.03,3600
2-Sep-14,3.00,3.10,3.00,3.04,5019
29-Aug-14,3.09,3.09,3.06,3.07,2043
28-Aug-14,3.10,3.10,3.10,3.10,223
27-Aug-14,3.28,3.28,3.06,3.09,5406
26-Aug-14,3.08,3.20,3.06,3.20,15997
25-Aug-14,3.20,3.20,3.02,3.10,4924
22-Aug-14,3.30,3.33,3.16,3.17,6698
21-Aug-14,3.18,3.32,3.04,3.32,11125
20-Aug-14,3.06,3.15,3.06,3.14,5356
19-Aug-14,3.00,3.10,3.00,3.02,7098
18-Aug-14,3.15,3.15,3.00,3.00,7243
