Date,Open,High,Low,Close,Volume
31-Dec-14,17.15,17.46,17.05,17.14,13535
30-Dec-14,17.25,17.40,17.19,17.31,11783
29-Dec-14,17.53,17.53,17.25,17.35,14364
26-Dec-14,17.29,17.46,17.13,17.23,12100
24-Dec-14,17.19,17.62,17.12,17.19,6565
23-Dec-14,17.18,17.50,17.05,17.26,21047
22-Dec-14,17.30,17.76,16.99,17.29,25148
19-Dec-14,16.92,17.40,16.70,17.23,83820
18-Dec-14,17.11,17.11,16.65,16.97,18070
17-Dec-14,16.06,17.05,16.05,16.99,23200
16-Dec-14,16.43,16.73,16.15,16.19,27896
15-Dec-14,16.12,16.67,16.05,16.14,19992
12-Dec-14,16.40,16.87,16.08,16.13,94551
11-Dec-14,16.55,16.98,16.53,16.62,27409
10-Dec-14,16.84,17.00,16.54,16.55,34318
9-Dec-14,16.90,17.07,16.65,16.87,115932
8-Dec-14,17.00,17.09,16.91,16.94,15713
5-Dec-14,16.65,17.30,16.65,17.05,26211
4-Dec-14,16.47,16.82,16.47,16.66,24313
3-Dec-14,16.31,16.85,16.05,16.75,23878
2-Dec-14,16.09,16.38,16.08,16.34,22261
1-Dec-14,16.16,16.21,15.91,15.95,17523
28-Nov-14,16.52,16.68,16.11,16.11,6657
26-Nov-14,16.68,16.69,16.45,16.56,14376
25-Nov-14,16.93,16.93,16.60,16.67,16976
24-Nov-14,16.49,16.77,16.42,16.77,17037
21-Nov-14,16.51,16.67,16.16,16.42,15561
20-Nov-14,16.20,16.41,16.20,16.34,6326
19-Nov-14,16.59,16.80,16.28,16.30,24167
18-Nov-14,16.82,16.99,16.75,16.76,14996
17-Nov-14,16.88,17.05,16.51,16.73,21862
14-Nov-14,16.92,17.21,16.86,16.86,34416
13-Nov-14,16.60,16.96,16.60,16.84,16045
12-Nov-14,16.77,16.92,16.46,16.86,26888
11-Nov-14,16.85,16.85,16.47,16.83,14749
10-Nov-14,16.50,16.85,16.50,16.85,13660
7-Nov-14,16.60,16.71,16.27,16.52,68272
6-Nov-14,16.55,16.68,16.50,16.61,24218
5-Nov-14,16.42,16.65,16.39,16.59,25176
4-Nov-14,16.23,16.59,16.11,16.20,54742
3-Nov-14,16.51,16.63,16.26,16.37,23944
31-Oct-14,16.95,16.96,16.24,16.57,157476
30-Oct-14,16.23,16.65,16.23,16.61,23830
29-Oct-14,16.36,16.56,16.28,16.35,42289
28-Oct-14,16.03,16.56,15.95,16.56,42741
27-Oct-14,15.74,16.10,15.48,16.03,54467
24-Oct-14,16.18,16.18,15.69,15.78,34683
23-Oct-14,16.14,16.33,15.92,16.01,38907
22-Oct-14,15.25,16.19,15.25,16.07,25488
21-Oct-14,16.04,16.08,15.95,16.00,42039
20-Oct-14,16.17,16.17,15.86,16.00,17219
17-Oct-14,16.55,16.55,16.12,16.17,19632
16-Oct-14,16.21,16.93,16.11,16.43,39352
15-Oct-14,16.11,16.98,15.81,16.45,37711
14-Oct-14,15.65,16.40,15.64,16.32,42529
13-Oct-14,15.70,15.79,15.56,15.59,56169
10-Oct-14,15.61,15.86,15.41,15.72,45438
9-Oct-14,15.83,15.87,15.56,15.71,28329
8-Oct-14,15.56,16.17,15.55,16.01,25860
7-Oct-14,15.46,15.62,15.35,15.56,19873
6-Oct-14,15.83,15.91,15.43,15.52,36067
3-Oct-14,15.90,15.90,15.68,15.83,14446
2-Oct-14,15.73,16.03,15.58,15.71,43601
1-Oct-14,15.97,16.02,15.65,15.77,39958
30-Sep-14,16.08,16.43,15.90,15.91,52938
29-Sep-14,16.00,16.15,15.90,16.08,20746
26-Sep-14,16.08,16.27,16.00,16.26,8284
25-Sep-14,16.25,16.26,15.86,16.07,23155
24-Sep-14,16.55,16.55,16.21,16.31,20645
23-Sep-14,16.76,16.76,16.41,16.45,28854
22-Sep-14,16.73,16.78,16.69,16.77,40790
19-Sep-14,16.77,16.87,16.74,16.84,138173
18-Sep-14,16.34,16.79,16.30,16.74,46215
17-Sep-14,15.95,16.26,15.95,16.25,41168
16-Sep-14,16.08,16.20,15.80,15.97,14777
15-Sep-14,15.92,16.21,15.90,16.02,19832
12-Sep-14,16.20,16.26,15.90,15.92,17476
11-Sep-14,16.02,16.19,16.00,16.18,11516
10-Sep-14,15.93,16.01,15.81,15.96,11916
9-Sep-14,16.00,16.07,15.64,15.88,17881
8-Sep-14,16.10,16.40,16.00,16.13,5175
5-Sep-14,16.03,16.18,15.88,16.16,11327
4-Sep-14,16.40,16.40,15.93,16.14,22156
3-Sep-14,16.88,16.88,16.18,16.27,12442
2-Sep-14,16.50,16.62,16.30,16.62,36612
29-Aug-14,16.40,16.45,16.11,16.42,8237
28-Aug-14,16.55,16.63,16.31,16.43,8788
27-Aug-14,16.64,16.68,16.58,16.65,5244
26-Aug-14,16.70,16.76,16.60,16.65,17289
25-Aug-14,16.69,16.78,16.57,16.70,9690
22-Aug-14,16.83,16.83,16.56,16.62,14859
