Date,Open,High,Low,Close,Volume
31-Dec-14,1.86,1.86,1.78,1.78,542479
30-Dec-14,1.85,1.93,1.81,1.86,530432
29-Dec-14,1.89,1.93,1.85,1.89,333594
26-Dec-14,1.90,1.90,1.85,1.88,129534
24-Dec-14,1.85,1.91,1.85,1.87,189702
23-Dec-14,1.86,1.92,1.84,1.85,369914
22-Dec-14,1.91,1.97,1.88,1.90,319917
19-Dec-14,2.03,2.03,1.91,1.91,835614
18-Dec-14,2.03,2.07,1.98,2.04,597557
17-Dec-14,1.91,2.01,1.90,2.01,557373
16-Dec-14,1.85,1.97,1.84,1.92,538106
15-Dec-14,1.91,1.94,1.86,1.89,460063
12-Dec-14,1.86,1.95,1.86,1.89,180978
11-Dec-14,1.96,2.00,1.90,1.90,245312
10-Dec-14,2.01,2.01,1.90,1.96,436716
9-Dec-14,1.83,2.01,1.79,2.01,507455
8-Dec-14,1.92,1.96,1.83,1.87,471318
5-Dec-14,1.85,1.94,1.82,1.94,412120
4-Dec-14,1.88,1.93,1.83,1.87,364052
3-Dec-14,1.89,1.92,1.86,1.89,295867
2-Dec-14,1.79,1.90,1.78,1.90,366460
1-Dec-14,1.78,1.82,1.75,1.78,491870
28-Nov-14,1.89,1.90,1.80,1.80,235006
26-Nov-14,1.96,1.96,1.90,1.92,208647
25-Nov-14,1.97,1.99,1.93,1.96,534132
24-Nov-14,1.80,1.98,1.79,1.98,797560
21-Nov-14,1.80,1.82,1.71,1.77,222219
20-Nov-14,1.60,1.80,1.56,1.78,634260
19-Nov-14,1.59,1.62,1.52,1.61,478395
18-Nov-14,1.60,1.61,1.58,1.58,128442
17-Nov-14,1.67,1.68,1.58,1.61,191546
14-Nov-14,1.69,1.69,1.66,1.68,130604
13-Nov-14,1.64,1.70,1.64,1.68,327023
12-Nov-14,1.62,1.66,1.62,1.65,204613
11-Nov-14,1.64,1.67,1.61,1.64,191098
10-Nov-14,1.63,1.69,1.61,1.66,336069
7-Nov-14,1.60,1.65,1.53,1.63,213631
6-Nov-14,1.59,1.62,1.55,1.61,217642
5-Nov-14,1.53,1.65,1.52,1.60,597085
4-Nov-14,1.58,1.60,1.49,1.52,398305
3-Nov-14,1.59,1.60,1.54,1.57,272509
31-Oct-14,1.57,1.62,1.54,1.57,660624
30-Oct-14,1.52,1.57,1.47,1.55,230850
29-Oct-14,1.51,1.55,1.48,1.53,227953
28-Oct-14,1.43,1.51,1.43,1.51,373231
27-Oct-14,1.47,1.53,1.41,1.45,333404
24-Oct-14,1.53,1.56,1.48,1.49,140473
23-Oct-14,1.47,1.54,1.47,1.52,157286
22-Oct-14,1.55,1.55,1.45,1.46,340391
21-Oct-14,1.56,1.60,1.55,1.56,228091
20-Oct-14,1.56,1.60,1.53,1.57,166899
17-Oct-14,1.61,1.61,1.53,1.56,350241
16-Oct-14,1.38,1.55,1.38,1.53,471440
15-Oct-14,1.35,1.42,1.35,1.41,307833
14-Oct-14,1.34,1.40,1.34,1.37,284304
13-Oct-14,1.36,1.38,1.31,1.32,442407
10-Oct-14,1.38,1.40,1.34,1.35,410755
9-Oct-14,1.40,1.44,1.37,1.38,368168
8-Oct-14,1.36,1.42,1.35,1.41,334582
7-Oct-14,1.41,1.46,1.36,1.36,614855
6-Oct-14,1.47,1.47,1.41,1.43,243928
3-Oct-14,1.47,1.55,1.45,1.47,395827
2-Oct-14,1.41,1.52,1.37,1.44,436800
1-Oct-14,1.42,1.48,1.36,1.39,626403
30-Sep-14,1.49,1.53,1.43,1.43,560001
29-Sep-14,1.50,1.55,1.48,1.49,468352
26-Sep-14,1.53,1.59,1.50,1.51,375526
