Date,Open,High,Low,Close,Volume
31-Dec-14,1.49,1.49,1.42,1.43,73102
30-Dec-14,1.40,1.50,1.38,1.49,135030
29-Dec-14,1.49,1.49,1.40,1.40,92790
26-Dec-14,1.50,1.55,1.46,1.49,25956
24-Dec-14,1.55,1.55,1.50,1.50,15716
23-Dec-14,1.49,1.53,1.42,1.49,96672
22-Dec-14,1.64,1.66,1.53,1.53,85218
19-Dec-14,1.45,1.61,1.45,1.57,78059
18-Dec-14,1.42,1.58,1.42,1.47,53597
17-Dec-14,1.47,1.52,1.40,1.45,47563
16-Dec-14,1.43,1.56,1.40,1.46,69876
15-Dec-14,1.64,1.64,1.43,1.44,64094
12-Dec-14,1.46,1.71,1.43,1.64,161962
11-Dec-14,1.40,1.48,1.40,1.48,79597
10-Dec-14,1.49,1.50,1.40,1.42,40563
9-Dec-14,1.33,1.49,1.33,1.47,75544
8-Dec-14,1.40,1.49,1.34,1.40,151342
5-Dec-14,1.50,1.51,1.42,1.42,54404
4-Dec-14,1.56,1.60,1.50,1.50,49761
3-Dec-14,1.60,1.70,1.50,1.56,153143
2-Dec-14,1.42,1.54,1.34,1.45,114860
1-Dec-14,1.50,1.52,1.39,1.40,125970
28-Nov-14,1.54,1.57,1.47,1.51,58013
26-Nov-14,1.65,1.65,1.54,1.58,62997
25-Nov-14,1.72,1.75,1.65,1.66,31370
24-Nov-14,1.78,1.88,1.69,1.69,105637
21-Nov-14,1.74,1.84,1.74,1.79,22458
20-Nov-14,1.81,1.82,1.77,1.79,14836
19-Nov-14,1.78,1.81,1.73,1.77,40572
18-Nov-14,1.87,1.87,1.72,1.78,28532
17-Nov-14,1.74,1.94,1.74,1.80,26061
14-Nov-14,1.77,1.78,1.70,1.74,45103
13-Nov-14,1.70,1.89,1.66,1.77,133548
12-Nov-14,1.75,1.81,1.70,1.70,63868
11-Nov-14,1.86,1.86,1.76,1.76,36291
10-Nov-14,1.78,1.88,1.78,1.79,53694
7-Nov-14,1.86,1.88,1.71,1.76,82296
6-Nov-14,1.91,1.96,1.75,1.79,63990
5-Nov-14,2.10,2.13,1.88,1.88,129149
4-Nov-14,2.08,2.18,2.05,2.10,191746
3-Nov-14,1.95,2.08,1.95,2.06,96914
31-Oct-14,2.05,2.05,1.88,1.90,73696
30-Oct-14,2.08,2.20,1.80,1.80,320284
29-Oct-14,1.83,1.83,1.73,1.77,32897
28-Oct-14,1.79,1.83,1.72,1.83,43413
27-Oct-14,1.69,1.79,1.60,1.77,78530
24-Oct-14,1.80,1.85,1.68,1.69,156467
23-Oct-14,2.02,2.02,1.85,1.91,21151
22-Oct-14,1.92,2.02,1.80,2.00,62347
21-Oct-14,2.09,2.09,1.96,1.96,60100
20-Oct-14,1.76,2.00,1.75,1.98,82342
17-Oct-14,1.70,1.80,1.70,1.75,27614
16-Oct-14,1.66,1.75,1.66,1.74,76868
15-Oct-14,1.74,1.75,1.70,1.75,31668
14-Oct-14,1.95,1.98,1.76,1.76,68920
13-Oct-14,1.86,2.12,1.74,1.92,203813
10-Oct-14,1.92,2.01,1.86,1.89,36703
9-Oct-14,2.00,2.04,1.91,1.95,48574
8-Oct-14,2.14,2.14,1.96,2.01,127824
7-Oct-14,2.27,2.29,2.09,2.15,29973
6-Oct-14,2.30,2.30,2.22,2.24,22130
3-Oct-14,2.25,2.35,2.23,2.32,73106
2-Oct-14,2.21,2.32,2.15,2.26,35906
1-Oct-14,2.35,2.35,2.18,2.21,38624
